time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.14,1.56,3.4,3.42,-       
0.05,-0.16,1.56,3.4,3.41,-       
0.1,-0.92,1.54,3.4,3.4,gaze fixated: p_3_2
0.15,-0.92,1.54,3.4,3.4,gaze fixated: p_3_2
0.2,-0.92,1.54,3.4,3.4,gaze fixated: p_3_2
0.25,-0.92,1.54,3.4,3.4,gaze fixated: p_3_2
0.3,-0.92,1.54,3.4,3.4,gaze fixated: p_3_2
0.35,-0.92,1.54,3.4,3.4,gaze fixated: p_3_2
0.4,-0.92,1.54,3.4,3.4,gaze fixated: p_3_2
0.45,-0.92,1.54,3.4,3.4,gaze fixated: p_3_2
0.5,-0.92,1.54,3.4,3.4,gaze fixated: p_3_2
0.55,-0.92,1.54,3.4,3.4,gaze fixated: p_3_2
0.6,-0.92,1.54,3.4,3.4,gaze fixated: p_3_2
0.65,0.37,2.45,3.4,3.31,gaze started: p_3_1
0.7,0.37,2.45,3.4,3.31,gaze started: p_3_1
0.75,0.37,2.45,3.4,3.31,gaze started: p_3_1
0.8,0.37,2.45,3.4,3.31,gaze started: p_3_1
0.85,0.45,2.35,3.4,3.33,gaze started: p_1_3
0.9,0.44,2.36,3.4,3.32,-       
0.95,0.44,2.37,3.4,3.33,-       
1.0,0.44,2.36,3.4,3.35,gaze fixated: p_1_3
1.05,0.44,2.37,3.4,3.36,-       
1.1,0.44,2.37,3.4,3.38,-       
1.15,0.48,2.37,3.4,3.5,-       
1.2,0.32,2.39,3.4,3.61,-       
1.25,0.83,0.84,-0.52,,-       
1.3,0.83,0.84,-0.52,,gaze ended: p_1_3
1.35,0.83,0.84,-0.52,,-       
1.4,0.83,0.84,-0.52,,-       
1.45,0.83,0.84,-0.52,,-       
1.5,0.83,0.84,-0.52,,-       
1.55,-0.15,1.53,3.4,3.37,-       
1.6,-0.1,1.51,3.4,3.46,gaze started: p_3_2
1.65,-0.14,1.48,3.4,3.48,-       
1.7,-0.15,1.53,3.4,3.55,-       
1.75,-0.14,1.52,3.4,3.55,-       
1.8,-0.16,1.49,3.4,3.51,-       
1.85,-0.16,1.5,3.4,3.52,gaze fixated: p_3_2
1.9,0.57,1.15,3.4,3.62,-       
1.95,0.8,1.21,3.4,3.74,gaze started: p_4_3
2.0,0.78,1.15,3.4,3.73,-       
2.05,0.79,1.16,3.4,3.72,-       
2.1,0.51,1.65,3.4,3.47,-       
2.15,0.54,1.64,3.4,3.38,gaze started: p_3_3
2.2,0.54,1.62,3.4,3.18,-       
2.25,0.51,1.67,3.4,3.09,-       
2.3,0.51,1.67,3.4,3.09,-       
2.35,0.55,1.72,3.4,2.97,-       
2.4,0.84,0.84,-0.52,,-       
2.45,0.83,0.85,-0.52,,-       
2.5,0.83,0.85,-0.53,,-       
2.55,0.83,0.85,-0.52,,-       
2.6,0.83,0.85,-0.52,,-       
2.65,0.83,0.85,-0.53,,-       
2.7,0.31,1.89,3.4,2.83,-       
2.75,0.3,1.82,3.4,2.89,gaze started: p_2_3
2.8,0.2,1.75,3.4,2.83,-       
2.85,0.21,1.84,3.4,2.87,gaze started: p_3_3
2.9,0.12,1.85,3.4,2.88,gaze started: p_2_3
2.95,0.09,1.79,3.4,2.77,gaze started: p_2_2
3.0,0.07,1.82,3.4,2.89,gaze started: p_3_2
3.05,0.08,1.82,3.4,2.86,gaze started: p_2_2
3.1,0.0,1.83,3.4,2.79,-       
3.15,0.02,1.8,3.46,2.74,-       
3.2,0.02,1.81,3.4,2.77,-       
3.25,-0.11,1.95,3.4,2.86,gaze started: p_2_2
3.3,-0.24,1.96,3.4,2.68,-       
3.35,-0.24,1.92,3.4,2.64,-       
3.4,-0.19,2.01,3.4,2.68,-       
3.45,0.83,0.85,-0.53,,-       
3.5,0.83,0.85,-0.53,,-       
3.55,0.83,0.85,-0.53,,-       
3.6,0.83,0.85,-0.53,,-       
3.65,0.83,0.85,-0.53,,-       
3.7,0.84,0.85,-0.53,,-       
3.75,0.84,0.85,-0.53,,-       
3.8,-0.23,2.14,3.4,2.78,-       
3.85,-0.22,2.08,3.4,2.85,gaze started: p_2_2
3.9,-0.22,2.04,3.4,2.7,-       
3.95,-0.24,2.01,3.4,2.7,-       
4.0,0.26,2.0,3.4,2.77,-       
4.05,0.3,2.0,3.4,2.72,gaze started: p_2_3
4.1,0.26,2.01,3.4,2.74,-       
4.15,0.23,2.03,3.4,2.74,-       
4.2,0.31,2.03,3.4,2.75,-       
4.25,0.09,2.08,3.4,2.7,-       
4.3,0.03,1.97,3.4,2.77,gaze started: p_2_2
