time,point x ,point y ,point z ,pupil diameter,flag    
0.0,1.27,0.37,-0.34,,gaze fixated: p_2_2
0.05,1.27,0.37,-0.34,,gaze ended: p_2_2
0.1,1.27,0.37,-0.34,,gaze ended: p_2_2
0.15,1.27,0.37,-0.34,,-       
0.2,1.27,0.37,-0.34,,-       
0.25,0.86,1.71,3.4,3.74,-       
0.3,0.73,1.86,3.4,3.93,gaze started: p_3_3
0.35,0.73,1.86,3.4,3.93,gaze started: p_3_3
0.4,0.78,1.86,3.4,4.02,gaze started: p_2_3
0.45,0.17,1.83,3.4,3.99,-       
0.5,0.2,1.83,3.4,4.0,-       
0.55,0.13,1.87,3.4,4.02,-       
0.6,0.13,1.87,3.4,4.02,-       
0.65,0.11,1.88,3.4,4.03,gaze started: p_2_2
0.7,0.13,1.84,3.4,4.04,-       
0.75,0.22,1.61,3.4,4.06,-       
0.8,0.19,1.79,3.4,4.15,gaze started: p_3_3
0.85,0.19,1.79,3.4,4.15,gaze started: p_3_3
0.9,0.2,1.75,3.4,4.17,-       
0.95,0.19,1.76,3.4,4.16,-       
1.0,0.06,1.46,3.4,3.79,-       
1.05,1.27,0.37,-0.34,,gaze started: p_3_2
1.1,1.27,0.37,-0.34,,gaze started: p_3_2
1.15,1.27,0.37,-0.34,,-       
1.2,0.44,1.5,3.4,3.54,-       
1.25,1.27,0.37,-0.34,,gaze started: p_3_3
1.3,1.27,0.37,-0.34,,-       
1.35,1.27,0.37,-0.34,,-       
1.4,1.27,0.37,-0.34,,-       
1.45,1.27,0.38,-0.34,,-       
1.5,1.27,0.37,-0.34,,-       
1.55,0.37,1.5,3.4,2.69,-       
1.6,0.37,1.5,3.4,2.69,-       
1.65,0.39,1.56,3.4,2.79,gaze started: p_3_3
1.7,0.48,1.53,3.4,2.79,-       
1.75,-0.04,1.61,3.4,2.72,-       
1.8,0.15,1.63,3.4,2.83,gaze started: p_3_2
1.85,0.08,1.66,3.4,2.77,gaze started: p_3_3
1.9,0.08,1.66,3.4,2.77,gaze started: p_3_3
1.95,0.13,1.68,3.4,2.83,gaze started: p_3_2
2.0,1.26,0.38,-0.34,,-       
2.05,1.26,0.38,-0.34,,-       
2.1,1.26,0.38,-0.34,,-       
2.15,1.25,0.38,-0.34,,-       
2.2,1.26,0.38,-0.34,,-       
2.25,0.1,1.86,3.4,2.64,-       
2.3,0.1,1.86,3.4,2.64,gaze started: p_2_2
2.35,-0.23,2.02,3.4,2.7,-       
2.4,-0.23,2.02,3.4,2.7,-       
2.45,-0.21,2.0,3.4,2.7,-       
2.5,-0.17,2.0,3.4,2.72,-       
2.55,-0.18,1.99,3.4,2.74,-       
2.6,-0.18,1.99,3.4,2.74,-       
2.65,-0.23,2.01,3.4,2.74,gaze fixated: p_2_2
2.7,0.4,2.12,3.4,2.73,-       
2.75,0.42,2.08,3.4,2.72,gaze started: p_2_3
2.8,0.39,2.1,3.4,2.72,-       
2.85,0.39,2.09,3.4,2.72,-       
2.9,0.39,2.09,3.4,2.72,-       
2.95,0.4,2.08,3.4,2.73,-       
3.0,0.43,2.08,3.4,2.81,gaze fixated: p_2_3
3.05,0.05,1.88,3.4,2.81,-       
3.1,0.05,1.88,3.4,2.81,-       
3.15,-0.02,1.87,3.4,2.85,gaze started: p_2_2
3.2,1.26,0.38,-0.34,,-       
3.25,1.26,0.38,-0.34,,-       
3.3,1.25,0.38,-0.34,,-       
3.35,1.25,0.38,-0.34,,-       
3.4,1.25,0.38,-0.34,,-       
3.45,0.44,1.63,3.4,2.99,-       
3.5,0.3,1.68,3.4,2.98,gaze started: p_3_3
3.55,0.35,1.69,3.4,2.98,-       
3.6,0.35,1.69,3.4,2.98,-       
3.65,0.15,1.68,3.4,3.18,-       
3.7,0.18,1.63,3.4,3.16,-       
3.75,0.13,1.64,3.46,3.14,-       
3.8,1.26,0.38,-0.34,,-       
3.85,1.26,0.38,-0.34,,-       
3.9,1.26,0.38,-0.34,,-       
3.95,1.26,0.38,-0.34,,-       
4.0,1.26,0.38,-0.34,,-       
4.05,0.19,1.5,3.4,3.0,-       
4.1,0.19,1.5,3.4,3.0,-       
4.15,0.24,1.45,3.4,2.96,gaze started: p_3_3
4.2,0.21,1.53,3.4,3.03,-       
