time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.64,2.21,3.4,5.02,-       
0.05,-0.63,2.19,3.4,5.0,-       
0.1,-0.64,2.18,3.4,4.98,-       
0.15,-0.65,2.17,3.4,4.97,-       
0.2,-0.65,2.18,3.4,4.97,-       
0.25,-0.65,2.18,3.4,4.97,-       
0.3,-0.65,2.18,3.4,4.97,-       
0.35,-0.65,2.18,3.4,4.97,-       
0.4,-0.65,2.18,3.4,4.97,-       
0.45,-0.65,2.18,3.4,4.97,-       
0.5,-0.65,2.18,3.4,4.97,-       
0.55,-0.65,2.18,3.4,4.97,-       
0.6,-0.65,2.18,3.4,4.97,-       
0.65,-0.65,2.18,3.4,4.97,-       
0.7,-0.65,2.18,3.4,4.97,-       
0.75,-0.71,2.19,3.4,5.02,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_under_armour_30s_50wd.mp4
0.8,-0.71,2.19,3.4,5.02,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_under_armour_30s_50wd.mp4
0.85,-0.71,2.19,3.4,5.02,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/commercial_under_armour_30s_50wd.mp4
0.9,-0.63,2.21,3.4,5.02,gaze started: p_2_2
0.95,-0.62,2.21,3.4,5.02,-       
1.0,-0.65,2.2,3.4,5.03,-       
1.05,-0.64,2.21,3.4,5.02,-       
1.1,-0.6,2.22,3.4,5.04,-       
1.15,-0.6,2.21,3.4,5.06,-       
1.2,-0.62,2.23,3.4,5.06,gaze fixated: p_2_2
1.25,-0.58,2.28,3.4,5.06,-       
1.3,-0.62,2.25,3.4,5.07,gaze started: p_1_2
1.35,-0.63,2.25,3.4,5.09,gaze started: p_2_2
1.4,-0.63,2.25,3.4,5.09,gaze started: p_2_2
1.45,-0.62,2.23,3.4,5.09,-       
1.5,-0.62,2.23,3.4,5.11,-       
1.55,-0.6,2.26,3.4,5.12,-       
1.6,-0.6,2.24,3.4,5.12,-       
1.65,-0.6,2.23,3.4,5.12,-       
1.7,-0.6,2.23,3.4,5.11,-       
1.75,-0.6,2.22,3.4,5.12,-       
1.8,-0.59,2.25,3.4,5.13,-       
1.85,-0.6,2.24,3.4,5.13,-       
1.9,-0.14,1.97,3.4,5.09,-       
1.95,0.66,0.65,-0.26,,-       
2.0,0.66,0.65,-0.26,,gaze ended: p_2_2
2.05,0.5,1.58,3.4,5.25,-       
2.1,0.41,1.06,3.4,5.24,gaze started: p_3_3
2.15,0.47,1.11,3.4,5.19,gaze started: p_4_3
2.2,0.34,0.98,3.4,4.93,-       
2.25,0.47,1.37,3.4,4.94,-       
2.3,0.52,1.42,3.4,4.65,gaze started: p_3_3
2.35,0.53,1.36,3.4,4.57,-       
2.4,0.53,1.39,3.4,4.3,-       
2.45,0.43,1.22,3.4,3.96,-       
2.5,0.47,1.28,3.4,3.91,gaze started: p_4_3
2.55,0.47,1.31,3.4,3.77,-       
2.6,0.49,1.32,3.4,3.63,-       
