time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.37,2.24,3.4,3.38,gaze started: p_2_2
0.05,-0.37,2.24,3.4,3.38,-       
0.1,-0.38,2.29,3.46,3.37,-       
0.15,-0.39,2.29,3.46,3.36,-       
0.2,-0.39,2.29,3.46,3.36,-       
0.25,-0.4,2.22,3.4,3.36,-       
0.3,-0.39,2.21,3.4,3.4,gaze started: p_2_2
0.35,-0.38,2.23,3.4,3.41,-       
0.4,-0.38,2.23,3.4,3.41,-       
0.45,-0.38,2.23,3.4,3.41,-       
0.5,-0.38,2.23,3.4,3.41,-       
0.55,-0.38,2.23,3.4,3.41,-       
0.6,-0.38,2.23,3.4,3.41,-       
0.65,-0.38,2.23,3.4,3.41,-       
0.7,-0.38,2.23,3.4,3.41,-       
0.75,-0.38,2.23,3.4,3.41,-       
0.8,-0.38,2.23,3.4,3.41,-       
0.85,-0.57,2.2,3.4,3.46,gaze fixated: p_2_2
0.9,-0.57,2.2,3.4,3.46,gaze fixated: p_2_2
0.95,-0.57,2.2,3.4,3.46,gaze fixated: p_2_2
1.0,-0.56,2.23,3.4,3.45,-       
1.05,-0.56,2.23,3.4,3.45,-       
1.1,-0.55,2.23,3.4,3.45,-       
1.15,-0.55,2.23,3.4,3.45,-       
1.2,-0.32,1.96,3.4,3.54,-       
1.25,-0.27,2.01,3.4,3.54,-       
1.3,-0.3,2.01,3.4,3.53,-       
1.35,-0.31,2.0,3.4,3.54,-       
1.4,-0.32,1.99,3.4,3.55,-       
1.45,-0.32,1.99,3.4,3.57,-       
1.5,-0.23,1.93,3.4,3.62,-       
1.55,0.17,1.61,3.4,3.63,-       
1.6,0.15,1.62,3.4,3.59,gaze started: p_3_3
1.65,0.19,1.62,3.4,3.63,-       
1.7,0.16,1.61,3.4,3.63,-       
1.75,0.17,1.6,3.4,3.64,-       
1.8,0.16,1.6,3.4,3.66,-       
1.85,0.15,1.59,3.4,3.67,gaze fixated: p_3_3
1.9,0.14,1.58,3.4,3.67,-       
1.95,0.15,1.58,3.4,3.68,-       
2.0,0.16,1.53,3.4,3.66,-       
2.05,0.12,1.02,3.4,3.75,-       
2.1,0.12,1.04,3.4,3.78,gaze started: p_4_2
2.15,0.13,1.03,3.4,3.75,-       
2.2,0.3,1.27,3.4,3.74,-       
2.25,0.3,1.27,3.4,3.74,-       
2.3,0.48,1.54,3.4,3.63,gaze started: p_4_3
2.35,0.52,1.54,3.4,3.34,gaze started: p_3_3
2.4,0.53,1.54,3.4,3.26,-       
2.45,0.53,1.54,3.4,3.26,-       
2.5,0.52,1.54,3.4,3.13,-       
2.55,0.49,1.54,3.4,2.99,-       
2.6,0.52,1.55,3.4,2.92,-       
2.65,0.53,1.55,3.4,2.85,gaze fixated: p_3_3
2.7,0.54,1.55,3.4,2.81,-       
2.75,0.55,1.56,3.4,2.79,-       
2.8,0.54,1.55,3.4,2.77,-       
2.85,0.54,1.55,3.4,2.77,-       
2.9,0.53,1.56,3.4,2.79,-       
2.95,0.53,1.56,3.4,2.8,-       
3.0,0.15,1.64,3.4,2.73,-       
3.05,0.15,1.63,3.4,2.73,-       
3.1,0.1,1.63,3.4,2.73,-       
3.15,0.09,1.63,3.4,2.73,gaze started: p_3_2
3.2,0.1,1.63,3.4,2.74,-       
3.25,0.1,1.63,3.4,2.74,-       
3.3,0.11,1.63,3.4,2.74,-       
3.35,0.11,1.63,3.4,2.74,-       
3.4,0.13,1.62,3.4,2.72,-       
3.45,0.12,1.62,3.4,2.73,gaze fixated: p_3_2
3.5,0.1,1.62,3.4,2.75,-       
3.55,0.1,1.63,3.4,2.78,-       
3.6,0.08,1.64,3.4,2.8,-       
3.65,0.12,1.65,3.4,2.83,-       
3.7,0.12,1.66,3.4,2.87,-       
3.75,0.09,1.66,3.4,2.88,-       
3.8,0.1,1.65,3.4,2.9,-       
3.85,0.1,1.65,3.4,2.9,-       
3.9,0.1,1.65,3.4,2.88,-       
3.95,0.09,1.65,3.4,2.86,-       
4.0,0.08,1.65,3.4,2.83,-       
4.05,0.08,1.65,3.4,2.8,-       
4.1,0.39,1.71,3.4,2.82,-       
4.15,0.39,1.71,3.4,2.82,-       
4.2,0.32,1.7,3.4,2.8,gaze started: p_3_3
4.25,0.57,0.76,-0.3,,-       
4.3,0.57,0.76,-0.3,,-       
4.35,0.57,0.76,-0.3,,-       
4.4,0.15,1.72,3.4,2.95,-       
