time,point x ,point y ,point z ,pupil diameter,flag    
0.0,1.08,0.84,-0.78,,-       
0.05,1.08,0.84,-0.78,,-       
0.1,1.08,0.84,-0.78,,-       
0.15,-0.49,2.5,3.4,3.98,-       
0.2,-0.49,2.5,3.4,3.98,-       
0.25,-0.49,2.5,3.4,3.98,-       
0.3,-0.49,2.5,3.4,3.98,-       
0.35,-0.49,2.5,3.4,3.98,-       
0.4,-0.49,2.5,3.4,3.98,-       
0.45,-0.49,2.5,3.4,3.98,-       
0.5,-0.49,2.5,3.4,3.98,-       
0.55,-0.49,2.5,3.4,3.98,-       
0.6,-0.49,2.5,3.4,3.98,-       
0.65,-0.58,2.06,3.4,3.52,gaze started: p_1_2
0.7,-0.58,2.06,3.4,3.52,gaze started: p_1_2
0.75,-0.58,2.06,3.4,3.52,gaze started: p_1_2
0.8,-0.58,2.06,3.4,3.52,gaze started: p_1_2
0.85,-0.37,2.22,3.4,3.68,gaze started: p_2_2
0.9,-0.36,2.22,3.4,3.7,-       
0.95,-0.35,2.22,3.4,3.74,gaze fixated: p_2_2
1.0,-0.35,2.23,3.4,3.75,-       
1.05,-0.35,2.23,3.4,3.78,-       
1.1,-0.35,2.23,3.4,3.79,-       
1.15,-0.35,2.23,3.4,3.79,-       
1.2,-0.3,2.23,3.4,3.76,-       
1.25,1.08,0.84,-0.78,,-       
1.3,1.08,0.84,-0.78,,gaze ended: p_2_2
1.35,1.08,0.84,-0.78,,-       
1.4,1.08,0.84,-0.78,,-       
1.45,1.08,0.84,-0.78,,-       
1.5,1.08,0.84,-0.78,,-       
1.55,1.08,0.84,-0.78,,-       
1.6,-0.19,2.1,3.4,3.8,-       
1.65,-0.13,2.21,3.4,4.03,gaze started: p_2_2
1.7,-0.1,2.14,3.4,4.09,-       
1.75,0.26,2.12,3.4,4.11,-       
1.8,0.23,2.07,3.4,4.11,gaze started: p_2_3
1.85,0.22,2.05,3.4,4.12,-       
1.9,0.22,2.04,3.4,4.12,-       
1.95,0.22,2.04,3.4,4.12,-       
2.0,0.22,2.05,3.4,4.12,-       
2.05,0.22,2.04,3.4,4.11,-       
2.1,0.55,1.7,3.4,3.77,gaze fixated: p_2_3
2.15,0.59,1.61,3.4,3.59,gaze started: p_3_3
