time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.41,2.25,3.4,3.98,gaze fixated: p_1_1
0.05,-0.41,2.25,3.4,3.98,gaze fixated: p_1_1
0.1,-0.39,2.28,3.46,3.97,gaze started: p_2_2
0.15,-0.58,2.41,3.4,3.98,-       
0.2,-0.54,2.42,3.4,4.0,gaze started: p_1_2
0.25,-0.54,2.42,3.4,4.0,gaze started: p_1_2
0.3,-0.55,2.39,3.4,3.99,-       
0.35,0.55,0.85,-0.53,,-       
0.4,0.55,0.85,-0.53,,-       
0.45,0.55,0.85,-0.53,,-       
0.5,0.55,0.85,-0.53,,-       
0.55,0.55,0.85,-0.53,,-       
0.6,0.55,0.85,-0.53,,-       
0.65,0.55,0.85,-0.53,,-       
0.7,0.55,0.85,-0.53,,-       
0.75,0.34,1.5,3.4,4.03,-       
0.8,0.34,1.5,3.4,4.03,-       
0.85,0.29,1.38,3.4,3.98,gaze started: p_3_3
0.9,0.29,1.35,3.4,4.03,-       
0.95,0.23,1.6,3.4,4.17,-       
1.0,0.2,1.71,3.4,4.1,-       
1.05,0.2,1.71,3.4,4.1,-       
1.1,0.27,1.66,3.4,4.1,gaze fixated: p_3_3
1.15,0.25,1.64,3.4,4.12,-       
1.2,0.25,1.64,3.4,4.12,-       
1.25,0.55,0.86,-0.56,,-       
1.3,0.55,0.86,-0.57,,gaze ended: p_3_3
1.35,0.56,0.86,-0.58,,-       
1.4,0.56,0.86,-0.58,,-       
1.45,0.56,0.86,-0.58,,-       
1.5,0.55,0.86,-0.58,,-       
1.55,0.33,1.73,3.4,3.92,-       
1.6,0.33,1.73,3.4,3.92,-       
1.65,0.35,1.72,3.4,3.86,gaze started: p_3_3
1.7,0.39,1.71,3.4,3.76,-       
1.75,0.37,1.72,3.4,3.57,-       
1.8,0.37,1.72,3.4,3.57,-       
1.85,0.36,1.7,3.4,3.39,-       
1.9,0.36,1.68,3.4,3.23,gaze fixated: p_3_3
1.95,0.37,1.67,3.4,3.13,-       
2.0,0.37,1.67,3.4,3.13,-       
2.05,0.34,1.69,3.4,3.02,-       
2.1,0.36,1.68,3.4,2.95,-       
2.15,0.36,1.69,3.4,2.9,-       
2.2,0.36,1.69,3.4,2.9,-       
2.25,0.36,1.68,3.4,2.86,-       
2.3,0.36,1.68,3.4,2.83,-       
2.35,0.3,1.73,3.4,2.77,-       
2.4,0.3,1.73,3.4,2.77,-       
