time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.64,2.01,3.4,4.16,-       
0.05,-0.64,2.01,3.4,4.17,-       
0.1,-0.8,2.06,3.4,4.19,-       
0.15,-0.83,2.07,3.4,4.22,gaze started: p_2_1
0.2,-0.83,2.09,3.4,4.22,-       
0.25,-0.83,2.09,3.4,4.23,-       
0.3,-0.82,2.08,3.4,4.22,-       
0.35,-0.63,2.15,3.4,4.29,-       
0.4,-0.63,2.15,3.4,4.22,gaze started: p_2_2
0.45,-0.63,2.15,3.4,4.21,-       
0.5,-0.62,2.16,3.4,4.21,-       
0.55,-0.62,2.16,3.4,4.21,-       
0.6,-0.62,2.16,3.4,4.21,-       
0.65,-0.62,2.16,3.4,4.21,-       
0.7,-0.62,2.16,3.4,4.21,-       
0.75,-0.62,2.16,3.4,4.21,-       
0.8,-0.62,2.16,3.4,4.21,-       
0.85,-0.62,2.16,3.4,4.21,-       
0.9,-0.62,2.16,3.4,4.21,-       
0.95,-0.62,2.16,3.4,4.21,-       
1.0,-0.55,2.07,3.4,4.07,gaze fixated: p_2_2
1.05,-0.54,2.08,3.4,4.05,-       
1.1,-0.54,2.08,3.4,4.07,-       
1.15,-0.53,2.08,3.4,4.07,-       
1.2,-0.53,2.08,3.4,4.08,-       
1.25,-0.51,2.05,3.4,4.02,-       
1.3,-0.39,2.01,3.4,3.85,-       
1.35,0.63,0.77,-0.31,,-       
1.4,0.63,0.77,-0.31,,gaze ended: p_2_2
1.45,0.63,0.77,-0.31,,-       
1.5,0.63,0.77,-0.31,,-       
1.55,0.63,0.77,-0.31,,-       
1.6,0.63,0.77,-0.31,,-       
1.65,0.63,0.77,-0.31,,-       
1.7,0.62,0.77,-0.31,,-       
1.75,0.62,0.77,-0.31,,-       
1.8,0.62,0.77,-0.31,,-       
1.85,0.04,1.67,3.4,4.23,-       
1.9,0.07,1.68,3.4,4.36,gaze started: p_3_2
1.95,0.04,1.67,3.4,4.41,-       
2.0,0.09,1.68,3.4,4.4,-       
2.05,-0.06,1.62,3.4,4.51,-       
2.1,-0.3,1.58,3.4,4.48,-       
