time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.42,1.82,3.4,3.92,-       
0.05,-0.25,1.9,3.4,3.9,gaze started: p_2_2
0.1,-0.32,1.86,3.4,3.88,-       
0.15,-0.32,1.87,3.4,3.88,-       
0.2,0.09,1.42,3.4,3.9,-       
0.25,0.09,1.42,3.4,3.9,-       
0.3,0.09,1.42,3.4,3.9,-       
0.35,0.09,1.42,3.4,3.9,-       
0.4,0.09,1.42,3.4,3.9,-       
0.45,0.09,1.42,3.4,3.9,-       
0.5,0.09,1.42,3.4,3.9,-       
0.55,0.09,1.42,3.4,3.9,-       
0.6,0.09,1.42,3.4,3.9,-       
0.65,0.09,1.42,3.4,3.9,-       
0.7,0.09,1.42,3.4,3.9,-       
0.75,0.93,0.85,-0.62,,gaze started: p_3_2
0.8,0.93,0.85,-0.62,,gaze started: p_3_2
0.85,0.93,0.85,-0.62,,gaze started: p_3_2
0.9,-0.31,2.02,3.4,3.95,-       
0.95,-0.3,2.0,3.4,3.96,gaze started: p_2_2
1.0,-0.32,1.97,3.4,3.94,-       
1.05,-0.33,1.97,3.4,3.95,-       
1.1,-0.35,1.92,3.4,3.95,-       
1.15,-0.35,1.93,3.4,3.94,-       
1.2,-0.18,1.88,3.4,3.97,gaze fixated: p_2_2
1.25,0.22,1.9,3.4,3.99,-       
1.3,0.35,1.96,3.4,3.99,gaze started: p_2_3
1.35,0.27,1.92,3.4,4.01,-       
1.4,0.28,1.92,3.4,4.01,-       
1.45,0.28,1.93,3.4,4.04,-       
1.5,0.3,1.93,3.4,4.04,-       
1.55,0.28,1.92,3.4,4.05,gaze fixated: p_2_3
1.6,0.26,1.92,3.4,4.05,-       
1.65,0.28,1.91,3.4,4.04,-       
1.7,0.28,1.91,3.4,4.04,-       
1.75,0.26,1.89,3.4,4.08,-       
1.8,0.92,0.85,-0.62,,-       
1.85,0.92,0.85,-0.62,,-       
1.9,0.93,0.85,-0.62,,-       
1.95,0.72,1.92,3.4,4.14,-       
2.0,0.72,1.89,3.4,4.12,gaze started: p_2_3
2.05,0.72,1.88,3.4,4.16,-       
2.1,0.73,1.87,3.4,4.19,-       
2.15,0.76,1.88,3.4,4.12,-       
2.2,0.76,1.88,3.4,4.08,-       
2.25,0.78,1.88,3.4,3.94,gaze fixated: p_2_3
2.3,0.78,1.88,3.4,3.77,-       
2.35,0.77,1.86,3.4,3.56,-       
2.4,0.75,1.87,3.4,3.29,-       
2.45,-0.15,1.86,3.4,3.32,-       
2.5,-0.09,1.86,3.4,3.25,gaze started: p_2_2
2.55,-0.0,1.91,3.4,3.22,-       
2.6,-0.06,1.87,3.4,3.19,-       
2.65,-0.06,1.87,3.4,3.19,-       
2.7,-0.04,1.88,3.4,3.15,-       
2.75,0.01,1.9,3.4,3.13,-       
2.8,0.02,1.89,3.4,3.1,gaze fixated: p_2_2
2.85,0.01,1.88,3.4,3.09,-       
2.9,-0.0,1.88,3.4,3.09,-       
2.95,-0.0,1.88,3.4,3.08,-       
3.0,0.02,1.88,3.4,3.05,-       
3.05,0.11,1.92,3.4,2.98,-       
3.1,0.93,0.85,-0.62,,-       
3.15,0.92,0.85,-0.62,,gaze ended: p_2_2
3.2,0.93,0.85,-0.62,,-       
3.25,0.93,0.85,-0.62,,-       
3.3,0.93,0.85,-0.62,,-       
3.35,0.29,2.13,3.4,3.17,gaze started: p_2_3
3.4,0.3,2.11,3.4,3.15,-       
3.45,0.31,2.1,3.4,3.16,-       
3.5,0.36,2.11,3.4,3.18,-       
3.55,0.48,2.15,3.4,3.21,-       
3.6,0.3,2.11,3.4,3.23,-       
3.65,0.34,2.12,3.4,3.25,gaze fixated: p_2_3
3.7,0.39,2.14,3.4,3.25,-       
3.75,0.39,2.13,3.4,3.24,-       
3.8,0.39,2.13,3.4,3.24,-       
3.85,0.39,2.13,3.4,3.25,-       
3.9,0.39,2.13,3.4,3.28,-       
3.95,0.33,2.1,3.4,3.22,-       
4.0,0.42,2.04,3.4,3.36,-       
4.05,0.54,2.05,3.4,3.37,-       
4.1,0.52,2.05,3.4,3.37,-       
4.15,0.53,2.05,3.4,3.38,-       
4.2,0.53,2.05,3.4,3.39,-       
4.25,0.48,2.05,3.4,3.44,-       
4.3,-0.09,2.17,3.4,3.45,-       
4.35,-0.03,2.23,3.4,3.45,gaze started: p_2_2
4.4,-0.14,2.15,3.4,3.49,-       
4.45,-0.05,2.2,3.4,3.5,-       
4.5,-0.09,2.17,3.4,3.49,-       
4.55,0.03,2.15,3.4,3.46,-       
4.6,0.35,2.17,3.4,3.46,gaze fixated: p_2_2
4.65,0.4,2.17,3.4,3.46,gaze started: p_2_3
4.7,0.3,2.16,3.4,3.43,-       
4.75,0.3,2.16,3.4,3.4,-       
4.8,0.29,2.16,3.4,3.41,-       
4.85,-0.08,2.28,3.46,3.39,-       
4.9,-0.17,2.24,3.4,3.44,-       
4.95,-0.22,2.18,3.4,3.41,gaze started: p_2_2
5.0,-0.23,2.17,3.4,3.39,-       
5.05,-0.23,2.18,3.4,3.37,-       
5.1,-0.23,2.18,3.4,3.38,-       
5.15,0.15,1.98,3.4,3.31,-       
5.2,0.15,1.98,3.4,3.31,-       
5.25,0.15,1.98,3.4,3.31,-       
5.3,0.15,1.98,3.4,3.31,-       
5.35,0.16,1.97,3.4,3.31,gaze started: p_2_3
5.4,0.16,1.97,3.4,3.31,gaze started: p_2_3
5.45,0.29,1.98,3.4,3.28,-       
5.5,0.29,1.98,3.4,3.28,-       
5.55,0.29,1.98,3.4,3.28,-       
5.6,0.93,0.85,-0.63,,gaze fixated: p_2_3
5.65,0.93,0.85,-0.63,,gaze fixated: p_2_3
5.7,0.93,0.85,-0.63,,gaze fixated: p_2_3
5.75,0.93,0.85,-0.63,,gaze fixated: p_2_3
5.8,0.4,1.78,3.4,3.3,gaze ended: p_2_3
5.85,0.4,1.78,3.4,3.3,gaze ended: p_2_3
5.9,0.4,1.78,3.4,3.3,gaze ended: p_2_3
5.95,0.4,1.78,3.4,3.3,gaze ended: p_2_3
6.0,0.4,1.78,3.4,3.3,gaze ended: p_2_3
6.05,0.4,1.78,3.4,3.3,gaze ended: p_2_3
6.1,0.4,1.78,3.4,3.3,gaze ended: p_2_3
6.15,0.4,1.78,3.4,3.3,gaze ended: p_2_3
6.2,0.4,1.78,3.4,3.3,gaze ended: p_2_3
6.25,0.25,1.88,3.4,3.17,gaze started: p_3_3
