time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.55,2.01,3.4,5.1,-       
0.05,-0.55,2.01,3.4,5.1,-       
0.1,-0.55,2.01,3.4,5.06,gaze fixated: p_2_2
0.15,-0.55,2.02,3.4,5.06,-       
0.2,-0.55,2.02,3.4,5.06,-       
0.25,-0.55,2.02,3.4,5.06,-       
0.3,-0.55,2.02,3.4,5.06,-       
0.35,-0.55,2.02,3.4,5.06,-       
0.4,-0.55,2.02,3.4,5.06,-       
0.45,-0.55,2.02,3.4,5.06,-       
0.5,-0.55,2.02,3.4,5.06,-       
0.55,-0.55,2.02,3.4,5.06,-       
0.6,-0.55,2.02,3.4,5.06,-       
0.65,-0.71,2.25,3.4,5.22,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_alcohol_30s_50wd.mp4
0.7,-0.71,2.25,3.4,5.22,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_alcohol_30s_50wd.mp4
0.75,-0.71,2.25,3.4,5.22,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_alcohol_30s_50wd.mp4
0.8,-1.21,2.04,3.4,5.25,gaze started: p_2_1
0.85,-1.21,2.04,3.4,5.25,gaze started: p_2_1
0.9,-1.19,2.05,3.4,5.24,-       
0.95,-0.63,2.06,3.4,5.2,-       
1.0,-0.72,2.03,3.4,5.22,gaze started: p_2_2
1.05,-0.5,1.88,3.4,4.83,gaze started: p_2_1
1.1,-0.5,1.88,3.4,4.83,gaze started: p_2_1
1.15,0.57,0.66,-0.26,,gaze started: p_2_2
1.2,0.57,0.66,-0.26,,-       
1.25,-0.13,1.79,3.4,4.95,-       
1.3,-0.14,1.82,3.4,5.16,gaze started: p_3_2
1.35,-0.14,1.82,3.4,5.16,gaze started: p_3_2
1.4,-0.17,1.82,3.4,5.22,gaze started: p_2_2
1.45,-0.44,1.45,3.4,5.23,-       
1.5,-0.44,1.45,3.4,5.23,-       
1.55,-1.33,0.69,3.48,5.01,gaze started: p_3_2
1.6,-1.24,0.76,3.37,5.08,-       
1.65,-1.24,0.75,3.38,5.1,-       
1.7,-1.24,0.74,3.4,5.15,-       
1.75,-1.24,0.74,3.4,5.15,-       
1.8,-1.24,0.73,3.37,5.18,-       
1.85,-1.25,0.73,3.37,5.19,-       
1.9,-1.33,0.67,3.45,5.2,-       
1.95,0.57,0.67,-0.27,,-       
2.0,0.57,0.67,-0.27,,-       
2.05,0.57,0.67,-0.27,,-       
2.1,0.57,0.67,-0.27,,-       
2.15,0.33,1.65,3.4,4.66,-       
2.2,0.34,1.6,3.4,4.36,gaze started: p_3_3
2.25,0.34,1.61,3.4,4.27,-       
2.3,0.34,1.61,3.4,4.27,-       
2.35,0.35,1.64,3.4,4.18,-       
2.4,0.35,1.67,3.4,3.97,-       
2.45,0.35,1.67,3.4,3.97,-       
2.5,0.34,1.68,3.4,3.85,gaze fixated: p_3_3
2.55,0.34,1.66,3.4,3.76,-       
2.6,0.35,1.66,3.4,3.72,-       
2.65,0.35,1.66,3.4,3.66,-       
2.7,0.35,1.66,3.4,3.66,-       
2.75,0.35,1.65,3.4,3.63,-       
2.8,0.37,1.65,3.4,3.58,-       
