time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.74,2.35,3.4,3.08,-       
0.05,-0.75,2.35,3.4,3.07,gaze started: p_1_1
0.1,-0.77,2.35,3.4,3.07,-       
0.15,-0.77,2.33,3.4,3.08,-       
0.2,-0.76,2.33,3.4,3.11,-       
0.25,-0.75,2.33,3.4,3.18,-       
0.3,-0.35,2.32,3.4,3.2,gaze fixated: p_1_1
0.35,-0.34,2.33,3.4,3.22,gaze started: p_1_2
0.4,-0.35,2.34,3.4,3.22,-       
0.45,-0.35,2.34,3.4,3.22,-       
0.5,-0.39,2.32,3.4,3.22,-       
0.55,-0.46,2.34,3.4,3.26,-       
0.6,0.89,0.85,-0.53,,-       
0.65,0.89,0.85,-0.54,,-       
0.7,0.89,0.86,-0.55,,-       
0.75,0.88,0.86,-0.55,,-       
0.8,0.88,0.86,-0.55,,-       
0.85,0.88,0.86,-0.55,,-       
0.9,0.88,0.86,-0.55,,-       
0.95,0.88,0.86,-0.55,,-       
1.0,0.88,0.86,-0.55,,-       
1.05,0.88,0.86,-0.55,,-       
1.1,0.88,0.86,-0.55,,-       
1.15,0.88,0.86,-0.55,,-       
1.2,0.88,0.86,-0.55,,-       
1.25,-0.08,1.99,3.4,3.55,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_alcohol_30s_50wd.mp4
1.3,-0.11,2.01,3.4,3.48,gaze started: p_2_2
1.35,0.13,2.0,3.4,3.46,-       
1.4,-0.01,1.98,3.4,3.49,-       
1.45,0.05,1.97,3.4,3.47,-       
1.5,0.04,1.98,3.4,3.35,-       
1.55,0.07,1.96,3.4,3.42,gaze fixated: p_2_2
1.6,0.02,1.97,3.4,3.45,-       
1.65,0.02,1.97,3.4,3.43,-       
1.7,-0.16,2.02,3.4,3.51,-       
1.75,-0.18,2.04,3.4,3.6,-       
1.8,-0.08,2.02,3.4,3.61,-       
1.85,-0.14,2.01,3.4,3.64,-       
1.9,-0.17,2.01,3.4,3.69,-       
1.95,-0.16,2.01,3.4,3.73,-       
2.0,-0.13,2.02,3.4,3.77,-       
2.05,-0.1,2.05,3.4,3.82,-       
2.1,-0.09,2.08,3.4,3.91,-       
2.15,-0.21,2.04,3.4,3.9,-       
2.2,-0.16,2.02,3.4,3.91,-       
2.25,-0.14,1.84,3.4,3.84,-       
2.3,0.86,0.86,-0.57,,-       
2.35,0.86,0.86,-0.56,,gaze ended: p_2_2
2.4,0.85,0.86,-0.56,,-       
2.45,0.84,0.86,-0.57,,-       
2.5,0.84,0.86,-0.57,,-       
2.55,0.83,0.86,-0.58,,-       
2.6,0.83,0.86,-0.58,,-       
2.65,0.81,0.86,-0.58,,-       
2.7,0.81,0.86,-0.58,,-       
2.75,0.33,1.86,3.4,3.62,gaze started: p_2_2
2.8,0.33,1.86,3.4,3.62,gaze started: p_2_2
2.85,0.36,1.86,3.4,3.17,-       
2.9,0.31,1.86,3.4,3.01,-       
2.95,0.37,1.81,3.46,2.85,-       
3.0,0.37,1.81,3.46,2.85,-       
3.05,0.39,1.7,3.4,2.81,gaze started: p_2_3
3.1,0.39,1.7,3.4,2.81,gaze started: p_2_3
3.15,-0.09,1.89,3.4,2.65,gaze started: p_2_2
3.2,-0.09,1.89,3.4,2.65,gaze started: p_2_2
3.25,-0.15,1.85,3.4,2.63,-       
3.3,-0.14,1.86,3.4,2.61,-       
3.35,-0.06,1.85,3.4,2.61,-       
3.4,-0.05,1.87,3.4,2.59,-       
3.45,-0.03,1.86,3.4,2.58,gaze fixated: p_2_2
3.5,-0.03,1.86,3.4,2.6,-       
3.55,-0.07,1.88,3.4,2.62,-       
3.6,-0.09,1.89,3.4,2.65,-       
3.65,-0.08,1.89,3.4,2.65,-       
3.7,-0.08,1.88,3.4,2.69,-       
3.75,0.2,1.79,3.4,2.76,-       
3.8,0.24,1.81,3.4,2.84,gaze started: p_3_3
3.85,0.22,1.84,3.4,2.84,gaze started: p_2_3
3.9,0.21,1.86,3.4,2.85,-       
3.95,0.24,1.83,3.4,2.89,-       
4.0,0.2,1.84,3.4,2.94,-       
4.05,0.19,1.85,3.4,2.96,-       
4.1,0.19,1.85,3.4,2.94,gaze fixated: p_2_3
4.15,0.18,1.85,3.4,2.93,-       
4.2,0.2,1.83,3.4,2.93,-       
4.25,0.14,1.87,3.46,2.94,-       
4.3,0.22,1.79,3.4,2.96,gaze ended: p_2_3
4.35,0.21,1.8,3.46,2.97,gaze started: p_3_3
4.4,0.2,1.81,3.46,3.0,-       
4.45,0.2,1.81,3.46,3.0,-       
4.5,0.37,1.74,3.4,3.08,-       
4.55,0.29,1.81,3.46,3.1,gaze started: p_3_3
4.6,0.29,1.81,3.4,3.1,-       
4.65,0.28,1.83,3.4,3.12,gaze started: p_2_3
4.7,0.27,1.84,3.4,3.13,-       
4.75,0.3,1.8,3.46,3.13,-       
4.8,0.39,1.76,3.4,3.1,-       
4.85,0.31,1.83,3.4,3.16,gaze started: p_3_3
4.9,0.88,0.86,-0.58,,gaze started: p_2_3
4.95,0.88,0.86,-0.58,,-       
5.0,0.88,0.86,-0.58,,-       
5.05,0.88,0.86,-0.58,,-       
5.1,0.02,1.81,3.4,3.18,-       
5.15,0.88,0.86,-0.58,,gaze started: p_2_2
5.2,0.88,0.86,-0.58,,-       
5.25,0.88,0.86,-0.58,,-       
5.3,0.88,0.86,-0.58,,-       
5.35,0.88,0.86,-0.58,,-       
5.4,0.88,0.86,-0.58,,-       
5.45,0.12,1.53,3.4,3.08,-       
5.5,0.05,1.64,3.4,3.17,gaze started: p_3_2
5.55,0.02,1.64,3.4,3.25,-       
5.6,0.07,1.73,3.4,3.26,-       
5.65,0.06,1.7,3.4,3.24,-       
5.7,0.04,1.65,3.4,3.11,-       
5.75,0.01,1.65,3.4,3.04,-       
5.8,0.07,1.68,3.4,3.01,gaze fixated: p_3_2
5.85,0.09,1.66,3.4,3.02,-       
5.9,0.01,1.7,3.4,3.0,-       
5.95,0.01,1.69,3.4,3.0,-       
6.0,0.05,1.64,3.4,2.99,-       
6.05,0.12,1.77,3.4,2.93,-       
6.1,0.07,1.76,3.4,2.99,-       
6.15,0.16,1.75,3.4,2.99,-       
6.2,0.16,1.75,3.4,2.98,gaze started: p_3_3
6.25,0.19,1.75,3.4,2.99,-       
6.3,0.22,1.8,3.46,2.92,-       
6.35,0.23,1.79,3.4,2.85,gaze started: p_3_3
6.4,0.23,1.79,3.4,2.85,gaze started: p_3_3
6.45,0.01,1.8,3.46,2.9,-       
6.5,0.04,1.76,3.4,2.85,-       
6.55,0.21,1.72,3.4,2.77,gaze started: p_3_2
6.6,0.13,1.77,3.46,2.77,gaze started: p_3_3
6.65,0.87,0.86,-0.56,,-       
6.7,0.87,0.86,-0.56,,-       
6.75,0.87,0.86,-0.56,,-       
6.8,0.86,0.86,-0.56,,-       
6.85,0.86,0.86,-0.56,,-       
6.9,0.86,0.86,-0.56,,-       
6.95,0.86,0.86,-0.56,,-       
7.0,0.86,0.86,-0.56,,-       
7.05,0.86,0.86,-0.56,,-       
7.1,0.86,0.86,-0.56,,-       
7.15,0.86,0.86,-0.56,,-       
7.2,0.86,0.86,-0.56,,-       
7.25,0.86,0.86,-0.56,,-       
7.3,0.86,0.86,-0.56,,-       
7.35,0.86,0.86,-0.56,,-       
7.4,0.86,0.86,-0.56,,-       
7.45,0.86,0.86,-0.56,,-       
7.5,0.07,1.72,3.4,3.01,-       
7.55,0.1,1.6,3.4,2.93,gaze started: p_3_2
7.6,0.18,1.7,3.4,2.91,-       
7.65,0.1,1.87,3.4,2.94,gaze started: p_3_3
7.7,0.08,1.75,3.4,2.77,gaze started: p_2_2
7.75,0.11,1.82,3.4,2.76,gaze started: p_3_2
7.8,0.13,1.83,3.46,2.7,gaze started: p_2_2
7.85,0.12,1.83,3.4,2.67,-       
7.9,0.22,1.94,3.4,2.78,gaze started: p_2_2
7.95,0.22,1.86,3.4,2.81,gaze started: p_2_3
8.0,0.21,1.83,3.4,2.81,-       
8.05,0.11,1.74,3.4,2.78,-       
8.1,0.1,1.75,3.4,2.83,gaze started: p_3_2
8.15,0.13,1.75,3.4,2.84,-       
8.2,0.2,1.74,3.4,2.87,-       
8.25,0.23,1.74,3.4,2.88,gaze started: p_3_3
8.3,0.28,1.73,3.4,2.93,-       
8.35,0.28,1.73,3.4,2.93,-       
8.4,0.09,1.4,3.4,2.94,-       
8.45,0.09,1.4,3.4,2.94,-       
8.5,-0.03,0.53,3.12,2.46,-       
8.55,-0.0,0.53,3.11,2.39,-       
8.6,-0.1,0.32,2.94,2.46,-       
8.65,-0.17,0.06,2.94,2.1,-       
8.7,-0.2,0.29,2.94,2.36,-       
8.75,-0.15,0.41,2.94,2.47,-       
8.8,-0.1,0.44,2.94,2.48,-       
8.85,-0.16,0.43,2.94,2.38,-       
8.9,-0.14,0.72,3.57,2.36,-       
8.95,-0.02,1.18,3.4,2.32,-       
9.0,0.11,1.53,3.4,2.87,gaze started: p_4_2
9.05,0.11,1.56,3.4,2.91,gaze started: p_3_2
9.1,0.12,1.63,3.4,2.98,-       
9.15,0.07,1.79,3.4,2.96,-       
9.2,0.05,1.79,3.4,2.94,-       
9.25,0.01,1.71,3.4,2.7,gaze started: p_3_3
9.3,0.01,1.71,3.4,2.7,gaze started: p_3_3
9.35,0.02,1.73,3.4,2.64,gaze started: p_3_2
9.4,0.07,1.73,3.4,2.62,-       
9.45,0.08,1.75,3.4,2.58,-       
9.5,0.11,1.75,3.4,2.54,-       
9.55,0.04,1.79,3.4,2.57,-       
9.6,0.03,1.8,3.46,2.55,gaze fixated: p_3_2
9.65,0.16,1.77,3.4,2.54,gaze ended: p_3_2
9.7,0.08,1.79,3.4,2.56,-       
9.75,0.05,1.8,3.46,2.57,gaze started: p_3_2
9.8,0.02,1.8,3.46,2.59,-       
9.85,0.13,1.76,3.4,2.62,-       
9.9,0.13,1.75,3.4,2.63,gaze started: p_3_2
9.95,0.11,1.76,3.4,2.69,-       
10.0,0.25,1.74,3.4,2.7,-       
10.05,0.23,1.73,3.4,2.71,gaze started: p_3_3
10.1,0.23,1.78,3.4,2.78,-       
10.15,0.08,1.81,3.46,2.8,-       
10.2,0.14,1.78,3.46,2.81,-       
10.25,0.11,1.79,3.4,2.83,-       
10.3,0.16,1.78,3.4,2.84,gaze started: p_3_2
10.35,0.15,1.78,3.4,2.85,gaze started: p_3_3
10.4,0.13,1.79,3.4,2.88,-       
10.45,0.15,1.79,3.4,2.89,gaze started: p_3_2
10.5,0.15,1.79,3.4,2.89,gaze started: p_3_2
10.55,0.16,1.78,3.4,2.85,gaze started: p_3_3
10.6,0.15,1.78,3.4,2.85,-       
10.65,-0.29,1.69,3.4,2.83,-       
10.7,-1.1,1.7,3.4,2.92,gaze started: p_3_2
10.75,-0.94,1.75,3.4,3.09,gaze started: p_3_1
10.8,-0.9,1.67,3.4,3.04,-       
10.85,-0.96,1.69,3.4,3.14,-       
10.9,-0.97,1.7,3.4,3.16,-       
10.95,-0.98,1.7,3.4,3.18,-       
11.0,-1.19,1.58,3.4,3.35,gaze fixated: p_3_1
11.05,-1.19,1.56,3.4,3.28,-       
11.1,-1.17,1.55,3.4,3.31,-       
11.15,-1.2,1.55,3.4,3.33,-       
11.2,-1.22,1.59,3.4,3.4,-       
11.25,-1.2,1.57,3.4,3.45,-       
11.3,-1.21,1.57,3.4,3.45,-       
11.35,-1.22,1.55,3.4,3.47,-       
11.4,-1.22,1.54,3.4,3.53,-       
11.45,-1.22,1.55,3.4,3.54,-       
11.5,-1.22,1.56,3.4,3.59,-       
11.55,-1.22,1.58,3.4,3.6,-       
11.6,-1.14,1.75,3.4,3.6,-       
11.65,-0.86,2.21,3.4,3.59,-       
11.7,-0.74,2.24,3.4,3.57,gaze started: p_2_1
11.75,-0.8,2.28,3.46,3.61,-       
11.8,-0.77,2.29,3.4,3.66,-       
11.85,-0.78,2.3,3.4,3.67,gaze started: p_1_1
11.9,0.41,2.0,3.4,3.65,gaze started: p_2_2
