time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.36,2.51,3.4,4.07,-       
0.05,-0.4,2.48,3.4,4.03,-       
0.1,-0.37,2.49,3.4,4.02,-       
0.15,-0.51,2.37,3.4,3.95,-       
0.2,-0.58,2.38,3.4,3.86,-       
0.25,-0.65,2.33,3.4,3.75,-       
0.3,-0.64,2.32,3.4,3.59,-       
0.35,-0.66,2.32,3.4,3.45,-       
0.4,-0.66,2.32,3.4,3.45,-       
0.45,-0.66,2.31,3.4,3.3,-       
0.5,-0.66,2.31,3.4,3.3,-       
0.55,-0.66,2.31,3.4,3.3,-       
0.6,-0.66,2.31,3.4,3.3,-       
0.65,-0.66,2.31,3.4,3.3,-       
0.7,-0.66,2.31,3.4,3.3,-       
0.75,-0.66,2.31,3.4,3.3,-       
0.8,-0.66,2.31,3.4,3.3,-       
0.85,-0.66,2.31,3.4,3.3,-       
0.9,-0.66,2.31,3.4,3.3,-       
0.95,0.88,0.86,-0.56,,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_alzheimers_30s_100.mp4
1.0,0.89,0.86,-0.54,,gaze ended: p_1_2
1.05,0.88,0.86,-0.54,,-       
1.1,0.88,0.86,-0.54,,-       
1.15,0.89,0.86,-0.54,,-       
1.2,0.89,0.86,-0.54,,-       
1.25,0.89,0.86,-0.54,,-       
1.3,-0.62,2.31,3.4,3.48,-       
1.35,-0.47,2.21,3.4,3.43,gaze started: p_1_2
1.4,-0.53,2.29,3.4,3.46,gaze started: p_2_2
1.45,-0.56,2.27,3.46,3.56,gaze started: p_1_2
1.5,-0.59,2.26,3.4,3.62,-       
1.55,-0.62,2.24,3.4,3.68,gaze started: p_2_2
1.6,-0.59,2.23,3.4,3.71,-       
1.65,-0.62,2.25,3.4,3.75,-       
1.7,-0.5,2.1,3.4,3.86,-       
1.75,-0.43,1.95,3.4,3.88,-       
1.8,-0.45,1.95,3.4,3.88,-       
1.85,-0.43,1.95,3.4,3.89,gaze fixated: p_2_2
1.9,-0.42,1.95,3.4,3.9,-       
1.95,-0.46,1.95,3.4,3.93,-       
2.0,-0.48,1.96,3.4,3.98,-       
2.05,-0.47,1.97,3.4,4.01,-       
2.1,-0.44,1.99,3.4,4.05,-       
2.15,-0.43,2.0,3.4,4.07,-       
2.2,-0.42,2.01,3.4,4.14,-       
2.25,-0.43,1.96,3.4,4.19,-       
2.3,-0.34,1.97,3.4,4.23,-       
2.35,0.31,1.86,3.4,4.11,-       
2.4,0.37,1.88,3.4,3.96,gaze started: p_2_3
2.45,0.26,1.93,3.4,3.84,-       
2.5,0.29,1.92,3.4,3.69,-       
2.55,0.29,1.89,3.4,3.43,-       
2.6,0.3,1.87,3.4,3.25,-       
2.65,0.28,1.84,3.4,3.04,-       
2.7,0.29,1.84,3.4,2.95,gaze fixated: p_2_3
2.75,-0.02,1.87,3.4,2.77,-       
2.8,-0.13,1.92,3.4,2.8,gaze started: p_2_2
2.85,-0.06,1.85,3.4,2.74,-       
2.9,-0.04,1.83,3.4,2.74,-       
2.95,-0.07,1.83,3.4,2.71,-       
3.0,-0.09,1.84,3.4,2.7,-       
3.05,-0.08,1.83,3.4,2.69,-       
3.1,-0.05,1.81,3.4,2.68,gaze fixated: p_2_2
3.15,-0.09,1.86,3.4,2.68,-       
3.2,-0.1,1.87,3.4,2.7,-       
3.25,-0.07,1.85,3.4,2.74,-       
3.3,-0.03,1.83,3.4,2.75,-       
3.35,-0.06,1.85,3.4,2.76,-       
3.4,-0.08,1.85,3.4,2.78,-       
3.45,-0.12,1.86,3.4,2.82,-       
3.5,-0.11,1.85,3.4,2.88,-       
3.55,-0.11,1.85,3.4,2.95,-       
3.6,-0.11,1.85,3.4,3.04,-       
3.65,-0.1,1.86,3.4,3.12,-       
3.7,-0.1,1.86,3.4,3.18,-       
3.75,-0.09,1.85,3.4,3.28,-       
3.8,-0.09,1.85,3.4,3.3,-       
3.85,-0.1,1.85,3.4,3.32,-       
3.9,-0.1,1.88,3.4,3.34,-       
3.95,-0.06,1.86,3.4,3.37,-       
4.0,-0.06,1.88,3.4,3.41,-       
4.05,-0.1,1.92,3.4,3.47,-       
4.1,-0.13,1.9,3.4,3.49,-       
4.15,-0.13,1.9,3.4,3.53,-       
4.2,-0.15,1.9,3.4,3.54,-       
4.25,-0.15,1.9,3.4,3.58,-       
4.3,-0.15,1.9,3.4,3.6,-       
4.35,-0.15,1.91,3.4,3.64,-       
4.4,-0.02,1.88,3.4,3.69,-       
4.45,-0.02,1.88,3.4,3.69,-       
4.5,-0.08,1.86,3.4,3.67,-       
4.55,-0.06,1.84,3.4,3.68,-       
4.6,-0.07,1.85,3.4,3.68,-       
4.65,-0.07,1.85,3.4,3.68,-       
4.7,-0.06,1.85,3.4,3.7,-       
4.75,-0.06,1.85,3.4,3.7,-       
4.8,-0.06,1.85,3.4,3.72,-       
4.85,-0.06,1.85,3.4,3.72,-       
4.9,-0.07,1.84,3.4,3.73,-       
4.95,-0.07,1.84,3.4,3.73,-       
5.0,-0.08,1.85,3.4,3.74,-       
5.05,-0.08,1.86,3.4,3.76,-       
5.1,-0.07,1.85,3.4,3.76,-       
5.15,-0.06,1.85,3.4,3.76,-       
5.2,-0.06,1.84,3.4,3.77,-       
5.25,-0.07,1.86,3.4,3.77,-       
5.3,-0.07,1.86,3.4,3.78,-       
5.35,-0.06,1.84,3.4,3.78,-       
5.4,-0.08,1.84,3.4,3.77,-       
5.45,-0.08,1.84,3.4,3.77,-       
5.5,-0.08,1.85,3.4,3.71,-       
5.55,-0.09,1.84,3.4,3.63,-       
5.6,-0.1,1.84,3.4,3.48,-       
5.65,-0.11,1.84,3.4,3.36,-       
5.7,-0.12,1.84,3.4,3.28,-       
5.75,-0.12,1.84,3.4,3.22,-       
5.8,-0.12,1.83,3.4,3.2,-       
5.85,-0.15,1.83,3.4,3.18,-       
5.9,-0.12,1.81,3.4,3.19,-       
5.95,-0.08,1.8,3.46,3.15,-       
6.0,-0.0,1.78,3.4,3.11,gaze started: p_3_2
6.05,-0.0,1.78,3.4,3.11,gaze started: p_3_2
6.1,0.01,1.78,3.4,3.12,-       
6.15,0.01,1.77,3.4,3.11,-       
6.2,0.01,1.76,3.4,3.05,-       
6.25,0.01,1.76,3.4,3.02,-       
6.3,0.01,1.76,3.4,2.99,gaze fixated: p_3_2
6.35,0.03,1.73,3.4,2.97,-       
6.4,0.0,1.75,3.4,2.96,-       
6.45,0.1,1.77,3.4,2.93,-       
6.5,0.05,1.78,3.4,2.89,-       
6.55,0.05,1.78,3.4,2.89,-       
6.6,0.12,1.77,3.4,2.88,-       
6.65,0.11,1.77,3.4,2.9,-       
6.7,0.11,1.77,3.4,2.95,-       
6.75,0.13,1.75,3.4,3.05,-       
6.8,0.15,1.75,3.4,3.09,-       
6.85,0.13,1.77,3.4,3.08,gaze started: p_3_3
6.9,0.1,1.79,3.4,3.12,gaze started: p_3_2
6.95,0.09,1.8,3.46,3.15,-       
7.0,0.06,1.88,3.4,3.28,-       
7.05,0.88,0.86,-0.55,,gaze started: p_2_2
7.1,0.88,0.86,-0.55,,-       
7.15,0.88,0.86,-0.55,,-       
7.2,0.88,0.86,-0.55,,-       
7.25,0.88,0.86,-0.55,,-       
