time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-1.17,2.57,3.4,3.58,-       
0.05,-1.17,2.57,3.4,3.58,-       
0.1,-1.41,2.62,3.4,3.76,-       
0.15,1.06,0.91,-1.04,,-       
0.2,1.06,0.91,-1.04,,-       
0.25,1.06,0.91,-1.04,,-       
0.3,1.06,0.92,-1.04,,-       
0.35,1.06,0.92,-1.04,,-       
0.4,1.06,0.92,-1.04,,-       
0.45,0.97,2.32,3.4,3.97,-       
0.5,0.96,2.3,3.4,4.01,gaze started: p_1_3
0.55,0.96,2.3,3.4,4.01,gaze started: p_1_3
0.6,0.96,2.3,3.4,4.05,-       
0.65,0.94,2.27,3.46,4.08,-       
0.7,0.94,2.27,3.46,4.08,-       
0.75,1.06,0.92,-1.04,,-       
0.8,1.06,0.92,-1.04,,-       
0.85,1.06,0.92,-1.04,,-       
0.9,1.06,0.92,-1.04,,-       
0.95,1.06,0.92,-1.04,,-       
1.0,0.71,1.77,3.4,2.9,-       
1.05,0.71,1.77,3.4,2.9,-       
1.1,0.7,1.75,3.4,2.91,gaze started: p_3_3
1.15,1.07,0.92,-1.04,,-       
1.2,1.07,0.92,-1.04,,-       
1.25,1.07,0.92,-1.04,,-       
1.3,1.06,0.92,-1.04,,-       
1.35,0.03,2.04,3.4,2.81,-       
1.4,0.03,2.04,3.4,2.81,-       
1.45,0.03,2.04,3.4,2.8,gaze started: p_2_2
1.5,-0.11,2.03,3.4,2.82,-       
1.55,-0.11,2.03,3.4,2.82,-       
1.6,-0.11,2.02,3.4,2.92,-       
1.65,1.06,0.92,-1.04,,-       
1.7,1.06,0.92,-1.04,,-       
1.75,1.06,0.92,-1.04,,-       
1.8,1.06,0.92,-1.04,,-       
1.85,1.06,0.92,-1.04,,-       
1.9,1.06,0.92,-1.04,,-       
1.95,1.06,0.92,-1.04,,-       
2.0,1.06,0.92,-1.04,,-       
2.05,1.06,0.92,-1.04,,-       
2.1,0.45,1.77,3.4,3.47,-       
2.15,0.45,1.77,3.4,3.47,-       
2.2,0.39,1.79,3.4,3.55,gaze started: p_3_3
2.25,0.37,1.81,3.4,3.58,-       
2.3,0.37,1.81,3.4,3.58,-       
2.35,0.37,1.82,3.4,3.65,gaze started: p_2_3
2.4,0.63,2.22,3.4,3.69,-       
2.45,0.63,2.22,3.4,3.69,-       
2.5,0.67,2.41,3.4,3.62,-       
2.55,0.64,2.43,3.4,3.48,gaze started: p_1_3
2.6,0.62,2.44,3.4,3.46,-       
2.65,0.62,2.44,3.4,3.46,-       
2.7,1.06,0.92,-1.04,,-       
2.75,1.07,0.92,-1.04,,-       
2.8,1.07,0.92,-1.04,,-       
2.85,1.06,0.92,-1.04,,-       
2.9,1.06,0.92,-1.04,,-       
2.95,1.06,0.92,-1.04,,-       
3.0,1.06,0.92,-1.04,,-       
3.05,1.06,0.92,-1.04,,-       
3.1,1.06,0.92,-1.04,,-       
3.15,0.47,2.21,3.4,3.62,-       
3.2,0.47,2.21,3.4,3.62,-       
3.25,0.43,2.23,3.4,3.71,gaze started: p_2_3
3.3,0.46,2.19,3.4,3.77,-       
3.35,0.45,2.2,3.4,3.83,-       
3.4,0.45,2.2,3.4,3.83,-       
3.45,0.3,2.31,3.4,3.87,-       
3.5,0.33,2.28,3.46,3.84,gaze started: p_1_3
3.55,0.33,2.28,3.46,3.84,gaze started: p_1_3
3.6,0.31,2.28,3.4,3.76,-       
3.65,0.32,2.28,3.4,3.69,gaze started: p_1_3
3.7,0.33,2.28,3.46,3.64,-       
3.75,0.33,2.28,3.46,3.64,-       
3.8,0.18,2.07,3.4,3.64,-       
3.85,0.18,2.07,3.4,3.64,-       
3.9,1.06,0.92,-1.04,,gaze started: p_2_3
3.95,1.06,0.92,-1.04,,-       
4.0,1.06,0.92,-1.04,,-       
4.05,1.06,0.92,-1.04,,-       
4.1,1.06,0.92,-1.04,,-       
4.15,1.06,0.92,-1.04,,-       
4.2,1.06,0.92,-1.04,,-       
4.25,1.06,0.92,-1.04,,-       
4.3,0.37,1.84,3.4,3.33,-       
4.35,0.37,1.84,3.4,3.33,-       
4.4,0.28,1.96,3.4,3.71,gaze started: p_2_3
4.45,1.06,0.92,-1.04,,-       
4.5,1.06,0.92,-1.04,,-       
4.55,1.06,0.92,-1.04,,-       
4.6,1.07,0.92,-1.04,,-       
4.65,1.07,0.92,-1.04,,-       
4.7,1.07,0.92,-1.04,,-       
4.75,1.06,0.92,-1.04,,-       
4.8,1.06,0.92,-1.04,,-       
4.85,1.06,0.92,-1.04,,-       
4.9,1.06,0.92,-1.04,,-       
4.95,1.06,0.92,-1.04,,-       
5.0,1.06,0.92,-1.04,,-       
5.05,1.06,0.92,-1.04,,-       
5.1,1.06,0.92,-1.04,,-       
5.15,1.06,0.92,-1.04,,-       
5.2,1.06,0.92,-1.04,,-       
5.25,1.06,0.92,-1.04,,-       
5.3,0.36,1.91,3.4,3.38,-       
5.35,0.29,1.92,3.4,3.44,gaze started: p_2_3
5.4,0.29,1.92,3.4,3.44,gaze started: p_2_3
5.45,0.29,1.91,3.4,3.43,-       
5.5,0.29,1.94,3.4,3.43,-       
5.55,0.33,1.83,3.4,3.38,-       
5.6,0.33,1.83,3.4,3.38,-       
5.65,0.16,1.94,3.4,3.3,gaze fixated: p_2_3
5.7,0.21,1.92,3.4,3.31,-       
5.75,0.21,1.92,3.4,3.31,-       
