time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.15,1.93,3.4,2.89,-       
0.05,0.14,1.93,3.4,2.87,gaze fixated: p_2_3
0.1,0.14,1.93,3.4,2.87,gaze fixated: p_2_3
0.15,0.16,1.87,3.4,2.91,-       
0.2,0.22,1.75,3.4,2.8,-       
0.25,0.22,1.75,3.4,2.8,-       
0.3,0.1,1.84,3.4,2.81,gaze started: p_3_3
0.35,0.1,1.84,3.4,2.8,gaze started: p_2_2
0.4,0.1,1.83,3.4,2.8,-       
0.45,0.1,1.83,3.4,2.81,-       
0.5,0.1,1.83,3.4,2.81,-       
0.55,0.11,1.83,3.4,2.88,-       
0.6,0.1,1.82,3.4,2.9,gaze fixated: p_2_2
0.65,0.11,1.82,3.4,2.91,-       
0.7,0.11,1.82,3.4,2.91,-       
0.75,0.11,1.83,3.4,2.93,-       
0.8,0.11,1.84,3.4,2.98,-       
0.85,0.11,1.83,3.4,3.0,-       
0.9,0.11,1.83,3.4,3.0,-       
0.95,0.05,1.73,3.4,3.0,-       
1.0,0.05,1.73,3.4,2.99,gaze started: p_3_2
1.05,0.03,1.75,3.4,3.01,-       
1.1,0.03,1.75,3.4,3.01,-       
1.15,0.03,1.72,3.4,3.03,-       
1.2,0.01,1.71,3.4,3.0,-       
1.25,0.19,1.68,3.4,2.68,gaze fixated: p_3_2
1.3,0.19,1.68,3.4,2.68,gaze fixated: p_3_2
1.35,0.53,1.61,3.4,2.53,gaze started: p_3_3
1.4,0.5,1.61,3.4,2.48,-       
1.45,0.49,1.59,3.4,2.35,-       
1.5,0.49,1.59,3.4,2.35,-       
1.55,0.49,1.58,3.4,2.26,-       
1.6,0.5,1.58,3.4,2.2,gaze fixated: p_3_3
1.65,0.39,1.56,3.4,2.12,-       
1.7,0.39,1.56,3.4,2.12,-       
1.75,-0.06,1.76,3.4,2.16,-       
1.8,-0.06,1.74,3.4,2.11,gaze started: p_3_2
1.85,-0.04,1.76,3.4,2.1,-       
1.9,-0.04,1.76,3.4,2.1,-       
1.95,-0.04,1.76,3.4,2.1,-       
2.0,-0.05,1.74,3.4,2.08,-       
2.05,-0.06,1.74,3.4,2.06,gaze fixated: p_3_2
2.1,-0.06,1.74,3.4,2.06,gaze fixated: p_3_2
2.15,-0.06,1.76,3.4,2.09,-       
2.2,-0.04,1.78,3.4,2.1,-       
2.25,0.04,1.95,3.4,2.21,-       
2.3,0.04,1.95,3.4,2.21,-       
2.35,0.4,1.96,3.4,2.19,gaze started: p_2_2
2.4,0.34,1.98,3.4,2.15,gaze started: p_2_3
2.45,0.22,2.0,3.4,2.17,-       
2.5,0.22,2.0,3.4,2.17,-       
2.55,0.21,2.01,3.4,2.21,-       
2.6,0.28,2.03,3.4,2.21,-       
2.65,0.22,2.02,3.4,2.26,gaze fixated: p_2_3
2.7,0.22,2.02,3.4,2.26,gaze fixated: p_2_3
2.75,0.25,2.01,3.4,2.23,-       
2.8,0.24,2.01,3.4,2.24,-       
2.85,0.37,1.64,3.4,2.35,-       
2.9,0.37,1.64,3.4,2.35,-       
2.95,0.25,1.56,3.4,2.43,gaze started: p_3_3
3.0,0.21,1.57,3.4,2.45,-       
3.05,0.21,1.59,3.4,2.44,-       
3.1,0.11,1.5,3.4,2.42,-       
3.15,0.11,1.5,3.4,2.42,-       
3.2,0.11,1.49,3.4,2.43,gaze started: p_3_2
3.25,0.11,1.48,3.4,2.4,-       
3.3,0.11,1.48,3.4,2.39,-       
3.35,0.59,0.84,-0.4,,-       
3.4,0.59,0.84,-0.4,,-       
3.45,0.6,0.84,-0.4,,-       
3.5,0.6,0.84,-0.4,,-       
3.55,0.6,0.84,-0.4,,-       
3.6,0.6,0.84,-0.4,,-       
3.65,0.6,0.84,-0.4,,-       
3.7,0.6,0.84,-0.4,,-       
3.75,0.6,0.84,-0.4,,-       
3.8,0.25,1.78,3.4,2.34,-       
3.85,0.3,1.81,3.46,2.29,gaze started: p_3_3
3.9,0.32,1.8,3.46,2.3,-       
3.95,0.32,1.8,3.46,2.3,-       
4.0,0.23,1.79,3.4,2.41,-       
4.05,-0.62,1.07,3.4,2.46,gaze started: p_3_3
4.1,-0.62,1.07,3.4,2.46,gaze started: p_3_3
4.15,-0.75,0.67,3.57,2.45,gaze started: p_4_2
4.2,-0.73,0.68,3.57,2.43,-       
4.25,-0.73,0.69,3.57,2.41,-       
4.3,-0.66,0.71,3.57,2.34,-       
4.35,-0.66,0.71,3.57,2.34,-       
4.4,0.36,1.77,3.4,2.33,-       
4.45,0.28,1.66,3.4,2.28,gaze started: p_3_3
4.5,0.32,1.65,3.4,2.25,-       
4.55,0.32,1.65,3.4,2.25,-       
4.6,0.33,1.65,3.4,2.24,-       
4.65,0.34,1.65,3.4,2.21,-       
4.7,0.19,1.74,3.4,2.17,gaze fixated: p_3_3
4.75,0.19,1.74,3.4,2.17,gaze fixated: p_3_3
4.8,0.2,1.72,3.4,2.14,-       
4.85,0.2,1.71,3.4,2.15,-       
4.9,0.21,1.72,3.4,2.19,-       
4.95,0.21,1.73,3.4,2.2,-       
5.0,0.21,1.73,3.4,2.2,-       
5.05,0.21,1.72,3.4,2.2,-       
5.1,0.21,1.72,3.4,2.22,-       
5.15,0.19,1.72,3.4,2.25,-       
5.2,0.19,1.72,3.4,2.25,-       
5.25,0.2,1.71,3.4,2.28,-       
5.3,0.19,1.71,3.4,2.3,-       
5.35,0.18,1.72,3.4,2.32,-       
5.4,0.19,1.71,3.4,2.34,-       
5.45,0.19,1.71,3.4,2.34,-       
5.5,0.13,1.74,3.4,2.33,-       
5.55,0.14,1.75,3.46,2.33,gaze started: p_3_2
5.6,0.15,1.73,3.4,2.35,-       
5.65,0.15,1.73,3.4,2.35,-       
5.7,0.15,1.73,3.4,2.33,gaze started: p_3_3
