time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.25,1.56,3.4,4.9,-       
0.05,0.21,1.54,3.4,4.89,gaze fixated: p_3_3
0.1,0.21,1.54,3.4,4.88,-       
0.15,0.21,1.54,3.4,4.88,-       
0.2,0.21,1.54,3.4,4.88,-       
0.25,0.21,1.54,3.4,4.88,-       
0.3,0.21,1.54,3.4,4.88,-       
0.35,0.21,1.54,3.4,4.88,-       
0.4,0.21,1.54,3.4,4.88,-       
0.45,0.21,1.54,3.4,4.88,-       
0.5,0.21,1.54,3.4,4.88,-       
0.55,0.21,1.54,3.4,4.88,-       
0.6,0.21,1.54,3.4,4.88,-       
0.65,0.66,0.63,-0.25,,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_alzheimers_30s_50wd.mp4
0.7,0.66,0.63,-0.25,,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_alzheimers_30s_50wd.mp4
0.75,0.66,0.63,-0.25,,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_alzheimers_30s_50wd.mp4
0.8,0.66,0.63,-0.25,,gaze ended: p_3_3
0.85,0.04,2.01,3.4,4.35,-       
0.9,0.21,1.94,3.4,4.58,gaze started: p_2_2
0.95,0.24,2.02,3.4,4.64,gaze started: p_2_3
1.0,0.27,2.02,3.4,4.62,-       
1.05,0.2,1.96,3.4,4.62,-       
1.1,0.23,1.99,3.4,4.63,-       
1.15,0.18,1.94,3.4,4.65,-       
1.2,0.19,1.95,3.4,4.69,gaze fixated: p_2_3
1.25,0.23,1.96,3.4,4.8,-       
1.3,0.66,0.63,-0.25,,-       
1.35,0.66,0.63,-0.25,,gaze ended: p_2_3
1.4,0.67,0.63,-0.25,,-       
1.45,0.66,0.63,-0.25,,-       
1.5,0.66,0.63,-0.25,,-       
1.55,0.66,0.63,-0.25,,-       
1.6,0.66,0.63,-0.25,,-       
1.65,0.67,0.63,-0.25,,-       
1.7,0.67,0.63,-0.25,,-       
1.75,0.67,0.63,-0.25,,-       
1.8,0.28,1.83,3.4,4.71,-       
1.85,0.4,1.85,3.4,4.72,gaze started: p_2_3
1.9,0.38,1.82,3.4,4.72,-       
1.95,0.38,1.83,3.4,4.7,-       
2.0,0.35,1.82,3.4,4.71,-       
2.05,0.34,1.82,3.46,4.71,-       
2.1,0.33,1.81,3.46,4.7,-       
2.15,0.33,1.79,3.4,4.61,-       
2.2,0.39,1.78,3.4,4.08,gaze started: p_3_3
2.25,0.54,1.7,3.4,3.9,-       
2.3,0.57,1.68,3.4,3.79,-       
2.35,0.59,1.68,3.4,3.76,-       
2.4,0.59,1.67,3.4,3.44,-       
2.45,0.67,0.63,-0.25,,gaze fixated: p_3_3
2.5,0.67,0.63,-0.25,,gaze ended: p_3_3
2.55,0.67,0.63,-0.25,,-       
2.6,0.67,0.63,-0.25,,-       
2.65,0.66,0.63,-0.25,,-       
2.7,0.66,0.63,-0.25,,-       
2.75,0.23,1.63,3.4,3.0,-       
2.8,0.22,1.62,3.4,2.91,gaze started: p_3_3
2.85,0.21,1.63,3.4,2.95,-       
2.9,0.18,1.64,3.4,2.91,-       
2.95,0.23,1.64,3.4,2.92,-       
3.0,0.21,1.62,3.4,2.94,-       
3.05,0.67,0.63,-0.25,,gaze fixated: p_3_3
3.1,0.67,0.63,-0.25,,gaze ended: p_3_3
3.15,0.67,0.63,-0.25,,-       
3.2,0.67,0.63,-0.25,,-       
3.25,0.67,0.63,-0.25,,-       
3.3,-0.16,1.52,3.4,3.03,-       
3.35,0.66,0.63,-0.25,,gaze started: p_3_2
3.4,0.66,0.63,-0.25,,-       
3.45,0.66,0.63,-0.25,,-       
3.5,0.66,0.63,-0.25,,-       
3.55,0.66,0.63,-0.25,,-       
3.6,0.21,2.29,3.4,3.4,-       
3.65,0.21,2.29,3.4,3.4,-       
3.7,0.26,2.31,3.4,3.43,gaze started: p_1_3
3.75,0.22,2.29,3.46,3.52,-       
3.8,0.21,2.27,3.4,3.55,-       
3.85,0.17,2.29,3.4,3.55,gaze started: p_1_3
3.9,0.15,2.29,3.4,3.57,-       
3.95,0.15,2.28,3.4,3.61,-       
4.0,0.15,2.28,3.4,3.65,-       
4.05,0.27,1.9,3.4,3.64,-       
4.1,0.38,1.67,3.4,3.69,gaze started: p_2_3
4.15,0.39,1.69,3.4,3.64,gaze started: p_3_3
4.2,0.31,1.71,3.4,3.63,-       
4.25,0.32,1.7,3.4,3.62,-       
4.3,0.3,1.68,3.4,3.61,-       
4.35,-0.08,1.38,3.4,3.43,-       
4.4,-0.46,1.12,3.4,3.43,gaze started: p_3_2
4.45,-0.52,1.12,3.4,3.44,gaze started: p_4_2
4.5,-0.52,1.11,3.4,3.39,-       
4.55,-0.99,0.93,3.4,3.35,-       
4.6,-1.75,0.88,3.57,3.48,gaze started: p_4_1
4.65,0.67,0.63,-0.25,,-       
4.7,0.67,0.63,-0.25,,-       
4.75,0.66,0.63,-0.25,,-       
4.8,0.66,0.63,-0.25,,-       
4.85,0.66,0.63,-0.25,,-       
4.9,0.66,0.63,-0.25,,-       
4.95,0.67,0.63,-0.25,,-       
5.0,0.67,0.63,-0.25,,-       
5.05,-1.04,1.16,3.4,3.15,-       
5.1,-1.08,1.13,3.4,3.34,gaze started: p_4_1
5.15,-1.04,1.14,3.4,3.47,-       
5.2,-0.58,1.3,3.4,3.53,-       
5.25,0.28,1.72,3.4,3.55,gaze started: p_4_2
5.3,0.3,1.69,3.4,3.53,gaze started: p_3_3
5.35,0.3,1.66,3.4,3.49,-       
5.4,0.28,1.67,3.4,3.48,-       
5.45,0.21,1.68,3.4,3.43,-       
5.5,0.25,1.69,3.4,3.38,-       
5.55,0.2,1.69,3.4,3.27,gaze fixated: p_3_3
5.6,0.22,1.68,3.4,3.21,-       
5.65,0.18,1.67,3.4,3.15,-       
5.7,0.67,0.63,-0.25,,-       
5.75,0.67,0.63,-0.25,,gaze ended: p_3_3
5.8,0.67,0.63,-0.25,,-       
5.85,0.2,1.81,3.46,2.97,-       
