time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-1.0,2.06,3.4,4.81,-       
0.05,-0.98,2.03,3.4,4.86,-       
0.1,-0.62,1.97,3.4,4.88,-       
0.15,-0.45,1.89,3.4,4.95,-       
0.2,-0.45,1.9,3.4,4.89,-       
0.25,-0.46,1.91,3.4,4.95,-       
0.3,-0.38,1.87,3.4,4.81,-       
0.35,-0.37,1.85,3.4,4.83,-       
0.4,-0.47,1.89,3.4,4.87,-       
0.45,-0.51,1.93,3.4,4.92,-       
0.5,-0.49,1.92,3.4,4.81,-       
0.55,-0.51,1.89,3.4,4.88,-       
0.6,-0.51,1.89,3.4,4.88,-       
0.65,-0.51,1.89,3.4,4.88,-       
0.7,-0.51,1.89,3.4,4.88,-       
0.75,-0.51,1.89,3.4,4.88,-       
0.8,-0.51,1.89,3.4,4.88,-       
0.85,-0.51,1.89,3.4,4.88,-       
0.9,-0.51,1.89,3.4,4.88,-       
0.95,-0.51,1.89,3.4,4.88,-       
1.0,-0.51,1.89,3.4,4.88,-       
1.05,-0.99,1.91,3.4,4.86,-       
1.1,-1.05,1.93,3.4,4.82,-       
1.15,-1.03,1.94,3.4,4.84,-       
1.2,-0.98,1.93,3.4,4.89,-       
1.25,-0.98,1.9,3.4,4.9,-       
1.3,-0.99,1.9,3.4,4.92,-       
1.35,-1.0,1.9,3.4,4.93,-       
1.4,-1.08,1.89,3.4,4.98,-       
1.45,-1.07,1.91,3.4,4.95,-       
1.5,-1.12,1.98,3.4,4.96,-       
1.55,-1.03,1.91,3.4,4.99,-       
1.6,-0.19,1.04,3.4,4.93,gaze started: p_4_2
1.65,-0.03,0.76,3.57,4.9,-       
1.7,-0.12,0.8,3.57,4.89,-       
1.75,-0.12,0.53,3.54,5.0,-       
1.8,-0.19,0.53,2.93,5.02,-       
1.85,-0.19,0.53,3.09,4.99,-       
1.9,-0.27,0.53,3.01,5.25,-       
1.95,-0.28,0.53,3.11,5.39,-       
2.0,-0.24,0.53,3.03,5.21,-       
2.05,-0.29,0.53,3.05,5.24,-       
2.1,-0.26,0.53,3.3,5.25,-       
2.15,-0.43,0.53,3.18,5.37,-       
2.2,-0.34,0.53,3.27,5.31,-       
2.25,-0.34,0.53,3.27,5.31,-       
2.3,-0.33,0.53,3.39,5.35,-       
2.35,-0.33,0.53,3.32,5.22,-       
2.4,-0.32,0.54,3.57,5.33,-       
2.45,0.09,1.39,3.4,5.17,-       
2.5,0.07,1.38,3.4,5.07,gaze started: p_3_2
2.55,0.08,1.35,3.4,4.68,-       
2.6,0.7,1.53,3.4,4.48,-       
2.65,0.69,1.57,3.4,4.19,gaze started: p_3_3
2.7,0.65,1.53,3.4,3.94,-       
2.75,0.65,1.53,3.4,3.94,-       
2.8,0.57,1.5,3.4,3.63,-       
2.85,0.65,1.52,3.4,3.38,-       
2.9,0.67,1.52,3.4,3.22,-       
2.95,0.66,1.53,3.4,3.15,gaze fixated: p_3_3
3.0,0.66,1.52,3.4,3.06,-       
3.05,0.66,1.52,3.4,3.06,-       
3.1,0.66,1.51,3.4,3.02,-       
3.15,0.66,1.5,3.4,2.96,-       
3.2,0.66,1.5,3.4,2.97,-       
3.25,0.65,1.51,3.4,2.94,-       
3.3,0.63,1.51,3.4,2.93,-       
3.35,0.23,1.66,3.4,2.98,-       
3.4,0.24,1.68,3.4,2.9,-       
3.45,0.28,1.69,3.4,2.92,-       
3.5,0.28,1.69,3.4,2.92,-       
3.55,0.17,1.93,3.4,3.01,-       
3.6,0.24,2.18,3.4,3.03,gaze started: p_2_3
3.65,0.03,2.14,3.4,3.08,-       
3.7,0.02,2.14,3.4,3.05,gaze started: p_2_2
3.75,0.1,2.15,3.4,3.08,-       
3.8,0.35,2.22,3.4,3.04,-       
3.85,0.35,2.22,3.4,3.04,-       
3.9,0.38,2.2,3.4,3.06,gaze started: p_2_3
3.95,0.42,2.2,3.4,3.11,-       
4.0,0.41,2.2,3.4,3.15,-       
4.05,0.38,2.2,3.4,3.21,-       
4.1,0.35,2.18,3.4,3.27,-       
4.15,0.42,2.17,3.4,3.36,gaze fixated: p_2_3
4.2,0.42,2.15,3.4,3.41,-       
4.25,0.42,2.15,3.4,3.41,-       
4.3,0.41,2.14,3.4,3.45,-       
4.35,0.41,2.14,3.4,3.51,-       
4.4,0.41,2.13,3.4,3.63,-       
4.45,0.21,1.95,3.4,3.79,-       
4.5,0.19,1.94,3.4,3.75,-       
4.55,0.19,1.94,3.4,3.75,-       
4.6,0.19,1.95,3.4,3.79,-       
4.65,0.2,1.96,3.4,3.79,-       
4.7,0.21,1.96,3.4,3.81,-       
4.75,0.19,1.75,3.4,3.79,-       
4.8,0.22,1.74,3.4,3.82,gaze started: p_3_3
4.85,0.22,1.74,3.4,3.82,gaze started: p_3_3
4.9,0.22,1.74,3.4,3.78,-       
4.95,0.19,1.73,3.4,3.81,-       
5.0,0.19,1.72,3.4,3.8,-       
5.05,0.2,1.72,3.4,3.79,-       
5.1,0.18,1.73,3.4,3.72,gaze fixated: p_3_3
5.15,0.18,1.73,3.4,3.72,gaze fixated: p_3_3
5.2,-0.04,1.94,3.4,3.86,-       
5.25,-0.08,1.97,3.4,3.94,gaze started: p_2_2
5.3,0.06,2.02,3.4,3.91,-       
5.35,-0.07,1.98,3.4,3.86,-       
5.4,-0.07,1.98,3.4,3.87,-       
5.45,-0.08,1.98,3.4,3.83,-       
5.5,0.04,1.85,3.4,3.79,gaze fixated: p_2_2
5.55,0.12,1.85,3.4,3.73,-       
5.6,0.12,1.85,3.4,3.73,-       
5.65,0.22,1.88,3.4,3.69,-       
5.7,0.21,1.87,3.4,3.65,gaze started: p_2_3
5.75,0.21,1.86,3.4,3.6,-       
5.8,0.16,1.82,3.4,3.57,-       
5.85,0.16,1.82,3.4,3.57,-       
5.9,0.2,1.84,3.4,3.58,-       
5.95,0.2,1.84,3.4,3.59,gaze fixated: p_2_3
6.0,0.2,1.85,3.4,3.6,-       
6.05,0.2,1.86,3.4,3.64,-       
6.1,0.19,1.85,3.4,3.68,-       
6.15,0.19,1.87,3.4,3.7,-       
6.2,0.19,1.88,3.4,3.69,-       
6.25,0.18,1.87,3.4,3.68,-       
6.3,0.2,1.88,3.4,3.68,-       
6.35,0.2,1.88,3.4,3.68,-       
6.4,0.2,1.87,3.4,3.68,-       
6.45,0.2,1.87,3.4,3.67,-       
6.5,0.2,1.87,3.4,3.66,-       
6.55,0.21,1.87,3.4,3.65,-       
6.6,0.19,1.87,3.4,3.64,-       
6.65,0.2,1.86,3.4,3.64,-       
6.7,0.19,1.86,3.4,3.63,-       
6.75,0.2,1.87,3.4,3.63,-       
6.8,0.2,1.88,3.4,3.63,-       
6.85,0.2,1.88,3.4,3.63,-       
6.9,0.17,1.86,3.4,3.61,-       
6.95,0.2,1.87,3.4,3.61,-       
7.0,0.18,1.86,3.4,3.6,-       
7.05,0.21,1.86,3.4,3.61,-       
