time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.15,1.99,3.4,4.67,-       
0.05,0.15,1.98,3.4,4.66,-       
0.1,0.14,2.04,3.46,4.69,-       
0.15,0.13,2.03,3.46,4.68,gaze ended: p_2_3
0.2,0.13,2.04,3.46,4.68,-       
0.25,0.13,2.04,3.46,4.68,-       
0.3,0.13,2.04,3.46,4.68,-       
0.35,0.13,2.04,3.46,4.68,-       
0.4,0.13,2.04,3.46,4.68,-       
0.45,0.13,2.04,3.46,4.68,-       
0.5,0.13,2.04,3.46,4.68,-       
0.55,0.13,2.04,3.46,4.68,-       
0.6,0.13,2.04,3.46,4.68,-       
0.65,0.13,2.04,3.46,4.68,-       
0.7,0.13,2.04,3.46,4.68,-       
0.75,-0.75,0.4,2.94,4.46,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_covid_vaccine_30s_100.mp4
0.8,-0.75,0.4,2.94,4.46,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_covid_vaccine_30s_100.mp4
0.85,-0.75,0.4,2.94,4.46,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_covid_vaccine_30s_100.mp4
0.9,-0.39,0.26,2.94,4.28,-       
0.95,-0.39,0.26,2.94,4.28,-       
1.0,-0.4,0.31,2.94,4.31,-       
1.05,-0.39,0.32,2.94,4.3,-       
1.1,-0.4,0.34,2.94,4.24,-       
1.15,-0.38,0.37,2.94,4.2,-       
1.2,-0.37,0.4,2.94,4.14,-       
1.25,-0.33,0.53,2.93,4.01,-       
1.3,0.61,0.81,-0.35,,-       
1.35,0.61,0.81,-0.35,,-       
1.4,0.61,0.81,-0.35,,-       
1.45,0.61,0.81,-0.35,,-       
1.5,1.04,1.99,3.4,4.31,-       
1.55,0.95,1.86,3.4,4.17,gaze started: p_2_4
1.6,0.98,1.88,3.4,4.23,gaze started: p_2_3
1.65,1.01,1.82,3.46,4.25,gaze started: p_2_4
1.7,1.01,1.83,3.4,4.31,-       
1.75,1.01,1.83,3.4,4.33,gaze started: p_2_4
1.8,0.11,1.51,3.4,4.3,-       
1.85,0.06,1.53,3.4,4.3,gaze started: p_3_2
1.9,0.06,1.53,3.4,4.33,-       
1.95,0.08,1.55,3.4,4.36,-       
2.0,0.09,1.57,3.4,4.41,-       
2.05,0.09,1.62,3.4,4.46,-       
2.1,0.1,1.62,3.4,4.53,gaze fixated: p_3_2
2.15,0.54,1.56,3.4,4.35,-       
2.2,0.49,1.55,3.4,4.11,gaze started: p_3_3
2.25,0.49,1.55,3.4,3.96,-       
2.3,0.49,1.55,3.4,3.96,-       
2.35,0.47,1.57,3.4,3.63,-       
2.4,0.46,1.57,3.4,3.45,-       
2.45,0.45,1.55,3.4,3.26,gaze fixated: p_3_3
2.5,0.45,1.54,3.4,3.17,-       
2.55,0.46,1.54,3.4,3.09,-       
2.6,0.45,1.54,3.4,3.06,-       
2.65,0.44,1.53,3.4,3.02,-       
2.7,0.44,1.53,3.4,3.0,-       
2.75,0.44,1.53,3.4,3.0,-       
2.8,0.45,1.52,3.4,2.99,-       
2.85,0.45,1.53,3.4,3.03,-       
2.9,0.44,1.53,3.4,3.03,-       
2.95,0.44,1.53,3.4,3.05,-       
3.0,0.45,1.53,3.4,3.05,-       
3.05,0.47,1.53,3.4,3.06,-       
3.1,0.46,1.54,3.4,3.08,-       
3.15,0.46,1.54,3.4,3.13,-       
3.2,0.47,1.54,3.4,3.16,-       
3.25,0.47,1.56,3.4,3.28,-       
3.3,0.46,1.56,3.4,3.36,-       
3.35,0.44,1.58,3.4,3.49,-       
3.4,0.44,1.58,3.4,3.54,-       
3.45,0.44,1.58,3.4,3.56,-       
3.5,0.45,1.57,3.4,3.59,-       
3.55,0.44,1.56,3.4,3.62,-       
3.6,0.44,1.55,3.4,3.62,-       
3.65,0.44,1.58,3.4,3.63,-       
3.7,0.44,1.55,3.4,3.63,-       
3.75,0.45,1.56,3.4,3.6,-       
3.8,0.45,1.57,3.4,3.58,-       
3.85,0.45,1.58,3.4,3.59,-       
3.9,0.47,1.57,3.4,3.61,-       
3.95,0.47,1.55,3.4,3.64,-       
4.0,0.46,1.55,3.4,3.69,-       
4.05,0.46,1.54,3.4,3.75,-       
4.1,0.01,1.13,3.4,3.82,-       
4.15,-0.42,0.53,3.11,3.88,gaze started: p_4_2
4.2,-0.21,0.51,2.93,3.79,-       
4.25,-0.24,0.53,3.07,3.78,-       
4.3,-0.24,0.53,2.96,3.86,-       
4.35,-0.39,0.5,2.93,3.87,-       
4.4,-0.37,0.53,2.94,3.87,-       
4.45,-0.33,0.53,3.27,3.89,-       
4.5,-0.31,0.55,3.57,3.91,-       
4.55,-0.37,0.6,3.57,3.93,-       
4.6,-0.37,0.6,3.57,3.93,-       
4.65,-0.42,0.57,3.57,3.91,-       
4.7,-0.38,0.58,3.57,3.91,-       
4.75,-0.37,0.58,3.57,3.91,-       
4.8,-0.22,0.59,3.57,3.9,-       
4.85,0.02,0.53,3.53,3.89,-       
4.9,0.0,0.53,3.38,3.9,-       
4.95,0.0,0.53,3.38,3.9,-       
5.0,0.01,0.53,3.35,3.92,-       
5.05,0.02,0.53,3.34,3.93,-       
5.1,0.02,0.53,3.28,3.94,-       
5.15,0.02,0.53,3.23,3.95,-       
5.2,0.03,0.53,3.1,3.94,-       
5.25,0.02,0.53,3.17,3.96,-       
5.3,0.03,0.53,3.26,3.94,-       
5.35,0.01,0.53,3.32,3.9,-       
5.4,0.03,0.53,3.33,3.85,-       
5.45,0.04,0.53,3.26,3.83,-       
5.5,0.0,0.53,3.22,3.83,-       
5.55,-0.0,0.53,3.24,3.83,-       
5.6,0.06,0.53,3.34,3.83,-       
5.65,0.07,0.53,3.33,3.85,-       
5.7,0.06,0.53,3.31,3.87,-       
5.75,0.05,0.53,3.31,3.86,-       
5.8,0.05,0.53,3.26,3.88,-       
5.85,0.05,0.53,3.28,3.89,-       
5.9,0.27,0.75,3.57,4.0,-       
5.95,0.45,0.53,2.94,4.01,-       
6.0,0.43,0.53,3.47,4.02,-       
6.05,0.43,0.53,3.56,4.02,-       
6.1,0.44,0.53,3.57,4.03,-       
6.15,0.42,0.53,3.55,4.04,-       
6.2,0.42,0.54,3.57,4.04,-       
6.25,0.42,0.54,3.57,4.04,-       
6.3,0.42,0.53,3.48,4.02,-       
6.35,0.42,0.54,3.57,4.0,-       
6.4,0.4,0.57,3.57,3.99,-       
6.45,0.44,0.55,3.57,3.97,-       
6.5,0.43,0.55,3.57,3.99,-       
6.55,0.25,0.95,3.4,3.89,-       
6.6,0.29,0.95,3.4,3.97,gaze started: p_4_3
6.65,0.27,0.97,3.4,3.95,-       
6.7,0.29,0.94,3.4,3.98,-       
6.75,0.29,0.94,3.4,4.0,-       
6.8,0.27,1.26,3.4,4.02,-       
6.85,0.24,1.79,3.4,3.98,-       
6.9,0.25,1.71,3.4,3.84,gaze started: p_3_3
6.95,0.24,1.6,3.4,3.83,-       
7.0,0.24,1.59,3.4,3.8,-       
7.05,0.24,1.6,3.4,3.74,-       
7.1,0.25,1.59,3.4,3.73,-       
7.15,0.24,1.59,3.4,3.73,gaze fixated: p_3_3
7.2,0.23,1.59,3.4,3.73,-       
7.25,0.23,1.59,3.4,3.73,-       
7.3,0.24,1.6,3.4,3.77,-       
7.35,0.24,1.59,3.4,3.8,-       
7.4,0.25,1.59,3.4,3.85,-       
7.45,0.26,1.59,3.4,3.87,-       
7.5,0.26,1.59,3.4,3.92,-       
7.55,0.26,1.59,3.4,3.94,-       
7.6,-0.1,1.58,3.4,3.95,-       
7.65,-0.12,1.59,3.4,3.9,gaze started: p_3_2
7.7,-0.13,1.59,3.4,3.93,-       
7.75,-0.13,1.59,3.4,3.95,-       
7.8,-0.14,1.66,3.4,4.0,-       
7.85,-0.13,1.65,3.4,4.0,-       
7.9,-0.13,1.66,3.4,4.0,-       
7.95,-0.13,1.66,3.4,4.0,gaze fixated: p_3_2
8.0,-0.12,1.69,3.4,3.99,-       
8.05,-0.13,1.69,3.4,4.0,-       
8.1,-0.13,1.7,3.4,3.98,-       
8.15,-0.12,1.67,3.4,3.95,-       
8.2,-0.1,1.66,3.4,3.87,-       
8.25,-0.1,1.66,3.4,3.79,-       
8.3,-0.01,1.61,3.4,3.56,-       
8.35,0.62,0.81,-0.35,,-       
8.4,0.61,0.81,-0.35,,gaze ended: p_3_2
8.45,0.61,0.81,-0.35,,-       
8.5,0.61,0.81,-0.35,,-       
8.55,0.23,1.79,3.4,3.51,-       
8.6,0.23,1.75,3.4,3.38,gaze started: p_3_3
8.65,0.2,1.74,3.4,3.35,-       
8.7,0.21,1.72,3.4,3.37,-       
8.75,0.21,1.7,3.4,3.37,-       
8.8,0.2,1.68,3.4,3.37,-       
8.85,0.2,1.68,3.4,3.37,-       
8.9,0.25,1.84,3.4,3.51,gaze fixated: p_3_3
8.95,0.24,1.81,3.4,3.48,gaze started: p_2_3
9.0,0.25,1.81,3.46,3.49,-       
9.05,0.25,1.79,3.4,3.56,gaze started: p_3_3
9.1,0.25,1.79,3.4,3.58,-       
9.15,0.26,1.81,3.46,3.64,-       
9.2,0.26,1.79,3.4,3.68,-       
9.25,0.28,1.83,3.4,3.8,gaze started: p_3_3
9.3,0.28,1.83,3.4,3.8,gaze started: p_3_3
9.35,0.61,0.81,-0.35,,gaze started: p_2_3
9.4,0.61,0.81,-0.35,,-       
9.45,0.61,0.81,-0.35,,-       
9.5,0.61,0.81,-0.35,,-       
9.55,0.19,1.85,3.4,3.48,-       
9.6,0.12,1.76,3.4,3.33,gaze started: p_2_3
9.65,-0.79,1.19,3.4,3.27,gaze started: p_3_2
9.7,-1.07,1.01,3.4,3.36,gaze started: p_4_1
9.75,-1.04,1.0,3.4,3.35,-       
9.8,-1.03,0.98,3.4,3.39,-       
9.85,-1.01,0.92,3.4,3.46,-       
9.9,-1.49,0.78,3.57,3.5,-       
9.95,-1.53,0.73,3.57,3.46,-       
10.0,-1.52,0.75,3.57,3.47,-       
10.05,-1.52,0.75,3.57,3.49,-       
10.1,-1.47,0.74,3.57,3.49,-       
10.15,-0.33,1.36,3.4,3.45,-       
10.2,0.3,1.45,3.4,3.42,gaze started: p_3_2
10.25,0.29,1.46,3.4,3.39,gaze started: p_3_3
10.3,0.24,1.73,3.4,3.33,-       
10.35,0.25,1.76,3.4,3.4,-       
10.4,0.24,1.76,3.4,3.41,-       
10.45,0.24,1.75,3.4,3.42,-       
10.5,0.23,1.75,3.4,3.43,gaze fixated: p_3_3
10.55,0.24,1.74,3.4,3.52,-       
10.6,0.06,0.99,3.4,3.66,-       
10.65,0.11,1.01,3.4,3.73,gaze started: p_4_2
10.7,0.26,0.86,3.46,3.75,-       
10.75,0.19,0.9,3.4,3.76,-       
10.8,0.18,0.91,3.4,3.78,gaze started: p_4_3
10.85,0.22,0.9,3.4,3.83,-       
10.9,0.19,0.94,3.4,3.92,-       
10.95,0.2,0.89,3.4,3.9,-       
11.0,0.16,0.91,3.4,3.91,-       
11.05,0.16,0.92,3.4,3.92,-       
11.1,0.17,0.91,3.4,3.94,gaze fixated: p_4_3
11.15,0.16,0.89,3.4,3.96,-       
11.2,0.15,0.9,3.4,3.98,-       
11.25,0.15,0.92,3.4,4.05,-       
11.3,0.09,1.32,3.4,4.1,-       
11.35,0.21,1.4,3.4,4.14,gaze started: p_4_2
11.4,0.2,1.47,3.4,4.15,gaze started: p_3_3
11.45,0.21,1.47,3.4,4.16,-       
11.5,0.21,1.47,3.4,4.16,-       
11.55,0.21,1.46,3.4,4.18,-       
11.6,0.21,1.46,3.4,4.21,-       
11.65,0.22,1.47,3.4,4.23,-       
11.7,0.22,1.47,3.4,4.25,gaze fixated: p_3_3
11.75,0.23,1.48,3.4,4.27,-       
11.8,0.22,1.39,3.4,4.28,-       
11.85,0.18,1.36,3.4,4.26,-       
11.9,0.21,1.33,3.46,4.28,-       
11.95,0.22,1.34,3.46,4.3,gaze ended: p_3_3
12.0,0.22,1.35,3.4,4.32,-       
12.05,0.22,1.34,3.4,4.34,gaze started: p_3_3
12.1,0.21,1.34,3.4,4.37,-       
12.15,0.21,1.35,3.4,4.37,-       
12.2,0.2,1.37,3.4,4.39,-       
12.25,0.2,1.37,3.4,4.39,-       
12.3,0.2,1.4,3.4,4.41,-       
12.35,0.2,1.41,3.4,4.41,gaze fixated: p_3_3
12.4,0.19,1.41,3.4,4.44,-       
12.45,0.18,1.4,3.4,4.45,-       
12.5,0.18,1.4,3.4,4.48,-       
12.55,0.2,1.45,3.4,4.47,-       
12.6,0.25,1.48,3.4,4.49,-       
12.65,0.26,1.41,3.4,4.48,-       
12.7,0.26,1.41,3.4,4.5,-       
12.75,0.27,1.44,3.4,4.51,-       
12.8,0.34,1.39,3.4,4.52,-       
12.85,0.4,1.47,3.4,4.57,-       
12.9,0.42,1.37,3.4,4.58,-       
12.95,0.17,0.88,3.4,4.52,gaze ended: p_3_3
13.0,0.16,0.84,3.57,4.5,gaze started: p_4_3
13.05,0.28,0.81,3.57,4.52,-       
13.1,0.29,0.8,3.57,4.52,-       
13.15,0.29,0.79,3.57,4.53,-       
13.2,0.19,0.84,3.57,4.51,-       
13.25,0.19,0.74,3.57,4.49,-       
13.3,0.28,0.74,3.57,4.48,-       
13.35,0.28,0.74,3.57,4.48,-       
13.4,0.24,0.76,3.57,4.48,-       
13.45,0.32,0.75,3.57,4.48,-       
13.5,0.25,0.77,3.57,4.48,-       
13.55,0.42,1.15,3.4,4.57,-       
13.6,0.41,1.2,3.4,4.62,gaze started: p_4_3
13.65,0.37,1.43,3.4,4.58,-       
13.7,0.38,1.34,3.46,4.59,gaze started: p_3_3
13.75,0.37,1.31,3.4,4.59,-       
13.8,0.37,1.3,3.4,4.58,gaze started: p_4_3
13.85,0.37,1.32,3.4,4.58,-       
13.9,0.37,1.33,3.46,4.59,-       
13.95,0.22,1.38,3.4,4.57,gaze started: p_3_3
14.0,0.24,1.34,3.46,4.56,-       
14.05,0.24,1.34,3.46,4.56,-       
14.1,0.13,1.99,3.46,4.66,-       
14.15,0.15,2.02,3.4,4.79,-       
14.2,0.17,2.06,3.4,4.73,gaze started: p_2_3
14.25,0.14,2.03,3.4,4.7,-       
14.3,0.14,2.03,3.4,4.7,-       
14.35,0.15,2.04,3.4,4.71,-       
14.4,0.14,2.03,3.4,4.71,-       
14.45,0.12,2.05,3.4,4.75,gaze started: p_2_2
14.5,0.13,2.06,3.4,4.76,-       
14.55,0.12,2.05,3.4,4.76,-       
14.6,0.13,2.05,3.4,4.76,-       
14.65,0.12,2.05,3.4,4.77,-       
14.7,0.11,2.07,3.4,4.81,-       
14.75,0.1,2.06,3.4,4.8,gaze fixated: p_2_2
14.8,0.1,2.09,3.4,4.82,-       
14.85,0.31,1.27,3.4,4.62,-       
14.9,0.34,1.35,3.4,4.54,gaze started: p_4_3
14.95,0.32,1.35,3.4,4.63,gaze started: p_3_3
15.0,0.32,1.33,3.46,4.62,-       
15.05,0.34,1.26,3.4,4.64,-       
15.1,0.34,1.26,3.4,4.65,gaze started: p_4_3
15.15,0.34,1.29,3.4,4.67,-       
15.2,0.35,1.33,3.46,4.68,-       
15.25,0.24,1.3,3.4,4.68,-       
15.3,0.28,1.31,3.4,4.68,gaze started: p_4_3
15.35,0.29,1.31,3.4,4.69,-       
15.4,0.3,1.3,3.4,4.69,-       
15.45,0.29,1.3,3.4,4.7,-       
15.5,0.3,1.3,3.4,4.71,-       
15.55,0.18,1.59,3.4,4.76,-       
15.6,0.23,1.59,3.4,4.77,gaze started: p_3_3
15.65,0.27,1.48,3.4,4.78,-       
15.7,0.27,1.48,3.4,4.78,-       
15.75,0.3,1.5,3.4,4.78,-       
15.8,0.12,2.25,3.4,4.98,-       
15.85,0.19,2.2,3.4,4.96,gaze started: p_2_2
15.9,0.18,2.14,3.4,4.94,gaze started: p_2_3
15.95,0.17,2.25,3.4,4.96,-       
16.0,0.17,2.26,3.4,4.98,-       
16.05,0.18,2.29,3.46,4.97,-       
16.1,0.18,2.29,3.46,4.97,-       
16.15,0.19,2.29,3.46,4.96,-       
16.2,0.19,2.25,3.4,4.94,-       
16.25,0.2,1.42,3.4,4.7,gaze started: p_2_3
16.3,0.26,1.31,3.4,4.69,gaze started: p_3_3
16.35,0.27,1.34,3.46,4.74,gaze started: p_4_3
16.4,0.27,1.34,3.46,4.74,gaze started: p_4_3
16.45,0.29,1.25,3.4,4.78,gaze started: p_3_3
16.5,0.29,1.28,3.4,4.8,gaze started: p_4_3
16.55,0.3,1.28,3.4,4.81,-       
16.6,0.3,1.25,3.4,4.8,-       
16.65,0.26,1.41,3.4,4.77,-       
16.7,0.28,1.4,3.4,4.8,gaze started: p_3_3
16.75,0.27,1.37,3.4,4.81,-       
16.8,0.26,1.32,3.4,4.81,-       
16.85,0.26,1.4,3.4,4.7,gaze started: p_4_3
16.9,0.26,1.4,3.4,4.85,gaze started: p_3_3
16.95,0.16,2.12,3.4,4.96,-       
17.0,0.21,2.08,3.4,5.07,gaze started: p_2_3
17.05,0.21,2.09,3.4,5.08,-       
17.1,0.19,2.09,3.4,5.07,-       
17.15,0.2,2.1,3.4,5.07,-       
17.2,0.21,2.1,3.4,5.06,-       
17.25,0.22,2.13,3.4,5.09,-       
17.3,0.22,1.38,3.4,4.8,gaze fixated: p_2_3
17.35,0.21,1.49,3.4,4.81,gaze started: p_3_3
17.4,0.24,1.41,3.4,4.85,-       
17.45,0.22,1.51,3.4,4.88,-       
17.5,0.22,1.53,3.4,4.89,-       
17.55,0.25,1.4,3.4,4.9,-       
17.6,0.57,1.3,3.4,4.83,gaze fixated: p_3_3
17.65,0.57,1.28,3.4,4.9,gaze started: p_4_3
