time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.49,2.24,3.4,4.19,-       
0.05,-0.48,2.24,3.4,4.16,-       
0.1,-0.49,2.24,3.4,4.14,-       
0.15,-0.49,2.24,3.4,4.12,-       
0.2,-0.48,2.24,3.4,4.11,-       
0.25,-0.47,2.23,3.4,4.1,-       
0.3,-0.47,2.23,3.4,4.1,-       
0.35,-0.47,2.23,3.4,4.1,-       
0.4,-0.47,2.23,3.4,4.1,-       
0.45,-0.47,2.23,3.4,4.1,-       
0.5,-0.47,2.23,3.4,4.1,-       
0.55,-0.47,2.23,3.4,4.1,-       
0.6,-0.47,2.23,3.4,4.1,-       
0.65,-0.47,2.23,3.4,4.1,-       
0.7,-0.47,2.23,3.4,4.1,-       
0.75,-0.47,2.23,3.4,4.1,-       
0.8,-0.31,2.09,3.4,4.02,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_covid_vaccine_30s_50nd.mp4
0.85,-0.31,2.09,3.4,4.02,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_covid_vaccine_30s_50nd.mp4
0.9,-0.31,2.09,3.4,4.02,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_covid_vaccine_30s_50nd.mp4
0.95,-0.72,2.18,3.46,4.02,-       
1.0,-0.72,2.18,3.46,4.02,-       
1.05,-0.71,2.18,3.46,4.02,gaze ended: p_2_2
1.1,-0.62,2.02,3.4,4.03,-       
1.15,-0.26,0.82,3.57,3.87,gaze started: p_2_2
1.2,-0.27,0.54,3.57,3.83,-       
1.25,-0.31,0.53,3.56,3.9,-       
1.3,-0.31,0.53,3.56,3.9,-       
1.35,-0.34,0.54,3.57,3.88,-       
1.4,-0.34,0.54,3.57,3.9,-       
1.45,-0.38,0.56,3.57,3.91,-       
1.5,-0.32,0.55,3.57,3.92,-       
1.55,-0.38,0.55,3.57,3.91,-       
1.6,-0.37,0.55,3.57,3.88,-       
1.65,-0.13,0.72,3.57,3.82,-       
1.7,-0.08,0.86,3.46,3.89,-       
1.75,-0.23,0.91,3.4,3.94,-       
1.8,-0.19,0.97,3.4,3.95,gaze started: p_4_2
1.85,-0.21,0.98,3.4,3.98,-       
1.9,-0.16,0.89,3.4,3.92,-       
1.95,-0.23,0.9,3.4,3.91,-       
2.0,-0.25,0.89,3.4,3.92,-       
2.05,-0.17,0.88,3.4,3.95,gaze fixated: p_4_2
2.1,-0.19,0.87,3.4,3.96,-       
2.15,-0.19,0.88,3.4,3.94,-       
2.2,-0.17,0.88,3.4,3.88,-       
2.25,-0.2,0.88,3.4,3.62,-       
2.3,-0.2,0.84,3.57,3.28,-       
2.35,-0.12,0.83,3.57,3.06,gaze ended: p_4_2
2.4,-0.18,0.83,3.57,2.97,-       
2.45,-0.12,0.84,3.57,2.84,-       
2.5,-0.12,0.85,3.57,2.79,-       
2.55,-0.2,0.86,3.46,2.73,-       
2.6,-0.24,0.85,3.57,2.72,-       
2.65,-0.24,0.85,3.57,2.72,-       
2.7,-0.21,0.84,3.57,2.73,-       
2.75,-0.2,0.83,3.57,2.74,-       
2.8,-0.19,0.83,3.57,2.77,-       
2.85,-0.19,0.83,3.57,2.8,-       
2.9,-0.21,0.84,3.57,2.85,-       
2.95,-0.2,0.83,3.57,2.87,-       
3.0,-0.19,0.84,3.57,2.89,-       
3.05,-0.2,0.84,3.57,2.91,-       
3.1,-0.2,0.85,3.57,2.94,-       
3.15,-0.19,0.85,3.57,2.99,-       
3.2,-0.19,0.85,3.57,3.03,-       
3.25,-0.19,0.86,3.46,3.07,-       
3.3,0.03,1.5,3.4,3.24,-       
3.35,-0.14,1.5,3.4,3.24,gaze started: p_3_2
3.4,-0.01,1.52,3.4,3.28,-       
3.45,-0.03,1.52,3.4,3.28,-       
3.5,-0.05,1.52,3.4,3.27,-       
3.55,-0.05,1.52,3.4,3.25,-       
3.6,-0.06,1.52,3.4,3.22,gaze fixated: p_3_2
3.65,-0.04,1.52,3.4,3.2,-       
3.7,-0.04,1.52,3.4,3.2,-       
3.75,-0.15,1.5,3.4,3.15,-       
3.8,0.57,0.81,-0.35,,-       
3.85,0.57,0.81,-0.35,,gaze ended: p_3_2
3.9,0.57,0.81,-0.35,,-       
3.95,0.57,0.81,-0.35,,-       
4.0,0.57,0.81,-0.35,,-       
4.05,0.0,1.23,3.4,3.31,-       
4.1,-0.08,1.27,3.4,3.25,gaze started: p_4_2
4.15,-0.1,1.29,3.4,3.35,-       
4.2,-0.1,1.28,3.4,3.36,-       
4.25,-0.1,1.28,3.4,3.36,-       
4.3,-0.09,1.28,3.4,3.36,-       
4.35,-0.08,1.28,3.4,3.31,-       
4.4,-0.06,1.29,3.4,3.22,gaze fixated: p_4_2
4.45,-0.11,1.3,3.4,3.17,-       
4.5,-0.11,1.3,3.4,3.13,-       
4.55,-0.06,1.28,3.4,3.1,-       
4.6,-0.04,1.28,3.4,3.09,-       
4.65,-0.05,1.28,3.4,3.09,-       
4.7,-0.05,1.28,3.4,3.09,-       
4.75,-0.05,1.28,3.4,3.07,-       
4.8,-0.05,1.27,3.4,3.04,-       
4.85,-0.03,1.27,3.4,3.01,-       
4.9,-0.03,1.26,3.4,3.0,-       
4.95,-0.05,1.26,3.4,2.98,-       
5.0,-0.06,1.26,3.4,2.99,-       
5.05,-0.04,1.25,3.4,2.99,-       
5.1,-0.03,1.25,3.4,2.99,-       
5.15,-0.04,1.25,3.4,3.04,-       
5.2,-0.03,1.25,3.4,3.04,-       
5.25,-0.03,1.25,3.4,3.04,-       
5.3,-0.02,1.25,3.4,3.05,-       
