time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.87,2.14,3.4,5.11,-       
0.05,-0.38,1.99,3.4,5.15,-       
0.1,-0.38,1.99,3.4,5.15,-       
0.15,-0.39,2.01,3.4,5.08,gaze started: p_2_2
0.2,-0.37,2.01,3.4,5.02,-       
0.25,-0.11,1.93,3.4,4.78,-       
0.3,-0.21,1.92,3.4,4.68,-       
0.35,-0.18,1.92,3.4,4.64,-       
0.4,-0.17,1.92,3.4,4.59,gaze fixated: p_2_2
0.45,-0.18,1.92,3.4,4.51,-       
0.5,-0.17,1.91,3.4,4.45,-       
0.55,-0.16,1.92,3.4,4.41,-       
0.6,-0.16,1.92,3.4,4.41,-       
0.65,-0.46,2.32,3.4,4.29,-       
0.7,-0.31,2.38,3.4,4.33,gaze started: p_1_2
0.75,-0.4,2.38,3.4,4.32,-       
0.8,-0.78,2.44,3.4,4.37,-       
0.85,-0.78,2.44,3.4,4.37,-       
0.9,-0.78,2.44,3.4,4.37,-       
0.95,-0.78,2.44,3.4,4.37,-       
1.0,-0.78,2.44,3.4,4.37,-       
1.05,-0.78,2.44,3.4,4.37,-       
1.1,-0.78,2.44,3.4,4.37,-       
1.15,-0.78,2.44,3.4,4.37,-       
1.2,-0.78,2.44,3.4,4.37,-       
1.25,-0.78,2.44,3.4,4.37,-       
1.3,-0.49,1.9,3.4,4.65,gaze started: p_1_1
1.35,-0.49,1.9,3.4,4.65,gaze started: p_1_1
1.4,-0.49,1.9,3.4,4.65,gaze started: p_1_1
1.45,-0.49,1.9,3.4,4.65,gaze started: p_1_1
1.5,-0.45,1.89,3.4,4.7,gaze started: p_2_2
1.55,-0.43,2.02,3.4,4.71,-       
1.6,-0.33,2.28,3.46,4.77,-       
1.65,-0.38,2.26,3.4,4.77,-       
1.7,-0.42,2.26,3.4,4.75,gaze started: p_2_2
1.75,-0.42,2.26,3.4,4.76,-       
1.8,-0.36,1.78,3.4,4.75,-       
1.85,-0.36,1.78,3.4,4.75,-       
1.9,-0.26,1.69,3.4,4.77,gaze started: p_3_2
1.95,-0.45,1.68,3.4,4.78,-       
2.0,-0.41,1.69,3.4,4.79,-       
2.05,-0.42,1.69,3.4,4.83,-       
2.1,-0.31,1.57,3.4,4.91,-       
2.15,-0.05,1.33,3.46,4.99,gaze fixated: p_3_2
2.2,-0.15,1.32,3.46,4.97,gaze ended: p_3_2
2.25,-0.14,1.32,3.46,4.99,-       
2.3,-0.14,1.32,3.46,4.99,-       
2.35,-0.13,1.32,3.4,5.02,-       
2.4,-0.13,1.33,3.46,5.04,gaze started: p_4_2
2.45,-0.34,1.5,3.4,5.05,-       
2.5,-0.48,1.48,3.4,5.05,gaze started: p_3_2
2.55,-0.48,1.48,3.4,5.08,-       
2.6,-0.46,1.49,3.4,5.1,-       
2.65,-0.46,1.49,3.4,5.1,-       
2.7,-0.44,1.47,3.4,5.1,-       
2.75,-0.44,1.47,3.4,5.1,-       
2.8,-0.44,1.48,3.4,5.09,gaze fixated: p_3_2
2.85,-0.45,1.49,3.4,4.88,-       
2.9,-0.46,1.49,3.4,4.58,-       
2.95,-0.45,1.5,3.4,4.33,-       
3.0,-0.3,1.69,3.4,3.81,-       
3.05,-0.21,1.78,3.4,3.71,-       
3.1,-0.1,1.77,3.4,3.68,-       
3.15,-0.13,1.78,3.4,3.6,-       
3.2,-0.13,1.78,3.4,3.6,-       
3.25,-0.16,1.77,3.4,3.56,-       
3.3,-0.19,1.75,3.4,3.4,-       
3.35,-0.4,0.59,3.57,3.29,-       
