time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.34,2.41,3.4,5.65,-       
0.05,-0.34,2.41,3.4,5.65,-       
0.1,-0.34,2.41,3.4,5.65,-       
0.15,-0.35,2.41,3.4,5.63,gaze fixated: p_1_2
0.2,-0.34,2.41,3.4,5.62,-       
0.25,-0.35,2.41,3.4,5.62,-       
0.3,-0.34,2.42,3.4,5.61,-       
0.35,-0.34,2.42,3.4,5.61,-       
0.4,-0.34,2.42,3.4,5.61,-       
0.45,-0.34,2.42,3.4,5.61,-       
0.5,-0.34,2.42,3.4,5.61,-       
0.55,-0.34,2.42,3.4,5.61,-       
0.6,-0.34,2.42,3.4,5.61,-       
0.65,-0.34,2.42,3.4,5.61,-       
0.7,-0.34,2.42,3.4,5.61,-       
0.75,-0.34,2.42,3.4,5.61,-       
0.8,-0.35,2.4,3.4,5.58,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_covid_vaccine_30s_50wd.mp4
0.85,-0.35,2.4,3.4,5.58,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_covid_vaccine_30s_50wd.mp4
0.9,-0.35,2.4,3.4,5.58,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_covid_vaccine_30s_50wd.mp4
0.95,-0.35,2.42,3.4,5.58,-       
1.0,-0.35,2.42,3.4,5.6,-       
1.05,-0.35,2.41,3.4,5.59,-       
1.1,-0.34,2.42,3.4,5.59,-       
1.15,-0.32,2.3,3.4,5.58,-       
1.2,-0.39,2.33,3.4,5.59,-       
1.25,-0.4,2.32,3.4,5.58,-       
1.3,-0.08,1.81,3.4,5.46,-       
1.35,-0.02,1.48,3.4,5.45,gaze started: p_2_2
1.4,-0.03,0.91,3.4,5.37,gaze started: p_4_2
1.45,-0.01,0.83,3.57,5.38,-       
1.5,-0.0,0.82,3.57,5.36,-       
1.55,-0.01,0.86,3.46,5.37,-       
1.6,-0.01,0.86,3.46,5.38,-       
1.65,-0.0,0.87,3.4,5.38,-       
1.7,-0.02,0.84,3.57,5.37,gaze started: p_4_2
1.75,-0.01,0.83,3.57,5.36,-       
1.8,-0.01,0.82,3.57,5.33,-       
1.85,-0.0,0.82,3.57,5.31,-       
1.9,-0.01,0.82,3.57,5.3,-       
1.95,0.0,0.82,3.57,5.28,-       
2.0,0.01,0.82,3.57,5.28,-       
2.05,0.03,0.83,3.57,5.27,-       
2.1,-0.13,0.53,3.29,5.25,-       
2.15,-0.14,0.53,3.33,5.2,-       
2.2,-0.15,0.53,3.3,5.21,-       
2.25,-0.15,0.53,3.42,5.19,-       
2.3,0.64,1.24,3.4,5.22,-       
2.35,0.74,1.33,3.46,4.91,gaze started: p_3_3
2.4,0.7,1.35,3.4,4.69,-       
2.45,0.7,1.37,3.4,4.59,gaze started: p_3_3
2.5,0.7,0.76,-0.3,,-       
2.55,0.7,0.76,-0.3,,-       
2.6,0.7,0.76,-0.3,,-       
2.65,0.69,0.77,-0.3,,-       
2.7,0.17,1.61,3.4,3.9,-       
2.75,0.23,1.61,3.4,3.89,gaze started: p_3_3
2.8,0.31,1.56,3.4,3.86,-       
2.85,0.21,1.6,3.4,3.8,-       
2.9,0.25,1.59,3.4,3.79,-       
2.95,0.23,1.61,3.4,3.8,-       
3.0,0.24,1.6,3.4,3.8,-       
3.05,0.26,1.6,3.4,3.8,-       
3.1,0.25,1.59,3.4,3.8,-       
3.15,0.22,1.61,3.4,3.79,-       
3.2,0.24,1.59,3.4,3.73,-       
3.25,0.25,1.6,3.4,3.74,-       
3.3,0.24,1.61,3.4,3.74,-       
3.35,0.24,1.6,3.4,3.73,-       
3.4,0.24,1.59,3.4,3.73,-       
3.45,0.24,1.6,3.4,3.74,-       
3.5,0.24,1.6,3.4,3.73,-       
3.55,0.1,1.64,3.4,3.74,-       
3.6,0.01,1.67,3.4,3.74,-       
3.65,0.04,1.65,3.4,3.75,-       
3.7,0.04,1.65,3.4,3.76,-       
3.75,0.04,1.65,3.4,3.79,-       
3.8,0.04,1.65,3.4,3.81,-       
3.85,0.05,1.65,3.4,3.82,gaze fixated: p_3_2
3.9,0.05,1.65,3.4,3.84,-       
3.95,0.04,1.65,3.4,3.87,-       
4.0,0.04,1.66,3.4,3.94,-       
4.05,0.04,1.66,3.4,3.97,-       
4.1,0.05,1.65,3.4,3.98,-       
4.15,0.06,1.65,3.4,4.0,-       
4.2,0.05,1.66,3.4,4.03,-       
4.25,0.06,1.66,3.4,4.04,-       
4.3,0.11,1.73,3.4,4.11,-       
4.35,0.09,1.73,3.4,4.1,-       
4.4,0.13,1.7,3.4,4.11,-       
4.45,0.14,1.71,3.46,4.11,gaze ended: p_3_2
4.5,0.13,1.71,3.4,4.11,-       
4.55,0.12,1.71,3.4,4.11,gaze started: p_3_2
4.6,0.12,1.7,3.4,4.1,-       
4.65,0.13,1.7,3.4,4.11,-       
4.7,0.12,1.72,3.4,4.11,-       
4.75,0.13,1.72,3.4,4.12,-       
4.8,0.13,1.72,3.4,4.15,gaze fixated: p_3_2
4.85,0.13,1.72,3.4,4.16,-       
4.9,0.13,1.72,3.4,4.19,-       
4.95,0.13,1.72,3.4,4.21,-       
5.0,-0.09,1.86,3.4,4.21,-       
5.05,-0.08,1.87,3.4,4.2,-       
5.1,-0.09,1.87,3.4,4.2,-       
5.15,-0.1,1.87,3.4,4.18,-       
5.2,-0.14,1.9,3.4,4.17,-       
5.25,-0.11,1.87,3.4,4.14,-       
5.3,-0.13,1.88,3.4,4.12,gaze fixated: p_2_2
5.35,-0.11,1.88,3.4,4.11,-       
5.4,-0.1,1.88,3.4,4.09,-       
5.45,-0.09,1.88,3.4,4.07,-       
5.5,-0.09,1.88,3.4,4.05,-       
5.55,0.2,1.75,3.4,4.01,gaze started: p_3_3
5.6,0.25,1.69,3.4,3.99,-       
5.65,0.22,1.7,3.4,3.99,-       
5.7,0.22,1.7,3.4,3.99,-       
5.75,0.26,1.68,3.4,3.96,-       
5.8,0.23,1.69,3.4,3.96,-       
5.85,0.24,1.69,3.4,3.96,gaze fixated: p_3_3
5.9,0.25,1.7,3.4,3.93,-       
5.95,0.25,1.69,3.4,3.94,-       
6.0,0.24,1.69,3.4,3.94,-       
6.05,0.23,1.69,3.4,3.93,-       
6.1,0.23,1.69,3.4,3.93,-       
6.15,0.24,1.69,3.4,3.95,-       
6.2,0.25,1.68,3.4,3.96,-       
6.25,0.26,1.67,3.4,3.96,-       
6.3,0.27,1.66,3.4,3.99,-       
6.35,0.28,1.66,3.4,4.02,-       
6.4,0.26,1.67,3.4,4.02,-       
6.45,0.25,1.67,3.4,4.03,-       
6.5,0.25,1.67,3.4,4.03,-       
