time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.4,1.09,3.4,4.11,-       
0.05,0.4,1.09,3.4,4.11,-       
0.1,0.39,1.1,3.4,4.02,gaze fixated: p_4_3
0.15,0.36,1.12,3.4,3.82,-       
0.2,0.57,1.79,3.4,3.87,-       
0.25,0.57,1.79,3.4,3.87,-       
0.3,0.72,2.45,3.4,4.03,gaze started: p_3_3
0.35,0.69,2.48,3.4,4.09,gaze started: p_1_3
0.4,0.69,2.48,3.4,4.09,gaze started: p_1_3
0.45,0.6,2.59,3.4,4.22,-       
0.5,-0.08,2.51,3.4,4.21,-       
0.55,-0.06,2.49,3.4,4.22,gaze started: p_1_2
0.6,-0.06,2.49,3.4,4.22,gaze started: p_1_2
0.65,-0.06,2.49,3.4,4.25,-       
0.7,-0.1,2.51,3.4,4.33,-       
0.75,0.47,2.22,3.4,4.45,-       
0.8,0.47,2.22,3.4,4.45,-       
0.85,0.7,2.0,3.4,4.45,gaze started: p_2_3
0.9,0.67,2.03,3.4,4.47,-       
0.95,0.71,2.03,3.4,4.54,-       
1.0,0.71,2.03,3.4,4.54,-       
1.05,-0.06,1.97,3.4,4.54,-       
1.1,-0.28,1.94,3.4,4.5,gaze started: p_2_2
1.15,-0.19,1.91,3.4,4.08,-       
1.2,-0.19,1.91,3.4,4.08,-       
1.25,-0.17,1.95,3.4,3.94,-       
1.3,-0.16,1.94,3.4,3.8,-       
1.35,-0.17,1.97,3.4,3.56,gaze fixated: p_2_2
1.4,-0.17,1.97,3.4,3.56,gaze fixated: p_2_2
1.45,-0.17,1.97,3.4,3.42,-       
1.5,-0.17,1.97,3.4,3.32,-       
1.55,-0.17,1.97,3.4,3.32,-       
1.6,-0.16,1.97,3.4,3.27,-       
1.65,-0.16,1.97,3.4,3.26,-       
1.7,0.07,1.92,3.4,3.32,-       
1.75,0.07,1.92,3.4,3.32,-       
1.8,0.06,1.94,3.4,3.34,-       
1.85,0.06,1.95,3.4,3.35,-       
1.9,0.06,1.95,3.4,3.35,-       
1.95,0.06,1.94,3.4,3.36,-       
2.0,0.05,1.93,3.4,3.36,-       
2.05,0.06,1.93,3.4,3.39,-       
2.1,0.07,1.94,3.4,3.39,-       
2.15,0.07,1.94,3.4,3.39,-       
2.2,0.33,1.77,3.4,3.33,-       
2.25,0.31,1.75,3.4,3.36,gaze started: p_3_3
2.3,0.31,1.75,3.4,3.36,gaze started: p_3_3
2.35,0.28,1.77,3.4,3.36,-       
2.4,0.27,1.76,3.4,3.37,-       
2.45,0.62,0.36,-0.12,,-       
2.5,0.62,0.36,-0.12,,-       
2.55,0.62,0.36,-0.12,,-       
2.6,0.62,0.36,-0.12,,-       
2.65,0.62,0.36,-0.12,,-       
2.7,0.62,0.36,-0.12,,-       
2.75,0.62,0.36,-0.13,,-       
2.8,0.18,1.83,3.4,3.54,-       
2.85,0.18,1.83,3.4,3.54,-       
2.9,0.27,1.87,3.4,3.58,gaze started: p_2_3
2.95,0.28,1.86,3.4,3.62,-       
3.0,0.01,1.59,3.4,3.73,-       
3.05,0.01,1.59,3.4,3.73,-       
3.1,0.03,1.29,3.4,3.77,gaze started: p_3_2
3.15,0.01,1.3,3.4,3.81,gaze started: p_4_2
3.2,0.01,1.3,3.4,3.85,-       
3.25,0.01,1.3,3.4,3.85,-       
3.3,0.02,1.31,3.4,3.86,-       
3.35,0.02,1.32,3.4,3.84,-       
3.4,0.02,1.32,3.4,3.84,-       
3.45,0.02,1.32,3.4,3.77,gaze fixated: p_4_2
3.5,0.03,1.33,3.46,3.7,-       
3.55,0.02,1.34,3.46,3.61,gaze ended: p_4_2
3.6,0.03,1.34,3.46,3.58,-       
3.65,0.03,1.34,3.46,3.58,-       
3.7,0.04,1.34,3.46,3.54,-       
3.75,0.06,1.46,3.4,3.49,-       
3.8,0.06,1.46,3.4,3.49,-       
3.85,0.02,1.87,3.4,3.55,gaze started: p_3_2
3.9,0.05,1.86,3.4,3.53,gaze started: p_2_2
3.95,0.05,1.86,3.4,3.53,gaze started: p_2_2
4.0,-0.04,2.02,3.4,3.48,-       
4.05,-0.08,2.05,3.4,3.51,-       
4.1,-0.06,2.06,3.4,3.53,-       
4.15,-0.06,2.06,3.4,3.53,-       
4.2,-0.04,2.05,3.4,3.53,gaze fixated: p_2_2
4.25,-0.03,2.04,3.4,3.5,-       
4.3,-0.03,2.04,3.4,3.51,-       
4.35,-0.03,2.04,3.4,3.51,-       
4.4,-0.04,2.04,3.4,3.51,-       
4.45,0.19,1.85,3.4,3.58,-       
4.5,0.18,1.85,3.4,3.56,gaze started: p_2_3
4.55,0.18,1.85,3.4,3.56,gaze started: p_2_3
4.6,0.13,1.89,3.46,3.54,-       
4.65,0.14,1.89,3.46,3.53,-       
4.7,0.14,1.88,3.46,3.5,-       
4.75,0.14,1.88,3.46,3.5,-       
4.8,0.14,1.88,3.46,3.51,-       
4.85,0.14,1.87,3.46,3.5,-       
4.9,0.14,1.87,3.46,3.5,-       
4.95,0.13,1.86,3.4,3.5,-       
5.0,0.13,1.86,3.4,3.49,gaze started: p_2_2
5.05,0.14,1.88,3.46,3.47,-       
5.1,0.14,1.88,3.46,3.47,-       
5.15,0.15,1.86,3.4,3.45,-       
5.2,0.13,1.88,3.46,3.43,gaze started: p_2_3
