time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.16,0.96,3.4,4.4,-       
0.05,0.16,0.96,3.4,4.4,-       
0.1,0.15,0.96,3.4,4.41,-       
0.15,0.15,0.96,3.4,4.41,-       
0.2,0.15,0.96,3.4,4.41,-       
0.25,0.15,0.96,3.4,4.41,-       
0.3,0.15,0.96,3.4,4.41,-       
0.35,0.15,0.96,3.4,4.41,-       
0.4,0.15,0.96,3.4,4.41,-       
0.45,0.15,0.96,3.4,4.41,-       
0.5,0.15,0.96,3.4,4.41,-       
0.55,0.15,0.96,3.4,4.41,-       
0.6,0.46,1.13,3.4,4.34,gaze fixated: p_4_3
0.65,0.46,1.13,3.4,4.34,gaze fixated: p_4_3
0.7,0.46,1.13,3.4,4.34,gaze fixated: p_4_3
0.75,0.45,1.13,3.4,4.37,-       
0.8,0.45,1.14,3.4,4.39,-       
0.85,0.44,1.14,3.4,4.42,-       
0.9,0.46,1.13,3.4,4.41,-       
0.95,0.47,1.1,3.4,4.41,-       
1.0,0.46,1.1,3.4,4.45,-       
1.05,0.5,0.97,3.4,4.44,-       
1.1,-0.58,0.84,3.57,4.47,-       
1.15,-0.62,0.75,3.57,4.44,gaze ended: p_4_3
1.2,-0.69,0.76,3.57,4.47,-       
1.25,-0.68,0.76,3.57,4.49,-       
1.3,-0.68,0.76,3.57,4.49,-       
1.35,-1.23,0.54,3.49,4.44,-       
1.4,-1.21,0.53,3.39,4.45,-       
1.45,-1.13,0.53,3.1,4.46,-       
1.5,-1.13,0.53,3.1,4.46,-       
1.55,0.59,0.81,-0.35,,-       
1.6,0.59,0.81,-0.35,,-       
1.65,0.59,0.81,-0.35,,-       
1.7,0.41,1.64,3.4,4.74,-       
1.75,0.44,1.58,3.4,4.69,gaze started: p_3_3
1.8,0.37,1.72,3.4,4.7,-       
1.85,0.37,1.7,3.4,4.7,-       
1.9,0.36,1.71,3.4,4.73,-       
1.95,0.35,1.71,3.4,4.76,-       
2.0,0.36,1.72,3.4,4.72,gaze fixated: p_3_3
2.05,0.36,1.7,3.4,4.53,-       
2.1,0.34,1.69,3.4,4.1,-       
2.15,0.34,1.67,3.4,3.97,-       
2.2,0.32,1.64,3.4,3.77,-       
2.25,0.3,1.63,3.4,3.58,-       
2.3,0.29,1.62,3.4,3.4,-       
2.35,0.28,1.62,3.4,3.3,-       
2.4,0.28,1.62,3.4,3.26,-       
2.45,0.28,1.62,3.4,3.21,-       
2.5,0.28,1.61,3.4,3.19,-       
2.55,0.28,1.61,3.4,3.18,-       
2.6,0.29,1.61,3.4,3.19,-       
2.65,0.29,1.62,3.4,3.21,-       
2.7,0.29,1.61,3.4,3.21,-       
2.75,0.29,1.61,3.4,3.22,-       
2.8,0.28,1.6,3.4,3.23,-       
2.85,0.29,1.6,3.4,3.24,-       
2.9,0.23,1.76,3.4,3.39,-       
2.95,0.25,1.77,3.4,3.4,-       
3.0,0.25,1.77,3.4,3.45,-       
3.05,0.25,1.78,3.4,3.47,-       
3.1,0.17,1.95,3.4,3.75,-       
3.15,0.08,1.92,3.4,3.71,gaze started: p_2_3
3.2,0.08,1.91,3.4,3.71,gaze started: p_2_2
3.25,0.06,1.91,3.4,3.74,-       
3.3,0.08,1.86,3.4,3.74,-       
3.35,0.19,1.91,3.4,3.74,-       
