time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.52,1.73,3.4,4.6,-       
0.05,-0.74,1.74,3.4,4.7,-       
0.1,-0.72,1.85,3.46,4.69,gaze started: p_3_1
0.15,-0.69,1.83,3.4,4.69,-       
0.2,-0.69,1.83,3.4,4.69,-       
0.25,-0.69,1.83,3.4,4.69,-       
0.3,-0.69,1.83,3.4,4.69,-       
0.35,-0.69,1.83,3.4,4.69,-       
0.4,-0.69,1.83,3.4,4.69,-       
0.45,-0.69,1.83,3.4,4.69,-       
0.5,-0.69,1.83,3.4,4.69,-       
0.55,-0.69,1.83,3.4,4.69,-       
0.6,-0.69,1.83,3.4,4.69,-       
0.65,-0.69,1.83,3.4,4.69,-       
0.7,-0.9,1.78,3.4,4.79,gaze started: p_2_2
0.75,-0.88,1.77,3.4,4.82,gaze started: p_3_1
0.8,-0.88,1.77,3.4,4.82,gaze started: p_3_1
0.85,-0.88,1.77,3.4,4.83,-       
0.9,-0.88,1.77,3.4,4.83,-       
0.95,-0.88,1.77,3.4,4.83,-       
1.0,-0.86,1.78,3.4,4.83,-       
1.05,-0.93,1.81,3.46,4.83,gaze fixated: p_3_1
1.1,-0.5,1.7,3.4,4.74,gaze ended: p_3_1
1.15,-0.57,1.73,3.4,4.75,gaze started: p_3_2
1.2,-0.57,1.73,3.4,4.74,-       
1.25,-0.5,1.71,3.4,4.75,-       
1.3,-0.51,1.71,3.4,4.77,-       
1.35,-0.55,1.73,3.4,4.77,-       
1.4,-0.55,1.73,3.4,4.79,gaze fixated: p_3_2
1.45,-0.55,1.72,3.4,4.8,-       
1.5,-0.55,1.72,3.4,4.8,-       
1.55,-0.51,1.68,3.4,4.89,-       
1.6,-0.45,1.7,3.4,4.86,-       
1.65,-0.31,1.73,3.4,4.89,-       
1.7,-0.23,1.74,3.4,4.89,-       
1.75,-0.31,1.71,3.4,4.92,-       
1.8,-0.38,1.83,3.4,4.98,-       
1.85,-0.5,1.85,3.4,4.98,gaze started: p_2_2
1.9,-0.56,1.84,3.4,4.99,-       
1.95,-0.45,1.78,3.4,4.94,-       
2.0,0.54,0.76,-0.3,,gaze started: p_3_2
2.05,0.54,0.76,-0.3,,-       
2.1,0.54,0.76,-0.3,,-       
2.15,0.54,0.76,-0.3,,-       
2.2,0.27,1.36,3.4,4.84,-       
2.25,0.24,1.45,3.4,4.57,gaze started: p_3_3
2.3,0.21,1.47,3.4,4.46,-       
2.35,0.19,1.49,3.4,4.33,-       
2.4,0.2,1.53,3.4,4.21,-       
2.45,0.2,1.53,3.4,4.04,-       
2.5,0.2,1.55,3.4,3.92,gaze fixated: p_3_3
2.55,0.2,1.55,3.4,3.79,-       
2.6,0.2,1.55,3.4,3.79,-       
2.65,0.19,1.54,3.4,3.69,-       
2.7,0.2,1.51,3.4,3.61,-       
2.75,0.2,1.52,3.4,3.61,-       
2.8,0.2,1.52,3.4,3.59,-       
2.85,0.19,1.53,3.4,3.6,-       
2.9,0.2,1.55,3.4,3.6,-       
2.95,0.2,1.56,3.4,3.6,-       
3.0,0.2,1.56,3.4,3.63,-       
3.05,0.19,1.56,3.4,3.61,-       
3.1,0.18,1.53,3.4,3.58,-       
3.15,0.17,1.53,3.4,3.56,-       
3.2,0.16,1.53,3.4,3.55,-       
3.25,0.17,1.53,3.4,3.55,-       
3.3,0.17,1.5,3.4,3.56,-       
3.35,0.15,1.51,3.4,3.63,-       
3.4,0.17,1.53,3.4,3.71,-       
3.45,0.17,1.53,3.4,3.71,-       
3.5,0.19,1.52,3.4,3.75,-       
3.55,0.21,1.52,3.4,3.77,-       
3.6,0.22,1.52,3.4,3.82,-       
3.65,0.18,1.52,3.4,3.89,-       
3.7,0.19,1.51,3.4,3.95,-       
3.75,0.2,1.5,3.4,3.95,-       
3.8,0.11,1.48,3.4,3.92,-       
3.85,0.15,1.79,3.4,4.03,gaze started: p_3_2
3.9,0.13,1.76,3.4,4.0,gaze started: p_3_3
3.95,0.18,1.71,3.4,3.99,gaze started: p_3_2
4.0,0.13,1.7,3.4,3.97,gaze started: p_3_3
4.05,0.19,1.69,3.4,3.98,gaze started: p_3_2
4.1,0.19,1.72,3.4,3.99,gaze started: p_3_3
4.15,0.19,1.71,3.4,3.98,-       
