time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.5,2.17,3.4,3.64,-       
0.05,-0.5,2.34,3.4,3.68,-       
0.1,-0.49,2.3,3.4,3.68,gaze started: p_1_2
0.15,-0.48,2.28,3.4,3.67,-       
0.2,-0.49,2.28,3.4,3.67,-       
0.25,-0.49,2.29,3.4,3.69,-       
0.3,-0.48,2.29,3.4,3.65,-       
0.35,-0.48,2.29,3.4,3.62,gaze fixated: p_1_2
0.4,-0.48,2.29,3.4,3.62,gaze fixated: p_1_2
0.45,-0.48,2.29,3.4,3.62,gaze fixated: p_1_2
0.5,-0.48,2.29,3.4,3.62,gaze fixated: p_1_2
0.55,-0.48,2.29,3.4,3.62,gaze fixated: p_1_2
0.6,-0.48,2.29,3.4,3.62,gaze fixated: p_1_2
0.65,-0.48,2.29,3.4,3.62,gaze fixated: p_1_2
0.7,-0.48,2.29,3.4,3.62,gaze fixated: p_1_2
0.75,-0.48,2.29,3.4,3.62,gaze fixated: p_1_2
0.8,-0.48,2.29,3.4,3.62,gaze fixated: p_1_2
0.85,-0.48,2.29,3.4,3.62,gaze fixated: p_1_2
0.9,-0.46,2.58,3.4,3.09,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_diet_30s_50nd.mp4
0.95,-0.46,2.58,3.4,3.07,-       
1.0,-0.47,2.58,3.4,3.07,-       
1.05,-0.46,2.58,3.4,3.08,-       
1.1,-0.47,2.58,3.4,3.08,-       
1.15,-0.47,2.57,3.4,3.08,-       
1.2,-0.47,2.57,3.4,3.08,-       
1.25,-0.46,2.57,3.4,3.09,-       
1.3,-0.4,2.5,3.4,3.07,-       
1.35,0.73,0.83,-0.37,,-       
1.4,0.73,0.83,-0.37,,gaze ended: p_1_2
1.45,0.73,0.83,-0.37,,-       
1.5,0.73,0.83,-0.37,,-       
1.55,0.73,0.83,-0.37,,-       
1.6,-0.11,1.74,3.4,3.32,-       
1.65,-0.12,1.74,3.4,3.27,gaze started: p_3_2
1.7,-0.22,1.75,3.4,3.35,-       
1.75,-0.22,1.75,3.4,3.35,-       
1.8,-0.38,2.29,3.46,3.43,-       
1.85,-0.41,2.3,3.4,3.51,-       
1.9,-0.4,2.31,3.4,3.53,gaze started: p_1_2
1.95,-0.44,2.29,3.46,3.53,-       
2.0,-0.45,2.28,3.46,3.54,-       
2.05,-0.46,2.29,3.46,3.58,-       
2.1,-0.44,2.29,3.46,3.62,-       
2.15,-0.44,2.29,3.46,3.62,-       
2.2,-0.43,2.28,3.4,3.61,-       
2.25,-0.43,2.28,3.4,3.62,gaze started: p_1_2
