time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.29,2.34,3.4,4.86,-       
0.05,-0.29,2.34,3.4,4.86,-       
0.1,-0.31,2.34,3.4,4.87,-       
0.15,0.7,0.59,-0.21,,-       
0.2,0.7,0.59,-0.21,,gaze ended: p_1_2
0.25,0.7,0.59,-0.21,,-       
0.3,0.7,0.59,-0.21,,-       
0.35,0.7,0.58,-0.21,,-       
0.4,-0.52,1.76,3.4,4.69,-       
0.45,-0.52,1.76,3.4,4.69,-       
0.5,-0.5,1.82,3.46,4.72,gaze started: p_3_2
0.55,-0.5,1.82,3.46,4.72,gaze started: p_3_2
0.6,-0.5,1.82,3.46,4.72,gaze started: p_3_2
0.65,-0.5,1.82,3.46,4.72,gaze started: p_3_2
0.7,-0.5,1.82,3.46,4.72,gaze started: p_3_2
0.75,-0.5,1.82,3.46,4.72,gaze started: p_3_2
0.8,-0.5,1.82,3.46,4.72,gaze started: p_3_2
0.85,-0.5,1.82,3.46,4.72,gaze started: p_3_2
0.9,-0.5,1.82,3.46,4.72,gaze started: p_3_2
0.95,-0.5,1.82,3.46,4.72,gaze started: p_3_2
1.0,-0.5,1.82,3.46,4.72,gaze started: p_3_2
1.05,0.7,0.58,-0.21,,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_diet_30s_50nd.mp4
1.1,0.7,0.58,-0.21,,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_diet_30s_50nd.mp4
1.15,0.7,0.58,-0.21,,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_diet_30s_50nd.mp4
1.2,-0.64,2.13,3.4,4.79,-       
1.25,-0.78,2.19,3.4,4.82,gaze started: p_2_2
1.3,-0.78,2.19,3.4,4.85,gaze started: p_2_1
1.35,-0.67,2.21,3.4,4.87,-       
1.4,-0.71,2.21,3.46,4.88,gaze started: p_2_2
1.45,-0.74,2.18,3.4,4.91,-       
1.5,-0.72,2.18,3.4,4.9,gaze started: p_2_1
1.55,-0.68,2.21,3.4,4.85,-       
1.6,-0.72,2.21,3.46,4.79,gaze started: p_2_2
1.65,-0.68,2.18,3.4,4.72,-       
1.7,-0.68,2.17,3.4,4.67,gaze started: p_2_2
1.75,-0.67,2.15,3.4,4.64,-       
1.8,-0.64,2.17,3.4,4.64,-       
1.85,-0.64,2.19,3.4,4.65,-       
1.9,-0.71,2.17,3.4,4.67,-       
1.95,-0.69,2.18,3.4,4.68,gaze started: p_2_1
2.0,-0.64,2.19,3.4,4.74,gaze started: p_2_2
2.05,-0.58,2.21,3.4,4.78,-       
2.1,-0.66,2.2,3.4,4.84,-       
2.15,-0.61,2.2,3.4,4.88,-       
2.2,-0.58,2.21,3.4,4.9,-       
2.25,-0.69,2.19,3.4,4.92,gaze fixated: p_2_2
2.3,-0.68,2.2,3.4,4.97,-       
2.35,-0.68,2.2,3.4,4.97,-       
2.4,-0.66,2.19,3.4,4.99,-       
2.45,0.71,0.59,-0.21,,-       
2.5,0.71,0.59,-0.21,,gaze ended: p_2_2
2.55,0.71,0.59,-0.21,,-       
2.6,0.71,0.59,-0.21,,-       
2.65,0.71,0.59,-0.21,,-       
2.7,0.71,0.59,-0.21,,-       
2.75,0.71,0.59,-0.21,,-       
2.8,0.71,0.59,-0.21,,-       
2.85,0.71,0.59,-0.21,,-       
2.9,0.71,0.59,-0.21,,-       
2.95,0.71,0.59,-0.21,,-       
3.0,0.71,0.59,-0.21,,-       
3.05,0.71,0.59,-0.21,,-       
3.1,0.71,0.59,-0.21,,-       
3.15,0.71,0.59,-0.21,,-       
3.2,0.71,0.59,-0.21,,-       
3.25,0.71,0.59,-0.21,,-       
3.3,0.71,0.6,-0.21,,-       
3.35,0.71,0.6,-0.21,,-       
3.4,0.71,0.6,-0.21,,-       
3.45,0.71,0.6,-0.21,,-       
3.5,0.71,0.6,-0.21,,-       
3.55,0.71,0.6,-0.21,,-       
3.6,0.71,0.6,-0.21,,-       
3.65,0.71,0.6,-0.21,,-       
3.7,0.71,0.6,-0.21,,-       
3.75,0.71,0.6,-0.21,,-       
3.8,0.71,0.6,-0.21,,-       
3.85,0.71,0.6,-0.21,,-       
3.9,0.71,0.6,-0.21,,-       
3.95,0.71,0.6,-0.21,,-       
4.0,0.71,0.6,-0.21,,-       
4.05,0.71,0.6,-0.21,,-       
4.1,0.71,0.6,-0.21,,-       
4.15,0.71,0.6,-0.21,,-       
4.2,0.71,0.6,-0.21,,-       
4.25,0.71,0.6,-0.21,,-       
4.3,0.71,0.6,-0.21,,-       
4.35,0.71,0.6,-0.21,,-       
4.4,0.71,0.6,-0.21,,-       
4.45,0.71,0.6,-0.21,,-       
4.5,0.71,0.6,-0.21,,-       
4.55,0.71,0.6,-0.21,,-       
4.6,0.71,0.6,-0.21,,-       
4.65,0.71,0.6,-0.21,,-       
4.7,0.71,0.6,-0.21,,-       
4.75,0.71,0.6,-0.21,,-       
4.8,0.71,0.6,-0.21,,-       
4.85,0.71,0.6,-0.21,,-       
4.9,0.71,0.6,-0.21,,-       
4.95,0.71,0.6,-0.21,,-       
5.0,0.71,0.6,-0.21,,-       
5.05,0.71,0.6,-0.21,,-       
5.1,0.71,0.6,-0.21,,-       
5.15,0.71,0.6,-0.21,,-       
5.2,0.71,0.6,-0.21,,-       
5.25,0.71,0.6,-0.21,,-       
5.3,0.71,0.6,-0.21,,-       
5.35,0.71,0.6,-0.21,,-       
5.4,0.71,0.6,-0.21,,-       
5.45,0.71,0.6,-0.21,,-       
5.5,0.71,0.6,-0.21,,-       
5.55,0.71,0.6,-0.21,,-       
5.6,0.71,0.6,-0.21,,-       
5.65,0.71,0.6,-0.21,,-       
5.7,0.71,0.6,-0.21,,-       
5.75,0.71,0.6,-0.21,,-       
5.8,0.71,0.6,-0.21,,-       
5.85,0.71,0.6,-0.21,,-       
5.9,0.71,0.6,-0.21,,-       
5.95,0.71,0.6,-0.21,,-       
6.0,0.71,0.6,-0.21,,-       
6.05,0.71,0.6,-0.21,,-       
6.1,0.71,0.6,-0.21,,-       
6.15,0.71,0.6,-0.21,,-       
6.2,0.71,0.6,-0.21,,-       
6.25,0.71,0.6,-0.21,,-       
6.3,0.71,0.6,-0.21,,-       
6.35,0.71,0.6,-0.21,,-       
6.4,0.71,0.6,-0.21,,-       
6.45,0.71,0.6,-0.21,,-       
6.5,0.71,0.6,-0.21,,-       
6.55,0.71,0.6,-0.21,,-       
6.6,0.71,0.6,-0.21,,-       
6.65,0.71,0.6,-0.21,,-       
6.7,0.71,0.6,-0.21,,-       
6.75,0.71,0.6,-0.21,,-       
6.8,0.71,0.6,-0.21,,-       
6.85,0.71,0.6,-0.21,,-       
6.9,0.71,0.6,-0.21,,-       
6.95,0.71,0.6,-0.21,,-       
7.0,0.71,0.6,-0.21,,-       
7.05,0.71,0.6,-0.21,,-       
7.1,0.71,0.6,-0.21,,-       
7.15,0.71,0.6,-0.21,,-       
7.2,0.71,0.6,-0.21,,-       
7.25,0.71,0.6,-0.21,,-       
7.3,0.71,0.6,-0.21,,-       
7.35,0.71,0.6,-0.21,,-       
7.4,0.71,0.6,-0.21,,-       
7.45,0.71,0.6,-0.21,,-       
7.5,0.71,0.6,-0.21,,-       
7.55,0.71,0.6,-0.21,,-       
7.6,0.71,0.6,-0.21,,-       
7.65,0.71,0.6,-0.21,,-       
7.7,0.71,0.6,-0.21,,-       
7.75,0.71,0.6,-0.21,,-       
7.8,0.71,0.6,-0.21,,-       
7.85,0.71,0.6,-0.21,,-       
7.9,0.71,0.6,-0.21,,-       
7.95,0.71,0.6,-0.21,,-       
8.0,0.71,0.6,-0.21,,-       
8.05,0.71,0.6,-0.21,,-       
8.1,0.71,0.6,-0.21,,-       
8.15,0.71,0.6,-0.21,,-       
8.2,0.71,0.6,-0.21,,-       
8.25,0.71,0.6,-0.21,,-       
8.3,0.71,0.6,-0.21,,-       
8.35,0.71,0.6,-0.21,,-       
8.4,0.71,0.6,-0.21,,-       
8.45,0.71,0.6,-0.21,,-       
8.5,0.71,0.6,-0.21,,-       
8.55,0.71,0.6,-0.21,,-       
8.6,0.71,0.6,-0.21,,-       
8.65,0.71,0.6,-0.21,,-       
8.7,0.71,0.6,-0.21,,-       
8.75,0.71,0.6,-0.21,,-       
8.8,0.71,0.6,-0.21,,-       
8.85,0.71,0.6,-0.21,,-       
8.9,0.71,0.6,-0.21,,-       
8.95,0.71,0.6,-0.21,,-       
9.0,0.71,0.6,-0.21,,-       
9.05,0.71,0.6,-0.21,,-       
9.1,0.71,0.6,-0.21,,-       
9.15,0.71,0.6,-0.21,,-       
9.2,0.71,0.6,-0.21,,-       
9.25,0.71,0.6,-0.21,,-       
9.3,0.71,0.6,-0.21,,-       
9.35,0.71,0.6,-0.21,,-       
9.4,0.71,0.6,-0.21,,-       
9.45,0.71,0.6,-0.21,,-       
9.5,0.71,0.6,-0.21,,-       
9.55,1.06,1.33,3.46,3.34,-       
9.6,0.37,1.5,3.4,3.28,-       
9.65,0.28,1.51,3.4,3.27,gaze started: p_3_3
9.7,0.34,1.5,3.4,3.27,-       
9.75,0.23,1.61,3.4,3.26,-       
9.8,0.15,1.84,3.4,3.18,-       
9.85,0.2,1.86,3.4,3.09,gaze started: p_2_3
9.9,0.19,1.85,3.4,3.06,-       
9.95,0.2,1.85,3.4,3.0,-       
10.0,0.21,1.84,3.4,2.94,-       
10.05,0.21,1.84,3.4,2.87,-       
10.1,0.2,1.84,3.4,2.82,gaze fixated: p_2_3
10.15,0.21,1.83,3.4,2.77,-       
10.2,0.21,1.84,3.4,2.73,-       
10.25,0.2,1.86,3.4,2.7,-       
10.3,0.2,1.85,3.4,2.69,-       
10.35,0.21,1.85,3.4,2.67,-       
10.4,0.21,1.86,3.4,2.64,-       
10.45,0.22,1.86,3.4,2.64,-       
10.5,0.14,1.86,3.46,2.59,-       
10.55,-0.64,2.25,3.4,2.63,gaze ended: p_2_3
10.6,-0.61,2.21,3.4,2.62,gaze started: p_2_2
10.65,-0.65,2.22,3.4,2.64,-       
10.7,-0.65,2.22,3.4,2.66,-       
10.75,-0.66,2.23,3.4,2.73,-       
10.8,-0.66,2.23,3.4,2.79,-       
10.85,-0.66,2.22,3.4,2.9,gaze fixated: p_2_2
10.9,-0.66,2.21,3.4,3.0,-       
10.95,-0.61,2.21,3.4,3.23,-       
11.0,0.09,1.79,3.4,3.33,-       
11.05,0.8,1.3,3.4,3.35,gaze started: p_3_2
11.1,1.09,1.01,3.4,3.49,gaze started: p_4_3
11.15,1.01,0.88,3.4,3.57,gaze started: p_4_4
11.2,1.03,0.91,3.4,3.6,-       
11.25,1.06,0.87,3.4,3.61,-       
11.3,1.07,0.86,3.46,3.66,-       
11.35,1.1,0.85,3.57,3.7,-       
11.4,1.09,0.83,3.57,3.73,-       
11.45,1.1,0.83,3.57,3.8,-       
11.5,1.1,0.83,3.57,3.86,-       
11.55,1.11,0.83,3.57,3.9,-       
11.6,1.11,0.84,3.57,3.93,-       
11.65,1.09,0.86,3.46,3.97,-       
11.7,1.1,0.86,3.46,3.99,-       
11.75,1.11,0.86,3.46,4.03,-       
11.8,1.14,0.85,3.57,4.06,-       
11.85,1.12,0.84,3.57,4.08,-       
11.9,1.12,0.84,3.57,4.1,-       
11.95,1.12,0.83,3.57,4.13,-       
12.0,1.12,0.84,3.57,4.15,-       
12.05,1.12,0.83,3.57,4.17,-       
12.1,1.12,0.83,3.57,4.2,-       
12.15,1.12,0.84,3.57,4.23,-       
12.2,1.11,0.84,3.57,4.24,-       
12.25,1.11,0.84,3.57,4.27,-       
12.3,1.09,0.86,3.46,4.29,-       
12.35,1.13,0.84,3.57,4.34,-       
12.4,1.13,0.84,3.57,4.36,-       
12.45,1.13,0.84,3.57,4.39,-       
12.5,1.13,0.84,3.57,4.4,-       
12.55,1.13,0.83,3.57,4.44,-       
12.6,1.13,0.84,3.57,4.45,-       
12.65,1.13,0.84,3.57,4.47,-       
12.7,1.13,0.84,3.57,4.47,-       
12.75,1.14,0.84,3.57,4.47,-       
12.8,1.13,0.85,3.57,4.48,-       
12.85,1.1,0.86,3.46,4.49,-       
12.9,1.09,0.86,3.46,4.5,-       
12.95,1.09,0.86,3.46,4.49,-       
13.0,1.12,0.84,3.57,4.5,-       
13.05,1.13,0.83,3.57,4.51,-       
13.1,1.13,0.84,3.57,4.52,-       
13.15,1.1,0.86,3.46,4.53,-       
13.2,1.13,0.85,3.57,4.54,-       
13.25,1.14,0.84,3.57,4.56,-       
13.3,1.14,0.84,3.57,4.58,-       
13.35,1.14,0.83,3.57,4.59,-       
13.4,1.15,0.84,3.57,4.62,-       
13.45,1.13,0.86,3.46,4.66,-       
13.5,1.13,0.86,3.46,4.68,-       
13.55,1.12,0.86,3.46,4.69,-       
13.6,1.12,0.86,3.46,4.69,-       
13.65,1.13,0.87,3.4,4.73,gaze started: p_4_4
13.7,1.13,0.87,3.4,4.73,gaze started: p_4_4
13.75,1.19,0.84,3.57,4.76,-       
13.8,1.19,0.84,3.57,4.76,-       
13.85,1.18,0.84,3.57,4.76,-       
13.9,1.17,0.85,3.57,4.77,-       
13.95,1.18,0.84,3.57,4.78,-       
14.0,1.18,0.84,3.57,4.8,-       
14.05,1.16,0.86,3.46,4.8,-       
14.1,1.15,0.86,3.46,4.8,-       
