time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.31,2.29,3.4,4.24,-       
0.05,-0.32,2.29,3.4,4.27,-       
0.1,-0.74,2.33,3.4,4.36,-       
0.15,-0.74,2.32,3.4,4.32,gaze started: p_1_1
0.2,-0.78,2.32,3.4,4.32,-       
0.25,-0.78,2.32,3.4,4.34,-       
0.3,-0.78,2.32,3.4,4.36,-       
0.35,-0.78,2.32,3.4,4.36,-       
0.4,-0.77,2.31,3.4,4.36,-       
0.45,-0.78,2.31,3.4,4.38,gaze fixated: p_1_1
0.5,-0.78,2.31,3.4,4.41,-       
0.55,-0.78,2.31,3.4,4.41,-       
0.6,-0.78,2.31,3.4,4.41,-       
0.65,-0.78,2.31,3.4,4.41,-       
0.7,-0.78,2.31,3.4,4.41,-       
0.75,-0.78,2.31,3.4,4.41,-       
0.8,-0.78,2.31,3.4,4.41,-       
0.85,-0.78,2.31,3.4,4.41,-       
0.9,-0.78,2.31,3.4,4.41,-       
0.95,-0.78,2.31,3.4,4.41,-       
1.0,-0.78,2.3,3.4,4.49,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_diet_30s_50wd.mp4
1.05,-0.78,2.31,3.4,4.5,-       
1.1,-0.79,2.32,3.4,4.53,-       
1.15,-0.06,1.92,3.4,4.41,-       
1.2,-0.14,1.93,3.4,4.44,gaze started: p_2_2
1.25,0.55,0.77,-0.3,,-       
1.3,0.55,0.77,-0.3,,-       
1.35,0.55,0.77,-0.3,,-       
1.4,0.55,0.77,-0.3,,-       
1.45,0.55,0.77,-0.3,,-       
1.5,0.09,1.61,3.4,4.49,-       
1.55,0.04,1.6,3.4,4.48,gaze started: p_3_2
1.6,0.04,1.59,3.4,4.47,-       
1.65,0.02,1.59,3.4,4.46,-       
1.7,0.01,1.58,3.4,4.47,-       
1.75,0.03,1.58,3.4,4.5,-       
1.8,0.03,1.59,3.4,4.53,gaze fixated: p_3_2
1.85,0.03,1.57,3.4,4.55,-       
1.9,0.03,1.57,3.4,4.56,-       
1.95,0.03,1.56,3.4,4.56,-       
2.0,0.03,1.56,3.4,4.55,-       
2.05,0.04,1.55,3.4,4.57,-       
2.1,0.06,1.31,3.4,4.58,-       
2.15,0.07,1.31,3.4,4.53,-       
2.2,0.07,1.32,3.4,4.53,gaze started: p_4_2
2.25,0.08,1.31,3.4,4.52,-       
2.3,0.54,0.77,-0.3,,-       
2.35,0.55,0.77,-0.3,,-       
2.4,0.54,0.77,-0.3,,-       
2.45,0.54,0.77,-0.3,,-       
2.5,0.54,0.77,-0.3,,-       
2.55,0.54,0.77,-0.3,,-       
2.6,0.54,0.77,-0.3,,-       
2.65,0.64,1.38,3.4,3.23,-       
2.7,0.62,1.35,3.4,3.11,gaze started: p_3_3
2.75,0.64,1.37,3.4,2.99,-       
2.8,0.64,1.35,3.4,2.97,-       
2.85,0.65,1.34,3.46,2.92,-       
2.9,0.65,1.34,3.46,2.88,-       
2.95,0.62,1.31,3.4,2.86,-       
3.0,0.63,1.34,3.4,2.85,gaze started: p_4_3
3.05,0.64,1.34,3.46,2.83,gaze started: p_3_3
3.1,0.64,1.34,3.46,2.83,-       
3.15,0.64,1.33,3.46,2.84,-       
3.2,0.63,1.35,3.4,2.82,-       
3.25,0.6,1.34,3.4,2.81,gaze started: p_3_3
3.3,0.59,1.35,3.4,2.81,-       
3.35,0.1,1.57,3.4,2.85,-       
3.4,0.07,1.58,3.4,2.89,gaze started: p_3_2
3.45,0.54,0.78,-0.31,,-       
3.5,0.54,0.78,-0.31,,-       
3.55,0.54,0.78,-0.31,,-       
3.6,0.54,0.78,-0.32,,-       
3.65,0.54,0.78,-0.31,,-       
3.7,0.54,0.78,-0.31,,-       
3.75,0.36,1.53,3.4,3.19,-       
3.8,0.24,1.72,3.4,3.08,gaze started: p_3_3
3.85,0.18,1.82,3.4,3.2,-       
3.9,0.18,1.82,3.4,3.2,-       
3.95,0.18,1.81,3.4,3.21,gaze started: p_2_3
4.0,0.14,1.86,3.4,3.15,-       
4.05,0.07,2.07,3.4,3.16,gaze started: p_2_2
4.1,0.05,2.07,3.4,3.15,-       
4.15,0.06,2.07,3.4,3.15,-       
4.2,0.01,2.16,3.4,3.16,-       
4.25,0.01,2.17,3.4,3.16,-       
4.3,0.01,2.17,3.4,3.15,-       
4.35,0.45,2.17,3.4,3.19,gaze fixated: p_2_2
4.4,0.47,2.16,3.4,3.2,gaze started: p_2_3
4.45,0.48,2.16,3.4,3.22,-       
4.5,0.54,0.78,-0.31,,-       
4.55,0.54,0.78,-0.31,,-       
4.6,0.54,0.78,-0.31,,-       
4.65,0.27,1.82,3.4,3.37,-       
4.7,0.22,1.82,3.46,3.36,gaze started: p_2_3
4.75,0.23,1.81,3.46,3.35,-       
4.8,0.24,1.81,3.46,3.39,-       
4.85,0.23,1.79,3.4,3.47,-       
4.9,0.29,1.54,3.4,3.48,gaze started: p_3_3
4.95,0.3,1.38,3.4,3.36,-       
5.0,0.34,1.42,3.4,3.36,-       
5.05,0.32,1.38,3.4,3.37,-       
5.1,0.31,1.39,3.4,3.37,-       
5.15,0.32,1.4,3.4,3.37,gaze fixated: p_3_3
5.2,0.31,1.39,3.4,3.37,-       
5.25,0.52,1.34,3.4,3.37,-       
5.3,1.11,1.3,3.4,3.43,-       
5.35,1.11,1.24,3.4,3.37,gaze started: p_4_4
5.4,1.11,1.24,3.4,3.35,-       
5.45,1.05,1.21,3.4,3.18,-       
5.5,0.54,0.78,-0.31,,-       
5.55,0.54,0.78,-0.31,,-       
5.6,0.54,0.78,-0.31,,-       
5.65,0.19,1.71,3.4,3.06,-       
5.7,0.16,1.71,3.4,2.97,gaze started: p_3_3
5.75,0.19,1.71,3.4,2.99,-       
5.8,0.18,1.71,3.4,2.99,-       
5.85,0.19,1.7,3.4,2.99,-       
5.9,0.19,1.7,3.4,3.02,-       
5.95,0.19,1.69,3.4,3.06,-       
6.0,0.19,1.71,3.4,3.13,gaze fixated: p_3_3
6.05,0.54,0.78,-0.31,,gaze ended: p_3_3
6.1,0.54,0.78,-0.31,,-       
6.15,0.54,0.78,-0.31,,-       
6.2,0.54,0.78,-0.31,,-       
6.25,0.54,0.78,-0.31,,-       
6.3,0.55,0.78,-0.31,,-       
6.35,0.54,0.78,-0.31,,-       
6.4,0.54,0.78,-0.31,,-       
6.45,0.54,0.78,-0.31,,-       
6.5,0.55,0.78,-0.31,,-       
6.55,0.54,0.78,-0.31,,-       
6.6,0.27,1.19,3.4,3.04,-       
6.65,0.55,0.78,-0.31,,gaze started: p_4_3
6.7,0.54,0.78,-0.31,,-       
6.75,0.55,0.78,-0.31,,-       
6.8,0.55,0.78,-0.31,,-       
6.85,0.55,0.78,-0.31,,-       
6.9,0.55,0.78,-0.31,,-       
6.95,0.31,1.22,3.4,3.08,-       
7.0,0.25,1.35,3.4,2.99,-       
7.05,0.27,1.33,3.46,3.05,gaze started: p_3_3
7.1,0.27,1.34,3.46,3.04,-       
7.15,0.26,1.3,3.4,3.03,-       
7.2,0.24,1.3,3.4,2.88,gaze started: p_4_3
7.25,0.25,1.32,3.4,2.92,-       
7.3,0.25,1.32,3.4,2.82,-       
7.35,0.26,1.33,3.46,2.76,-       
7.4,0.25,1.32,3.4,2.73,-       
7.45,0.25,1.38,3.4,2.75,-       
7.5,0.25,1.43,3.4,2.86,gaze started: p_3_3
7.55,0.26,1.39,3.4,2.8,-       
7.6,0.25,1.39,3.4,2.79,-       
7.65,0.26,1.39,3.4,2.78,-       
7.7,0.26,1.39,3.4,2.76,-       
7.75,0.23,1.4,3.4,2.74,-       
7.8,0.24,1.37,3.4,2.74,gaze fixated: p_3_3
7.85,0.25,1.36,3.4,2.72,-       
7.9,0.25,1.37,3.4,2.71,-       
7.95,0.24,1.37,3.4,2.7,-       
8.0,0.25,1.36,3.4,2.7,-       
8.05,0.25,1.37,3.4,2.7,-       
8.1,0.26,1.38,3.4,2.7,-       
8.15,0.25,1.38,3.4,2.73,-       
8.2,0.2,1.51,3.4,2.75,-       
8.25,0.2,1.59,3.4,2.77,-       
8.3,0.21,1.59,3.4,2.79,-       
8.35,0.26,1.55,3.4,2.81,-       
8.4,0.24,1.54,3.4,2.81,-       
8.45,0.23,1.54,3.4,2.8,-       
8.5,0.24,1.65,3.4,2.77,-       
8.55,0.25,1.81,3.46,2.7,gaze ended: p_3_3
8.6,0.24,1.78,3.4,2.72,-       
8.65,0.24,1.78,3.4,2.72,gaze started: p_3_3
8.7,0.26,1.87,3.4,2.68,-       
8.75,0.24,1.87,3.4,2.68,gaze started: p_2_3
8.8,0.24,1.87,3.4,2.69,-       
8.85,0.23,1.87,3.4,2.69,-       
8.9,0.23,1.86,3.4,2.7,-       
8.95,0.24,1.86,3.4,2.72,-       
9.0,0.25,1.86,3.4,2.75,-       
9.05,0.21,1.86,3.4,2.78,gaze fixated: p_2_3
9.1,0.54,0.78,-0.31,,gaze ended: p_2_3
9.15,0.54,0.78,-0.31,,-       
9.2,0.54,0.78,-0.31,,-       
9.25,0.54,0.78,-0.31,,-       
9.3,0.54,0.78,-0.31,,-       
9.35,0.54,0.78,-0.31,,-       
9.4,0.23,1.87,3.4,3.06,-       
9.45,0.23,1.84,3.4,2.92,gaze started: p_2_3
9.5,0.18,1.92,3.4,2.96,-       
9.55,0.22,1.88,3.4,3.0,-       
9.6,0.23,1.89,3.4,2.98,-       
9.65,0.22,1.88,3.4,2.92,-       
9.7,0.27,1.86,3.4,2.86,gaze fixated: p_2_3
9.75,0.27,1.86,3.4,2.85,-       
9.8,0.27,1.86,3.4,2.81,-       
9.85,0.27,1.85,3.4,2.82,-       
9.9,0.26,1.85,3.4,2.83,-       
9.95,0.25,1.76,3.4,2.87,-       
10.0,0.25,1.75,3.4,2.9,gaze started: p_3_3
10.05,0.26,1.74,3.4,2.9,-       
10.1,0.24,1.83,3.4,2.94,-       
10.15,0.24,1.86,3.4,2.94,gaze started: p_2_3
10.2,0.22,1.87,3.4,2.97,-       
10.25,0.22,1.86,3.4,2.95,-       
10.3,0.23,1.86,3.4,2.95,-       
10.35,0.22,1.86,3.4,2.88,-       
10.4,0.54,0.78,-0.31,,-       
10.45,0.54,0.78,-0.31,,-       
10.5,0.54,0.78,-0.31,,-       
10.55,0.54,0.78,-0.31,,-       
10.6,0.54,0.78,-0.31,,-       
10.65,0.54,0.78,-0.31,,-       
10.7,0.62,1.01,3.4,3.16,-       
10.75,0.58,1.0,3.4,3.21,gaze started: p_4_3
10.8,0.54,0.78,-0.31,,-       
