time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.62,2.37,3.4,3.8,-       
0.05,-0.57,2.4,3.4,3.7,gaze fixated: p_1_2
0.1,-0.43,2.45,3.4,3.64,-       
0.15,-0.45,2.43,3.4,3.62,-       
0.2,-0.45,2.44,3.4,3.62,-       
0.25,-0.44,2.43,3.4,3.64,-       
0.3,-0.44,2.43,3.4,3.64,-       
0.35,-0.46,2.42,3.4,3.65,-       
0.4,-0.46,2.42,3.4,3.66,-       
0.45,-0.47,2.43,3.4,3.66,-       
0.5,-0.46,2.43,3.4,3.69,-       
0.55,-0.45,2.46,3.4,3.67,-       
0.6,-0.45,2.46,3.4,3.67,-       
0.65,-0.45,2.46,3.4,3.67,-       
0.7,-0.45,2.46,3.4,3.67,-       
0.75,-0.45,2.46,3.4,3.67,-       
0.8,-0.45,2.46,3.4,3.67,-       
0.85,-0.45,2.46,3.4,3.67,-       
0.9,-0.45,2.46,3.4,3.67,-       
0.95,-0.45,2.46,3.4,3.67,-       
1.0,-0.45,2.46,3.4,3.67,-       
1.05,-0.45,2.46,3.4,3.67,-       
1.1,-0.46,2.44,3.4,3.62,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_diet_30s_50wd.mp4
1.15,-0.45,2.45,3.4,3.65,-       
1.2,-0.46,2.44,3.4,3.68,-       
1.25,-0.46,2.44,3.4,3.71,-       
1.3,-0.46,2.44,3.4,3.71,-       
1.35,-0.46,2.43,3.4,3.73,-       
1.4,-0.46,2.43,3.4,3.73,-       
1.45,-0.46,2.43,3.4,3.77,-       
1.5,-0.46,2.43,3.4,3.77,-       
1.55,0.63,0.76,-0.3,,-       
1.6,0.63,0.76,-0.3,,gaze ended: p_1_2
1.65,0.63,0.76,-0.3,,-       
1.7,0.63,0.76,-0.3,,-       
1.75,0.63,0.76,-0.3,,-       
1.8,0.63,0.76,-0.3,,-       
1.85,0.63,0.76,-0.3,,-       
1.9,0.63,0.76,-0.3,,-       
1.95,0.63,0.76,-0.3,,-       
2.0,0.63,0.76,-0.3,,-       
2.05,0.63,0.77,-0.3,,-       
2.1,0.63,0.77,-0.3,,-       
2.15,0.63,0.76,-0.3,,-       
2.2,0.64,0.76,-0.3,,-       
2.25,0.63,0.76,-0.3,,-       
2.3,-0.61,2.31,3.4,4.07,-       
2.35,-0.49,2.26,3.4,4.33,gaze started: p_1_2
2.4,-0.45,2.22,3.4,4.28,gaze started: p_2_2
2.45,0.63,0.76,-0.3,,-       
2.5,0.63,0.76,-0.3,,-       
2.55,0.63,0.76,-0.3,,-       
2.6,0.63,0.76,-0.3,,-       
2.65,0.63,0.76,-0.3,,-       
2.7,0.63,0.76,-0.3,,-       
2.75,0.63,0.76,-0.3,,-       
2.8,-0.29,2.3,3.4,2.89,-       
2.85,-0.35,2.28,3.4,2.77,gaze started: p_1_2
2.9,-0.27,2.31,3.4,2.78,-       
2.95,-0.28,2.31,3.4,2.76,-       
3.0,-0.39,2.28,3.4,2.73,-       
3.05,-0.4,2.29,3.46,2.69,-       
3.1,-0.28,2.29,3.4,2.65,-       
3.15,-0.38,2.26,3.4,2.63,gaze started: p_1_2
3.2,-0.37,2.26,3.4,2.61,gaze started: p_2_2
3.25,-0.37,2.26,3.4,2.6,-       
3.3,-0.28,2.28,3.4,2.59,-       
3.35,-0.3,2.29,3.4,2.57,gaze started: p_1_2
3.4,0.63,0.76,-0.3,,-       
3.45,0.63,0.76,-0.3,,-       
3.5,0.63,0.77,-0.3,,-       
3.55,0.63,0.76,-0.3,,-       
3.6,0.63,0.76,-0.3,,-       
3.65,0.63,0.76,-0.3,,-       
3.7,0.07,1.65,3.4,2.63,-       
3.75,0.08,1.65,3.4,2.74,gaze started: p_3_2
3.8,0.22,1.65,3.4,2.75,-       
3.85,0.17,1.65,3.4,2.76,gaze started: p_3_3
3.9,0.09,1.65,3.4,2.7,-       
3.95,0.09,1.65,3.4,2.7,-       
4.0,0.15,1.65,3.4,2.71,gaze started: p_3_2
4.05,0.25,1.67,3.4,2.69,gaze started: p_3_3
4.1,0.24,1.66,3.4,2.63,-       
4.15,0.09,1.65,3.4,2.59,-       
4.2,0.13,1.66,3.46,2.53,gaze started: p_3_2
4.25,0.25,1.65,3.4,2.52,-       
4.3,0.23,1.64,3.4,2.51,gaze started: p_3_3
4.35,0.22,1.64,3.4,2.52,-       
4.4,0.22,1.64,3.4,2.53,-       
4.45,0.22,1.64,3.4,2.53,-       
4.5,0.22,1.64,3.4,2.53,-       
4.55,0.21,1.64,3.4,2.57,gaze fixated: p_3_3
4.6,0.22,1.64,3.4,2.61,-       
4.65,0.22,1.65,3.4,2.7,-       
4.7,0.21,1.64,3.4,2.74,-       
4.75,0.21,1.64,3.4,2.77,-       
4.8,0.21,1.63,3.4,2.86,-       
4.85,0.18,1.63,3.4,2.91,-       
4.9,0.32,1.62,3.4,2.94,-       
4.95,0.31,1.62,3.4,2.99,-       
5.0,0.18,1.63,3.4,3.05,-       
5.05,0.19,1.63,3.4,3.13,-       
5.1,0.18,1.63,3.4,3.18,-       
5.15,0.19,1.62,3.4,3.19,-       
5.2,0.22,1.62,3.4,3.21,-       
5.25,0.21,1.62,3.4,3.19,-       
5.3,0.2,1.61,3.4,3.18,-       
5.35,0.2,1.62,3.4,3.17,-       
5.4,0.2,1.61,3.4,3.19,-       
5.45,0.21,1.61,3.4,3.2,-       
5.5,0.21,1.62,3.4,3.21,-       
5.55,0.21,1.62,3.4,3.21,-       
5.6,0.2,1.66,3.4,3.08,-       
5.65,0.14,1.84,3.46,3.03,-       
5.7,0.19,1.85,3.4,3.01,gaze ended: p_3_3
5.75,0.22,1.85,3.4,3.03,gaze started: p_2_3
5.8,0.21,1.85,3.4,2.99,-       
5.85,0.1,1.83,3.4,2.97,-       
5.9,0.11,1.82,3.4,2.97,gaze started: p_2_2
5.95,0.2,1.83,3.4,2.98,-       
6.0,0.2,1.83,3.4,2.98,-       
6.05,0.18,1.83,3.4,3.02,-       
6.1,0.18,1.83,3.4,3.02,-       
6.15,0.18,1.83,3.4,3.06,-       
6.2,0.22,1.83,3.4,3.07,-       
6.25,0.19,1.82,3.4,3.16,-       
6.3,0.18,1.82,3.4,3.21,gaze fixated: p_2_3
6.35,0.18,1.82,3.4,3.25,-       
6.4,0.18,1.82,3.4,3.32,-       
6.45,0.17,1.82,3.4,3.4,-       
6.5,0.17,1.82,3.4,3.4,-       
6.55,0.18,1.81,3.4,3.47,-       
6.6,0.18,1.81,3.4,3.47,-       
6.65,0.09,1.82,3.46,3.5,-       
6.7,0.09,1.82,3.46,3.5,-       
6.75,0.19,1.82,3.4,3.54,gaze started: p_2_3
6.8,0.19,1.82,3.4,3.54,gaze started: p_2_3
6.85,0.09,1.81,3.4,3.53,-       
6.9,0.09,1.81,3.4,3.53,-       
6.95,0.18,1.82,3.4,3.53,gaze started: p_2_2
7.0,0.18,1.82,3.4,3.57,gaze started: p_2_3
7.05,0.19,1.82,3.46,3.59,-       
7.1,0.19,1.82,3.46,3.6,-       
7.15,0.18,1.81,3.4,3.61,-       
7.2,0.18,1.81,3.4,3.64,gaze started: p_2_3
7.25,0.18,1.81,3.4,3.67,-       
7.3,0.18,1.82,3.46,3.71,-       
7.35,0.13,1.82,3.46,3.74,-       
7.4,0.07,1.81,3.4,3.76,-       
7.45,0.16,1.81,3.4,3.78,gaze started: p_2_2
7.5,0.16,1.82,3.46,3.8,gaze started: p_2_3
7.55,0.17,1.82,3.46,3.82,-       
7.6,0.17,1.82,3.46,3.83,-       
7.65,0.17,1.81,3.4,3.83,-       
7.7,0.17,1.81,3.4,3.83,gaze started: p_2_3
7.75,0.16,1.81,3.4,3.83,-       
7.8,0.16,1.82,3.4,3.82,-       
7.85,0.17,1.82,3.4,3.79,-       
7.9,0.18,1.81,3.4,3.8,-       
7.95,0.19,1.81,3.4,3.79,-       
8.0,0.07,1.83,3.4,3.79,gaze fixated: p_2_3
8.05,0.16,1.81,3.46,3.82,gaze started: p_2_2
8.1,0.17,1.81,3.46,3.84,-       
8.15,0.17,1.81,3.46,3.87,-       
8.2,0.17,1.81,3.46,3.87,-       
8.25,0.11,1.86,3.4,3.94,-       
8.3,0.13,1.86,3.4,3.93,gaze started: p_2_2
8.35,0.13,1.86,3.4,3.93,-       
