time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.09,1.72,3.4,3.47,-       
0.05,-0.06,1.69,3.4,3.5,-       
0.1,-0.02,1.71,3.4,3.6,-       
0.15,0.23,1.81,3.46,3.54,gaze started: p_2_3
0.2,0.22,1.81,3.4,3.54,-       
0.25,0.25,1.8,3.46,3.47,gaze started: p_2_3
0.3,0.26,1.79,3.4,3.44,-       
0.35,0.26,1.79,3.4,3.44,-       
0.4,0.26,1.79,3.4,3.44,-       
0.45,0.26,1.79,3.4,3.44,-       
0.5,0.26,1.79,3.4,3.44,-       
0.55,0.26,1.79,3.4,3.44,-       
0.6,0.26,1.79,3.4,3.44,-       
0.65,0.26,1.79,3.4,3.44,-       
0.7,0.26,1.79,3.4,3.44,-       
0.75,0.41,1.97,3.4,3.15,gaze started: p_3_3
0.8,0.41,1.97,3.4,3.15,gaze started: p_3_3
0.85,0.41,1.97,3.4,3.15,gaze started: p_3_3
0.9,0.65,1.99,3.4,3.21,gaze started: p_2_3
0.95,0.65,2.0,3.4,3.18,-       
1.0,0.64,1.99,3.4,3.18,-       
1.05,0.64,1.99,3.4,3.17,gaze fixated: p_2_3
1.1,0.64,1.99,3.4,3.17,-       
1.15,0.64,1.99,3.4,3.15,-       
1.2,0.65,2.01,3.4,3.2,-       
1.25,0.08,1.65,3.4,3.13,-       
1.3,-0.43,1.33,3.46,3.13,-       
1.35,-0.54,1.35,3.4,3.13,-       
1.4,-0.49,1.34,3.4,3.15,gaze started: p_3_2
1.45,-0.41,1.34,3.4,3.19,-       
1.5,-0.97,0.99,3.4,3.34,-       
1.55,-1.32,0.87,3.4,3.43,gaze started: p_4_1
1.6,-1.34,0.84,3.43,3.38,-       
1.65,-1.34,0.84,3.39,3.43,-       
1.7,-1.33,0.84,3.39,3.46,-       
1.75,-1.35,0.84,3.45,3.53,-       
1.8,-0.67,1.75,3.4,3.61,-       
1.85,0.97,0.84,-0.73,,gaze started: p_3_2
1.9,0.97,0.84,-0.73,,-       
1.95,0.97,0.84,-0.73,,-       
2.0,-0.07,2.24,3.4,3.7,-       
2.05,-0.11,2.31,3.4,3.79,gaze started: p_2_2
2.1,-0.03,2.32,3.4,3.79,gaze started: p_1_2
2.15,-0.03,2.25,3.4,3.71,-       
2.2,-0.04,2.24,3.4,3.62,gaze started: p_2_2
2.25,-0.06,2.23,3.4,3.57,-       
2.3,-0.07,2.25,3.4,3.52,-       
2.35,-0.03,2.26,3.4,3.32,-       
2.4,-0.03,2.28,3.46,3.28,gaze started: p_2_2
2.45,-0.02,2.26,3.4,3.26,-       
2.5,-0.04,2.28,3.46,3.23,-       
2.55,-0.03,2.24,3.4,3.16,-       
2.6,0.12,1.78,3.4,3.02,gaze started: p_2_2
2.65,0.28,1.42,3.4,2.97,gaze started: p_3_2
2.7,0.1,1.42,3.4,2.93,gaze started: p_3_2
2.75,0.14,1.43,3.46,2.93,-       
2.8,0.12,1.43,3.4,2.89,-       
2.85,0.17,1.42,3.4,2.89,gaze started: p_3_2
2.9,0.16,1.42,3.4,2.86,gaze started: p_3_3
2.95,0.17,1.43,3.4,2.85,-       
3.0,0.16,1.43,3.4,2.85,-       
3.05,0.16,1.43,3.4,2.83,-       
3.1,0.15,1.43,3.4,2.81,-       
3.15,-0.14,1.01,3.4,2.73,gaze fixated: p_3_3
3.2,-0.13,0.53,3.53,2.74,-       
3.25,-0.21,0.53,3.5,2.74,-       
3.3,-0.23,0.53,3.5,2.77,-       
3.35,-0.21,0.53,3.14,2.86,-       
3.4,-0.2,0.53,3.13,2.81,-       
3.45,-0.2,0.53,3.12,2.82,-       
3.5,-0.2,0.53,3.11,2.81,-       
3.55,-0.19,0.53,3.1,2.83,-       
3.6,-0.19,0.53,3.1,2.86,-       
3.65,0.0,0.94,3.4,2.99,-       
3.7,0.15,1.58,3.4,3.12,gaze started: p_3_3
3.75,0.12,1.54,3.4,3.06,-       
3.8,0.09,1.55,3.4,3.07,gaze started: p_3_2
3.85,0.08,1.56,3.4,3.04,-       
3.9,0.13,1.56,3.4,3.05,-       
3.95,0.18,1.56,3.4,3.01,gaze started: p_3_3
4.0,0.17,1.57,3.4,2.98,-       
4.05,0.27,1.71,3.4,2.91,-       
4.1,0.21,1.7,3.4,2.95,-       
4.15,0.24,1.7,3.4,2.93,-       
4.2,0.25,1.7,3.4,2.93,-       
4.25,0.02,2.03,3.4,3.04,gaze fixated: p_3_3
4.3,-0.03,2.04,3.4,3.11,gaze started: p_2_2
4.35,0.01,2.08,3.4,3.13,-       
4.4,0.01,2.07,3.4,3.13,-       
4.45,-0.06,2.03,3.4,3.09,-       
4.5,0.97,0.84,-0.73,,-       
4.55,0.97,0.84,-0.73,,-       
4.6,0.97,0.84,-0.73,,-       
4.65,0.97,0.84,-0.73,,-       
4.7,0.97,0.84,-0.73,,-       
4.75,0.97,0.84,-0.73,,-       
4.8,0.97,0.84,-0.73,,-       
4.85,0.97,0.84,-0.73,,-       
