time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.93,0.86,-0.56,,-       
0.05,0.93,0.86,-0.55,,-       
0.1,0.93,0.86,-0.55,,-       
0.15,0.93,0.86,-0.56,,-       
0.2,0.12,1.57,3.4,3.84,-       
0.25,0.06,1.51,3.4,3.88,gaze started: p_3_2
0.3,0.11,1.53,3.4,3.9,-       
0.35,0.11,1.53,3.4,3.9,-       
0.4,0.11,1.53,3.4,3.9,-       
0.45,0.11,1.53,3.4,3.9,-       
0.5,0.11,1.53,3.4,3.9,-       
0.55,0.11,1.53,3.4,3.9,-       
0.6,0.11,1.53,3.4,3.9,-       
0.65,0.11,1.53,3.4,3.9,-       
0.7,0.11,1.53,3.4,3.9,-       
0.75,0.11,1.53,3.4,3.9,-       
0.8,0.07,1.54,3.4,3.8,gaze fixated: p_3_2
0.85,0.07,1.54,3.4,3.8,gaze fixated: p_3_2
0.9,0.07,1.54,3.4,3.8,gaze fixated: p_3_2
0.95,0.08,1.53,3.4,3.78,-       
1.0,0.1,1.54,3.4,3.76,-       
1.05,0.1,1.54,3.4,3.76,-       
1.1,0.12,1.53,3.4,3.74,-       
1.15,0.1,1.53,3.4,3.74,-       
1.2,0.09,1.54,3.4,3.73,-       
1.25,0.09,1.54,3.4,3.74,-       
1.3,0.06,1.57,3.4,3.75,-       
1.35,0.07,1.57,3.4,3.77,-       
1.4,0.08,1.57,3.4,3.77,-       
1.45,0.08,1.57,3.4,3.79,-       
1.5,0.06,1.59,3.4,3.81,-       
1.55,0.09,1.57,3.4,3.84,-       
1.6,0.12,1.56,3.4,3.89,-       
1.65,0.14,1.56,3.46,3.91,-       
1.7,0.14,1.56,3.46,3.91,gaze ended: p_3_2
1.75,0.14,1.57,3.46,3.93,-       
1.8,0.07,1.48,3.4,3.63,-       
1.85,0.07,1.48,3.4,3.63,-       
1.9,0.94,0.86,-0.56,,gaze started: p_3_2
1.95,0.94,0.86,-0.56,,-       
2.0,0.94,0.86,-0.56,,-       
2.05,0.94,0.86,-0.56,,-       
2.1,0.94,0.86,-0.56,,-       
2.15,0.06,1.52,3.4,3.98,-       
2.2,0.1,1.54,3.4,3.99,gaze started: p_3_2
2.25,0.1,1.53,3.4,3.99,-       
2.3,0.11,1.54,3.4,3.97,-       
