time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.61,2.06,3.4,3.01,-       
0.05,-0.61,2.07,3.4,2.99,-       
0.1,-0.49,2.07,3.4,2.99,-       
0.15,-0.52,2.08,3.4,3.02,gaze fixated: p_2_2
0.2,-0.53,2.08,3.4,2.96,-       
0.25,-0.52,2.07,3.4,2.95,-       
0.3,-0.57,1.98,3.4,2.9,-       
0.35,-0.59,1.98,3.4,2.94,-       
0.4,-0.6,1.98,3.4,2.95,-       
0.45,0.01,1.94,3.4,2.93,-       
0.5,0.01,1.94,3.4,2.93,-       
0.55,0.01,1.94,3.4,2.93,-       
0.6,0.01,1.94,3.4,2.93,-       
0.65,0.01,1.94,3.4,2.93,-       
0.7,0.01,1.94,3.4,2.93,-       
0.75,0.01,1.94,3.4,2.93,-       
0.8,0.01,1.94,3.4,2.93,-       
0.85,0.01,1.94,3.4,2.93,-       
0.9,0.07,1.89,3.4,2.84,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_drunk_driving_30s_100.mp4
0.95,0.07,1.89,3.4,2.84,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_drunk_driving_30s_100.mp4
1.0,0.07,1.89,3.4,2.84,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_drunk_driving_30s_100.mp4
1.05,0.07,1.88,3.4,2.85,-       
1.1,0.07,1.88,3.4,2.83,-       
1.15,0.07,1.86,3.4,2.86,-       
1.2,-0.03,1.96,3.4,2.86,-       
1.25,0.94,0.83,-0.51,,-       
1.3,0.94,0.83,-0.51,,gaze ended: p_2_2
1.35,0.93,0.83,-0.51,,-       
1.4,0.93,0.83,-0.51,,-       
1.45,0.93,0.83,-0.51,,-       
1.5,0.93,0.83,-0.51,,-       
1.55,0.93,0.83,-0.51,,-       
1.6,0.93,0.83,-0.51,,-       
1.65,0.93,0.83,-0.51,,-       
1.7,0.93,0.83,-0.51,,-       
1.75,0.93,0.83,-0.51,,-       
1.8,0.93,0.83,-0.51,,-       
1.85,0.93,0.83,-0.51,,-       
1.9,0.93,0.83,-0.51,,-       
1.95,0.93,0.83,-0.51,,-       
2.0,0.93,0.83,-0.51,,-       
2.05,-0.45,2.11,3.4,3.59,-       
2.1,-0.51,2.1,3.4,3.47,-       
2.15,-0.52,2.11,3.4,3.38,-       
2.2,-0.55,2.16,3.4,3.48,-       
2.25,-0.54,2.14,3.4,3.4,-       
2.3,-0.52,2.14,3.4,3.4,-       
2.35,-0.52,2.14,3.4,3.4,gaze fixated: p_2_2
2.4,-0.18,1.98,3.4,3.16,-       
2.45,0.93,0.83,-0.51,,-       
2.5,0.93,0.83,-0.51,,gaze ended: p_2_2
2.55,0.93,0.83,-0.51,,-       
2.6,0.93,0.83,-0.51,,-       
2.65,0.93,0.83,-0.51,,-       
2.7,0.93,0.83,-0.51,,-       
2.75,0.93,0.83,-0.51,,-       
2.8,0.23,1.84,3.4,2.44,gaze started: p_2_3
2.85,0.25,1.84,3.4,2.39,-       
2.9,0.16,1.85,3.4,2.44,-       
2.95,0.17,1.84,3.4,2.46,-       
3.0,0.22,1.82,3.4,2.48,-       
3.05,0.23,1.82,3.4,2.47,-       
3.1,0.21,1.81,3.4,2.46,gaze fixated: p_2_3
3.15,0.21,1.81,3.4,2.47,-       
3.2,0.23,1.81,3.4,2.43,gaze ended: p_2_3
3.25,0.23,1.81,3.4,2.43,gaze ended: p_2_3
3.3,0.01,1.81,3.46,2.38,gaze started: p_3_2
3.35,-0.02,1.81,3.46,2.4,-       
3.4,-0.01,1.8,3.46,2.4,-       
3.45,-0.17,2.06,3.4,2.36,-       
3.5,-0.13,2.13,3.4,2.41,gaze started: p_2_2
3.55,-0.15,2.12,3.4,2.39,-       
3.6,-0.18,2.14,3.4,2.43,-       
3.65,-0.19,2.14,3.4,2.44,-       
3.7,-0.19,2.14,3.4,2.45,-       
3.75,-0.18,2.14,3.4,2.48,-       
3.8,-0.2,2.13,3.4,2.52,gaze fixated: p_2_2
3.85,0.93,0.83,-0.51,,-       
3.9,0.93,0.83,-0.51,,gaze ended: p_2_2
3.95,0.93,0.83,-0.51,,-       
