time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.86,1.58,3.4,2.84,-       
0.05,-0.86,1.58,3.4,2.84,-       
0.1,-0.85,1.58,3.4,2.85,-       
0.15,-0.85,1.58,3.4,2.85,-       
0.2,-0.85,1.58,3.4,2.86,-       
0.25,-0.85,1.58,3.4,2.86,-       
0.3,-0.84,1.58,3.4,2.87,-       
0.35,-0.84,1.58,3.4,2.87,-       
0.4,-0.84,1.58,3.4,2.85,-       
0.45,-0.84,1.58,3.4,2.85,-       
0.5,-0.84,1.58,3.4,2.85,-       
0.55,-0.84,1.58,3.4,2.85,-       
0.6,-0.84,1.58,3.4,2.85,-       
0.65,-0.84,1.58,3.4,2.85,-       
0.7,-0.84,1.58,3.4,2.85,-       
0.75,-0.84,1.58,3.4,2.85,-       
0.8,-0.84,1.58,3.4,2.85,-       
0.85,-0.84,1.58,3.4,2.85,-       
0.9,-0.94,1.64,3.4,2.82,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_drunk_driving_30s_50nd.mp4
0.95,-0.94,1.64,3.4,2.82,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_drunk_driving_30s_50nd.mp4
1.0,-0.94,1.64,3.4,2.82,-       
1.05,-0.75,1.77,3.4,2.74,-       
1.1,-0.41,2.1,3.4,2.75,-       
1.15,-0.41,2.06,3.4,2.74,gaze started: p_2_2
1.2,-0.4,2.09,3.4,2.76,-       
1.25,-0.43,2.07,3.4,2.75,-       
1.3,-0.44,2.07,3.4,2.74,-       
1.35,-0.44,2.07,3.4,2.76,-       
1.4,-0.39,2.09,3.4,2.76,gaze fixated: p_2_2
1.45,-0.43,2.06,3.4,2.79,-       
1.5,-0.44,2.06,3.4,2.82,-       
1.55,-0.44,2.07,3.4,2.89,-       
1.6,-0.43,2.08,3.4,2.94,-       
1.65,-0.39,2.12,3.4,3.03,-       
1.7,-0.44,2.09,3.4,3.08,-       
1.75,-0.44,2.09,3.4,3.13,-       
1.8,-0.44,2.09,3.4,3.17,-       
1.85,-0.44,2.08,3.4,3.22,-       
1.9,-0.43,2.08,3.4,3.26,-       
1.95,-0.42,2.09,3.4,3.29,-       
2.0,-0.42,2.09,3.4,3.32,-       
2.05,-0.42,2.09,3.4,3.32,-       
2.1,-0.41,2.1,3.4,3.36,-       
2.15,-0.4,2.11,3.4,3.37,-       
2.2,-0.14,1.98,3.4,3.38,-       
2.25,-0.19,1.95,3.4,3.4,-       
2.3,-0.17,1.96,3.4,3.38,-       
2.35,-0.16,1.96,3.4,3.37,-       
2.4,0.0,1.85,3.4,3.11,-       
2.45,0.36,1.75,3.4,2.93,-       
2.5,0.38,1.75,3.4,2.85,gaze started: p_3_3
2.55,0.36,1.75,3.4,2.8,-       
2.6,0.34,1.76,3.4,2.64,-       
2.65,-0.06,1.8,3.46,2.45,-       
2.7,-0.31,1.81,3.46,2.44,-       
2.75,-0.23,1.79,3.4,2.42,-       
2.8,-0.23,1.78,3.4,2.41,gaze started: p_3_2
2.85,-0.23,1.77,3.4,2.39,-       
2.9,-0.22,1.76,3.4,2.34,-       
2.95,-0.23,1.77,3.4,2.34,-       
3.0,-0.4,1.89,3.4,2.38,-       
3.05,-0.38,1.88,3.4,2.33,gaze started: p_2_2
3.1,-0.33,1.88,3.4,2.33,-       
3.15,-0.32,1.88,3.4,2.33,-       
3.2,-0.32,1.89,3.4,2.32,-       
3.25,-0.13,1.93,3.4,2.31,-       
3.3,-0.06,1.93,3.4,2.32,-       
3.35,-0.11,1.94,3.4,2.32,gaze fixated: p_2_2
3.4,-0.11,1.94,3.4,2.34,-       
3.45,-0.11,1.94,3.4,2.37,-       
3.5,-0.17,1.96,3.4,2.45,-       
3.55,-0.11,1.94,3.4,2.46,-       
3.6,0.71,0.82,-0.36,,-       
3.65,0.7,0.82,-0.36,,gaze ended: p_2_2
3.7,0.68,0.82,-0.36,,-       
3.75,-0.04,1.91,3.4,2.64,-       
3.8,0.0,1.92,3.4,2.68,gaze started: p_2_2
3.85,-0.02,1.89,3.4,2.78,-       
3.9,0.0,1.92,3.4,2.7,-       
3.95,0.03,1.91,3.4,2.78,-       
4.0,0.1,1.88,3.4,2.77,-       
4.05,0.03,1.87,3.4,2.85,gaze fixated: p_2_2
4.1,-0.03,1.88,3.4,2.88,-       
4.15,0.65,0.83,-0.37,,-       
4.2,0.67,0.83,-0.38,,gaze ended: p_2_2
4.25,0.7,0.84,-0.39,,-       
4.3,0.73,0.84,-0.4,,-       
4.35,-0.31,1.67,3.4,2.9,-       
4.4,-0.22,1.66,3.4,2.86,gaze started: p_3_2
4.45,-0.09,1.67,3.4,2.92,-       
4.5,-0.07,1.73,3.4,2.93,-       
4.55,-0.08,1.8,3.46,3.0,-       
4.6,-0.16,1.81,3.46,2.94,-       
4.65,-0.14,1.81,3.4,3.0,-       
4.7,-0.14,1.81,3.4,2.96,gaze started: p_2_2
4.75,-0.05,1.92,3.4,3.0,-       
4.8,-0.0,1.92,3.4,2.95,-       
4.85,-0.0,1.91,3.4,2.95,-       
4.9,0.06,1.92,3.4,2.95,-       
4.95,0.06,1.93,3.4,2.98,gaze fixated: p_2_2
5.0,0.07,1.94,3.4,3.0,-       
5.05,0.08,1.93,3.4,2.98,-       
5.1,0.07,1.9,3.4,2.94,-       
5.15,0.04,1.89,3.4,2.93,-       
5.2,0.04,1.87,3.4,2.91,-       
5.25,-0.0,1.88,3.4,2.9,-       
5.3,0.03,1.89,3.4,2.89,-       
5.35,-0.0,1.89,3.4,2.87,-       
5.4,-0.03,1.9,3.4,2.86,-       
5.45,0.06,1.91,3.4,2.82,-       
5.5,-0.0,1.91,3.4,2.77,-       
5.55,-0.06,1.87,3.4,2.75,-       
5.6,0.91,0.8,-0.5,,-       
5.65,0.89,0.8,-0.49,,gaze ended: p_2_2
5.7,0.88,0.79,-0.49,,-       
5.75,0.79,0.86,-0.43,,-       
5.8,0.06,1.82,3.4,2.78,-       
5.85,0.06,1.82,3.4,2.79,gaze started: p_2_2
5.9,0.06,1.83,3.4,2.83,-       
5.95,0.06,1.82,3.4,2.82,-       
6.0,0.13,1.82,3.4,2.79,-       
6.05,0.15,1.83,3.4,2.81,-       
6.1,0.16,1.84,3.4,2.8,gaze started: p_2_3
6.15,0.13,1.85,3.4,2.79,-       
6.2,0.14,1.83,3.46,2.75,gaze started: p_2_2
6.25,0.15,1.82,3.4,2.71,-       
6.3,0.15,1.84,3.4,2.71,gaze started: p_2_3
6.35,0.15,1.85,3.4,2.7,-       
6.4,0.05,1.82,3.4,2.66,-       
6.45,0.75,0.84,-0.39,,gaze started: p_2_2
6.5,0.75,0.84,-0.38,,-       
6.55,0.74,0.84,-0.38,,-       
6.6,0.74,0.83,-0.37,,-       
6.65,0.73,0.83,-0.37,,-       
6.7,-0.26,1.83,3.4,2.83,-       
6.75,-0.27,1.83,3.4,2.82,gaze started: p_2_2
6.8,-0.18,1.84,3.4,2.83,-       
6.85,-0.24,1.84,3.4,2.84,-       
6.9,-0.12,1.82,3.4,2.86,-       
6.95,0.26,1.81,3.4,2.94,-       
7.0,0.17,1.81,3.46,2.84,gaze started: p_2_3
7.05,0.09,1.81,3.46,2.8,-       
7.1,0.15,1.81,3.46,2.82,-       
7.15,0.15,1.79,3.4,2.81,-       
7.2,0.2,1.79,3.4,2.8,gaze started: p_3_3
7.25,0.18,1.81,3.46,2.79,-       
7.3,0.11,1.79,3.4,2.79,-       
7.35,0.2,1.82,3.46,2.8,gaze started: p_3_2
7.4,0.1,1.79,3.4,2.81,-       
7.45,0.14,1.81,3.46,2.82,gaze started: p_3_2
7.5,0.11,1.8,3.46,2.86,-       
7.55,0.11,1.79,3.4,2.84,-       
7.6,0.17,1.8,3.46,2.83,gaze started: p_3_2
7.65,0.17,1.81,3.46,2.82,-       
7.7,0.17,1.81,3.46,2.81,-       
7.75,0.17,1.81,3.46,2.83,-       
7.8,0.17,1.8,3.46,2.83,-       
7.85,0.17,1.81,3.46,2.85,-       
7.9,0.17,1.81,3.46,2.88,-       
7.95,0.17,1.81,3.46,2.9,-       
8.0,0.17,1.81,3.46,2.92,-       
8.05,0.17,1.81,3.46,2.92,-       
8.1,0.16,1.81,3.46,2.98,-       
8.15,0.15,1.81,3.46,2.99,-       
8.2,0.15,1.8,3.46,2.99,-       
8.25,0.09,1.81,3.4,3.01,-       
8.3,0.1,1.82,3.46,3.02,gaze started: p_2_2
8.35,0.1,1.8,3.46,3.03,-       
8.4,0.1,1.82,3.4,3.03,-       
8.45,0.14,1.85,3.4,3.0,gaze started: p_2_2
8.5,0.15,1.86,3.4,2.98,gaze started: p_2_3
8.55,0.16,1.86,3.4,2.94,-       
8.6,0.15,1.86,3.4,2.87,-       
8.65,0.16,1.86,3.4,2.85,-       
8.7,0.15,1.86,3.4,2.81,-       
8.75,0.15,1.86,3.4,2.78,-       
8.8,0.16,1.86,3.4,2.76,gaze fixated: p_2_3
8.85,-0.02,1.97,3.4,2.77,-       
8.9,0.03,1.98,3.4,2.82,gaze started: p_2_2
8.95,0.02,1.96,3.4,2.84,-       
9.0,0.02,1.96,3.4,2.85,-       
9.05,0.15,1.89,3.4,2.86,-       
9.1,0.14,1.91,3.46,2.85,gaze started: p_2_3
9.15,0.17,1.9,3.4,2.85,-       
9.2,0.18,1.9,3.4,2.86,gaze started: p_2_3
9.25,0.18,1.9,3.4,2.86,-       
9.3,0.19,1.9,3.4,2.85,-       
9.35,0.18,1.9,3.4,2.86,-       
9.4,0.17,1.9,3.4,2.86,-       
9.45,0.17,1.9,3.4,2.87,-       
9.5,0.17,1.9,3.4,2.88,gaze fixated: p_2_3
9.55,0.17,1.9,3.4,2.89,-       
9.6,0.17,1.9,3.4,2.89,-       
9.65,0.17,1.9,3.4,2.86,-       
9.7,0.18,1.9,3.4,2.84,-       
9.75,0.17,1.9,3.4,2.8,-       
9.8,0.17,1.9,3.4,2.78,-       
9.85,0.18,1.91,3.4,2.78,-       
9.9,0.74,0.84,-0.4,,-       
9.95,0.74,0.84,-0.4,,gaze ended: p_2_3
10.0,0.74,0.84,-0.4,,-       
10.05,0.74,0.84,-0.41,,-       
10.1,-0.01,1.82,3.4,2.9,-       
10.15,-0.11,1.81,3.46,2.79,gaze started: p_2_2
10.2,-0.04,1.81,3.46,2.77,-       
10.25,0.15,1.83,3.4,2.84,-       
10.3,0.2,1.85,3.4,2.87,-       
10.35,0.07,1.91,3.4,2.86,gaze started: p_2_3
10.4,-0.31,2.18,3.4,2.8,gaze started: p_2_2
10.45,-0.33,2.17,3.4,2.77,-       
10.5,-0.35,2.15,3.4,2.77,-       
10.55,-0.34,2.18,3.4,2.8,-       
10.6,-0.47,2.46,3.4,2.86,-       
10.65,-0.43,2.48,3.4,2.86,gaze started: p_1_2
10.7,-0.42,2.47,3.4,2.89,-       
10.75,-0.41,2.48,3.4,2.92,-       
10.8,-0.38,2.47,3.4,2.95,-       
10.85,-0.34,2.45,3.4,3.0,-       
10.9,-0.34,2.45,3.4,3.11,gaze fixated: p_1_2
10.95,-0.49,2.53,3.4,3.29,-       
11.0,-0.5,2.52,3.4,3.31,-       
11.05,-0.5,2.52,3.4,3.33,-       
11.1,-0.48,2.53,3.4,3.38,-       
11.15,-0.5,2.52,3.4,3.43,-       
11.2,-0.48,2.52,3.4,3.47,-       
11.25,-0.49,2.52,3.4,3.51,-       
11.3,-0.5,2.53,3.4,3.59,-       
11.35,-0.51,2.52,3.4,3.64,-       
11.4,-0.5,2.53,3.4,3.66,-       
11.45,-0.5,2.54,3.4,3.69,-       
11.5,-0.5,2.55,3.4,3.78,-       
11.55,-0.5,2.54,3.4,3.81,-       
11.6,-0.56,2.53,3.4,3.91,-       
11.65,-0.62,2.54,3.4,3.97,-       
11.7,-0.62,2.54,3.4,4.01,-       
11.75,-0.61,2.54,3.4,4.02,-       
11.8,-0.6,2.54,3.4,4.04,-       
11.85,-0.57,2.55,3.4,4.12,-       
