time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.44,1.66,3.4,4.91,-       
0.05,0.47,1.69,3.4,4.87,-       
0.1,0.46,1.56,3.4,4.88,-       
0.15,0.46,1.55,3.4,4.87,-       
0.2,0.45,1.57,3.4,4.88,-       
0.25,0.44,1.62,3.4,4.99,gaze fixated: p_3_3
0.3,0.05,1.84,3.4,5.0,-       
0.35,0.05,1.84,3.4,5.0,-       
0.4,0.05,1.84,3.4,5.0,-       
0.45,0.05,1.84,3.4,5.0,-       
0.5,0.05,1.84,3.4,5.0,-       
0.55,0.05,1.84,3.4,5.0,-       
0.6,0.05,1.84,3.4,5.0,-       
0.65,0.05,1.84,3.4,5.0,-       
0.7,0.05,1.84,3.4,5.0,-       
0.75,0.05,1.84,3.4,5.0,-       
0.8,0.32,1.83,3.4,4.96,gaze started: p_2_2
0.85,0.32,1.83,3.4,4.96,gaze started: p_2_2
0.9,0.32,1.83,3.4,4.96,gaze started: p_2_2
0.95,0.29,1.85,3.4,4.97,gaze started: p_2_3
1.0,0.16,1.97,3.4,5.02,-       
1.05,0.16,1.99,3.4,4.99,-       
1.1,0.18,1.94,3.4,4.98,-       
1.15,0.2,1.89,3.4,4.98,-       
1.2,0.18,1.96,3.4,5.0,-       
1.25,0.16,1.97,3.4,4.99,-       
1.3,0.08,1.92,3.4,5.0,-       
1.35,0.09,1.9,3.4,4.98,-       
1.4,0.14,1.87,3.46,4.97,-       
1.45,0.14,1.87,3.46,4.96,-       
1.5,0.16,1.83,3.4,4.95,-       
1.55,0.14,1.91,3.46,4.98,gaze started: p_2_3
1.6,0.18,1.83,3.4,4.99,gaze started: p_2_2
1.65,0.18,1.83,3.4,5.0,gaze started: p_2_3
1.7,0.18,1.83,3.4,5.01,-       
1.75,0.19,1.82,3.4,5.02,-       
1.8,0.17,1.83,3.4,5.02,-       
1.85,0.17,1.82,3.4,5.03,-       
1.9,0.18,1.82,3.4,5.04,-       
1.95,0.22,1.88,3.4,5.02,-       
2.0,0.21,1.91,3.4,5.02,-       
2.05,0.23,1.85,3.4,5.02,-       
2.1,0.23,1.82,3.4,5.04,-       
2.15,0.26,1.83,3.4,5.07,-       
2.2,0.29,1.71,3.4,4.97,-       
2.25,0.19,1.94,3.4,5.2,gaze started: p_3_3
2.3,0.33,1.84,3.4,5.09,gaze started: p_2_3
2.35,0.39,1.9,3.4,4.73,-       
2.4,0.39,1.9,3.4,4.73,-       
2.45,0.37,1.94,3.4,4.33,-       
2.5,0.31,1.75,3.4,3.92,-       
2.55,0.34,1.67,3.4,3.84,gaze started: p_3_3
2.6,0.35,1.66,3.4,3.67,-       
2.65,0.34,1.66,3.4,3.61,-       
2.7,0.33,1.69,3.4,3.51,-       
2.75,0.35,1.66,3.4,3.42,-       
2.8,0.35,1.64,3.4,3.4,gaze fixated: p_3_3
2.85,0.35,1.64,3.4,3.31,-       
2.9,0.25,1.69,3.4,3.17,-       
2.95,0.18,1.71,3.4,3.22,-       
3.0,0.18,1.7,3.4,3.2,-       
3.05,0.27,1.64,3.4,3.19,-       
3.1,0.17,1.7,3.4,3.14,-       
3.15,0.17,1.7,3.4,3.14,-       
3.2,0.11,1.69,3.4,3.12,-       
