time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.8,2.68,3.4,4.24,gaze started: p_1_1
0.05,-0.76,2.66,3.4,4.23,-       
0.1,-0.76,2.66,3.4,4.26,-       
0.15,-0.75,2.68,3.4,4.26,-       
0.2,-0.75,2.66,3.4,4.28,-       
0.25,-0.5,2.65,3.4,4.26,-       
0.3,-0.51,2.66,3.4,4.2,-       
0.35,-0.51,2.66,3.4,4.19,-       
0.4,-0.51,2.66,3.4,4.17,-       
0.45,-0.5,2.64,3.4,4.18,-       
0.5,-0.82,2.67,3.4,4.22,gaze started: p_1_1
0.55,-0.82,2.67,3.4,4.22,gaze started: p_1_1
0.6,-0.82,2.67,3.4,4.22,gaze started: p_1_1
0.65,-0.82,2.67,3.4,4.22,gaze started: p_1_1
0.7,-0.82,2.67,3.4,4.22,gaze started: p_1_1
0.75,-0.82,2.67,3.4,4.22,gaze started: p_1_1
0.8,-0.82,2.67,3.4,4.22,gaze started: p_1_1
0.85,-0.82,2.67,3.4,4.22,gaze started: p_1_1
0.9,-0.82,2.67,3.4,4.22,gaze started: p_1_1
0.95,-0.82,2.67,3.4,4.22,gaze started: p_1_1
1.0,-0.82,2.67,3.4,4.22,gaze started: p_1_1
1.05,-0.73,2.62,3.4,4.49,gaze fixated: p_1_1
1.1,-0.36,1.91,3.4,4.39,gaze started: p_2_2
1.15,-0.35,1.92,3.4,4.42,-       
1.2,-0.36,1.92,3.4,4.45,-       
1.25,-0.33,1.91,3.4,4.47,-       
1.3,-0.35,1.93,3.4,4.47,-       
1.35,-0.02,1.69,3.4,4.27,-       
1.4,-0.08,1.73,3.4,4.17,gaze started: p_3_2
1.45,-0.07,1.71,3.4,4.14,-       
1.5,-0.04,1.7,3.4,4.13,-       
1.55,-0.02,1.7,3.4,4.12,-       
1.6,-0.0,1.68,3.4,4.12,-       
1.65,-0.0,1.67,3.4,4.17,gaze fixated: p_3_2
1.7,-0.02,1.66,3.4,4.2,-       
1.75,-0.02,1.66,3.4,4.26,-       
1.8,-0.03,1.67,3.4,4.32,-       
1.85,-0.02,1.67,3.4,4.36,-       
1.9,-0.03,1.67,3.4,4.41,-       
1.95,-0.02,1.66,3.4,4.52,-       
2.0,-0.02,1.7,3.4,4.57,-       
2.05,0.03,1.61,3.4,4.4,-       
2.1,0.54,0.78,-0.32,,gaze ended: p_3_2
2.15,0.54,0.78,-0.32,,-       
2.2,0.54,0.78,-0.32,,-       
2.25,0.54,0.78,-0.32,,-       
2.3,0.54,0.78,-0.32,,-       
2.35,0.54,0.78,-0.32,,-       
2.4,0.54,0.78,-0.32,,-       
2.45,0.18,0.68,3.57,4.24,-       
2.5,0.39,1.03,3.4,4.38,-       
2.55,0.49,1.32,3.4,4.38,gaze started: p_4_3
2.6,0.37,1.2,3.4,3.91,-       
2.65,0.4,1.22,3.4,3.72,-       
2.7,0.4,1.21,3.4,3.55,-       
2.75,0.42,1.24,3.4,3.48,-       
2.8,0.55,0.79,-0.32,,gaze fixated: p_4_3
2.85,0.55,0.79,-0.32,,gaze ended: p_4_3
2.9,0.55,0.79,-0.32,,-       
2.95,0.54,0.79,-0.32,,-       
3.0,0.54,0.79,-0.32,,-       
3.05,0.54,0.79,-0.32,,-       
3.1,0.15,1.4,3.4,2.96,gaze started: p_3_3
