time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.65,2.11,3.4,4.22,-       
0.05,0.65,2.12,3.4,4.23,-       
0.1,0.65,2.1,3.4,4.24,-       
0.15,0.64,2.11,3.4,4.25,-       
0.2,0.64,2.13,3.4,4.27,-       
0.25,0.64,2.13,3.4,4.27,-       
0.3,0.64,2.13,3.4,4.28,-       
0.35,0.65,2.13,3.4,4.27,-       
0.4,0.66,2.11,3.4,4.29,-       
0.45,0.66,2.11,3.4,4.29,-       
0.5,0.66,2.11,3.4,4.29,-       
0.55,0.66,2.11,3.4,4.29,-       
0.6,0.66,2.11,3.4,4.29,-       
0.65,0.66,2.11,3.4,4.29,-       
0.7,0.66,2.11,3.4,4.29,-       
0.75,0.66,2.11,3.4,4.29,-       
0.8,0.66,2.11,3.4,4.29,-       
0.85,0.66,2.11,3.4,4.29,-       
0.9,0.67,2.12,3.4,4.27,-       
0.95,0.67,2.12,3.4,4.27,-       
1.0,0.56,2.06,3.4,4.46,-       
1.05,0.56,2.06,3.4,4.46,-       
1.1,0.21,1.35,3.4,4.16,gaze started: p_3_3
1.15,-0.05,1.46,3.4,4.36,-       
1.2,-0.01,1.45,3.4,4.3,gaze started: p_3_2
1.25,0.08,1.35,3.4,4.25,-       
1.3,0.04,1.4,3.4,4.2,-       
1.35,0.67,0.8,-0.5,,-       
1.4,0.67,0.8,-0.5,,-       
1.45,0.67,0.8,-0.5,,-       
1.5,0.67,0.8,-0.5,,-       
1.55,0.67,0.8,-0.5,,-       
1.6,0.24,1.34,3.46,4.19,-       
1.65,0.23,1.4,3.4,4.2,-       
1.7,0.22,1.44,3.4,4.21,gaze started: p_3_3
1.75,0.27,1.36,3.4,4.18,-       
1.8,0.27,1.36,3.4,4.18,-       
1.85,0.29,1.3,3.4,4.14,gaze started: p_4_3
1.9,0.22,1.34,3.46,4.13,-       
1.95,0.25,1.32,3.4,4.12,-       
2.0,0.26,1.31,3.4,4.1,gaze started: p_4_3
2.05,0.25,1.32,3.4,4.1,-       
2.1,0.39,1.23,3.4,4.07,-       
2.15,0.72,1.11,3.4,4.18,-       
2.2,0.88,1.09,3.4,4.18,-       
2.25,0.91,1.1,3.4,4.16,gaze fixated: p_4_3
2.3,0.85,1.36,3.4,4.3,-       
2.35,0.44,1.68,3.4,4.07,gaze started: p_3_3
2.4,0.39,1.53,3.4,3.86,-       
2.45,0.36,1.49,3.4,3.56,-       
2.5,0.17,1.69,3.4,3.41,-       
2.55,0.17,1.56,3.4,3.15,-       
2.6,0.16,1.62,3.4,2.9,-       
2.65,0.18,1.6,3.4,2.73,gaze fixated: p_3_3
2.7,0.19,1.59,3.4,2.65,-       
2.75,0.14,1.63,3.46,2.57,-       
2.8,0.15,1.63,3.4,2.52,gaze ended: p_3_3
2.85,0.16,1.64,3.4,2.46,gaze started: p_3_3
2.9,0.17,1.63,3.4,2.44,-       
2.95,0.16,1.66,3.4,2.39,-       
3.0,0.16,1.65,3.4,2.35,-       
3.05,0.16,1.65,3.4,2.35,-       
3.1,0.16,1.64,3.4,2.3,gaze fixated: p_3_3
3.15,0.16,1.65,3.4,2.3,-       
3.2,0.16,1.65,3.4,2.28,-       
3.25,0.16,1.65,3.4,2.26,-       
3.3,0.17,1.64,3.4,2.26,-       
3.35,0.16,1.64,3.4,2.24,-       
3.4,0.17,1.64,3.4,2.25,-       
3.45,0.16,1.66,3.4,2.25,-       
3.5,0.16,1.66,3.4,2.26,-       
3.55,0.15,1.66,3.4,2.27,-       
3.6,0.15,1.66,3.4,2.27,-       
3.65,0.16,1.66,3.4,2.3,-       
3.7,0.16,1.65,3.4,2.31,-       
3.75,0.16,1.66,3.4,2.33,-       
3.8,0.16,1.66,3.4,2.36,-       
3.85,0.15,1.65,3.4,2.37,-       
3.9,0.15,1.64,3.4,2.41,-       
3.95,0.15,1.64,3.4,2.43,-       
4.0,0.16,1.64,3.4,2.47,-       
4.05,0.16,1.63,3.4,2.48,-       
4.1,0.17,1.64,3.4,2.49,-       
4.15,0.16,1.63,3.4,2.52,-       
4.2,0.16,1.62,3.4,2.53,-       
4.25,0.16,1.62,3.4,2.59,-       
4.3,0.15,1.63,3.4,2.63,-       
4.35,0.15,1.63,3.4,2.64,-       
4.4,0.16,1.62,3.4,2.66,-       
4.45,0.16,1.62,3.4,2.71,-       
4.5,0.16,1.61,3.4,2.72,-       
4.55,0.16,1.61,3.4,2.75,-       
4.6,0.16,1.61,3.4,2.79,-       
4.65,0.16,1.61,3.4,2.81,-       
4.7,0.15,1.57,3.4,2.98,-       
4.75,0.19,1.41,3.4,2.88,-       
4.8,-0.0,1.34,3.46,2.97,-       
4.85,0.67,0.8,-0.5,,gaze ended: p_3_3
4.9,0.67,0.8,-0.5,,-       
4.95,0.67,0.8,-0.5,,-       
5.0,0.14,0.52,2.93,3.13,-       
5.05,-0.01,0.44,2.94,3.09,-       
5.1,0.11,0.01,2.93,3.03,-       
5.15,0.12,0.01,2.93,3.02,-       
5.2,0.12,0.01,2.93,3.02,-       
5.25,0.14,-0.02,2.84,2.95,-       
5.3,0.21,0.49,1.41,2.97,-       
