time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.2,1.75,3.4,2.54,-       
0.05,0.2,1.75,3.4,2.54,-       
0.1,0.28,1.77,3.4,2.62,-       
0.15,0.18,1.75,3.4,2.73,-       
0.2,0.18,1.75,3.4,2.73,-       
0.25,0.34,1.76,3.4,2.95,-       
0.3,0.27,1.76,3.4,2.97,-       
0.35,0.27,1.76,3.4,2.97,-       
0.4,0.26,1.75,3.4,3.03,-       
0.45,0.3,1.77,3.4,3.11,-       
0.5,0.3,1.77,3.4,3.11,-       
0.55,0.27,1.75,3.4,3.17,-       
0.6,0.27,1.75,3.4,3.28,-       
0.65,0.28,1.75,3.4,3.34,-       
0.7,0.28,1.75,3.4,3.34,-       
0.75,0.26,1.73,3.4,3.28,-       
0.8,0.27,1.75,3.4,3.01,-       
0.85,0.27,1.75,3.4,3.01,-       
0.9,0.28,1.75,3.4,2.83,-       
0.95,0.28,1.75,3.4,2.83,-       
1.0,0.32,1.75,3.4,2.67,-       
1.05,0.27,1.76,3.4,2.55,-       
1.1,0.27,1.76,3.4,2.55,-       
1.15,0.26,1.75,3.4,2.5,-       
1.2,0.28,1.75,3.4,2.42,-       
1.25,0.28,1.75,3.4,2.42,-       
1.3,0.25,1.77,3.4,2.4,-       
1.35,0.24,1.77,3.4,2.38,-       
1.4,0.24,1.77,3.4,2.38,-       
1.45,0.3,1.77,3.4,2.36,-       
1.5,0.32,1.77,3.4,2.34,-       
1.55,0.26,1.76,3.4,2.34,-       
1.6,0.26,1.76,3.4,2.34,-       
1.65,0.14,1.92,3.46,2.37,-       
1.7,-0.04,2.15,3.4,2.43,gaze ended: p_3_3
1.75,-0.04,2.15,3.4,2.43,gaze ended: p_3_3
1.8,-0.0,2.14,3.4,2.39,gaze started: p_2_2
1.85,0.02,2.15,3.4,2.43,-       
1.9,0.02,2.15,3.4,2.43,-       
1.95,0.11,1.91,3.4,2.5,-       
2.0,0.17,1.91,3.4,2.52,-       
2.05,0.17,1.91,3.4,2.52,-       
2.1,0.16,1.92,3.4,2.57,gaze started: p_2_3
2.15,0.16,1.92,3.4,2.57,gaze started: p_2_3
2.2,0.15,1.91,3.4,2.62,-       
2.25,0.23,1.57,3.4,2.67,-       
2.3,0.27,1.54,3.4,2.71,gaze started: p_3_3
2.35,0.27,1.54,3.4,2.71,gaze started: p_3_3
2.4,0.17,1.57,3.4,2.74,-       
2.45,0.17,1.57,3.4,2.74,-       
2.5,0.16,1.56,3.4,2.79,-       
2.55,0.21,1.55,3.4,2.85,-       
2.6,0.2,1.57,3.4,2.9,gaze fixated: p_3_3
2.65,0.2,1.57,3.4,2.9,gaze fixated: p_3_3
2.7,0.22,1.55,3.4,2.91,-       
2.75,0.2,1.56,3.4,2.94,-       
2.8,0.2,1.56,3.4,2.94,-       
2.85,0.15,1.57,3.4,2.97,-       
2.9,-0.34,0.71,3.57,3.06,-       
2.95,-0.34,0.71,3.57,3.06,-       
3.0,-0.34,0.56,3.57,3.07,gaze ended: p_3_3
3.05,-0.35,0.53,3.56,3.08,-       
3.1,-0.35,0.53,3.56,3.08,-       
3.15,-0.31,0.53,3.04,3.02,-       
3.2,-0.31,0.53,3.07,2.99,-       
3.25,-0.32,0.87,3.4,2.94,-       
3.3,-0.32,0.87,3.4,2.94,-       
3.35,0.62,0.36,-0.15,,gaze started: p_4_2
3.4,0.62,0.36,-0.15,,-       
3.45,0.62,0.36,-0.15,,-       
3.5,0.62,0.36,-0.15,,-       
3.55,0.62,0.36,-0.15,,-       
3.6,0.62,0.36,-0.15,,-       
3.65,0.62,0.36,-0.15,,-       
3.7,0.62,0.36,-0.15,,-       
3.75,0.62,0.36,-0.15,,-       
3.8,0.62,0.36,-0.15,,-       
3.85,0.62,0.36,-0.15,,-       
3.9,0.62,0.36,-0.15,,-       
3.95,0.62,0.36,-0.15,,-       
4.0,0.62,0.36,-0.15,,-       
4.05,0.62,0.36,-0.15,,-       
4.1,0.62,0.36,-0.15,,-       
4.15,0.62,0.36,-0.15,,-       
4.2,0.62,0.36,-0.15,,-       
4.25,0.62,0.36,-0.15,,-       
4.3,0.62,0.36,-0.15,,-       
4.35,0.08,1.96,3.4,3.1,-       
4.4,0.08,1.96,3.4,3.1,-       
4.45,0.12,1.96,3.4,3.06,gaze started: p_2_2
4.5,0.04,1.9,3.4,3.02,-       
4.55,0.04,1.9,3.4,3.02,-       
4.6,0.07,1.92,3.4,2.88,-       
4.65,0.07,1.92,3.4,2.88,-       
4.7,0.07,1.92,3.4,2.72,-       
4.75,0.06,1.92,3.4,2.63,gaze fixated: p_2_2
4.8,0.06,1.92,3.4,2.63,gaze fixated: p_2_2
4.85,0.07,1.93,3.4,2.57,-       
4.9,0.06,1.92,3.4,2.53,-       
4.95,0.06,1.92,3.4,2.53,-       
5.0,0.08,1.91,3.4,2.52,-       
5.05,-0.94,2.06,3.4,2.64,-       
5.1,-0.94,2.06,3.4,2.64,-       
5.15,-0.89,2.08,3.4,2.7,gaze started: p_2_1
5.2,-0.88,2.06,3.4,2.71,-       
5.25,-0.88,2.06,3.4,2.71,-       
5.3,-0.84,2.08,3.4,2.73,-       
5.35,-0.85,2.07,3.4,2.78,-       
5.4,-0.85,2.07,3.4,2.78,-       
5.45,-0.62,1.98,3.4,2.74,gaze fixated: p_2_1
5.5,-0.62,1.98,3.4,2.74,gaze fixated: p_2_1
5.55,-0.52,1.93,3.4,2.72,gaze started: p_2_2
5.6,-0.52,1.93,3.4,2.7,-       
5.65,-0.52,1.93,3.4,2.7,-       
5.7,-0.52,1.93,3.4,2.71,-       
5.75,-0.04,1.9,3.4,2.7,-       
5.8,-0.04,1.9,3.4,2.7,-       
5.85,-0.01,1.89,3.4,2.68,gaze fixated: p_2_2
5.9,-0.05,1.85,3.4,2.67,-       
5.95,-0.05,1.85,3.4,2.67,-       
6.0,-0.06,1.85,3.4,2.64,-       
6.05,0.12,1.88,3.4,2.62,-       
6.1,0.12,1.88,3.4,2.62,-       
6.15,0.06,1.79,3.4,2.62,-       
6.2,0.13,1.82,3.4,2.62,gaze started: p_3_2
6.25,0.13,1.82,3.4,2.62,gaze started: p_3_2
6.3,0.27,1.82,3.4,2.57,gaze started: p_2_2
6.35,0.18,1.82,3.4,2.59,gaze started: p_2_3
6.4,0.18,1.82,3.4,2.59,gaze started: p_2_3
6.45,0.15,1.82,3.4,2.64,-       
6.5,0.25,1.78,3.4,2.73,-       
6.55,0.25,1.78,3.4,2.73,-       
6.6,0.39,1.71,3.4,2.82,gaze started: p_3_3
6.65,0.39,1.71,3.4,2.82,gaze started: p_3_3
6.7,0.33,1.73,3.4,2.85,-       
6.75,0.16,1.77,3.4,2.89,-       
6.8,0.16,1.77,3.4,2.89,-       
6.85,0.19,1.78,3.4,2.85,gaze fixated: p_3_3
6.9,0.21,1.78,3.4,2.83,-       
6.95,0.21,1.78,3.4,2.83,-       
7.0,0.23,1.82,3.46,2.61,-       
7.05,0.16,1.81,3.4,2.59,gaze ended: p_3_3
7.1,0.16,1.81,3.4,2.59,gaze ended: p_3_3
7.15,0.16,1.85,3.4,2.49,gaze started: p_2_3
7.2,0.12,1.84,3.4,2.48,-       
7.25,0.12,1.84,3.4,2.48,-       
7.3,0.18,1.85,3.4,2.42,gaze started: p_2_2
7.35,0.09,1.88,3.4,2.41,gaze started: p_2_3
7.4,0.09,1.88,3.4,2.41,gaze started: p_2_3
7.45,0.14,1.89,3.4,2.41,gaze started: p_2_2
7.5,0.14,1.89,3.4,2.41,gaze started: p_2_2
7.55,0.21,1.97,3.4,2.4,gaze started: p_2_3
7.6,0.15,1.98,3.4,2.44,-       
7.65,0.16,1.96,3.4,2.45,-       
7.7,0.16,1.96,3.4,2.45,-       
7.75,0.17,2.01,3.4,2.55,-       
7.8,0.21,2.04,3.4,2.55,gaze fixated: p_2_3
7.85,0.21,2.04,3.4,2.55,gaze fixated: p_2_3
7.9,0.27,2.04,3.4,2.56,-       
7.95,0.33,2.12,3.4,2.61,-       
8.0,0.33,2.12,3.4,2.61,-       
8.05,0.29,2.12,3.4,2.62,-       
8.1,0.23,2.09,3.4,2.65,-       
8.15,0.25,2.09,3.4,2.7,-       
8.2,0.25,2.09,3.4,2.7,-       
8.25,0.23,2.09,3.4,2.72,-       
8.3,0.26,2.08,3.4,2.79,-       
8.35,0.26,2.08,3.4,2.79,-       
8.4,0.32,2.1,3.4,2.81,-       
8.45,0.23,2.08,3.4,2.81,-       
8.5,0.23,2.08,3.4,2.81,-       
8.55,0.32,1.91,3.4,2.86,-       
8.6,0.28,1.94,3.4,2.91,-       
8.65,0.28,1.94,3.4,2.91,-       
