time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.31,1.9,3.4,4.78,-       
0.05,0.29,1.9,3.4,4.8,-       
0.1,0.29,1.9,3.4,4.8,-       
0.15,0.32,1.89,3.4,4.87,-       
0.2,0.32,1.89,3.4,4.87,-       
0.25,0.32,1.89,3.4,4.87,-       
0.3,0.32,1.89,3.4,4.87,-       
0.35,0.32,1.89,3.4,4.87,-       
0.4,0.32,1.89,3.4,4.87,-       
0.45,0.32,1.89,3.4,4.87,-       
0.5,0.32,1.89,3.4,4.87,-       
0.55,0.32,1.89,3.4,4.87,-       
0.6,0.32,1.89,3.4,4.87,-       
0.65,0.29,1.83,3.4,3.61,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_fitness_30s_100.mp4
0.7,0.29,1.83,3.4,3.61,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_fitness_30s_100.mp4
0.75,0.29,1.83,3.4,3.61,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_fitness_30s_100.mp4
0.8,0.29,1.83,3.4,3.61,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_fitness_30s_100.mp4
0.85,0.23,1.85,3.4,3.47,-       
0.9,0.17,1.84,3.4,3.39,-       
0.95,0.22,1.82,3.46,3.38,-       
1.0,0.22,1.82,3.46,3.38,-       
1.05,0.22,1.81,3.4,3.36,gaze ended: p_2_3
1.1,0.23,1.81,3.4,3.36,gaze started: p_2_3
1.15,0.24,1.82,3.46,3.36,-       
1.2,0.22,1.81,3.4,3.36,-       
1.25,0.22,1.82,3.4,3.38,gaze started: p_2_3
1.3,0.23,1.81,3.4,3.43,-       
1.35,0.2,1.83,3.4,3.51,-       
1.4,0.24,1.83,3.4,3.58,-       
1.45,0.23,1.83,3.4,3.68,-       
1.5,0.24,1.84,3.4,3.78,gaze fixated: p_2_3
1.55,0.24,1.84,3.4,3.86,-       
1.6,0.25,1.84,3.4,3.93,-       
1.65,0.25,1.84,3.4,3.93,-       
1.7,0.24,1.84,3.4,4.01,-       
1.75,0.24,1.84,3.4,4.11,-       
1.8,0.24,1.83,3.4,4.16,-       
1.85,0.23,1.85,3.4,4.22,-       
1.9,0.27,1.81,3.4,4.27,-       
1.95,0.27,1.82,3.4,4.31,-       
2.0,0.27,1.82,3.4,4.31,-       
2.05,0.27,1.82,3.4,4.37,-       
2.1,0.27,1.83,3.4,4.38,-       
2.15,0.27,1.82,3.4,4.26,-       
2.2,0.24,1.83,3.4,3.99,-       
2.25,0.24,1.82,3.4,3.78,-       
2.3,0.23,1.82,3.46,3.65,-       
2.35,0.24,1.81,3.46,3.48,gaze ended: p_2_3
2.4,0.24,1.81,3.46,3.48,gaze ended: p_2_3
2.45,0.24,1.82,3.46,3.43,-       
2.5,0.23,1.81,3.4,3.33,-       
2.55,0.23,1.82,3.46,3.29,gaze started: p_2_3
2.6,0.23,1.82,3.46,3.27,-       
2.65,0.25,1.82,3.46,3.25,-       
2.7,0.26,1.82,3.46,3.23,-       
2.75,0.25,1.82,3.46,3.23,-       
2.8,0.25,1.82,3.46,3.24,-       
2.85,0.24,1.82,3.46,3.26,-       
2.9,0.24,1.82,3.46,3.26,-       
2.95,0.24,1.81,3.4,3.29,-       
3.0,0.25,1.81,3.46,3.34,gaze started: p_2_3
3.05,0.25,1.81,3.46,3.4,-       
3.1,0.25,1.82,3.46,3.48,-       
3.15,0.25,1.81,3.46,3.55,-       
3.2,0.24,1.82,3.46,3.6,-       
3.25,0.24,1.82,3.46,3.61,-       
3.3,0.24,1.81,3.46,3.63,-       
3.35,0.22,1.81,3.46,3.64,-       
3.4,0.23,1.79,3.4,3.64,-       
3.45,0.24,1.81,3.46,3.65,gaze started: p_3_3
3.5,0.24,1.79,3.4,3.65,-       
3.55,0.24,1.79,3.4,3.67,gaze started: p_3_3
3.6,0.24,1.79,3.4,3.67,-       
3.65,0.23,1.81,3.46,3.71,-       
3.7,0.23,1.79,3.4,3.73,-       
3.75,0.23,1.79,3.4,3.76,gaze started: p_3_3
3.8,0.23,1.79,3.4,3.77,-       
3.85,0.24,1.82,3.46,3.76,-       
3.9,0.25,1.82,3.46,3.72,-       
3.95,0.25,1.82,3.46,3.72,-       
4.0,0.24,1.81,3.46,3.65,-       
4.05,0.24,1.81,3.46,3.6,-       
4.1,0.25,1.82,3.46,3.57,-       
4.15,0.24,1.81,3.4,3.53,-       
4.2,0.24,1.81,3.4,3.52,gaze started: p_2_3
4.25,0.23,1.82,3.46,3.52,-       
4.3,0.23,1.81,3.46,3.54,-       
