time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.11,1.63,3.4,4.21,-       
0.05,0.11,1.63,3.4,4.21,-       
0.1,0.09,1.61,3.4,4.2,-       
0.15,0.09,1.61,3.4,4.2,-       
0.2,-0.07,1.51,3.4,4.13,gaze started: p_2_2
0.25,-0.07,1.51,3.4,4.13,gaze started: p_2_2
0.3,-0.02,1.71,3.4,4.15,gaze started: p_3_2
0.35,-0.01,1.76,3.4,4.21,-       
0.4,-0.02,1.64,3.4,4.2,-       
0.45,-0.02,1.64,3.4,4.2,-       
0.5,-0.02,1.64,3.4,4.2,-       
0.55,-0.02,1.64,3.4,4.2,-       
0.6,-0.02,1.64,3.4,4.2,-       
0.65,-0.02,1.64,3.4,4.2,-       
0.7,-0.02,1.64,3.4,4.2,-       
0.75,-0.02,1.64,3.4,4.2,-       
0.8,-0.02,1.64,3.4,4.2,-       
0.85,-0.02,1.64,3.4,4.2,-       
0.9,-0.05,1.69,3.4,4.22,-       
0.95,-0.05,1.69,3.4,4.22,-       
1.0,0.09,1.7,3.4,4.01,-       
1.05,0.12,1.73,3.4,4.0,-       
1.1,0.14,1.75,3.46,3.99,-       
1.15,0.14,1.75,3.46,3.99,-       
1.2,0.12,1.67,3.4,3.99,gaze started: p_3_2
1.25,0.12,1.67,3.4,3.99,gaze started: p_3_2
1.3,0.13,1.72,3.4,3.93,-       
1.35,0.11,1.74,3.4,3.93,-       
1.4,0.11,1.67,3.4,3.89,-       
1.45,0.12,1.71,3.4,3.9,-       
1.5,0.14,1.46,3.46,3.87,gaze fixated: p_3_2
1.55,0.84,0.85,-0.53,,gaze ended: p_3_2
1.6,0.84,0.85,-0.53,,-       
1.65,0.84,0.85,-0.53,,-       
1.7,0.84,0.85,-0.53,,-       
1.75,0.84,0.85,-0.53,,-       
1.8,0.84,0.85,-0.53,,-       
1.85,0.84,0.85,-0.53,,-       
1.9,-0.21,0.53,3.22,4.03,-       
1.95,-0.19,0.52,2.93,3.92,-       
2.0,-0.27,0.53,3.08,3.96,-       
2.05,-0.25,0.53,3.08,4.11,-       
2.1,-0.17,0.53,2.97,4.05,-       
2.15,-0.28,0.53,3.0,4.13,-       
2.2,-0.26,0.53,3.27,4.09,-       
2.25,-0.27,0.53,3.11,4.08,-       
2.3,0.84,0.85,-0.53,,-       
2.35,0.84,0.85,-0.53,,-       
2.4,0.84,0.85,-0.53,,-       
2.45,0.84,0.85,-0.53,,-       
2.5,0.18,1.33,3.46,3.44,-       
2.55,0.4,1.55,3.4,3.34,-       
2.6,0.39,1.5,3.4,3.2,gaze started: p_3_3
2.65,0.28,1.5,3.4,3.16,-       
2.7,0.26,1.5,3.4,3.15,-       
2.75,0.26,1.51,3.4,3.11,-       
2.8,0.25,1.5,3.4,3.08,-       
2.85,0.23,1.49,3.4,3.04,gaze fixated: p_3_3
2.9,0.26,1.48,3.4,3.01,-       
2.95,0.09,1.53,3.4,2.95,-       
3.0,-0.21,1.56,3.4,2.92,gaze started: p_3_2
3.05,-0.2,1.52,3.4,2.91,-       
3.1,-0.19,1.53,3.4,2.9,-       
3.15,-0.19,1.53,3.4,2.9,-       
3.2,-0.19,1.52,3.4,2.82,-       
3.25,-0.18,1.52,3.4,2.82,gaze fixated: p_3_2
3.3,-0.18,1.55,3.4,2.9,-       
3.35,-0.17,1.55,3.4,2.93,-       
3.4,-0.13,1.59,3.4,2.96,-       
3.45,-0.13,1.59,3.4,2.96,-       
3.5,-0.13,1.58,3.4,3.02,-       
3.55,-0.11,1.58,3.4,3.05,-       
3.6,-0.11,1.56,3.4,3.06,-       
3.65,-0.06,1.72,3.4,3.27,-       
3.7,0.0,1.9,3.4,3.08,-       
3.75,0.04,1.87,3.4,3.21,gaze started: p_2_2
