time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.59,2.23,3.4,4.46,gaze fixated: p_2_2
0.05,-0.56,2.24,3.4,4.48,-       
0.1,-0.56,2.24,3.4,4.48,-       
0.15,-0.56,2.23,3.4,4.52,-       
0.2,-0.55,2.23,3.4,4.58,-       
0.25,-0.55,2.22,3.4,4.64,-       
0.3,-0.55,2.22,3.4,4.64,-       
0.35,-0.55,2.22,3.4,4.64,-       
0.4,-0.55,2.22,3.4,4.64,-       
0.45,-0.55,2.22,3.4,4.64,-       
0.5,-0.55,2.22,3.4,4.64,-       
0.55,-0.55,2.22,3.4,4.64,-       
0.6,-0.55,2.22,3.4,4.64,-       
0.65,-0.55,2.22,3.4,4.64,-       
0.7,-0.55,2.22,3.4,4.64,-       
0.75,-0.55,2.22,3.4,4.64,-       
0.8,-0.55,2.2,3.4,4.53,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_fitness_30s_50wd.mp4
0.85,-0.56,2.22,3.4,4.51,-       
0.9,-0.56,2.22,3.4,4.48,-       
0.95,-0.55,2.22,3.4,4.46,-       
1.0,-0.55,2.22,3.4,4.44,-       
1.05,-0.55,2.22,3.4,4.45,-       
1.1,-0.3,2.18,3.4,4.37,-       
1.15,0.64,0.74,-0.29,,-       
1.2,0.64,0.74,-0.29,,-       
1.25,0.64,0.74,-0.29,,gaze ended: p_2_2
1.3,-0.08,2.17,3.4,4.41,-       
1.35,-0.19,2.18,3.4,4.38,gaze started: p_2_2
1.4,-0.17,2.24,3.4,4.39,-       
1.45,0.64,0.74,-0.29,,-       
1.5,0.64,0.74,-0.29,,-       
1.55,0.64,0.74,-0.29,,-       
1.6,0.64,0.74,-0.29,,-       
1.65,-0.24,2.0,3.4,4.64,-       
1.7,-0.2,1.9,3.4,4.64,gaze started: p_2_2
1.75,-0.14,1.85,3.4,4.68,-       
1.8,0.34,1.84,3.4,4.74,-       
1.85,0.61,0.76,-0.3,,gaze started: p_2_3
1.9,0.61,0.76,-0.3,,gaze started: p_2_3
1.95,0.6,0.76,-0.3,,-       
2.0,0.58,0.77,-0.31,,-       
2.05,0.6,2.23,3.4,4.8,-       
2.1,0.65,2.13,3.4,4.75,gaze started: p_2_3
2.15,0.62,2.16,3.4,4.78,-       
2.2,0.59,2.24,3.4,4.8,-       
2.25,0.54,1.74,3.4,4.5,-       
2.3,0.55,1.72,3.4,4.28,gaze started: p_3_3
2.35,0.55,1.72,3.4,4.28,gaze started: p_3_3
2.4,0.58,1.7,3.4,4.13,-       
2.45,0.63,1.69,3.4,3.94,-       
2.5,0.63,1.71,3.4,3.63,-       
2.55,0.56,1.69,3.4,3.39,-       
2.6,0.45,1.67,3.4,3.21,gaze fixated: p_3_3
2.65,0.44,1.68,3.4,3.15,-       
2.7,0.44,1.68,3.4,3.15,-       
2.75,0.43,1.68,3.4,3.08,-       
2.8,0.43,1.68,3.4,3.01,-       
2.85,0.42,1.67,3.4,2.97,-       
2.9,0.43,1.67,3.4,2.95,-       
2.95,0.44,1.67,3.4,2.92,-       
3.0,0.45,1.67,3.4,2.91,-       
3.05,0.45,1.67,3.4,2.91,-       
3.1,0.44,1.67,3.4,2.91,-       
3.15,0.36,1.72,3.4,2.9,-       
3.2,0.07,1.95,3.4,2.94,-       
3.25,0.07,1.94,3.4,2.93,gaze started: p_2_2
3.3,0.1,1.93,3.4,2.95,-       
3.35,0.11,1.92,3.4,2.97,-       
3.4,0.15,1.88,3.4,3.04,-       
3.45,0.19,1.89,3.4,3.09,gaze started: p_2_3
3.5,0.25,1.88,3.4,3.08,-       
3.55,0.25,1.87,3.4,3.11,-       
3.6,0.25,1.87,3.4,3.11,-       
3.65,0.26,1.87,3.4,3.14,-       
3.7,0.21,1.68,3.4,3.27,-       
3.75,0.25,1.67,3.4,3.31,gaze started: p_3_3
3.8,0.16,1.67,3.4,3.36,-       
3.85,0.16,1.67,3.4,3.36,-       
3.9,0.16,1.67,3.4,3.38,-       
3.95,0.12,1.81,3.4,3.68,-       
4.0,0.57,0.78,-0.31,,gaze started: p_2_2
4.05,0.57,0.78,-0.31,,-       
4.1,0.57,0.78,-0.31,,-       
4.15,0.3,1.77,3.4,3.76,-       
4.2,0.13,1.78,3.46,3.6,gaze started: p_3_3
4.25,0.28,1.76,3.4,3.61,-       
4.3,0.18,1.78,3.4,3.57,gaze started: p_3_3
4.35,0.1,1.93,3.4,3.49,-       
4.4,0.1,1.93,3.4,3.49,-       
4.45,0.11,1.96,3.4,3.5,gaze started: p_2_2
4.5,0.07,1.92,3.4,3.46,-       
4.55,0.07,1.92,3.4,3.39,-       
4.6,0.07,1.95,3.4,3.22,-       
4.65,0.07,1.95,3.4,3.22,-       
4.7,0.32,1.96,3.4,3.2,-       
4.75,0.22,1.97,3.4,3.19,gaze started: p_2_3
4.8,0.32,1.97,3.4,3.18,-       
4.85,0.32,1.97,3.4,3.18,-       
4.9,-0.09,2.04,3.4,3.23,-       
4.95,-0.08,2.02,3.4,3.28,gaze started: p_2_2
5.0,-0.05,2.03,3.4,3.3,-       
5.05,-0.03,2.03,3.4,3.33,-       
5.1,-0.04,2.03,3.4,3.37,-       
5.15,-0.04,2.03,3.4,3.37,-       
5.2,0.16,1.84,3.4,3.5,gaze fixated: p_2_2
5.25,0.16,1.84,3.4,3.5,gaze fixated: p_2_2
5.3,0.16,1.84,3.4,3.51,gaze started: p_2_3
5.35,0.16,1.84,3.4,3.51,-       
5.4,0.16,1.83,3.4,3.5,-       
5.45,0.16,1.84,3.4,3.48,-       
5.5,0.16,1.84,3.4,3.46,-       
5.55,0.13,1.85,3.46,3.46,gaze fixated: p_2_3
5.6,0.11,1.79,3.4,3.49,gaze ended: p_2_3
5.65,0.11,1.79,3.4,3.49,gaze ended: p_2_3
5.7,0.24,1.78,3.4,3.5,gaze started: p_3_2
5.75,0.24,1.78,3.4,3.54,gaze started: p_3_3
5.8,0.24,1.77,3.4,3.59,-       
5.85,0.17,1.79,3.4,3.64,-       
5.9,0.17,1.79,3.4,3.64,-       
5.95,0.17,1.78,3.4,3.66,-       
6.0,0.17,1.78,3.4,3.69,gaze fixated: p_3_3
6.05,0.18,1.77,3.4,3.69,-       
6.1,0.18,1.77,3.4,3.67,-       
6.15,0.18,1.77,3.4,3.64,-       
6.2,0.23,1.79,3.4,3.49,-       
6.25,0.22,1.82,3.4,3.49,-       
6.3,0.22,1.82,3.4,3.49,-       
6.35,0.2,1.81,3.4,3.56,gaze started: p_2_3
6.4,0.57,0.78,-0.31,,-       
6.45,0.57,0.78,-0.31,,-       
6.5,0.57,0.78,-0.31,,-       
6.55,0.23,1.82,3.4,3.39,-       
6.6,0.23,1.82,3.46,3.57,gaze started: p_2_3
6.65,0.23,1.82,3.46,3.57,gaze started: p_2_3
6.7,0.22,1.81,3.46,3.49,-       
6.75,0.22,1.81,3.46,3.58,-       
6.8,0.22,1.77,3.4,3.56,-       
6.85,0.14,1.74,3.46,3.52,gaze started: p_3_3
6.9,0.13,1.73,3.4,3.45,-       
6.95,0.13,1.73,3.4,3.45,-       
7.0,0.18,1.72,3.4,3.41,gaze started: p_3_2
