time,point x ,point y ,point z ,pupil diameter,flag    
0.0,1.17,0.82,-0.86,,-       
0.05,1.17,0.82,-0.86,,-       
0.1,1.17,0.82,-0.86,,-       
0.15,0.37,2.09,3.4,3.54,-       
0.2,0.33,2.09,3.4,3.54,gaze started: p_2_3
0.25,0.47,2.07,3.4,3.39,-       
0.3,0.54,2.07,3.4,3.52,-       
0.35,0.54,2.07,3.4,3.47,-       
0.4,0.55,2.07,3.4,3.29,-       
0.45,0.57,2.08,3.4,3.12,gaze fixated: p_2_3
0.5,0.58,2.08,3.4,2.91,-       
0.55,0.58,2.08,3.4,2.91,-       
0.6,0.57,2.08,3.4,2.86,-       
0.65,0.57,2.08,3.4,2.81,-       
0.7,0.31,1.84,3.4,2.76,-       
0.75,0.3,1.74,3.4,2.77,-       
0.8,0.27,1.75,3.4,2.8,gaze started: p_3_3
0.85,0.34,1.71,3.4,2.83,-       
0.9,0.31,1.73,3.4,2.87,-       
0.95,0.25,1.75,3.4,2.93,-       
1.0,0.25,1.75,3.4,2.93,-       
1.05,0.25,1.75,3.4,2.93,-       
1.1,0.25,1.75,3.4,2.93,-       
1.15,0.25,1.75,3.4,2.93,-       
1.2,0.25,1.75,3.4,2.93,-       
1.25,0.25,1.75,3.4,2.93,-       
1.3,0.25,1.75,3.4,2.93,-       
1.35,0.25,1.75,3.4,2.93,-       
1.4,0.25,1.75,3.4,2.93,-       
1.45,0.54,1.28,3.4,3.12,gaze fixated: p_3_3
1.5,0.59,1.24,3.4,3.13,gaze started: p_4_3
1.55,0.53,1.26,3.4,3.17,-       
1.6,0.54,1.25,3.4,3.18,-       
1.65,0.54,1.25,3.4,3.18,-       
1.7,0.53,1.25,3.4,3.13,-       
1.75,0.53,1.25,3.4,3.13,-       
1.8,0.47,1.28,3.4,3.11,gaze fixated: p_4_3
1.85,0.56,1.27,3.4,3.08,-       
1.9,0.47,1.41,3.4,3.06,-       
1.95,0.26,1.78,3.4,3.2,gaze started: p_3_3
2.0,0.17,1.88,3.4,3.23,-       
2.05,0.22,1.88,3.4,3.26,gaze started: p_2_3
2.1,0.22,1.88,3.4,3.26,gaze started: p_2_3
2.15,0.16,1.88,3.4,3.32,-       
2.2,0.16,1.92,3.4,3.43,-       
2.25,0.14,1.88,3.46,3.33,-       
2.3,1.18,0.82,-0.87,,-       
2.35,1.18,0.82,-0.87,,-       
2.4,1.18,0.82,-0.87,,-       
2.45,1.18,0.82,-0.87,,-       
2.5,1.18,0.82,-0.87,,-       
2.55,1.18,0.82,-0.86,,-       
2.6,1.16,0.82,-0.85,,-       
2.65,0.25,1.69,3.4,3.54,-       
2.7,0.23,1.66,3.4,3.61,gaze started: p_3_3
2.75,0.34,1.66,3.4,3.63,-       
2.8,0.35,1.64,3.4,3.62,-       
2.85,0.32,1.65,3.4,3.59,-       
2.9,0.32,1.64,3.4,3.46,-       
2.95,0.33,1.64,3.4,3.33,gaze fixated: p_3_3
3.0,0.37,1.64,3.4,3.11,-       
3.05,0.35,1.62,3.4,2.92,-       
3.1,0.35,1.62,3.4,2.92,-       
3.15,0.29,1.61,3.4,2.7,-       
3.2,0.2,1.66,3.4,2.51,-       
3.25,1.09,0.81,-0.84,,-       
3.3,1.07,0.81,-0.84,,gaze ended: p_3_3
3.35,1.07,0.82,-0.84,,-       
3.4,1.08,0.81,-0.84,,-       
3.45,1.05,0.82,-0.84,,-       
3.5,1.05,0.82,-0.84,,-       
3.55,1.05,0.82,-0.85,,-       
3.6,1.07,0.82,-0.85,,-       
3.65,1.08,0.82,-0.84,,-       
3.7,0.33,1.98,3.4,2.86,-       
3.75,0.21,2.01,3.4,3.06,gaze started: p_2_3
3.8,0.23,2.0,3.4,3.12,-       
3.85,0.2,2.01,3.4,3.15,-       
3.9,0.22,1.99,3.4,3.24,-       
3.95,0.27,1.99,3.4,3.26,-       
4.0,0.27,1.99,3.4,3.26,-       
4.05,0.27,1.98,3.4,3.26,gaze fixated: p_2_3
4.1,0.3,1.98,3.4,3.2,-       
4.15,0.29,1.98,3.4,3.17,-       
4.2,0.28,1.99,3.4,3.13,-       
4.25,0.28,1.98,3.4,3.12,-       
4.3,0.27,1.98,3.4,3.14,-       
4.35,0.27,1.99,3.4,3.14,-       
4.4,0.34,2.07,3.4,3.21,-       
4.45,0.4,2.1,3.4,3.23,-       
4.5,0.32,2.08,3.4,3.24,-       
4.55,0.32,2.08,3.4,3.24,-       
4.6,0.32,2.07,3.4,3.24,-       
4.65,0.22,2.05,3.4,3.33,-       
4.7,-0.15,2.14,3.4,3.36,-       
4.75,-0.21,2.11,3.4,3.38,gaze started: p_2_2
4.8,-0.21,2.11,3.4,3.41,-       
4.85,-0.21,2.1,3.4,3.42,-       
4.9,-0.21,2.1,3.4,3.42,-       
4.95,0.28,2.05,3.4,3.51,-       
5.0,0.31,2.04,3.4,3.4,gaze started: p_2_3
5.05,0.28,2.04,3.4,3.38,-       
5.1,0.28,2.05,3.4,3.36,-       
5.15,0.27,2.05,3.4,3.36,-       
5.2,0.27,2.05,3.4,3.37,-       
5.25,0.25,2.05,3.4,3.38,gaze fixated: p_2_3
5.3,0.5,2.13,3.4,3.43,-       
5.35,0.52,2.09,3.4,3.41,-       
5.4,0.46,2.08,3.4,3.41,-       
5.45,0.46,2.08,3.4,3.41,-       
5.5,0.45,2.09,3.4,3.43,-       
5.55,0.45,2.11,3.4,3.44,-       
5.6,0.46,2.1,3.4,3.45,-       
5.65,0.31,2.05,3.4,3.51,-       
5.7,0.29,2.02,3.4,3.5,-       
5.75,0.25,2.01,3.4,3.51,-       
5.8,0.25,2.0,3.4,3.52,-       
5.85,0.25,2.0,3.4,3.52,-       
5.9,0.24,2.0,3.4,3.51,-       
5.95,0.24,1.99,3.4,3.5,-       
6.0,0.24,2.0,3.4,3.47,-       
6.05,0.24,2.01,3.4,3.42,-       
6.1,0.23,2.0,3.4,3.29,-       
6.15,0.19,1.87,3.4,3.17,-       
6.2,0.18,1.88,3.4,3.18,-       
6.25,0.2,1.88,3.4,3.17,-       
6.3,0.2,1.87,3.4,3.15,-       
6.35,0.21,1.87,3.4,3.13,-       
6.4,0.19,1.87,3.4,3.1,-       
6.45,0.19,1.87,3.4,3.1,-       
6.5,0.2,1.87,3.4,3.08,-       
6.55,0.21,1.87,3.4,3.06,-       
6.6,0.2,1.87,3.4,3.05,-       
6.65,0.21,1.87,3.4,3.04,-       
6.7,0.2,1.87,3.4,3.04,-       
6.75,0.22,1.87,3.4,3.02,-       
6.8,0.22,1.87,3.4,3.01,-       
6.85,0.21,1.87,3.4,3.03,-       
6.9,0.2,1.87,3.4,3.04,-       
6.95,0.21,1.87,3.4,3.01,-       
7.0,0.22,1.86,3.4,2.99,-       
7.05,0.22,1.86,3.4,2.99,-       
7.1,0.24,1.86,3.4,2.91,-       
7.15,0.24,1.86,3.4,2.91,-       
7.2,1.09,0.82,-0.84,,gaze ended: p_2_3
7.25,1.09,0.82,-0.84,,gaze ended: p_2_3
7.3,1.06,0.84,-0.81,,-       
7.35,1.08,0.81,-0.84,,-       
7.4,1.06,0.82,-0.84,,-       
7.45,1.05,0.82,-0.84,,-       
7.5,1.02,0.84,-0.8,,-       
7.55,1.02,0.84,-0.8,,-       
7.6,1.02,0.84,-0.78,,-       
7.65,1.01,0.84,-0.77,,-       
7.7,1.02,0.84,-0.77,,-       
7.75,1.02,0.84,-0.76,,-       
7.8,1.01,0.84,-0.76,,-       
7.85,0.22,1.8,3.46,3.29,-       
7.9,0.15,1.8,3.46,3.33,-       
7.95,0.2,1.77,3.4,3.28,-       
8.0,0.21,1.74,3.4,3.23,gaze started: p_3_3
8.05,0.16,1.76,3.4,3.19,-       
8.1,0.22,1.75,3.4,3.09,-       
8.15,0.24,1.77,3.4,3.02,-       
8.2,0.18,1.78,3.4,2.9,-       
8.25,1.01,0.84,-0.76,,gaze fixated: p_3_3
8.3,1.0,0.84,-0.75,,gaze ended: p_3_3
8.35,1.0,0.84,-0.75,,-       
8.4,0.99,0.84,-0.76,,-       
8.45,0.99,0.84,-0.76,,-       
8.5,0.99,0.84,-0.76,,-       
8.55,0.99,0.84,-0.75,,-       
8.6,1.0,0.84,-0.75,,-       
8.65,1.0,0.84,-0.76,,-       
8.7,1.0,0.84,-0.76,,-       
8.75,1.0,0.84,-0.76,,-       
8.8,1.0,0.84,-0.77,,-       
8.85,0.99,0.84,-0.78,,-       
8.9,0.97,0.84,-0.8,,-       
8.95,0.97,0.84,-0.8,,-       
9.0,0.97,0.84,-0.8,,-       
9.05,0.97,0.84,-0.79,,-       
9.1,0.96,0.84,-0.77,,-       
9.15,0.97,0.84,-0.78,,-       
9.2,1.01,0.82,-0.84,,-       
9.25,1.02,0.82,-0.86,,-       
9.3,1.02,0.82,-0.86,,-       
9.35,1.03,0.82,-0.85,,-       
9.4,0.27,1.82,3.4,3.45,-       
9.45,0.27,1.82,3.4,3.45,-       
9.5,0.23,1.83,3.4,3.42,gaze started: p_2_3
9.55,0.17,1.82,3.4,3.38,-       
9.6,0.19,1.82,3.4,3.28,-       
9.65,0.15,1.83,3.4,3.15,-       
9.7,0.18,1.82,3.4,3.02,-       
9.75,0.18,1.79,3.4,2.89,gaze fixated: p_2_3
9.8,0.18,1.81,3.4,2.81,gaze started: p_3_3
9.85,0.22,1.81,3.4,2.71,gaze started: p_2_3
9.9,0.24,1.8,3.46,2.63,-       
9.95,0.3,1.78,3.4,2.55,-       
10.0,0.24,1.77,3.4,2.56,gaze started: p_3_3
10.05,0.24,1.77,3.4,2.56,gaze started: p_3_3
10.1,0.16,1.81,3.4,2.56,-       
10.15,0.16,1.81,3.4,2.56,-       
10.2,0.19,1.82,3.4,2.54,gaze started: p_2_3
10.25,0.12,1.82,3.4,2.54,-       
10.3,0.16,1.83,3.4,2.48,gaze started: p_2_2
10.35,0.12,1.82,3.4,2.48,gaze started: p_2_3
10.4,0.15,1.84,3.4,2.49,gaze started: p_2_2
10.45,0.17,1.87,3.4,2.51,gaze started: p_2_3
10.5,0.23,1.81,3.4,2.53,-       
10.55,0.23,1.81,3.4,2.53,-       
10.6,0.2,1.81,3.4,2.54,-       
10.65,0.18,1.84,3.4,2.56,-       
10.7,0.14,1.84,3.46,2.58,-       
10.75,0.13,1.84,3.4,2.58,-       
10.8,0.15,1.84,3.4,2.55,gaze started: p_2_2
10.85,0.15,1.84,3.4,2.55,gaze started: p_2_3
10.9,0.15,1.84,3.4,2.54,-       
10.95,0.16,1.85,3.4,2.56,-       
11.0,0.18,1.84,3.4,2.56,-       
11.05,0.19,1.83,3.4,2.57,-       
11.1,-0.22,2.01,3.4,2.68,gaze fixated: p_2_3
11.15,-0.43,2.1,3.4,2.74,gaze started: p_2_2
11.2,-0.47,2.11,3.4,2.77,-       
11.25,-0.47,2.11,3.4,2.77,-       
11.3,-0.54,2.15,3.4,2.89,-       
11.35,-0.75,2.33,3.4,3.01,-       
11.4,-0.75,2.35,3.4,2.98,gaze started: p_1_1
11.45,-0.74,2.33,3.4,3.01,-       
11.5,-0.74,2.31,3.4,3.03,-       
11.55,-0.73,2.3,3.4,3.06,-       
11.6,-0.68,2.28,3.46,2.96,-       
11.65,-0.64,2.26,3.4,2.99,-       
11.7,-0.63,2.28,3.46,2.99,gaze started: p_2_2
11.75,-0.63,2.28,3.46,2.99,gaze started: p_2_2
11.8,-0.62,2.27,3.46,3.01,-       
11.85,-0.62,2.28,3.46,3.05,-       
11.9,-0.62,2.28,3.46,3.09,-       
11.95,-0.59,2.25,3.4,3.14,-       
12.0,-0.59,2.26,3.4,3.18,gaze started: p_2_2
12.05,-0.58,2.26,3.4,3.25,-       
12.1,-0.59,2.28,3.46,3.25,-       
12.15,-0.6,2.28,3.46,3.24,-       
12.2,-0.59,2.28,3.46,3.22,-       
12.25,-0.58,2.28,3.4,3.2,-       
12.3,-0.65,2.29,3.4,3.19,gaze started: p_1_2
12.35,-0.64,2.3,3.4,3.18,-       
12.4,-0.64,2.31,3.4,3.17,-       
12.45,-0.64,2.31,3.4,3.17,-       
12.5,-0.63,2.3,3.4,3.18,-       
12.55,-0.62,2.3,3.4,3.18,-       
12.6,-0.87,2.57,3.4,3.23,gaze fixated: p_1_2
12.65,-0.87,2.59,3.4,3.24,gaze started: p_1_1
12.7,-0.87,2.6,3.4,3.23,-       
12.75,-0.87,2.6,3.4,3.2,-       
12.8,-0.87,2.6,3.4,3.2,-       
12.85,-0.87,2.59,3.4,3.14,-       
12.9,-1.06,2.58,3.4,3.14,-       
12.95,-1.07,2.57,3.4,3.16,gaze fixated: p_1_1
13.0,-1.07,2.57,3.4,3.15,-       
13.05,-1.07,2.56,3.4,3.14,-       
13.1,-0.71,2.33,3.4,3.08,-       
13.15,-0.63,2.3,3.4,3.08,-       
13.2,-0.62,2.3,3.4,3.1,gaze started: p_1_2
13.25,-0.62,2.3,3.4,3.1,-       
13.3,-0.57,2.34,3.4,3.14,-       
13.35,-0.34,2.58,3.4,3.15,-       
13.4,-0.34,2.62,3.4,3.13,-       
13.45,-0.34,2.61,3.4,3.14,gaze fixated: p_1_2
13.5,-0.33,2.6,3.4,3.14,-       
13.55,-0.33,2.6,3.4,3.14,-       
13.6,-0.6,2.57,3.4,3.17,-       
13.65,-0.62,2.54,3.4,3.14,-       
13.7,-0.62,2.55,3.4,3.15,-       
13.75,-0.65,2.55,3.4,3.18,-       
13.8,-0.91,2.58,3.4,3.16,-       
13.85,-0.9,2.58,3.4,3.17,gaze started: p_1_1
13.9,-0.91,2.58,3.4,3.16,-       
13.95,-1.08,2.61,3.4,3.15,-       
14.0,-1.08,2.59,3.4,3.14,-       
14.05,-1.09,2.59,3.4,3.15,-       
14.1,-0.96,2.52,3.4,3.13,gaze fixated: p_1_1
14.15,-0.62,2.28,3.4,3.1,-       
14.2,-0.58,2.29,3.46,3.05,gaze started: p_1_2
14.25,-0.56,2.28,3.4,3.05,-       
14.3,-0.56,2.28,3.4,3.05,-       
14.35,-0.56,2.28,3.4,3.06,gaze started: p_1_2
14.4,-0.56,2.28,3.4,3.1,-       
14.45,-0.56,2.28,3.4,3.07,-       
14.5,-0.56,2.28,3.4,3.03,-       
14.55,-0.57,2.28,3.4,2.99,-       
14.6,-0.58,2.28,3.46,2.96,gaze fixated: p_1_2
14.65,-0.58,2.28,3.46,2.95,gaze ended: p_1_2
14.7,-0.57,2.28,3.4,2.95,-       
14.75,-0.57,2.28,3.4,2.95,-       
14.8,-0.58,2.31,3.4,2.91,gaze started: p_1_2
14.85,-0.59,2.31,3.4,2.93,-       
14.9,-0.59,2.31,3.4,2.93,-       
14.95,-0.59,2.3,3.4,2.94,-       
15.0,-0.59,2.3,3.4,2.95,-       
15.05,-0.59,2.3,3.4,2.97,gaze fixated: p_1_2
15.1,-0.74,2.54,3.4,2.96,-       
15.15,-0.76,2.55,3.4,3.05,gaze started: p_1_1
15.2,-0.74,2.54,3.4,3.04,-       
15.25,-0.73,2.55,3.4,3.03,-       
15.3,-0.73,2.55,3.4,3.02,-       
15.35,-0.97,2.62,3.4,2.95,-       
15.4,-0.96,2.62,3.4,3.01,gaze fixated: p_1_1
15.45,-0.96,2.63,3.4,3.02,-       
15.5,-0.96,2.62,3.4,3.03,-       
15.55,-0.96,2.62,3.4,3.03,-       
15.6,-0.62,2.2,3.4,2.94,-       
15.65,-0.56,2.2,3.4,3.0,gaze started: p_2_2
15.7,-0.55,2.2,3.4,3.0,-       
15.75,-0.54,2.19,3.4,3.01,-       
15.8,-0.55,2.19,3.4,3.03,-       
15.85,-0.54,2.19,3.4,3.03,-       
15.9,-0.54,2.2,3.4,3.01,gaze fixated: p_2_2
15.95,-0.51,2.19,3.4,2.97,-       
16.0,-0.52,2.18,3.4,2.97,-       
16.05,-0.52,2.18,3.4,2.95,-       
16.1,-0.51,2.17,3.4,2.94,-       
16.15,-0.51,2.17,3.4,2.94,-       
16.2,-0.5,2.17,3.4,2.98,-       
16.25,-0.5,2.17,3.4,2.98,-       
16.3,-0.5,2.16,3.4,3.01,-       
16.35,-0.5,2.16,3.4,3.01,-       
16.4,-0.57,2.28,3.4,2.95,-       
16.45,-0.57,2.28,3.4,2.95,-       
16.5,-0.59,2.28,3.46,2.96,gaze started: p_1_2
16.55,-0.59,2.28,3.46,2.95,-       
16.6,-0.58,2.28,3.46,2.93,-       
16.65,-0.58,2.28,3.46,2.91,-       
16.7,-0.58,2.28,3.46,2.9,-       
16.75,-0.58,2.28,3.46,2.91,-       
16.8,-0.59,2.28,3.46,2.88,-       
16.85,-0.59,2.21,3.4,2.89,-       
16.9,-0.58,2.22,3.4,2.87,gaze started: p_2_2
16.95,-0.58,2.22,3.4,2.87,gaze started: p_2_2
17.0,-0.58,2.21,3.4,2.86,-       
17.05,-0.58,2.2,3.4,2.86,-       
17.1,-0.3,2.38,3.4,2.95,-       
17.15,-0.25,2.39,3.4,2.91,gaze started: p_1_2
17.2,-0.26,2.39,3.4,2.91,-       
17.25,-0.26,2.38,3.4,2.89,-       
17.3,-0.27,2.38,3.4,2.86,-       
17.35,-0.27,2.37,3.4,2.84,-       
