time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.27,1.2,3.4,3.27,-       
0.05,-0.25,1.24,3.4,3.08,gaze fixated: p_4_2
0.1,-0.22,1.5,3.4,2.96,-       
0.15,-0.22,1.5,3.4,2.96,-       
0.2,-0.11,1.81,3.4,3.14,gaze started: p_3_2
0.25,-0.17,1.87,3.4,3.01,gaze started: p_2_2
0.3,-0.08,1.95,3.4,3.3,-       
0.35,-0.05,2.0,3.4,3.27,-       
0.4,-0.14,1.91,3.4,3.2,-       
0.45,-0.02,2.0,3.4,3.23,-       
0.5,-0.02,1.96,3.4,3.29,gaze fixated: p_2_2
0.55,-0.04,1.95,3.4,3.32,-       
0.6,-0.09,1.94,3.4,3.36,-       
0.65,-0.06,1.95,3.4,3.4,-       
0.7,0.04,1.9,3.4,3.49,-       
0.75,0.04,1.9,3.4,3.49,-       
0.8,0.12,1.89,3.4,3.53,-       
0.85,0.09,1.89,3.4,3.56,-       
0.9,0.22,1.93,3.4,3.67,-       
0.95,0.26,2.22,3.4,3.78,gaze started: p_2_3
1.0,0.13,2.43,3.4,3.83,-       
1.05,0.12,2.25,3.4,4.01,gaze started: p_1_2
1.1,0.02,2.17,3.4,3.82,gaze started: p_2_2
1.15,-0.06,2.11,3.4,3.69,-       
1.2,-0.03,2.07,3.4,3.46,-       
1.25,-0.03,2.07,3.4,3.46,-       
1.3,0.39,1.67,3.4,3.1,-       
1.35,0.42,1.67,3.4,2.92,gaze started: p_3_3
1.4,0.42,1.67,3.4,2.77,-       
1.45,0.41,1.68,3.4,2.68,-       
1.5,0.45,1.68,3.4,2.62,-       
1.55,0.43,1.69,3.4,2.49,-       
1.6,0.4,1.7,3.4,2.46,gaze fixated: p_3_3
1.65,0.36,1.81,3.46,2.48,-       
1.7,0.63,0.36,-0.11,,gaze ended: p_3_3
1.75,0.63,0.36,-0.11,,gaze ended: p_3_3
1.8,0.63,0.36,-0.11,,-       
1.85,0.63,0.36,-0.11,,-       
1.9,0.63,0.36,-0.11,,-       
1.95,0.63,0.36,-0.11,,-       
2.0,0.63,0.36,-0.11,,-       
2.05,0.63,0.36,-0.11,,-       
2.1,0.63,0.36,-0.11,,-       
2.15,0.63,0.36,-0.11,,-       
2.2,0.63,0.36,-0.11,,-       
2.25,0.63,0.36,-0.11,,-       
2.3,0.63,0.36,-0.11,,-       
2.35,0.63,0.36,-0.12,,-       
2.4,0.63,0.36,-0.11,,-       
2.45,0.63,0.36,-0.11,,-       
2.5,0.63,0.36,-0.11,,-       
2.55,0.63,0.36,-0.12,,-       
2.6,0.63,0.36,-0.12,,-       
2.65,0.63,0.36,-0.11,,-       
2.7,0.63,0.36,-0.11,,-       
2.75,0.63,0.36,-0.12,,-       
2.8,-0.1,1.98,3.4,3.26,-       
2.85,-0.1,1.98,3.4,3.26,-       
2.9,-0.03,1.95,3.4,3.22,gaze started: p_2_2
2.95,-0.1,1.95,3.4,3.21,-       
3.0,0.03,1.89,3.4,3.11,-       
3.05,-0.06,1.91,3.4,2.9,-       
3.1,-0.09,1.91,3.4,2.85,-       
3.15,0.05,1.81,3.4,2.69,gaze fixated: p_2_2
3.2,0.05,1.79,3.4,2.7,-       
3.25,0.09,1.81,3.46,2.63,gaze started: p_3_2
3.3,0.11,1.81,3.4,2.6,-       
3.35,0.28,1.82,3.46,2.54,gaze started: p_2_2
3.4,0.19,1.76,3.4,2.55,-       
3.45,0.19,1.76,3.4,2.55,-       
3.5,0.18,1.76,3.4,2.54,gaze started: p_3_3
3.55,0.3,1.65,3.4,2.63,-       
3.6,0.3,1.61,3.4,2.63,-       
3.65,0.3,1.65,3.4,2.69,-       
3.7,0.3,1.63,3.4,2.77,-       
3.75,0.33,1.75,3.4,2.92,gaze fixated: p_3_3
3.8,0.63,0.36,-0.12,,-       
3.85,0.63,0.36,-0.12,,gaze ended: p_3_3
3.9,0.63,0.36,-0.11,,-       
