time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.3,2.26,3.4,4.44,gaze started: p_2_2
0.05,-0.3,2.26,3.4,4.44,gaze started: p_2_2
0.1,-0.31,2.25,3.4,4.44,-       
0.15,-0.31,2.25,3.4,4.42,-       
0.2,-0.31,2.25,3.4,4.36,-       
0.25,-0.3,2.24,3.4,4.34,-       
0.3,-0.31,2.24,3.4,4.28,gaze fixated: p_2_2
0.35,-0.32,2.23,3.4,4.25,-       
0.4,-0.32,2.23,3.4,4.25,-       
0.45,-0.32,2.23,3.4,4.21,-       
0.5,-0.33,2.24,3.4,4.18,-       
0.55,-0.32,2.25,3.4,4.16,-       
0.6,-0.31,2.25,3.4,4.14,-       
0.65,-0.31,2.24,3.4,4.11,-       
0.7,-0.3,2.24,3.4,4.09,-       
0.75,-0.3,2.24,3.4,4.09,-       
0.8,-0.3,2.24,3.4,4.09,-       
0.85,-0.3,2.24,3.4,4.09,-       
0.9,-0.3,2.24,3.4,4.09,-       
0.95,-0.3,2.24,3.4,4.09,-       
1.0,-0.3,2.24,3.4,4.09,-       
1.05,-0.3,2.24,3.4,4.09,-       
1.1,-0.3,2.24,3.4,4.09,-       
1.15,-0.3,2.24,3.4,4.09,-       
1.2,-0.3,2.24,3.4,4.09,-       
1.25,-0.62,2.29,3.46,4.09,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_kidney_30s_100.mp4
1.3,-0.62,2.29,3.46,4.11,gaze ended: p_2_2
1.35,-0.62,2.29,3.46,4.13,-       
1.4,-0.61,2.26,3.4,4.15,-       
1.45,-0.63,2.28,3.46,4.15,gaze started: p_2_2
1.5,-0.62,2.29,3.46,4.16,-       
1.55,-0.38,1.98,3.4,4.14,-       
1.6,-0.11,1.75,3.4,4.11,gaze started: p_2_2
1.65,-0.11,1.75,3.4,4.11,gaze started: p_2_2
1.7,-0.12,1.68,3.4,4.09,gaze started: p_3_2
1.75,-0.12,1.69,3.4,4.14,-       
1.8,-0.12,1.7,3.4,4.16,-       
1.85,-0.18,1.75,3.4,4.21,-       
1.9,-0.11,1.71,3.4,4.28,-       
1.95,-0.22,1.76,3.4,4.32,gaze fixated: p_3_2
2.0,-0.21,1.77,3.4,4.42,-       
2.05,-0.2,1.77,3.4,4.45,-       
2.1,-0.2,1.77,3.4,4.45,-       
2.15,-0.22,1.82,3.4,4.43,-       
2.2,-0.17,1.76,3.4,4.22,gaze started: p_2_2
2.25,0.55,0.78,-0.32,,gaze started: p_3_2
2.3,0.55,0.78,-0.32,,-       
2.35,-0.14,1.52,3.4,4.28,-       
2.4,-0.23,1.34,3.4,4.12,gaze started: p_3_2
2.45,-0.12,1.5,3.4,4.44,-       
2.5,-0.12,1.63,3.4,4.54,-       
2.55,-0.12,1.63,3.4,4.54,-       
2.6,-0.15,1.52,3.4,4.52,-       
2.65,-0.12,1.54,3.4,4.45,-       
2.7,-0.14,1.52,3.4,4.39,gaze fixated: p_3_2
2.75,-0.13,1.52,3.4,4.19,-       
2.8,-0.14,1.53,3.4,3.97,-       
2.85,-0.08,1.51,3.4,3.84,-       
2.9,-0.14,1.56,3.4,3.68,-       
2.95,-0.06,1.5,3.4,3.55,-       
3.0,-0.05,1.53,3.4,3.21,-       
3.05,0.51,0.79,-0.32,,-       
3.1,0.51,0.79,-0.32,,-       
3.15,0.49,0.78,-0.32,,gaze ended: p_3_2
3.2,0.48,0.79,-0.32,,-       
3.25,0.2,1.62,3.4,3.16,-       
3.3,0.2,1.6,3.4,3.15,gaze started: p_3_3
3.35,0.1,1.7,3.4,3.08,-       
3.4,0.09,1.66,3.4,3.14,gaze started: p_3_2
3.45,0.16,1.59,3.4,3.12,-       
3.5,0.17,1.59,3.4,3.15,gaze started: p_3_3
3.55,0.15,1.59,3.4,3.16,-       
3.6,0.14,1.59,3.4,3.18,-       
3.65,0.11,1.64,3.4,3.33,-       
3.7,-0.03,2.03,3.4,3.21,gaze started: p_3_2
3.75,-0.16,2.08,3.4,3.3,gaze started: p_2_2
3.8,-0.11,2.02,3.4,3.31,-       
3.85,-0.11,2.02,3.4,3.31,-       
3.9,-0.09,2.0,3.4,3.29,-       
3.95,0.44,0.8,-0.33,,-       
4.0,0.44,0.8,-0.34,,-       
4.05,0.44,0.8,-0.34,,-       
4.1,0.23,2.19,3.4,3.52,-       
4.15,0.28,2.11,3.4,3.47,gaze started: p_2_3
4.2,0.28,2.11,3.4,3.47,gaze started: p_2_3
4.25,0.44,0.8,-0.34,,-       
4.3,0.44,0.8,-0.34,,-       
4.35,0.44,0.8,-0.34,,-       
4.4,0.15,1.91,3.4,3.65,-       
4.45,0.17,1.97,3.4,3.69,gaze started: p_2_3
4.5,0.17,1.92,3.4,3.67,-       
4.55,0.19,1.9,3.4,3.71,-       
4.6,0.2,1.91,3.4,3.75,-       
4.65,0.19,1.91,3.4,3.75,-       
4.7,0.07,1.74,3.4,3.71,gaze fixated: p_2_3
4.75,0.17,1.64,3.4,3.7,gaze started: p_3_2
4.8,0.1,1.7,3.4,3.7,gaze started: p_3_3
4.85,0.1,1.7,3.4,3.7,gaze started: p_3_3
4.9,0.09,1.7,3.4,3.68,gaze started: p_3_2
4.95,0.08,1.71,3.4,3.66,-       
5.0,0.09,1.7,3.4,3.61,-       
5.05,0.17,1.61,3.4,3.55,-       
5.1,0.1,1.52,3.4,3.51,gaze started: p_3_3
5.15,0.19,1.5,3.4,3.51,gaze started: p_3_2
5.2,0.15,1.51,3.4,3.51,gaze started: p_3_3
5.25,0.17,1.51,3.4,3.48,-       
5.3,0.18,1.51,3.4,3.46,-       
5.35,0.1,1.39,3.4,3.45,-       
5.4,0.1,1.39,3.4,3.45,-       
5.45,0.01,1.44,3.4,3.43,gaze started: p_3_2
5.5,-0.01,1.45,3.4,3.43,-       
5.55,0.0,1.44,3.4,3.43,-       
5.6,0.01,1.44,3.4,3.41,-       
5.65,0.07,1.41,3.4,3.41,-       
5.7,0.02,1.43,3.4,3.4,gaze fixated: p_3_2
5.75,0.01,1.44,3.4,3.39,-       
5.8,0.03,1.43,3.4,3.35,-       
5.85,0.05,1.43,3.4,3.32,-       
5.9,0.02,1.44,3.4,3.3,-       
5.95,0.02,1.44,3.4,3.3,-       
6.0,0.03,1.45,3.4,3.26,-       
6.05,0.08,1.4,3.4,3.23,-       
6.1,0.09,1.45,3.4,3.25,-       
6.15,0.46,1.27,3.4,3.24,-       
6.2,0.41,1.31,3.4,3.24,gaze started: p_4_3
6.25,0.45,1.28,3.4,3.25,-       
6.3,0.41,1.31,3.4,3.25,-       
6.35,0.41,1.31,3.4,3.24,-       
6.4,0.41,1.31,3.4,3.24,-       
6.45,0.41,1.3,3.4,3.22,gaze fixated: p_4_3
6.5,0.41,1.3,3.4,3.22,gaze fixated: p_4_3
6.55,0.41,1.3,3.4,3.2,-       
6.6,0.42,1.29,3.4,3.18,-       
6.65,0.42,1.29,3.4,3.16,-       
6.7,0.41,1.3,3.4,3.13,-       
6.75,0.41,1.29,3.4,3.13,-       
6.8,0.41,1.29,3.4,3.11,-       
6.85,0.41,1.29,3.4,3.1,-       
6.9,0.41,1.3,3.4,3.09,-       
6.95,0.41,1.3,3.4,3.09,-       
7.0,0.41,1.3,3.4,3.09,-       
7.05,0.41,1.3,3.4,3.09,-       
