time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.63,2.33,3.4,3.25,-       
0.05,-0.63,2.32,3.4,3.21,-       
0.1,-0.63,2.32,3.4,3.2,-       
0.15,-0.63,2.33,3.4,3.17,-       
0.2,-0.63,2.33,3.4,3.17,-       
0.25,-0.63,2.33,3.4,3.17,-       
0.3,-0.63,2.33,3.4,3.17,-       
0.35,-0.63,2.33,3.4,3.17,-       
0.4,-0.63,2.33,3.4,3.17,-       
0.45,-0.63,2.33,3.4,3.17,-       
0.5,-0.63,2.33,3.4,3.17,-       
0.55,-0.63,2.33,3.4,3.17,-       
0.6,-0.63,2.33,3.4,3.17,-       
0.65,-0.63,2.33,3.4,3.17,-       
0.7,-0.76,2.31,3.4,3.04,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_kidney_30s_50nd.mp4
0.75,-0.76,2.31,3.4,3.04,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_kidney_30s_50nd.mp4
0.8,-0.76,2.31,3.4,3.04,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_kidney_30s_50nd.mp4
0.85,0.74,0.55,-0.19,,gaze started: p_1_1
0.9,0.74,0.55,-0.19,,-       
0.95,-0.71,2.26,3.4,3.34,-       
1.0,-0.71,2.32,3.46,3.3,gaze started: p_2_1
1.05,-0.7,2.29,3.46,3.22,-       
1.1,0.09,1.68,3.4,3.19,-       
1.15,0.1,1.64,3.4,3.21,gaze started: p_3_2
1.2,0.09,1.64,3.4,3.23,-       
1.25,0.02,1.64,3.4,3.24,-       
1.3,-0.07,1.63,3.4,3.24,-       
1.35,-0.08,1.62,3.4,3.26,-       
1.4,-0.06,1.59,3.4,3.31,gaze fixated: p_3_2
1.45,-0.06,1.58,3.4,3.33,-       
1.5,0.77,0.53,-0.19,,-       
1.55,0.77,0.52,-0.19,,gaze ended: p_3_2
1.6,0.76,0.53,-0.19,,-       
1.65,0.77,0.52,-0.19,,-       
1.7,0.76,0.53,-0.19,,-       
1.75,0.08,1.58,3.4,3.43,-       
1.8,0.13,1.67,3.4,3.48,gaze started: p_3_2
1.85,-0.01,1.58,3.4,3.47,-       
1.9,0.23,1.83,3.4,3.46,-       
1.95,0.23,1.82,3.46,3.53,gaze started: p_2_3
2.0,0.27,1.82,3.46,3.48,-       
2.05,0.28,1.81,3.46,3.49,-       
2.1,0.28,1.81,3.46,3.52,-       
2.15,0.27,1.79,3.4,3.52,-       
2.2,0.44,1.65,3.4,3.08,gaze started: p_3_3
2.25,0.46,1.65,3.4,3.0,-       
2.3,0.5,1.65,3.4,2.89,-       
