time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.76,2.28,3.46,2.5,-       
0.05,-0.77,2.29,3.4,2.5,-       
0.1,-0.79,2.29,3.4,2.5,gaze started: p_1_1
0.15,-0.79,2.29,3.4,2.5,gaze started: p_1_1
0.2,-0.79,2.28,3.4,2.49,-       
0.25,-0.78,2.28,3.46,2.48,-       
0.3,-0.78,2.28,3.46,2.47,-       
0.35,-0.79,2.32,3.4,2.47,-       
0.4,-0.48,2.31,3.4,2.43,gaze started: p_1_1
0.45,-0.5,2.29,3.4,2.39,gaze started: p_1_2
0.5,-0.52,2.33,3.4,2.39,-       
0.55,-0.38,2.35,3.4,2.35,-       
0.6,-0.41,2.31,3.4,2.35,-       
0.65,-0.42,2.3,3.4,2.35,-       
0.7,-0.43,2.3,3.4,2.35,gaze fixated: p_1_2
0.75,-0.43,2.29,3.4,2.37,-       
0.8,-0.42,2.3,3.4,2.38,-       
0.85,-0.42,2.32,3.4,2.4,-       
0.9,-0.42,2.32,3.4,2.4,-       
0.95,-0.41,2.24,3.4,2.37,-       
1.0,-0.41,2.24,3.4,2.37,-       
1.05,-0.41,2.24,3.4,2.37,-       
1.1,-0.41,2.24,3.4,2.37,-       
1.15,-0.41,2.24,3.4,2.37,-       
1.2,-0.41,2.24,3.4,2.37,-       
1.25,-0.41,2.24,3.4,2.37,-       
1.3,-0.41,2.24,3.4,2.37,-       
1.35,-0.41,2.24,3.4,2.37,-       
1.4,-0.41,2.24,3.4,2.37,-       
1.45,1.06,0.84,-0.7,,gaze started: p_2_2
1.5,1.06,0.84,-0.71,,-       
1.55,1.06,0.84,-0.71,,-       
1.6,1.06,0.84,-0.71,,-       
1.65,1.06,0.84,-0.71,,-       
1.7,1.06,0.84,-0.71,,-       
1.75,1.06,0.84,-0.71,,-       
1.8,1.05,0.84,-0.71,,-       
1.85,1.06,0.84,-0.71,,-       
1.9,1.06,0.84,-0.71,,-       
1.95,1.06,0.84,-0.7,,-       
2.0,1.06,0.84,-0.7,,-       
2.05,1.06,0.84,-0.7,,-       
2.1,0.26,1.69,3.4,2.17,-       
2.15,0.36,1.75,3.4,2.42,gaze started: p_3_3
2.2,0.36,1.75,3.4,2.44,-       
2.25,0.36,1.75,3.4,2.44,-       
2.3,0.23,1.67,3.4,2.51,-       
2.35,0.08,1.41,3.4,2.45,-       
2.4,0.03,1.46,3.4,2.37,gaze started: p_3_2
2.45,0.09,1.45,3.4,2.45,-       
2.5,0.06,1.3,3.4,2.31,-       
2.55,-0.05,0.87,3.4,2.02,gaze started: p_4_2
2.6,1.05,0.84,-0.69,,-       
2.65,1.06,0.84,-0.69,,-       
2.7,1.06,0.84,-0.69,,-       
2.75,1.05,0.84,-0.69,,-       
2.8,1.05,0.84,-0.69,,-       
2.85,1.05,0.84,-0.69,,-       
2.9,1.05,0.84,-0.69,,-       
2.95,1.05,0.84,-0.69,,-       
3.0,-0.26,1.47,3.4,2.44,-       
3.05,0.07,1.43,3.4,2.23,gaze started: p_3_2
3.1,0.09,1.4,3.4,2.2,-       
3.15,0.09,1.4,3.4,2.2,-       
3.2,0.1,1.39,3.4,2.18,-       
3.25,0.08,1.42,3.4,2.1,-       
3.3,-0.16,1.39,3.4,2.0,-       
3.35,0.03,1.47,3.4,1.92,gaze fixated: p_3_2
3.4,0.02,1.5,3.4,1.78,-       
3.45,0.01,1.5,3.4,1.78,-       
3.5,0.0,1.5,3.4,1.78,-       
3.55,-0.01,1.51,3.4,1.78,-       
3.6,0.02,1.51,3.4,1.77,-       
3.65,0.03,1.53,3.4,1.78,-       
3.7,0.03,1.53,3.4,1.78,-       
3.75,0.01,1.57,3.4,1.86,-       
3.8,0.01,1.57,3.4,1.86,-       
3.85,0.01,1.57,3.4,1.86,-       
3.9,0.01,1.57,3.4,1.86,-       
3.95,-0.04,1.57,3.4,1.92,-       
4.0,-0.04,1.57,3.4,1.92,-       
4.05,-0.14,1.55,3.4,1.93,-       
4.1,-0.13,1.55,3.4,1.96,-       
4.15,-0.13,1.57,3.4,1.97,-       
4.2,0.01,1.68,3.4,2.1,-       
4.25,-0.37,1.55,3.4,2.05,-       
4.3,-0.34,1.58,3.4,2.08,-       
4.35,0.12,1.85,3.4,2.11,-       
4.4,-0.05,1.81,3.46,2.12,gaze started: p_2_2
