time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.69,2.45,3.4,3.43,-       
0.05,-0.61,2.31,3.4,3.33,gaze started: p_1_2
0.1,-0.59,2.33,3.4,3.36,-       
0.15,-0.51,2.35,3.4,3.38,-       
0.2,-0.58,2.33,3.4,3.39,-       
0.25,-0.31,2.2,3.4,3.26,-       
0.3,1.58,0.36,0.05,,-       
0.35,1.57,0.36,0.04,,-       
0.4,1.56,0.36,0.04,,-       
0.45,1.55,0.36,0.03,,-       
0.5,1.54,0.36,0.02,,-       
0.55,-0.25,1.98,3.4,3.34,-       
0.6,1.52,0.36,0.02,,-       
0.65,1.51,0.36,0.02,,-       
0.7,1.5,0.36,0.01,,-       
0.75,1.48,0.36,0.01,,-       
0.8,1.47,0.36,-0.0,,-       
0.85,1.48,0.36,-0.01,,-       
0.9,-0.16,1.88,3.4,3.26,-       
0.95,-0.19,1.66,3.4,3.23,gaze started: p_3_2
1.0,-0.28,1.63,3.4,3.14,-       
1.05,0.53,1.83,3.4,3.71,-       
1.1,0.53,1.81,3.4,3.64,gaze started: p_3_3
1.15,0.51,1.87,3.4,3.48,-       
1.2,0.51,1.89,3.4,3.35,-       
1.25,0.54,1.81,3.46,3.15,gaze started: p_3_3
1.3,0.59,1.7,3.4,2.85,gaze started: p_3_3
1.35,0.59,1.7,3.4,2.85,gaze started: p_3_3
1.4,0.04,1.78,3.4,2.78,-       
1.45,-0.24,1.91,3.4,2.8,gaze started: p_3_2
1.5,-0.21,1.95,3.4,2.81,gaze started: p_2_2
1.55,-0.24,1.9,3.4,2.74,-       
1.6,-0.24,1.9,3.4,2.74,-       
1.65,-0.24,1.85,3.4,2.66,-       
1.7,-0.23,1.85,3.4,2.63,gaze fixated: p_2_2
1.75,-0.21,1.86,3.4,2.61,-       
1.8,-0.22,1.88,3.4,2.6,-       
1.85,-0.22,1.88,3.4,2.6,-       
1.9,-0.23,1.88,3.4,2.6,-       
1.95,-0.23,1.88,3.4,2.59,-       
2.0,-0.18,1.85,3.4,2.6,-       
2.05,0.02,1.83,3.4,2.53,-       
2.1,0.0,1.88,3.4,2.53,-       
2.15,0.01,1.87,3.4,2.56,-       
2.2,1.52,0.43,-0.06,,gaze started: p_3_2
2.25,1.52,0.44,-0.06,,-       
2.3,1.53,0.44,-0.06,,-       
2.35,1.54,0.44,-0.05,,-       
2.4,1.54,0.45,-0.06,,-       
2.45,1.54,0.46,-0.06,,-       
2.5,0.01,1.71,3.4,2.64,-       
2.55,-0.04,1.69,3.4,2.66,-       
2.6,0.03,1.72,3.4,2.69,-       
2.65,-0.06,1.72,3.4,2.83,-       
2.7,-0.06,1.71,3.4,2.85,-       
2.75,-0.04,1.67,3.4,2.9,-       
2.8,-0.05,1.74,3.4,2.93,-       
2.85,0.01,1.73,3.4,2.96,-       
2.9,0.03,1.77,3.4,3.0,-       
2.95,0.03,1.67,3.4,2.84,-       
3.0,0.04,1.73,3.4,2.84,-       
3.05,0.05,1.82,3.4,2.93,-       
3.1,0.06,1.77,3.4,2.9,-       
3.15,-0.06,1.92,3.4,2.9,-       
3.2,-0.01,1.95,3.4,2.91,-       
3.25,-0.02,1.97,3.4,2.89,-       
3.3,-0.04,1.99,3.4,2.91,-       
3.35,-0.05,2.03,3.4,2.94,-       
3.4,-0.08,2.03,3.4,2.9,-       
3.45,-0.15,2.08,3.4,2.86,-       
3.5,-0.22,2.15,3.4,2.87,-       
3.55,-0.27,2.07,3.4,2.86,-       
3.6,-0.24,2.1,3.4,2.83,-       
3.65,-0.13,2.15,3.4,2.78,-       
3.7,1.52,0.43,-0.06,,-       
3.75,1.51,0.43,-0.06,,-       
3.8,1.51,0.43,-0.06,,-       
3.85,1.51,0.43,-0.06,,-       
3.9,1.51,0.43,-0.06,,-       
3.95,1.51,0.43,-0.06,,-       
4.0,0.06,1.76,3.4,2.74,-       
4.05,0.07,1.8,3.46,2.81,gaze started: p_2_2
4.1,0.07,1.8,3.46,2.85,-       
4.15,0.11,1.8,3.46,2.88,-       
4.2,0.16,1.83,3.4,2.78,-       
4.25,0.16,1.87,3.4,2.78,-       
4.3,0.15,1.82,3.4,2.74,gaze started: p_2_3
4.35,0.14,1.81,3.46,2.73,-       
4.4,0.14,1.79,3.4,2.68,-       
4.45,0.13,1.79,3.46,2.65,-       
4.5,0.11,1.84,3.4,2.62,gaze started: p_2_3
4.55,1.51,0.43,-0.06,,-       
4.6,1.51,0.43,-0.06,,-       
4.65,1.51,0.42,-0.06,,-       
4.7,1.51,0.42,-0.07,,-       
4.75,1.51,0.42,-0.07,,-       
4.8,1.51,0.42,-0.07,,-       
4.85,0.17,1.88,3.4,2.73,-       
4.9,0.19,2.06,3.4,2.96,-       
4.95,0.18,1.96,3.4,2.91,-       
5.0,0.2,1.9,3.4,2.88,-       
5.05,0.18,1.92,3.4,2.84,-       
5.1,0.21,1.91,3.4,2.82,gaze fixated: p_2_3
5.15,0.21,1.94,3.4,2.81,-       
5.2,0.21,1.86,3.4,2.78,-       
5.25,0.2,1.9,3.4,2.79,-       
5.3,0.2,1.9,3.4,2.79,-       
5.35,0.1,1.93,3.4,2.76,-       
5.4,0.12,1.83,3.4,2.62,gaze started: p_2_2
5.45,0.21,1.88,3.4,2.7,-       
5.5,0.21,1.85,3.4,2.77,gaze started: p_2_3
5.55,0.19,1.84,3.4,2.69,-       
5.6,0.19,1.84,3.4,2.69,-       
5.65,0.27,1.85,3.4,2.71,-       
5.7,0.3,1.87,3.4,2.66,-       
5.75,0.31,1.79,3.4,2.57,gaze fixated: p_2_3
5.8,0.25,1.8,3.46,2.53,gaze started: p_3_3
5.85,0.25,1.8,3.46,2.53,gaze started: p_3_3
5.9,0.22,1.8,3.46,2.57,-       
5.95,0.23,1.9,3.4,2.66,-       
6.0,0.21,1.85,3.4,2.38,gaze started: p_2_3
6.05,0.19,1.86,3.4,2.39,-       
6.1,0.19,1.86,3.4,2.39,-       
6.15,0.18,1.91,3.4,2.48,-       
6.2,0.19,1.95,3.4,2.5,-       
6.25,0.2,1.98,3.4,2.52,-       
6.3,0.19,1.97,3.4,2.51,gaze fixated: p_2_3
6.35,0.19,1.97,3.4,2.51,gaze fixated: p_2_3
6.4,0.18,1.97,3.4,2.53,-       
6.45,0.18,1.96,3.4,2.56,-       
6.5,0.18,1.96,3.4,2.57,-       
6.55,0.2,1.96,3.4,2.59,-       
6.6,0.2,1.96,3.4,2.59,-       
6.65,0.28,2.28,3.46,2.66,-       
6.7,0.27,2.32,3.4,2.76,gaze ended: p_2_3
6.75,0.29,2.35,3.4,2.73,gaze started: p_1_3
6.8,0.31,2.35,3.4,2.74,-       
6.85,0.31,2.35,3.4,2.74,-       
6.9,0.27,2.35,3.4,2.72,-       
6.95,0.29,2.35,3.4,2.72,-       
7.0,0.24,2.36,3.4,2.72,gaze fixated: p_1_3
7.05,0.21,2.28,3.46,2.72,-       
7.1,0.18,1.99,3.4,2.71,gaze ended: p_1_3
7.15,0.18,1.99,3.4,2.71,gaze ended: p_1_3
7.2,0.16,2.01,3.4,2.68,gaze started: p_2_3
7.25,0.2,1.95,3.4,2.67,-       
7.3,0.19,1.95,3.4,2.7,-       
7.35,0.19,1.95,3.4,2.69,-       
7.4,0.19,1.95,3.4,2.69,-       
7.45,0.19,1.96,3.4,2.71,-       
7.5,0.19,1.95,3.4,2.72,gaze fixated: p_2_3
7.55,0.17,1.95,3.4,2.71,-       
7.6,0.16,1.93,3.4,2.69,-       
7.65,0.17,1.94,3.4,2.69,-       
7.7,0.17,1.94,3.4,2.69,-       
7.75,0.16,1.94,3.4,2.67,-       
7.8,0.17,1.94,3.4,2.65,-       
7.85,0.17,1.94,3.4,2.64,-       
7.9,0.18,1.93,3.4,2.61,-       
7.95,0.18,1.93,3.4,2.61,-       
8.0,0.18,1.93,3.4,2.62,-       
8.05,0.17,1.93,3.4,2.63,-       
8.1,0.17,1.94,3.4,2.64,-       
8.15,0.16,1.91,3.4,2.65,-       
8.2,0.16,1.93,3.4,2.65,-       
8.25,0.16,1.93,3.4,2.65,-       
8.3,0.17,1.94,3.4,2.66,-       
8.35,0.16,1.93,3.4,2.67,-       
8.4,0.16,1.92,3.4,2.68,-       
8.45,0.17,1.93,3.4,2.68,-       
8.5,0.17,1.93,3.4,2.68,-       
8.55,0.16,1.93,3.4,2.68,-       
8.6,0.15,1.92,3.4,2.66,-       
8.65,0.17,1.91,3.4,2.66,-       
8.7,0.19,1.91,3.4,2.66,-       
8.75,0.18,1.9,3.4,2.65,-       
8.8,0.18,1.9,3.4,2.65,-       
8.85,0.17,1.91,3.4,2.66,-       
8.9,0.18,1.91,3.4,2.7,-       
8.95,0.16,1.92,3.4,2.7,-       
9.0,0.16,1.92,3.4,2.7,-       
9.05,0.17,1.93,3.4,2.73,-       
9.1,0.16,1.92,3.4,2.73,-       
9.15,0.16,1.95,3.4,2.68,-       
9.2,0.13,1.95,3.46,2.67,-       
9.25,0.13,1.95,3.46,2.67,-       
