time,point x ,point y ,point z ,pupil diameter,flag    
0.0,1.12,0.96,-1.04,,-       
0.05,1.12,0.96,-1.04,,-       
0.1,1.12,0.95,-1.04,,-       
0.15,1.12,0.95,-1.04,,-       
0.2,1.12,0.95,-1.04,,-       
0.25,1.12,0.96,-1.04,,-       
0.3,1.12,0.95,-1.04,,-       
0.35,1.12,0.95,-1.04,,-       
0.4,1.12,0.95,-1.04,,-       
0.45,1.12,0.96,-1.04,,-       
0.5,-0.25,1.26,3.4,4.7,-       
0.55,-0.25,1.26,3.4,4.7,-       
0.6,1.12,0.96,-1.04,,gaze started: p_4_2
0.65,1.12,0.96,-1.04,,-       
0.7,1.12,0.96,-1.04,,-       
0.75,-0.63,1.78,3.4,4.98,-       
0.8,-0.73,1.76,3.4,5.04,gaze started: p_3_2
0.85,-0.73,1.76,3.4,5.04,gaze started: p_3_2
0.9,1.12,0.96,-1.04,,gaze started: p_3_1
0.95,1.12,0.96,-1.04,,gaze started: p_3_1
1.0,1.12,0.96,-1.04,,-       
1.05,1.12,0.96,-1.04,,-       
1.1,0.33,1.04,3.4,4.7,-       
1.15,0.33,1.04,3.4,4.7,-       
1.2,0.64,1.33,3.46,4.82,gaze started: p_4_3
1.25,0.51,1.55,3.4,4.09,-       
1.3,0.51,1.55,3.4,4.09,-       
1.35,1.12,0.96,-1.04,,gaze started: p_3_3
1.4,1.12,0.96,-1.04,,-       
1.45,1.12,0.96,-1.04,,-       
1.5,1.12,0.96,-1.04,,-       
1.55,0.33,2.08,3.4,3.25,-       
1.6,0.33,2.13,3.4,3.29,gaze started: p_2_3
1.65,0.33,2.13,3.4,3.29,gaze started: p_2_3
1.7,0.32,2.1,3.4,3.24,-       
1.75,0.32,2.1,3.4,3.24,-       
1.8,0.31,2.03,3.4,3.24,-       
1.85,1.12,0.96,-1.04,,-       
1.9,1.12,0.96,-1.04,,-       
1.95,1.12,0.96,-1.04,,-       
2.0,1.12,0.96,-1.04,,-       
2.05,1.12,0.96,-1.04,,-       
2.1,1.12,0.96,-1.04,,-       
2.15,1.12,0.96,-1.04,,-       
2.2,1.12,0.96,-1.04,,-       
2.25,1.12,0.96,-1.04,,-       
2.3,1.12,0.96,-1.04,,-       
2.35,0.07,2.28,3.46,3.82,-       
2.4,0.32,2.31,3.4,3.87,-       
2.45,0.32,2.31,3.4,3.87,-       
2.5,1.12,0.96,-1.04,,gaze started: p_1_3
2.55,1.12,0.96,-1.04,,gaze started: p_1_3
2.6,1.12,0.95,-1.04,,-       
2.65,1.12,0.96,-1.04,,-       
2.7,1.12,0.96,-1.04,,-       
2.75,1.12,0.96,-1.04,,-       
2.8,0.56,2.36,3.4,3.63,-       
2.85,0.56,2.36,3.4,3.63,-       
2.9,0.51,2.35,3.4,3.68,gaze started: p_1_3
2.95,0.54,1.59,3.4,3.77,-       
3.0,0.55,1.54,3.4,3.77,gaze started: p_3_3
3.05,0.55,1.54,3.4,3.77,gaze started: p_3_3
3.1,0.42,1.49,3.4,3.81,-       
3.15,1.12,0.96,-1.04,,-       
3.2,1.12,0.96,-1.04,,-       
3.25,1.12,0.96,-1.04,,-       
3.3,1.12,0.96,-1.04,,-       
3.35,1.12,0.96,-1.04,,-       
3.4,1.12,0.96,-1.04,,-       
3.45,1.07,1.16,3.4,3.37,-       
3.5,1.1,1.33,3.46,3.56,gaze started: p_4_4
3.55,1.1,1.33,3.46,3.56,gaze started: p_4_4
3.6,1.12,0.96,-1.04,,-       
3.65,1.12,0.96,-1.04,,-       
3.7,1.12,0.96,-1.04,,-       
3.75,1.12,0.96,-1.04,,-       
3.8,1.12,0.96,-1.04,,-       
3.85,1.12,0.96,-1.04,,-       
3.9,1.12,0.96,-1.04,,-       
3.95,1.12,0.96,-1.04,,-       
4.0,1.12,0.96,-1.04,,-       
4.05,1.12,0.96,-1.04,,-       
4.1,0.28,2.03,3.4,3.36,-       
