time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.61,1.74,3.4,3.69,gaze started: p_3_3
0.05,0.61,1.74,3.4,3.69,gaze started: p_3_3
0.1,0.69,1.67,3.4,3.77,-       
0.15,0.7,1.7,3.4,3.77,-       
0.2,0.71,1.68,3.4,3.85,-       
0.25,0.71,1.67,3.4,3.9,-       
0.3,0.71,1.68,3.4,3.93,gaze fixated: p_3_3
0.35,0.71,1.68,3.4,3.93,gaze fixated: p_3_3
0.4,0.71,1.68,3.4,3.93,gaze fixated: p_3_3
0.45,0.71,1.68,3.4,3.93,gaze fixated: p_3_3
0.5,0.71,1.68,3.4,3.93,gaze fixated: p_3_3
0.55,0.71,1.68,3.4,3.93,gaze fixated: p_3_3
0.6,0.71,1.68,3.4,3.93,gaze fixated: p_3_3
0.65,0.71,1.68,3.4,3.93,gaze fixated: p_3_3
0.7,0.71,1.68,3.4,3.93,gaze fixated: p_3_3
0.75,0.71,1.68,3.4,3.93,gaze fixated: p_3_3
0.8,0.23,1.76,3.4,3.38,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_mantherapy_30s_100.mp4
0.85,0.23,1.76,3.4,3.38,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_mantherapy_30s_100.mp4
0.9,0.14,1.77,3.4,3.31,-       
0.95,0.39,1.79,3.4,3.23,-       
1.0,0.26,1.8,3.46,3.22,-       
1.05,0.14,1.8,3.46,3.22,gaze ended: p_3_3
1.1,0.13,1.81,3.46,3.22,-       
1.15,0.25,1.8,3.46,3.25,-       
1.2,0.27,1.8,3.46,3.24,-       
1.25,0.27,1.8,3.46,3.24,-       
1.3,0.21,1.79,3.4,3.23,-       
1.35,0.12,1.79,3.4,3.23,gaze started: p_3_3
1.4,0.2,1.8,3.46,3.41,gaze started: p_3_2
1.45,0.44,1.71,3.4,3.27,-       
1.5,0.44,1.72,3.4,3.41,gaze started: p_3_3
1.55,0.46,1.72,3.4,3.48,-       
1.6,0.43,1.74,3.4,3.6,-       
1.65,0.43,1.74,3.4,3.6,-       
1.7,0.39,1.65,3.4,3.38,-       
1.75,0.9,0.77,-0.48,,-       
1.8,0.9,0.77,-0.48,,-       
1.85,-0.25,0.67,3.57,4.14,-       
1.9,-0.2,0.61,3.57,4.07,-       
1.95,-0.28,0.58,3.57,4.31,-       
2.0,-0.42,0.53,2.93,4.26,-       
2.05,-0.42,0.53,2.93,4.26,-       
2.1,-0.45,0.42,2.94,4.32,-       
2.15,-0.43,0.49,2.93,4.26,-       
2.2,0.94,0.86,-0.59,,-       
2.25,0.13,1.51,3.4,3.84,-       
2.3,0.31,1.56,3.4,3.87,gaze started: p_3_2
2.35,0.25,1.64,3.4,3.7,gaze started: p_3_3
2.4,0.29,1.62,3.4,3.38,-       
2.45,0.31,1.67,3.4,3.26,-       
2.5,0.31,1.67,3.4,3.26,-       
2.55,0.31,1.67,3.4,3.18,-       
2.6,0.35,1.67,3.4,3.02,-       
2.65,0.45,1.63,3.4,2.99,gaze fixated: p_3_3
2.7,0.34,1.65,3.4,2.98,-       
2.75,0.36,1.65,3.4,2.98,-       
2.8,0.36,1.65,3.4,2.98,-       
2.85,0.31,1.68,3.4,2.93,-       
2.9,0.3,1.68,3.4,3.05,-       
2.95,0.3,1.65,3.4,3.0,-       
