time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.47,1.79,3.4,3.45,-       
0.05,0.46,1.78,3.4,3.46,-       
0.1,0.46,1.79,3.4,3.46,-       
0.15,0.46,1.78,3.4,3.47,-       
0.2,0.46,1.77,3.4,3.47,gaze fixated: p_3_3
0.25,0.46,1.77,3.4,3.5,-       
0.3,0.55,1.77,3.4,3.58,-       
0.35,0.61,1.75,3.4,3.6,-       
0.4,0.6,1.75,3.4,3.6,-       
0.45,0.6,1.75,3.4,3.6,-       
0.5,0.61,1.74,3.4,3.61,-       
0.55,0.61,1.75,3.4,3.63,-       
0.6,0.63,1.73,3.4,3.64,-       
0.65,0.47,1.72,3.4,3.59,-       
0.7,0.53,1.77,3.4,3.68,-       
0.75,0.53,1.77,3.4,3.68,-       
0.8,0.53,1.77,3.4,3.68,-       
0.85,0.53,1.77,3.4,3.68,-       
0.9,0.53,1.77,3.4,3.68,-       
0.95,0.53,1.77,3.4,3.68,-       
1.0,0.53,1.77,3.4,3.68,-       
1.05,0.53,1.77,3.4,3.68,-       
1.1,0.53,1.77,3.4,3.68,-       
1.15,0.53,1.77,3.4,3.68,-       
1.2,0.59,1.73,3.4,3.69,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_mantherapy_30s_50nd.mp4
1.25,0.64,1.73,3.4,3.68,-       
1.3,0.64,1.73,3.4,3.68,-       
1.35,0.6,1.75,3.4,3.68,-       
1.4,0.6,1.74,3.4,3.7,-       
1.45,0.6,1.75,3.4,3.73,-       
1.5,0.6,1.75,3.4,3.73,-       
1.55,0.53,1.71,3.4,3.72,-       
1.6,0.72,0.54,-0.19,,-       
1.65,0.72,0.54,-0.19,,-       
1.7,0.72,0.54,-0.19,,-       
1.75,1.06,0.8,3.57,3.61,-       
1.8,1.07,0.83,3.57,3.62,-       
1.85,1.07,0.83,3.57,3.62,-       
1.9,1.07,0.83,3.57,3.63,-       
1.95,1.06,0.83,3.57,3.64,-       
2.0,1.06,0.84,3.57,3.64,-       
2.05,1.07,0.84,3.57,3.65,-       
2.1,0.63,1.49,3.4,3.87,-       
2.15,0.53,1.57,3.4,3.78,gaze started: p_3_3
2.2,0.51,1.58,3.4,3.69,-       
2.25,0.56,1.59,3.4,3.7,-       
2.3,0.54,1.58,3.4,3.68,-       
2.35,0.53,1.57,3.4,3.67,-       
2.4,0.5,1.57,3.4,3.68,gaze fixated: p_3_3
2.45,0.51,1.57,3.4,3.7,-       
2.5,0.6,1.59,3.4,3.69,-       
2.55,0.54,1.59,3.4,3.71,-       
2.6,0.54,1.59,3.4,3.73,-       
