time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.05,0.8,3.57,3.62,-       
0.05,0.02,0.8,3.57,3.57,gaze ended: p_4_2
0.1,0.04,0.87,3.4,3.56,-       
0.15,0.02,0.82,3.57,3.56,gaze started: p_4_2
0.2,0.03,0.75,3.57,3.59,-       
0.25,0.04,0.77,3.57,3.6,-       
0.3,0.03,0.83,3.57,3.62,-       
0.35,0.03,0.88,3.4,3.72,-       
0.4,0.05,0.92,3.4,3.37,gaze started: p_4_2
0.45,0.04,0.93,3.4,3.69,-       
0.5,0.04,0.83,3.57,3.68,-       
0.55,0.01,0.9,3.4,3.7,-       
0.6,0.75,0.84,-0.4,,-       
0.65,0.75,0.84,-0.4,,-       
0.7,0.75,0.84,-0.4,,-       
0.75,0.75,0.84,-0.4,,-       
0.8,0.75,0.84,-0.4,,-       
0.85,0.75,0.84,-0.4,,-       
0.9,0.75,0.84,-0.4,,-       
0.95,0.75,0.84,-0.4,,-       
1.0,0.75,0.84,-0.4,,-       
1.05,0.75,0.84,-0.4,,-       
1.1,0.15,0.98,3.4,3.78,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_mantherapy_30s_50nd.mp4
1.15,0.14,0.98,3.46,3.77,gaze started: p_4_3
1.2,0.1,1.01,3.4,3.77,-       
1.25,0.12,0.94,3.4,3.86,gaze started: p_4_2
1.3,0.19,0.9,3.4,3.9,-       
1.35,0.09,0.98,3.4,3.82,-       
1.4,0.75,0.84,-0.4,,gaze started: p_4_2
1.45,0.75,0.84,-0.4,,-       
1.5,0.75,0.84,-0.4,,-       
1.55,0.75,0.84,-0.4,,-       
1.6,0.75,0.84,-0.4,,-       
1.65,0.75,0.84,-0.4,,-       
1.7,0.14,1.18,3.46,4.19,-       
1.75,0.18,1.14,3.4,3.91,-       
1.8,0.18,1.16,3.4,4.19,gaze started: p_4_3
1.85,0.07,1.18,3.4,4.15,-       
1.9,0.03,1.36,3.4,4.45,gaze started: p_4_2
1.95,0.04,1.39,3.4,4.53,-       
2.0,0.02,1.41,3.4,4.53,-       
2.05,0.02,1.4,3.4,4.54,-       
2.1,0.02,1.4,3.4,4.51,-       
2.15,0.09,1.31,3.4,4.52,-       
2.2,0.09,1.32,3.46,4.44,gaze started: p_4_2
2.25,0.1,1.32,3.4,4.34,-       
2.3,0.08,1.37,3.4,4.34,gaze started: p_4_2
2.35,0.01,1.36,3.4,4.31,-       
2.4,0.01,1.36,3.4,4.31,-       
2.45,0.01,1.33,3.46,4.26,-       
2.5,0.03,1.37,3.4,4.34,-       
2.55,0.06,1.33,3.46,4.26,gaze started: p_3_2
2.6,0.44,1.07,3.4,3.69,-       
2.65,0.45,1.19,3.4,3.84,gaze started: p_4_3
2.7,0.46,1.28,3.4,3.8,-       
2.75,0.45,1.37,3.4,3.7,-       
2.8,0.45,1.41,3.4,3.67,gaze started: p_3_3
2.85,0.49,1.39,3.4,3.57,-       
2.9,0.43,1.42,3.4,3.23,-       
2.95,0.28,1.4,3.4,2.97,-       
3.0,0.31,1.41,3.4,2.95,-       
