time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.01,1.73,3.4,4.49,gaze started: p_3_2
0.05,0.06,1.7,3.4,4.49,-       
0.1,0.09,1.7,3.4,4.49,-       
0.15,0.09,1.7,3.4,4.49,-       
0.2,0.09,1.7,3.4,4.49,-       
0.25,0.09,1.7,3.4,4.49,-       
0.3,0.09,1.7,3.4,4.49,-       
0.35,0.09,1.7,3.4,4.49,-       
0.4,0.09,1.7,3.4,4.49,-       
0.45,0.09,1.7,3.4,4.49,-       
0.5,0.09,1.7,3.4,4.49,-       
0.55,0.09,1.7,3.4,4.49,-       
0.6,0.28,1.74,3.4,4.33,gaze fixated: p_3_2
0.65,0.28,1.74,3.4,4.33,gaze fixated: p_3_2
0.7,0.28,1.74,3.4,4.33,gaze fixated: p_3_2
0.75,0.01,1.8,3.46,4.4,gaze started: p_3_3
0.8,0.03,1.8,3.46,4.41,-       
0.85,0.03,1.78,3.4,4.43,-       
0.9,0.02,1.77,3.4,4.44,gaze started: p_3_2
0.95,0.0,1.78,3.4,4.45,-       
1.0,0.01,1.77,3.4,4.44,-       
1.05,0.02,1.78,3.4,4.43,-       
1.1,-0.03,1.8,3.46,4.42,-       
1.15,-0.27,1.32,3.46,4.42,gaze started: p_3_2
1.2,-0.26,1.32,3.46,4.36,-       
1.25,-0.17,1.39,3.4,4.36,-       
1.3,-0.11,1.39,3.4,4.45,gaze started: p_3_2
1.35,0.04,1.41,3.4,4.48,-       
1.4,0.08,1.37,3.4,4.5,-       
1.45,0.09,1.37,3.4,4.5,-       
1.5,0.39,1.73,3.4,4.43,-       
1.55,1.02,0.85,-0.63,,gaze started: p_3_3
1.6,1.03,0.85,-0.63,,-       
1.65,1.03,0.85,-0.63,,-       
1.7,0.2,2.0,3.4,4.67,-       
1.75,0.2,1.98,3.4,4.8,gaze started: p_2_3
1.8,0.17,1.97,3.4,4.83,-       
1.85,0.13,1.98,3.4,4.85,-       
1.9,0.15,1.95,3.4,4.91,gaze started: p_2_2
1.95,0.22,1.94,3.4,4.96,gaze started: p_2_3
2.0,0.18,1.92,3.4,4.96,-       
2.05,0.54,1.67,3.4,4.93,-       
2.1,0.49,1.7,3.4,4.7,gaze started: p_3_3
2.15,0.51,1.67,3.4,4.63,-       
2.2,0.51,1.64,3.4,4.26,-       
2.25,0.51,1.64,3.4,4.07,-       
2.3,0.51,1.61,3.4,3.93,-       
2.35,0.51,1.59,3.4,3.79,gaze fixated: p_3_3
2.4,0.49,1.6,3.4,3.69,-       
2.45,0.49,1.59,3.4,3.57,-       
2.5,0.3,1.72,3.4,3.52,-       
2.55,-0.11,1.77,3.4,3.4,gaze started: p_3_2
2.6,-0.06,1.76,3.4,3.42,-       
2.65,-0.02,1.75,3.4,3.4,-       
2.7,0.0,1.75,3.4,3.35,-       
2.75,-0.1,1.75,3.4,3.28,-       
2.8,-0.1,1.74,3.4,3.26,-       
2.85,-0.1,1.74,3.4,3.25,gaze fixated: p_3_2
2.9,0.0,1.73,3.4,3.23,-       
2.95,-0.12,1.78,3.4,3.23,-       
3.0,-0.04,1.87,3.4,3.2,gaze started: p_2_2
3.05,0.05,1.85,3.4,3.19,-       
3.1,0.06,1.84,3.4,3.17,-       
3.15,0.05,1.82,3.4,3.17,-       
3.2,0.05,1.83,3.4,3.18,-       
3.25,0.05,1.4,3.4,3.36,gaze started: p_3_2
3.3,0.14,1.39,3.46,3.35,-       
