time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.55,2.53,3.4,5.24,-       
0.05,-0.55,2.53,3.4,5.27,-       
0.1,-0.56,2.54,3.4,5.3,-       
0.15,-0.56,2.59,3.4,5.35,-       
0.2,-0.54,2.57,3.4,5.3,-       
0.25,-0.55,2.59,3.4,5.33,-       
0.3,-0.55,2.59,3.4,5.33,-       
0.35,-0.55,2.59,3.4,5.33,-       
0.4,-0.55,2.59,3.4,5.33,-       
0.45,-0.55,2.59,3.4,5.33,-       
0.5,-0.55,2.59,3.4,5.33,-       
0.55,-0.55,2.59,3.4,5.33,-       
0.6,-0.55,2.59,3.4,5.33,-       
0.65,-0.55,2.59,3.4,5.33,-       
0.7,-0.55,2.59,3.4,5.33,-       
0.75,-0.55,2.6,3.4,5.21,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_mantherapy_30s_50wd.mp4
0.8,-0.55,2.6,3.4,5.21,-       
0.85,-0.56,2.61,3.4,5.21,-       
0.9,-0.55,2.62,3.4,5.2,-       
0.95,-0.56,2.61,3.4,5.2,-       
1.0,-0.56,2.59,3.4,5.17,-       
1.05,-0.55,2.58,3.4,5.18,-       
1.1,-0.47,2.5,3.4,5.11,-       
1.15,-0.32,2.53,3.4,5.19,-       
1.2,1.0,0.84,-0.75,,-       
1.25,-0.25,2.28,3.4,5.12,gaze ended: p_1_2
1.3,-0.19,2.21,3.4,5.17,gaze started: p_1_2
1.35,0.02,2.16,3.4,5.16,gaze started: p_2_2
1.4,0.12,2.1,3.4,5.17,-       
1.45,0.13,2.06,3.4,5.24,-       
1.5,0.12,2.02,3.4,5.21,-       
1.55,0.05,1.98,3.4,5.27,-       
1.6,0.03,1.98,3.4,5.22,gaze fixated: p_2_2
1.65,0.02,1.95,3.4,5.19,-       
1.7,0.03,1.96,3.4,5.19,-       
1.75,-0.0,1.94,3.4,5.16,-       
1.8,0.13,1.68,3.4,5.13,-       
1.85,0.15,1.7,3.4,5.16,gaze started: p_3_2
1.9,0.19,1.67,3.4,5.14,gaze started: p_3_3
1.95,0.18,1.66,3.4,5.15,-       
2.0,0.15,1.78,3.4,5.22,-       
2.05,0.15,1.75,3.4,5.22,-       
2.1,0.19,1.73,3.4,5.22,-       
2.15,0.2,1.74,3.4,5.21,-       
2.2,0.19,1.65,3.4,4.89,gaze fixated: p_3_3
2.25,0.5,1.83,3.4,4.7,-       
2.3,0.59,1.71,3.4,4.51,gaze started: p_2_3
2.35,0.59,1.72,3.4,4.39,gaze started: p_3_3
2.4,0.61,1.65,3.4,4.05,-       
2.45,0.57,1.65,3.4,3.84,-       
2.5,0.42,1.68,3.4,3.7,-       
2.55,0.0,1.72,3.4,3.56,-       
2.6,-0.02,1.72,3.4,3.57,gaze started: p_3_2
2.65,-0.01,1.71,3.4,3.55,-       
2.7,0.05,1.75,3.4,3.52,-       
2.75,0.02,1.73,3.4,3.49,-       
2.8,0.02,1.72,3.4,3.49,-       
2.85,0.0,1.72,3.4,3.49,-       
2.9,0.02,1.73,3.4,3.5,gaze fixated: p_3_2
2.95,0.03,1.73,3.4,3.48,-       
3.0,0.03,1.75,3.4,3.47,-       
3.05,1.01,0.84,-0.77,,-       
3.1,1.01,0.84,-0.77,,gaze ended: p_3_2
3.15,1.01,0.84,-0.77,,-       
3.2,1.01,0.84,-0.77,,-       
3.25,0.09,2.04,3.4,3.61,-       
3.3,-0.0,2.0,3.4,3.62,gaze started: p_2_2
3.35,0.01,1.56,3.4,3.58,-       
3.4,0.03,0.7,3.57,3.56,gaze started: p_3_2
3.45,0.08,0.73,3.57,3.64,-       
3.5,0.02,0.72,3.57,3.7,-       
3.55,0.06,0.71,3.57,3.72,-       
3.6,-0.01,0.61,3.57,3.79,-       
3.65,-0.15,0.53,3.04,3.79,-       
3.7,-0.15,0.53,3.01,3.73,-       
3.75,-0.15,0.53,3.01,3.73,-       
3.8,-0.16,0.53,3.03,3.75,-       
3.85,-0.16,0.53,3.05,3.74,-       
3.9,-0.16,0.53,3.05,3.74,-       
3.95,-0.16,0.53,3.05,3.74,-       
4.0,-0.16,0.53,3.0,3.74,-       
4.05,-1.2,0.62,3.57,3.87,-       
4.1,-1.33,0.67,3.4,3.82,-       
4.15,-1.39,0.69,3.57,3.89,-       
4.2,-1.33,0.67,3.48,3.8,-       
4.25,-0.25,0.7,3.57,3.7,-       
4.3,0.51,0.74,3.57,3.66,-       
4.35,1.34,0.68,3.57,3.9,-       
4.4,1.69,0.46,2.94,3.82,-       
4.45,1.87,0.48,2.93,4.04,-       
4.5,1.86,0.49,2.93,4.02,-       
4.55,1.87,0.47,2.94,4.03,-       
4.6,1.88,0.47,2.94,4.07,-       
4.65,2.07,0.71,3.57,4.02,-       
4.7,2.12,0.76,3.57,4.17,-       
4.75,2.11,0.78,3.57,4.21,-       
4.8,2.12,0.78,3.57,4.22,-       
4.85,2.11,0.78,3.57,4.25,-       
4.9,2.1,0.77,3.57,4.27,-       
4.95,1.97,0.58,3.57,4.29,-       
5.0,1.94,0.58,3.57,4.25,-       
5.05,1.93,0.58,3.57,4.26,-       
5.1,1.63,0.77,3.57,4.28,-       
5.15,0.54,1.56,3.4,4.12,-       
5.2,0.0,2.02,3.4,4.44,gaze started: p_3_3
5.25,0.04,1.94,3.4,4.4,gaze started: p_2_2
5.3,0.03,1.95,3.4,4.33,-       
5.35,-0.06,1.91,3.4,4.23,-       
5.4,-0.03,1.92,3.4,4.2,-       
5.45,-0.04,1.92,3.4,4.13,-       
5.5,1.01,0.84,-0.77,,-       
5.55,1.01,0.84,-0.77,,-       
5.6,1.01,0.84,-0.78,,-       
5.65,1.01,0.84,-0.77,,-       
5.7,1.01,0.84,-0.77,,-       
5.75,1.01,0.84,-0.77,,-       
5.8,0.23,1.91,3.4,3.85,-       
5.85,0.22,1.86,3.4,3.77,gaze started: p_2_3
5.9,-0.12,2.19,3.4,4.03,-       
5.95,-0.58,2.26,3.4,4.0,gaze started: p_2_2
6.0,-0.55,2.26,3.4,4.0,gaze started: p_1_2
6.05,-0.55,2.26,3.4,3.99,gaze started: p_2_2
6.1,-0.54,2.26,3.4,3.93,-       
6.15,-0.54,2.24,3.4,3.89,-       
6.2,-0.54,2.24,3.4,3.88,-       
6.25,-0.08,1.97,3.4,3.86,-       
6.3,0.08,1.88,3.4,3.86,-       
6.35,0.09,1.88,3.4,3.86,gaze fixated: p_2_2
6.4,0.09,1.88,3.4,3.88,-       
6.45,0.09,1.88,3.4,3.88,-       
6.5,0.07,1.89,3.4,3.94,-       
6.55,0.16,1.75,3.4,3.81,-       
6.6,0.15,1.74,3.4,3.86,gaze started: p_3_3
6.65,-0.19,1.49,3.4,3.83,-       
6.7,-0.76,0.77,3.57,3.8,gaze started: p_3_2
6.75,-0.75,0.77,3.57,3.87,-       
6.8,-0.76,0.74,3.57,3.89,-       
6.85,-0.78,0.73,3.57,3.92,-       
6.9,-1.24,0.74,3.46,4.0,-       
6.95,-1.39,0.71,3.48,4.08,-       
7.0,-1.43,0.71,3.57,4.06,-       
7.05,-1.44,0.71,3.57,4.03,-       
7.1,-1.4,0.72,3.48,4.0,-       
7.15,-1.39,0.72,3.47,3.98,-       
7.2,-1.39,0.7,3.49,3.93,-       
7.25,-1.39,0.72,3.44,3.93,-       
7.3,-0.52,0.53,3.26,3.89,-       
7.35,-0.47,0.53,3.13,3.83,-       
7.4,-0.42,0.53,3.18,3.94,-       
7.45,-0.41,0.53,3.18,3.95,-       
7.5,-0.42,0.53,3.25,4.0,-       
7.55,-0.24,0.53,3.11,4.05,-       
7.6,-0.25,0.53,3.14,4.07,-       
7.65,-0.24,0.53,3.17,4.01,-       
7.7,-0.19,0.71,3.57,4.04,-       
7.75,0.11,2.08,3.4,4.22,-       
7.8,0.1,2.06,3.4,4.12,gaze started: p_2_2
7.85,0.15,2.05,3.4,4.12,-       
7.9,0.14,2.02,3.4,4.07,gaze started: p_2_3
7.95,0.14,2.02,3.4,4.03,-       
8.0,0.16,1.85,3.4,3.87,-       
8.05,0.17,1.88,3.4,3.87,-       
8.1,0.17,1.88,3.4,3.86,-       
8.15,0.17,1.87,3.4,3.85,gaze fixated: p_2_3
8.2,0.17,1.86,3.4,3.84,-       
8.25,0.17,1.87,3.4,3.87,-       
8.3,0.19,1.86,3.4,3.96,-       
8.35,0.19,1.96,3.4,4.02,-       
8.4,1.01,0.84,-0.77,,gaze ended: p_2_3
8.45,1.01,0.84,-0.77,,-       
8.5,1.01,0.84,-0.76,,-       
8.55,0.14,1.93,3.46,4.03,-       
8.6,0.17,1.94,3.4,4.03,-       
8.65,0.16,1.93,3.4,3.98,gaze started: p_2_3
8.7,0.16,1.93,3.4,4.0,-       
8.75,0.17,1.91,3.4,4.0,-       
8.8,0.17,1.91,3.4,4.0,-       
8.85,0.16,1.91,3.4,3.99,-       
8.9,0.16,1.91,3.4,3.98,gaze fixated: p_2_3
8.95,0.16,1.89,3.4,3.97,-       
9.0,0.16,1.88,3.4,3.94,-       
9.05,0.16,1.88,3.4,3.95,-       
9.1,0.16,1.88,3.4,3.97,-       
9.15,0.16,1.88,3.4,3.94,-       
9.2,0.16,1.88,3.4,3.9,-       
9.25,0.16,1.88,3.4,3.87,-       
9.3,0.16,1.88,3.4,3.85,-       
9.35,0.16,1.87,3.4,3.84,-       
9.4,0.16,1.87,3.4,3.76,-       
9.45,0.16,1.87,3.4,3.74,-       
9.5,0.15,1.87,3.4,3.72,-       
9.55,0.16,1.86,3.4,3.71,-       
9.6,0.15,1.86,3.4,3.73,-       
9.65,0.16,1.87,3.4,3.73,-       
9.7,0.16,1.87,3.4,3.72,-       
9.75,0.16,1.86,3.4,3.71,-       
9.8,0.16,1.86,3.4,3.71,-       
9.85,0.15,1.86,3.4,3.71,-       
9.9,0.15,1.86,3.4,3.72,-       
9.95,0.27,1.87,3.4,3.82,-       
10.0,0.27,1.86,3.4,3.82,-       
10.05,0.26,1.87,3.4,3.83,-       
10.1,0.26,1.87,3.4,3.85,-       
10.15,0.26,1.87,3.4,3.87,-       
10.2,0.26,1.87,3.4,3.89,-       
10.25,0.22,1.91,3.4,3.97,-       
10.3,-0.29,2.15,3.4,4.02,-       
10.35,-0.27,2.14,3.4,4.02,gaze started: p_2_2
10.4,-0.28,2.13,3.4,4.04,-       
10.45,-0.53,2.25,3.4,4.16,-       
10.5,-0.52,2.25,3.4,4.15,-       
10.55,-0.52,2.25,3.4,4.16,-       
10.6,-0.52,2.25,3.4,4.19,gaze fixated: p_2_2
10.65,-0.6,2.27,3.4,4.29,-       
10.7,-0.6,2.28,3.4,4.3,gaze started: p_1_2
10.75,-0.6,2.28,3.4,4.34,-       
10.8,-0.61,2.28,3.4,4.37,-       
10.85,-0.61,2.28,3.4,4.41,-       
10.9,-0.61,2.28,3.4,4.44,-       
10.95,-0.61,2.28,3.4,4.45,-       
11.0,-0.61,2.29,3.4,4.46,gaze fixated: p_1_2
11.05,-0.61,2.29,3.4,4.5,-       
11.1,-0.61,2.28,3.4,4.56,-       
11.15,-0.61,2.29,3.4,4.59,-       
11.2,-0.65,2.32,3.4,4.69,-       
11.25,-0.66,2.33,3.4,4.72,-       
11.3,-0.66,2.33,3.4,4.71,-       
11.35,-0.65,2.32,3.4,4.71,-       
11.4,-0.65,2.33,3.4,4.76,-       
11.45,-0.65,2.34,3.4,4.78,-       
11.5,-0.23,2.18,3.4,4.86,-       
11.55,-0.2,2.17,3.4,4.82,gaze started: p_2_2
11.6,-0.2,2.16,3.4,4.84,-       
11.65,-0.19,2.15,3.4,4.85,-       
11.7,-0.24,2.2,3.4,4.93,-       
11.75,-0.24,2.2,3.4,4.93,-       
11.8,-0.59,2.35,3.4,4.94,gaze started: p_1_2
11.85,-0.6,2.34,3.4,4.94,-       
11.9,-0.6,2.34,3.4,4.95,-       
11.95,-0.6,2.34,3.4,4.95,-       
12.0,-0.6,2.33,3.4,4.96,-       
12.05,-0.6,2.33,3.4,4.98,-       
12.1,-0.6,2.34,3.4,5.0,gaze fixated: p_1_2
12.15,-0.6,2.33,3.4,5.01,-       
12.2,-0.61,2.34,3.4,5.04,-       
12.25,-0.65,2.34,3.4,5.06,-       
12.3,-0.64,2.35,3.4,5.06,-       
12.35,-0.64,2.35,3.4,5.07,-       
12.4,-0.64,2.35,3.4,5.08,-       
12.45,-0.64,2.34,3.4,5.09,-       
12.5,-0.65,2.34,3.4,5.1,-       
12.55,-0.65,2.34,3.4,5.11,-       
12.6,-0.64,2.35,3.4,5.12,-       
12.65,-0.64,2.34,3.4,5.11,-       
12.7,-0.64,2.34,3.4,5.11,-       
12.75,-0.63,2.33,3.4,5.09,-       
12.8,-0.62,2.33,3.4,5.08,-       
12.85,-0.62,2.33,3.4,5.07,-       
12.9,-0.63,2.33,3.4,5.05,-       
12.95,-0.62,2.34,3.4,5.06,-       
13.0,-0.62,2.34,3.4,5.03,-       
13.05,-0.61,2.33,3.4,5.03,-       
13.1,-0.61,2.33,3.4,5.03,-       
13.15,-0.61,2.33,3.4,5.02,-       
13.2,-0.65,2.35,3.4,5.02,-       
13.25,-0.67,2.37,3.4,5.04,-       
13.3,-0.65,2.36,3.4,5.03,-       
13.35,-0.65,2.36,3.4,5.04,-       
13.4,-0.64,2.35,3.4,5.03,-       
13.45,-0.76,2.38,3.4,5.28,-       
13.5,1.0,0.84,-0.75,,gaze started: p_1_1
13.55,1.0,0.84,-0.75,,-       
13.6,-0.58,2.38,3.4,5.13,-       
13.65,-0.58,2.38,3.4,5.13,-       
13.7,-0.61,2.42,3.4,5.18,gaze started: p_1_2
13.75,-0.6,2.39,3.4,5.13,-       
13.8,-0.6,2.39,3.4,5.11,-       
13.85,-0.6,2.37,3.4,5.09,-       
13.9,-0.62,2.34,3.4,5.07,gaze fixated: p_1_2
13.95,-0.62,2.34,3.4,5.05,-       
14.0,-0.62,2.33,3.4,5.03,-       
14.05,-0.61,2.34,3.4,5.02,-       
14.1,-0.61,2.34,3.4,5.02,-       
14.15,-0.6,2.32,3.4,5.0,-       
14.2,-0.6,2.32,3.4,5.0,-       
14.25,-0.6,2.33,3.4,4.99,-       
14.3,-0.6,2.33,3.4,4.99,-       
14.35,-0.61,2.33,3.4,4.99,-       
14.4,-0.61,2.32,3.4,4.99,-       
14.45,-0.61,2.32,3.4,4.99,-       
14.5,-0.6,2.32,3.4,5.01,-       
14.55,-0.6,2.32,3.4,5.01,-       
14.6,-0.6,2.32,3.4,5.02,-       
14.65,-0.6,2.34,3.4,5.01,-       
14.7,-0.71,2.47,3.46,5.14,-       
14.75,-0.71,2.41,3.4,5.1,gaze ended: p_1_2
14.8,-0.71,2.4,3.4,5.12,gaze started: p_1_1
14.85,-0.71,2.41,3.4,5.14,-       
14.9,-0.71,2.4,3.4,5.15,-       
14.95,-0.71,2.39,3.4,5.15,-       
15.0,-0.71,2.4,3.46,5.14,-       
15.05,-0.71,2.41,3.46,5.11,-       
15.1,-0.69,2.39,3.4,5.08,-       
15.15,-0.69,2.39,3.4,5.02,gaze started: p_1_2
15.2,-0.68,2.38,3.4,4.98,-       
15.25,-0.68,2.37,3.4,4.96,-       
15.3,-0.69,2.38,3.4,4.95,-       
15.35,-0.68,2.4,3.4,5.03,-       
15.4,-0.69,2.39,3.4,5.04,gaze fixated: p_1_2
15.45,-0.68,2.39,3.4,5.04,-       
15.5,-0.69,2.39,3.4,5.08,-       
15.55,-0.69,2.39,3.4,5.11,-       
15.6,-0.69,2.4,3.4,5.12,-       
15.65,-0.69,2.41,3.4,5.12,-       
15.7,-0.69,2.41,3.4,5.15,-       
15.75,-0.69,2.4,3.4,5.15,-       
15.8,-0.69,2.4,3.4,5.15,-       
15.85,-0.69,2.4,3.4,5.15,-       
15.9,-0.69,2.39,3.4,5.16,gaze ended: p_1_2
15.95,-0.69,2.39,3.4,5.16,gaze ended: p_1_2
16.0,-0.71,2.39,3.46,5.16,-       
16.05,-0.69,2.37,3.4,5.14,-       
16.1,-0.69,2.37,3.4,5.15,gaze started: p_1_2
16.15,-0.87,1.99,3.4,5.14,-       
16.2,-1.11,1.31,3.4,5.06,gaze started: p_2_1
16.25,-1.06,1.33,3.46,5.08,gaze started: p_4_1
16.3,-1.08,1.38,3.4,5.13,-       
16.35,-1.07,1.35,3.4,5.11,gaze started: p_3_1
16.4,-1.07,1.36,3.4,5.12,-       
16.45,-1.06,1.35,3.4,5.11,-       
16.5,-0.71,1.96,3.4,5.1,-       
16.55,-0.62,2.14,3.4,4.78,gaze started: p_2_2
16.6,-0.59,2.13,3.4,4.7,-       
16.65,-0.47,2.15,3.4,4.62,-       
16.7,0.13,2.26,3.4,4.6,-       
16.75,0.11,2.23,3.4,4.6,-       
16.8,0.11,2.22,3.4,4.58,-       
16.85,0.12,2.22,3.4,4.59,gaze fixated: p_2_2
16.9,0.66,2.26,3.4,4.63,-       
16.95,1.02,2.33,3.4,4.74,gaze started: p_2_3
17.0,0.98,2.28,3.4,4.64,gaze started: p_1_4
17.05,0.98,2.29,3.4,4.68,-       
17.1,0.97,2.3,3.4,4.73,-       
