time,point x ,point y ,point z ,pupil diameter,flag    
0.0,1.07,0.92,-1.04,,gaze started: p_2_3
0.05,1.07,0.92,-1.04,,gaze started: p_2_3
0.1,1.08,0.92,-1.04,,-       
0.15,1.08,0.92,-1.04,,-       
0.2,1.08,0.92,-1.04,,-       
0.25,-0.78,2.41,3.4,5.66,-       
0.3,-0.89,2.23,3.4,5.65,gaze started: p_1_1
0.35,-0.89,2.23,3.4,5.65,gaze started: p_1_1
0.4,-1.44,1.35,3.4,5.45,gaze started: p_2_1
0.45,-1.43,1.35,3.4,5.47,gaze started: p_3_1
0.5,-1.43,1.35,3.4,5.47,gaze started: p_3_1
0.55,-1.04,1.21,3.4,5.34,-       
0.6,1.08,0.92,-1.04,,gaze started: p_4_1
0.65,1.08,0.92,-1.04,,gaze started: p_4_1
0.7,1.08,0.92,-1.04,,-       
0.75,1.08,0.92,-1.04,,-       
0.8,1.08,0.92,-1.04,,-       
0.85,1.08,0.92,-1.04,,-       
0.9,0.6,1.66,3.4,3.74,-       
0.95,0.6,1.66,3.4,3.74,-       
1.0,0.65,1.67,3.4,3.49,gaze started: p_3_3
1.05,1.08,0.92,-1.04,,-       
1.1,1.08,0.92,-1.04,,-       
1.15,1.08,0.92,-1.04,,-       
1.2,1.08,0.92,-1.04,,-       
1.25,0.13,1.9,3.4,3.21,-       
1.3,0.13,1.9,3.4,3.21,-       
1.35,0.22,1.89,3.4,3.08,gaze started: p_2_2
1.4,0.13,1.86,3.4,3.11,gaze started: p_2_3
1.45,0.13,1.86,3.4,3.11,gaze started: p_2_3
1.5,0.06,1.83,3.4,3.14,gaze started: p_2_2
1.55,-0.1,2.15,3.4,3.25,-       
1.6,-0.1,2.15,3.4,3.25,-       
1.65,-0.17,2.12,3.4,3.18,-       
1.7,1.08,0.92,-1.04,,-       
1.75,1.08,0.92,-1.04,,-       
1.8,1.08,0.92,-1.04,,-       
1.85,1.08,0.92,-1.04,,-       
1.9,1.08,0.92,-1.04,,-       
1.95,0.68,2.36,3.4,3.3,-       
2.0,0.68,2.3,3.4,3.34,gaze started: p_1_3
2.05,0.68,2.3,3.4,3.34,gaze started: p_1_3
2.1,1.08,0.92,-1.04,,-       
2.15,1.08,0.92,-1.04,,-       
2.2,1.08,0.92,-1.04,,-       
2.25,1.08,0.92,-1.04,,-       
2.3,0.31,2.2,3.4,3.59,-       
2.35,0.31,2.2,3.4,3.59,-       
2.4,0.22,2.18,3.4,3.65,gaze started: p_2_3
2.45,0.2,2.14,3.4,3.71,-       
2.5,0.2,2.14,3.4,3.71,-       
2.55,0.3,1.99,3.4,3.85,-       
2.6,0.2,1.98,3.4,3.83,-       
2.65,0.2,1.98,3.4,3.83,-       
2.7,1.08,0.92,-1.04,,gaze fixated: p_2_3
2.75,1.08,0.92,-1.04,,gaze ended: p_2_3
2.8,1.08,0.92,-1.04,,gaze ended: p_2_3
2.85,1.08,0.92,-1.04,,-       
2.9,1.08,0.92,-1.04,,-       
2.95,0.41,1.66,3.4,3.52,-       
3.0,1.08,0.92,-1.04,,gaze started: p_3_3
3.05,1.08,0.92,-1.04,,gaze started: p_3_3
3.1,1.08,0.92,-1.04,,-       
3.15,1.08,0.92,-1.04,,-       
3.2,0.45,1.53,3.4,3.83,-       
3.25,0.45,1.53,3.4,3.83,-       
3.3,0.42,1.55,3.4,3.82,gaze started: p_3_3
3.35,1.07,0.92,-1.04,,-       
3.4,1.07,0.92,-1.04,,-       
3.45,1.08,0.92,-1.04,,-       
3.5,1.08,0.92,-1.04,,-       
3.55,1.08,0.92,-1.04,,-       
3.6,0.47,2.55,3.4,3.71,-       
3.65,0.47,2.55,3.4,3.71,-       
3.7,0.5,2.53,3.4,3.66,gaze started: p_1_3
3.75,0.5,2.54,3.4,3.7,-       
3.8,0.5,2.53,3.4,3.79,-       
3.85,0.5,2.53,3.4,3.79,-       
3.9,0.19,2.18,3.4,3.81,-       
3.95,0.19,2.18,3.4,3.81,-       
4.0,0.23,2.13,3.4,3.8,gaze started: p_2_3
4.05,0.21,2.14,3.4,3.8,-       
4.1,0.21,2.14,3.4,3.8,-       
4.15,0.2,2.14,3.4,3.82,-       
4.2,0.34,1.92,3.4,3.69,-       
4.25,0.34,1.92,3.4,3.69,-       
4.3,0.33,1.91,3.4,3.68,gaze fixated: p_2_3
4.35,0.27,1.93,3.4,3.52,-       
4.4,0.27,1.93,3.4,3.52,-       
4.45,0.3,1.93,3.4,3.45,-       
4.5,0.21,1.96,3.4,3.43,-       
4.55,0.21,1.96,3.4,3.43,-       
4.6,0.24,1.95,3.4,3.43,-       
4.65,0.21,1.97,3.4,3.45,-       
4.7,0.21,1.97,3.4,3.45,-       
4.75,0.31,1.92,3.4,3.5,-       
4.8,0.31,1.92,3.4,3.5,-       
4.85,1.08,0.92,-1.04,,-       
4.9,1.08,0.92,-1.04,,gaze ended: p_2_3
4.95,1.08,0.92,-1.04,,gaze ended: p_2_3
5.0,0.3,1.86,3.4,3.51,-       
5.05,0.22,1.98,3.4,3.65,gaze started: p_2_3
5.1,0.22,1.98,3.4,3.65,gaze started: p_2_3
5.15,0.17,2.03,3.4,3.72,-       
5.2,0.19,2.03,3.4,3.79,-       
5.25,0.19,2.03,3.4,3.79,-       
5.3,0.19,2.02,3.4,3.84,-       
5.35,0.19,2.02,3.4,3.83,gaze fixated: p_2_3
5.4,0.19,2.02,3.4,3.83,gaze fixated: p_2_3
5.45,0.19,2.01,3.4,3.77,-       
5.5,0.2,2.02,3.4,3.73,-       
5.55,0.2,2.02,3.4,3.73,-       
5.6,0.19,2.02,3.4,3.74,-       
5.65,0.25,1.96,3.4,3.77,-       
5.7,0.25,1.96,3.4,3.77,-       
5.75,1.08,0.92,-1.04,,-       
5.8,1.08,0.92,-1.04,,gaze ended: p_2_3
5.85,1.08,0.92,-1.04,,gaze ended: p_2_3
5.9,1.08,0.92,-1.04,,-       
