time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.48,1.4,3.4,4.81,-       
0.05,0.47,1.39,3.4,4.77,-       
0.1,0.45,1.4,3.4,4.77,gaze fixated: p_3_3
0.15,0.79,1.36,3.4,4.84,-       
0.2,0.88,1.37,3.4,4.93,-       
0.25,0.86,1.36,3.4,4.93,-       
0.3,0.86,1.36,3.4,4.93,-       
0.35,0.86,1.36,3.4,4.93,-       
0.4,0.86,1.36,3.4,4.93,-       
0.45,0.86,1.36,3.4,4.93,-       
0.5,0.86,1.36,3.4,4.93,-       
0.55,0.86,1.36,3.4,4.93,-       
0.6,0.86,1.36,3.4,4.93,-       
0.65,0.86,1.36,3.4,4.93,-       
0.7,0.86,1.36,3.4,4.93,-       
0.75,0.24,1.99,3.4,5.19,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_prediabetes_30s_100.mp4
0.8,0.24,1.99,3.4,5.19,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_prediabetes_30s_100.mp4
0.85,0.22,1.99,3.4,5.22,gaze started: p_2_3
0.9,0.23,1.99,3.4,5.22,-       
0.95,0.25,1.99,3.4,5.23,-       
1.0,0.26,1.98,3.4,5.23,-       
1.05,0.26,1.98,3.4,5.23,gaze fixated: p_2_3
1.1,0.26,1.99,3.4,5.24,-       
1.15,0.26,2.0,3.4,5.25,-       
1.2,0.26,1.97,3.4,5.25,-       
1.25,0.26,1.97,3.4,5.28,-       
1.3,0.25,1.97,3.4,5.28,-       
1.35,0.25,1.94,3.4,5.29,-       
1.4,0.24,1.94,3.4,5.27,-       
1.45,0.23,1.93,3.4,5.3,-       
1.5,0.14,1.96,3.4,5.27,-       
1.55,0.21,2.4,3.4,5.47,-       
1.6,0.26,2.59,3.4,5.51,gaze started: p_1_3
1.65,0.37,2.54,3.4,5.41,-       
1.7,0.35,2.51,3.4,5.4,-       
1.75,0.42,2.54,3.4,5.46,-       
1.8,1.17,2.63,3.4,5.47,-       
1.85,1.27,2.63,3.4,5.44,gaze started: p_1_4
1.9,1.23,2.6,3.4,5.46,-       
1.95,1.23,2.61,3.4,5.46,-       
2.0,1.22,2.59,3.4,5.47,-       
2.05,1.01,0.86,-0.55,,-       
2.1,1.01,0.86,-0.55,,-       
2.15,1.01,0.86,-0.55,,-       
2.2,1.01,0.86,-0.55,,-       
2.25,1.01,0.86,-0.55,,-       
2.3,-0.18,1.71,3.4,5.0,-       
2.35,-0.25,1.71,3.4,4.89,gaze started: p_3_2
2.4,-0.28,1.73,3.4,4.78,-       
2.45,-0.24,1.73,3.4,4.73,-       
2.5,-0.22,1.72,3.4,4.63,-       
2.55,-0.18,1.7,3.4,4.52,-       
2.6,-0.18,1.69,3.4,4.41,-       
2.65,-0.17,1.69,3.4,4.28,gaze fixated: p_3_2
2.7,-0.17,1.69,3.4,4.14,-       
2.75,-0.12,1.81,3.4,4.0,-       
2.8,-0.06,1.93,3.4,3.88,-       
2.85,0.03,1.95,3.4,3.84,-       
2.9,0.02,1.94,3.4,3.81,-       
2.95,0.01,1.94,3.4,3.75,-       
3.0,0.02,1.94,3.4,3.74,-       
3.05,0.03,1.94,3.4,3.7,gaze fixated: p_2_2
3.1,0.03,1.94,3.4,3.63,-       
3.15,0.03,1.93,3.4,3.62,-       
3.2,0.03,2.12,3.4,3.71,-       
3.25,0.03,2.14,3.4,3.8,-       
3.3,0.12,2.12,3.4,3.73,-       
3.35,0.11,2.12,3.4,3.73,-       
3.4,0.13,2.11,3.4,3.75,-       
3.45,0.1,2.11,3.4,3.79,-       
3.5,0.08,2.11,3.4,3.82,-       
3.55,0.08,2.11,3.4,3.82,-       
3.6,0.09,2.11,3.4,3.9,-       
3.65,0.09,2.11,3.4,3.94,-       
3.7,0.09,2.12,3.4,4.0,-       
3.75,0.13,2.12,3.4,4.05,-       
3.8,-0.23,1.99,3.4,4.05,-       
3.85,-0.09,2.03,3.4,4.09,-       
3.9,-0.15,2.02,3.4,4.09,-       
3.95,-0.15,2.02,3.4,4.08,-       
4.0,-0.15,2.02,3.4,4.09,-       
4.05,-0.04,1.72,3.4,4.02,-       
4.1,0.01,1.47,3.4,3.97,gaze started: p_3_2
4.15,0.08,1.37,3.4,3.98,-       
4.2,0.06,1.4,3.4,3.98,-       
4.25,0.04,1.4,3.4,3.97,-       
4.3,0.04,1.42,3.4,3.99,-       
4.35,0.07,1.51,3.4,4.09,-       
4.4,-0.03,1.63,3.4,4.05,-       
4.45,-0.01,1.61,3.4,4.05,-       
4.5,0.04,1.59,3.4,4.02,-       
4.55,0.05,1.58,3.4,3.96,-       
4.6,0.05,1.58,3.4,3.92,-       
4.65,0.04,1.58,3.4,3.86,-       
4.7,0.05,1.59,3.4,3.83,-       
4.75,0.09,2.02,3.4,3.85,-       
4.8,0.08,2.16,3.4,3.88,-       
4.85,0.14,2.15,3.46,3.87,-       
4.9,0.15,2.14,3.4,3.85,-       
4.95,0.14,2.14,3.46,3.85,gaze started: p_2_3
5.0,0.13,2.13,3.4,3.86,-       
5.05,0.15,2.12,3.4,3.87,gaze started: p_2_2
5.1,0.18,2.12,3.4,3.87,gaze started: p_2_3
5.15,0.17,2.12,3.4,3.89,-       
5.2,0.16,2.12,3.4,3.92,-       
5.25,0.13,2.12,3.4,3.96,-       
5.3,0.13,2.11,3.4,3.97,gaze started: p_2_2
5.35,0.08,1.84,3.4,3.96,-       
5.4,0.07,1.84,3.4,3.92,-       
5.45,0.17,1.77,3.4,3.91,-       
5.5,0.16,1.77,3.4,3.94,gaze started: p_3_3
5.55,0.17,1.76,3.4,3.98,-       
5.6,0.16,1.76,3.4,3.99,-       
5.65,0.16,1.76,3.4,4.0,-       
5.7,0.19,1.75,3.4,4.01,-       
5.75,0.16,1.76,3.4,3.99,gaze fixated: p_3_3
5.8,0.16,1.75,3.4,3.95,-       
5.85,0.15,1.76,3.4,3.91,-       
5.9,0.16,1.75,3.4,3.87,-       
5.95,0.16,1.75,3.4,3.89,-       
6.0,0.15,1.75,3.4,3.88,-       
6.05,0.16,1.75,3.4,3.9,gaze started: p_3_2
6.1,0.17,1.74,3.4,3.96,gaze started: p_3_3
6.15,0.12,1.76,3.4,4.0,-       
6.2,0.12,1.76,3.4,4.04,gaze started: p_3_2
6.25,0.11,1.76,3.4,4.06,-       
6.3,0.09,1.77,3.4,4.08,-       
6.35,0.12,1.75,3.4,4.1,-       
6.4,0.1,1.76,3.4,4.14,-       
6.45,0.1,1.76,3.4,4.14,-       
6.5,0.12,1.76,3.4,4.19,-       
6.55,0.12,1.74,3.4,4.19,-       
6.6,0.12,1.74,3.4,4.21,-       
6.65,0.11,1.75,3.4,4.26,-       
6.7,0.1,1.82,3.4,4.35,-       
6.75,0.16,1.8,3.46,4.38,-       
6.8,0.16,1.8,3.46,4.4,-       
6.85,0.16,1.79,3.4,4.41,-       
6.9,0.15,1.79,3.4,4.44,gaze started: p_3_3
6.95,0.16,1.79,3.4,4.44,-       
7.0,0.15,1.79,3.4,4.45,-       
7.05,0.15,1.8,3.46,4.46,-       
7.1,0.14,1.8,3.46,4.46,-       
7.15,0.13,1.79,3.4,4.48,-       
7.2,0.12,1.8,3.46,4.49,gaze started: p_3_2
7.25,0.15,1.88,3.4,4.59,gaze started: p_3_3
7.3,0.2,1.85,3.4,4.58,gaze started: p_2_3
7.35,0.2,1.84,3.4,4.52,-       
7.4,0.17,1.85,3.4,4.49,-       
7.45,0.17,1.84,3.4,4.42,-       
7.5,0.18,1.83,3.4,4.39,-       
7.55,0.18,1.83,3.4,4.36,-       
7.6,0.18,1.83,3.4,4.36,gaze fixated: p_2_3
7.65,0.1,1.88,3.4,4.33,-       
7.7,0.16,1.93,3.4,4.34,-       
7.75,0.14,1.93,3.46,4.36,gaze started: p_2_3
7.8,0.09,1.93,3.4,4.38,-       
7.85,0.09,1.92,3.4,4.44,gaze started: p_2_2
7.9,0.26,1.95,3.4,4.49,-       
7.95,0.24,1.93,3.4,4.45,gaze started: p_2_3
8.0,0.21,1.91,3.4,4.44,-       
8.05,0.23,1.92,3.4,4.44,-       
8.1,0.21,1.92,3.4,4.46,-       
8.15,0.2,1.92,3.4,4.48,-       
8.2,0.21,1.92,3.4,4.45,gaze fixated: p_2_3
8.25,0.22,1.92,3.4,4.45,-       
8.3,0.22,1.92,3.4,4.42,-       
8.35,0.22,1.9,3.4,4.37,-       
8.4,0.12,1.89,3.4,4.25,-       
8.45,-0.02,1.88,3.4,4.1,gaze started: p_2_2
8.5,-0.08,1.96,3.4,4.01,-       
8.55,0.02,1.94,3.4,4.0,-       
8.6,0.08,1.91,3.4,3.9,-       
8.65,0.01,1.94,3.4,3.84,-       
8.7,0.01,1.94,3.4,3.85,gaze fixated: p_2_2
8.75,0.06,1.89,3.4,3.76,-       
8.8,0.22,1.86,3.4,3.81,-       
8.85,0.14,1.9,3.46,3.83,gaze started: p_2_3
8.9,0.2,1.86,3.4,3.84,-       
8.95,0.16,1.88,3.4,3.86,gaze started: p_2_3
9.0,0.12,1.9,3.4,3.97,-       
9.05,-0.1,1.93,3.4,4.0,gaze started: p_2_2
9.1,-0.08,1.96,3.4,4.08,-       
9.15,-0.03,1.93,3.4,4.09,-       
9.2,-0.02,1.91,3.4,4.14,-       
9.25,-0.03,1.91,3.4,4.17,-       
9.3,-0.04,1.92,3.4,4.19,gaze fixated: p_2_2
9.35,-0.03,1.98,3.4,4.2,-       
9.4,-0.02,2.0,3.4,4.17,-       
9.45,-0.06,1.99,3.4,4.16,-       
9.5,-0.06,1.98,3.4,4.16,-       
9.55,0.01,2.0,3.4,4.16,-       
9.6,0.06,1.92,3.4,4.05,-       
9.65,0.05,1.93,3.4,4.06,-       
9.7,0.11,1.9,3.4,4.06,-       
9.75,0.11,1.89,3.4,4.05,-       
9.8,0.1,1.9,3.4,4.03,-       
9.85,0.12,1.89,3.4,4.02,-       
9.9,0.13,1.87,3.4,3.99,-       
9.95,0.11,1.88,3.4,3.95,-       
10.0,0.11,1.87,3.4,3.93,-       
10.05,0.11,1.88,3.4,3.85,-       
10.1,0.1,1.87,3.4,3.81,-       
10.15,0.1,1.86,3.4,3.78,-       
10.2,0.11,1.86,3.4,3.77,-       
10.25,0.09,1.84,3.4,3.83,-       
10.3,-0.12,1.55,3.4,3.77,-       
10.35,-0.12,1.54,3.4,3.8,gaze started: p_3_2
10.4,-0.03,1.53,3.4,3.81,-       
10.45,-0.03,1.54,3.4,3.85,-       
10.5,-0.1,1.55,3.4,3.86,-       
10.55,-0.12,1.55,3.4,3.9,-       
10.6,-0.06,1.52,3.4,4.03,gaze fixated: p_3_2
10.65,-0.03,1.66,3.4,4.24,-       
10.7,0.43,2.28,3.4,4.46,-       
10.75,0.55,2.13,3.4,4.42,gaze started: p_2_3
10.8,0.56,2.13,3.4,4.44,-       
10.85,0.56,2.13,3.4,4.45,-       
10.9,0.56,2.13,3.4,4.51,-       
10.95,0.56,2.13,3.4,4.56,-       
11.0,0.57,2.13,3.4,4.59,-       
11.05,0.6,2.12,3.4,4.67,gaze fixated: p_2_3
11.1,0.89,2.12,3.4,4.59,-       
11.15,0.89,2.12,3.4,4.61,-       
11.2,0.9,2.11,3.4,4.63,-       
11.25,0.91,2.11,3.4,4.65,-       
11.3,0.91,2.1,3.4,4.69,-       
11.35,0.93,2.1,3.4,4.72,-       
11.4,0.94,2.1,3.4,4.72,-       
11.45,0.95,2.09,3.4,4.73,-       
11.5,0.96,2.08,3.4,4.77,-       
11.55,0.99,2.1,3.46,4.78,-       
11.6,0.55,2.18,3.4,4.92,gaze ended: p_2_3
11.65,0.56,2.14,3.4,4.89,gaze started: p_2_3
11.7,0.59,2.13,3.4,4.9,-       
11.75,0.58,2.14,3.4,4.91,-       
11.8,1.0,0.86,-0.55,,-       
11.85,1.01,0.86,-0.55,,-       
11.9,1.0,0.86,-0.55,,-       
11.95,1.01,0.86,-0.55,,-       
12.0,1.01,0.86,-0.55,,-       
12.05,0.66,2.14,3.4,5.11,-       
12.1,0.67,2.1,3.4,4.97,gaze started: p_2_3
12.15,0.68,2.08,3.4,4.97,-       
12.2,0.43,1.85,3.4,4.99,-       
12.25,0.41,1.87,3.4,4.96,-       
12.3,0.46,1.85,3.4,4.96,-       
12.35,0.45,1.85,3.4,4.96,-       
12.4,0.45,1.85,3.4,4.96,gaze fixated: p_2_3
12.45,0.43,1.77,3.4,4.96,-       
12.5,0.45,1.78,3.4,5.0,gaze started: p_3_3
12.55,0.5,1.76,3.4,4.99,-       
12.6,0.51,1.76,3.4,4.97,-       
12.65,0.51,1.76,3.4,4.99,-       
12.7,0.51,1.76,3.4,4.99,-       
12.75,0.52,1.76,3.4,5.0,gaze fixated: p_3_3
12.8,0.51,1.77,3.4,5.02,-       
12.85,0.51,1.78,3.4,5.02,-       
12.9,0.5,1.79,3.4,5.02,-       
12.95,0.5,1.78,3.4,5.0,-       
13.0,0.5,1.78,3.4,5.0,-       
13.05,0.51,1.78,3.4,5.03,-       
13.1,0.5,1.78,3.4,5.03,-       
13.15,0.49,1.79,3.4,5.03,-       
13.2,0.49,1.81,3.4,5.04,-       
13.25,0.47,1.81,3.46,5.11,gaze started: p_2_3
13.3,0.39,1.9,3.4,5.16,-       
13.35,0.44,1.9,3.4,5.14,gaze started: p_2_3
13.4,0.44,1.89,3.4,5.14,-       
13.45,0.44,1.89,3.4,5.14,-       
13.5,0.44,1.9,3.4,5.15,-       
13.55,0.44,1.9,3.4,5.16,-       
