time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.25,1.4,3.4,3.16,-       
0.05,0.27,1.41,3.4,3.19,-       
0.1,0.19,1.41,3.4,3.3,-       
0.15,0.08,1.6,3.4,3.31,gaze fixated: p_3_3
0.2,0.18,1.59,3.4,3.33,gaze started: p_3_2
0.25,0.1,1.61,3.4,3.3,gaze started: p_3_3
0.3,0.1,1.62,3.4,3.28,gaze started: p_3_2
0.35,0.1,1.62,3.4,3.3,-       
0.4,0.1,1.63,3.4,3.26,-       
0.45,0.09,1.64,3.4,3.25,-       
0.5,0.09,1.64,3.4,3.23,-       
0.55,0.1,1.6,3.4,3.24,-       
0.6,0.11,1.6,3.4,3.22,gaze fixated: p_3_2
0.65,0.1,1.6,3.4,3.19,-       
0.7,0.1,1.6,3.4,3.19,-       
0.75,0.1,1.6,3.4,3.19,-       
0.8,0.1,1.6,3.4,3.19,-       
0.85,0.1,1.6,3.4,3.19,-       
0.9,0.1,1.6,3.4,3.19,-       
0.95,0.1,1.6,3.4,3.19,-       
1.0,0.1,1.6,3.4,3.19,-       
1.05,0.1,1.6,3.4,3.19,-       
1.1,0.1,1.6,3.4,3.19,-       
1.15,0.1,1.6,3.4,3.19,-       
1.2,0.34,1.15,3.4,3.15,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_prediabetes_30s_50nd.mp4
1.25,0.34,1.15,3.4,3.14,gaze started: p_4_3
1.3,0.34,1.15,3.4,3.13,-       
1.35,0.34,1.15,3.4,3.09,-       
1.4,0.33,1.15,3.4,3.08,-       
1.45,0.33,1.16,3.4,3.05,-       
1.5,0.34,1.17,3.4,3.04,gaze fixated: p_4_3
1.55,0.34,1.18,3.4,3.03,-       
1.6,0.34,1.18,3.4,3.03,-       
1.65,0.33,1.18,3.4,3.02,-       
1.7,0.32,1.19,3.4,2.99,-       
1.75,0.33,1.19,3.4,3.0,-       
1.8,0.33,1.19,3.4,3.04,-       
1.85,0.33,1.19,3.4,3.05,-       
1.9,0.31,1.18,3.4,3.1,-       
1.95,0.18,1.19,3.4,3.13,-       
2.0,0.08,1.24,3.4,3.17,-       
2.05,0.07,1.24,3.4,3.18,gaze started: p_4_2
2.1,0.01,1.25,3.4,3.22,-       
2.15,-0.0,1.24,3.4,3.23,-       
2.2,0.02,1.23,3.4,3.27,-       
2.25,-0.0,1.23,3.4,3.29,-       
2.3,0.01,1.23,3.4,3.29,gaze fixated: p_4_2
2.35,0.01,1.23,3.4,3.32,-       
2.4,-0.01,1.24,3.4,3.35,-       
2.45,0.0,1.24,3.4,3.37,-       
2.5,-0.0,1.23,3.4,3.41,-       
2.55,-0.0,1.24,3.4,3.41,-       
2.6,-0.01,1.24,3.4,3.41,-       
2.65,-0.02,1.24,3.4,3.4,-       
2.7,0.07,1.23,3.4,3.14,-       
2.75,0.08,1.22,3.4,2.87,-       
2.8,0.09,1.21,3.4,2.76,-       
2.85,0.05,1.23,3.4,2.69,-       
2.9,0.13,1.23,3.4,2.49,-       
2.95,0.1,1.24,3.4,2.46,-       
3.0,0.02,1.29,3.4,2.41,-       
3.05,0.04,1.3,3.4,2.4,-       
3.1,0.13,1.3,3.4,2.42,-       
3.15,0.13,1.32,3.4,2.34,-       
3.2,0.13,1.29,3.4,2.31,-       
3.25,0.03,1.31,3.4,2.3,-       
3.3,0.04,1.29,3.4,2.32,-       
3.35,0.06,1.29,3.4,2.34,-       
3.4,0.06,1.29,3.4,2.35,-       
3.45,0.03,1.3,3.4,2.37,-       
3.5,0.02,1.31,3.4,2.4,-       
3.55,0.05,1.31,3.4,2.41,-       
3.6,0.05,1.31,3.4,2.43,-       
3.65,0.04,1.3,3.4,2.43,-       
3.7,0.05,1.31,3.4,2.45,-       
3.75,0.06,1.31,3.4,2.47,-       
3.8,0.13,1.29,3.4,2.46,-       
3.85,0.06,1.31,3.4,2.47,-       
3.9,0.06,1.31,3.4,2.49,-       
3.95,0.05,1.31,3.4,2.5,-       
4.0,0.04,1.29,3.4,2.52,-       
4.05,0.03,1.28,3.4,2.53,-       
4.1,0.04,1.28,3.4,2.53,-       
4.15,0.04,1.29,3.4,2.55,-       
4.2,0.03,1.3,3.4,2.57,-       
4.25,0.04,1.3,3.4,2.58,-       
4.3,0.04,1.31,3.4,2.6,-       
4.35,0.06,1.31,3.4,2.6,-       
4.4,0.06,1.31,3.4,2.6,-       
4.45,0.05,1.31,3.4,2.63,-       
4.5,0.06,1.3,3.4,2.65,-       
4.55,0.06,1.3,3.4,2.65,-       
4.6,0.05,1.3,3.4,2.65,-       
4.65,0.05,1.3,3.4,2.63,-       
4.7,0.05,1.3,3.4,2.63,-       
4.75,0.06,1.3,3.4,2.63,-       
4.8,0.06,1.3,3.4,2.64,-       
4.85,0.05,1.3,3.4,2.64,-       
4.9,0.06,1.29,3.4,2.65,-       
4.95,0.06,1.29,3.4,2.65,-       
5.0,0.05,1.28,3.4,2.68,-       
5.05,0.05,1.28,3.4,2.71,-       
5.1,0.05,1.28,3.4,2.75,-       
5.15,0.05,1.29,3.4,2.76,-       
5.2,0.05,1.29,3.4,2.76,-       
5.25,0.06,1.29,3.4,2.78,-       
5.3,0.06,1.28,3.4,2.79,-       
5.35,0.06,1.28,3.4,2.77,-       
5.4,0.06,1.28,3.4,2.79,-       
5.45,0.6,0.73,-0.29,,-       
5.5,0.6,0.73,-0.29,,gaze ended: p_4_2
5.55,0.6,0.73,-0.29,,-       
5.6,0.6,0.73,-0.29,,-       
5.65,0.6,0.73,-0.29,,-       
5.7,-0.01,1.47,3.4,2.86,-       
5.75,0.02,1.47,3.4,2.79,gaze started: p_3_2
5.8,0.03,1.46,3.4,2.75,-       
5.85,0.03,1.45,3.4,2.74,-       
5.9,0.05,1.45,3.4,2.73,-       
5.95,0.15,1.48,3.4,2.7,-       
6.0,0.05,1.46,3.4,2.7,gaze started: p_3_3
6.05,0.06,1.46,3.4,2.66,gaze started: p_3_2
6.1,0.07,1.47,3.4,2.65,-       
6.15,0.08,1.46,3.4,2.63,-       
6.2,0.16,1.47,3.4,2.62,-       
6.25,0.08,1.48,3.4,2.6,gaze started: p_3_3
6.3,0.06,1.48,3.4,2.56,gaze started: p_3_2
6.35,0.06,1.47,3.4,2.54,-       
6.4,0.06,1.47,3.4,2.52,-       
6.45,0.06,1.47,3.4,2.51,-       
6.5,0.06,1.46,3.4,2.51,-       
6.55,0.07,1.48,3.4,2.5,gaze fixated: p_3_2
6.6,0.08,1.47,3.4,2.47,-       
6.65,0.08,1.48,3.4,2.47,-       
6.7,0.08,1.48,3.4,2.47,-       
6.75,0.06,1.49,3.4,2.49,-       
6.8,0.05,1.49,3.4,2.49,-       
6.85,0.06,1.49,3.4,2.5,-       
6.9,0.07,1.48,3.4,2.52,-       
6.95,0.07,1.48,3.4,2.49,-       
7.0,0.07,1.48,3.4,2.51,-       
7.05,0.06,1.48,3.4,2.53,-       
7.1,0.06,1.48,3.4,2.54,-       
7.15,0.06,1.48,3.4,2.55,-       
7.2,0.06,1.48,3.4,2.57,-       
7.25,0.05,1.48,3.4,2.58,-       
7.3,0.05,1.48,3.4,2.56,-       
7.35,0.06,1.48,3.4,2.57,-       
7.4,0.06,1.47,3.4,2.58,-       
7.45,0.06,1.48,3.4,2.58,-       
7.5,0.06,1.48,3.4,2.58,-       
7.55,0.06,1.48,3.4,2.58,-       
7.6,0.07,1.48,3.4,2.58,-       
7.65,0.07,1.48,3.4,2.59,-       
7.7,0.07,1.48,3.4,2.59,-       
7.75,0.07,1.47,3.4,2.58,-       
7.8,0.11,1.47,3.4,2.55,-       
7.85,0.34,1.41,3.4,2.55,-       
7.9,0.28,1.43,3.4,2.55,gaze started: p_3_3
7.95,0.19,1.45,3.4,2.59,-       
8.0,0.18,1.47,3.4,2.59,-       
8.05,0.18,1.45,3.4,2.55,-       
8.1,0.19,1.45,3.4,2.56,-       
8.15,0.24,1.42,3.4,2.56,gaze fixated: p_3_3
8.2,0.29,1.41,3.4,2.57,-       
8.25,0.35,1.39,3.4,2.57,-       
8.3,0.24,1.43,3.4,2.57,-       
8.35,0.25,1.42,3.4,2.57,-       
8.4,0.27,1.42,3.4,2.56,-       
8.45,0.27,1.41,3.4,2.55,-       
8.5,0.18,1.42,3.4,2.59,-       
8.55,0.18,1.43,3.4,2.59,-       
8.6,0.38,1.37,3.4,2.58,-       
8.65,0.37,1.38,3.4,2.55,-       
8.7,0.39,1.38,3.4,2.56,-       
8.75,0.39,1.38,3.4,2.56,-       
8.8,0.37,1.39,3.4,2.54,-       
8.85,0.39,1.39,3.4,2.52,-       
8.9,0.36,1.4,3.4,2.47,-       
8.95,0.37,1.39,3.4,2.43,-       
9.0,0.37,1.39,3.4,2.4,-       
9.05,0.17,1.45,3.4,2.32,-       
9.1,0.16,1.44,3.4,2.32,-       
9.15,0.22,1.43,3.4,2.32,-       
9.2,0.24,1.44,3.4,2.31,-       
9.25,0.26,1.43,3.4,2.32,-       
9.3,0.26,1.42,3.4,2.32,-       
9.35,0.25,1.42,3.4,2.33,-       
9.4,0.26,1.43,3.4,2.33,-       
9.45,0.26,1.43,3.4,2.33,-       
9.5,0.17,1.45,3.4,2.37,-       
9.55,0.17,1.46,3.4,2.4,-       
9.6,0.37,1.4,3.4,2.4,-       
9.65,0.36,1.4,3.4,2.39,-       
9.7,0.38,1.4,3.4,2.39,-       
9.75,0.38,1.39,3.4,2.4,-       
9.8,0.38,1.39,3.4,2.4,-       
9.85,0.36,1.4,3.4,2.42,-       
9.9,0.36,1.39,3.4,2.42,-       
9.95,0.36,1.4,3.4,2.44,-       
10.0,0.17,1.45,3.4,2.38,-       
10.05,0.26,1.43,3.4,2.39,-       
10.1,0.25,1.41,3.4,2.41,-       
10.15,0.24,1.42,3.4,2.46,-       
10.2,0.25,1.4,3.4,2.43,-       
10.25,0.28,1.42,3.4,2.42,-       
10.3,0.29,1.46,3.4,2.43,-       
10.35,0.25,1.45,3.4,2.42,-       
10.4,0.23,1.44,3.4,2.47,-       
10.45,0.25,1.43,3.4,2.48,-       
10.5,0.29,1.41,3.4,2.51,-       
