time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.58,0.75,-0.3,,gaze started: p_2_2
0.05,0.58,0.75,-0.3,,-       
0.1,0.58,0.75,-0.3,,-       
0.15,0.58,0.75,-0.3,,-       
0.2,-0.71,2.29,3.4,4.77,-       
0.25,-0.71,2.29,3.4,4.57,gaze started: p_1_1
0.3,-0.72,2.3,3.46,4.5,-       
0.35,-0.71,2.29,3.46,4.37,-       
0.4,-0.71,2.29,3.46,4.37,-       
0.45,-0.71,2.29,3.46,4.37,-       
0.5,-0.71,2.29,3.46,4.37,-       
0.55,-0.71,2.29,3.46,4.37,-       
0.6,-0.71,2.29,3.46,4.37,-       
0.65,-0.71,2.29,3.46,4.37,-       
0.7,-0.71,2.29,3.46,4.37,-       
0.75,-0.71,2.29,3.46,4.37,-       
0.8,-0.71,2.29,3.46,4.37,-       
0.85,-0.71,2.24,3.4,3.94,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_prediabetes_30s_50nd.mp4
0.9,-0.71,2.23,3.4,3.94,gaze started: p_2_1
0.95,-0.71,2.3,3.4,4.44,-       
1.0,0.58,0.75,-0.3,,-       
1.05,0.58,0.75,-0.3,,-       
1.1,-0.62,2.15,3.4,4.09,-       
1.15,-0.59,2.14,3.4,4.03,gaze started: p_2_2
1.2,-0.58,2.13,3.4,4.01,-       
1.25,-0.58,2.14,3.4,4.02,-       
1.3,-0.55,2.13,3.4,4.04,-       
1.35,0.58,0.75,-0.3,,-       
1.4,0.58,0.75,-0.3,,-       
1.45,0.58,0.75,-0.3,,-       
1.5,0.58,0.75,-0.3,,-       
1.55,0.58,0.75,-0.3,,-       
1.6,0.58,0.75,-0.3,,-       
1.65,0.58,0.75,-0.3,,-       
1.7,0.58,0.75,-0.3,,-       
1.75,0.58,0.75,-0.3,,-       
1.8,0.3,0.17,2.94,4.13,-       
1.85,0.56,0.16,2.94,4.24,-       
1.9,0.54,0.28,2.94,4.12,-       
1.95,0.43,0.19,2.94,4.01,-       
2.0,0.58,0.75,-0.29,,-       
2.05,0.58,0.75,-0.29,,-       
2.1,0.58,0.75,-0.3,,-       
2.15,0.1,1.18,3.4,4.35,-       
2.2,0.13,1.29,3.46,4.37,gaze started: p_4_2
2.25,0.11,1.28,3.4,4.47,-       
2.3,0.5,1.38,3.4,4.37,gaze started: p_4_2
2.35,0.58,1.4,3.4,4.0,-       
2.4,0.65,1.47,3.4,3.74,-       
2.45,0.65,1.44,3.4,3.64,-       
2.5,0.65,1.43,3.4,3.46,-       
2.55,0.62,1.41,3.4,3.21,-       
2.6,0.56,0.77,-0.31,,gaze fixated: p_3_3
2.65,0.56,0.77,-0.31,,gaze ended: p_3_3
2.7,0.56,0.78,-0.31,,-       
2.75,0.56,0.78,-0.31,,-       
2.8,0.55,0.78,-0.31,,-       
2.85,0.55,0.78,-0.32,,-       
2.9,0.55,0.78,-0.32,,-       
2.95,0.55,0.78,-0.32,,-       
3.0,0.39,0.55,3.57,2.99,-       
3.05,0.55,0.78,-0.32,,-       
3.1,0.55,0.79,-0.32,,-       
3.15,0.55,0.79,-0.32,,-       
3.2,0.55,0.79,-0.32,,-       
3.25,0.56,0.79,-0.32,,-       
3.3,0.26,1.18,3.4,3.03,-       
3.35,0.13,1.45,3.46,3.4,gaze started: p_4_3
3.4,0.24,1.21,3.4,3.21,-       
3.45,0.26,1.33,3.46,3.37,gaze started: p_3_3
3.5,0.22,1.38,3.4,3.41,-       
3.55,0.25,1.34,3.46,3.41,gaze started: p_3_3
3.6,0.26,1.28,3.4,3.31,-       
3.65,0.57,0.79,-0.32,,gaze started: p_4_3
3.7,0.57,0.79,-0.32,,-       
3.75,0.58,0.79,-0.32,,-       
3.8,0.58,0.79,-0.32,,-       
3.85,0.59,0.79,-0.32,,-       
3.9,0.59,0.78,-0.32,,-       
3.95,0.59,0.78,-0.32,,-       
4.0,0.59,0.78,-0.32,,-       
4.05,0.59,0.78,-0.32,,-       
4.1,0.27,1.34,3.46,3.41,-       
4.15,0.23,1.32,3.4,3.43,-       
4.2,0.15,1.46,3.4,3.28,gaze started: p_3_3
4.25,0.15,1.46,3.4,3.28,-       
4.3,0.13,1.45,3.4,3.27,-       
4.35,0.12,1.44,3.4,3.23,gaze started: p_3_2
4.4,0.13,1.62,3.4,3.17,-       
4.45,0.15,1.67,3.4,3.15,-       
4.5,0.15,1.69,3.4,3.15,gaze started: p_3_3
4.55,0.16,1.69,3.4,3.17,-       
4.6,0.16,1.68,3.4,3.16,-       
4.65,0.16,1.68,3.4,3.15,-       
4.7,0.15,1.67,3.4,3.16,-       
4.75,0.15,1.65,3.4,3.17,gaze fixated: p_3_3
4.8,0.15,1.65,3.4,3.19,-       
4.85,0.15,1.65,3.4,3.23,-       
4.9,0.01,1.85,3.4,3.4,-       
4.95,-0.03,1.86,3.4,3.43,gaze started: p_2_2
5.0,-0.02,1.85,3.4,3.44,-       
5.05,-0.0,1.83,3.4,3.53,-       
5.1,0.57,0.78,-0.32,,-       
5.15,0.57,0.78,-0.32,,-       
5.2,0.42,1.88,3.4,3.45,-       
5.25,0.42,1.87,3.4,3.41,gaze started: p_2_3
5.3,0.43,1.87,3.4,3.38,-       
5.35,0.42,1.85,3.4,3.37,-       
5.4,0.41,1.86,3.4,3.35,-       
5.45,0.42,1.84,3.4,3.35,-       
