time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.68,1.95,3.4,3.26,-       
0.05,0.73,1.93,3.4,3.26,-       
0.1,0.73,1.93,3.4,3.26,-       
0.15,0.73,1.93,3.4,3.26,-       
0.2,0.73,1.93,3.4,3.26,-       
0.25,0.73,1.93,3.4,3.26,-       
0.3,0.73,1.93,3.4,3.26,-       
0.35,0.73,1.93,3.4,3.26,-       
0.4,0.73,1.93,3.4,3.26,-       
0.45,0.73,1.93,3.4,3.26,-       
0.5,0.73,1.93,3.4,3.26,-       
0.55,0.72,1.92,3.4,3.43,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_prediabetes_30s_50nd.mp4
0.6,0.72,1.92,3.4,3.43,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_prediabetes_30s_50nd.mp4
0.65,0.72,1.92,3.4,3.43,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_prediabetes_30s_50nd.mp4
0.7,0.71,1.93,3.4,3.45,-       
0.75,0.72,1.92,3.4,3.43,-       
0.8,0.17,1.94,3.4,3.39,-       
0.85,0.17,1.92,3.4,3.35,-       
0.9,0.17,1.92,3.4,3.34,-       
0.95,0.16,1.92,3.4,3.33,-       
1.0,0.16,1.92,3.4,3.33,-       
1.05,-0.04,1.73,3.4,3.28,-       
1.1,-0.21,1.43,3.4,3.28,gaze started: p_3_2
1.15,-0.23,1.43,3.4,3.3,-       
1.2,-0.2,1.43,3.4,3.31,-       
1.25,0.83,0.85,-0.53,,-       
1.3,0.83,0.85,-0.53,,-       
1.35,0.83,0.85,-0.53,,-       
1.4,0.83,0.85,-0.53,,-       
1.45,0.17,2.17,3.4,3.54,gaze started: p_2_3
1.5,0.26,2.2,3.4,3.53,-       
1.55,0.17,2.21,3.4,3.59,-       
1.6,0.83,0.85,-0.53,,-       
1.65,0.83,0.85,-0.53,,-       
1.7,0.83,0.85,-0.53,,-       
1.75,1.06,2.65,3.4,3.76,-       
1.8,1.13,2.63,3.4,3.78,-       
1.85,1.13,2.62,3.4,3.77,-       
1.9,1.13,2.63,3.4,3.79,-       
1.95,0.47,1.93,3.4,3.74,-       
2.0,0.41,1.76,3.4,3.58,gaze started: p_2_3
2.05,0.41,1.77,3.4,3.54,gaze started: p_3_3
2.1,0.47,1.78,3.4,3.44,-       
2.15,0.45,1.78,3.4,3.39,-       
2.2,0.45,1.8,3.46,3.17,-       
2.25,0.45,1.8,3.46,3.17,-       
2.3,0.83,0.85,-0.53,,-       
2.35,0.12,1.88,3.4,2.98,-       
2.4,0.07,1.85,3.4,2.87,gaze started: p_2_2
2.45,0.13,1.9,3.4,2.8,-       
2.5,0.13,1.9,3.4,2.79,-       
2.55,0.14,1.91,3.46,2.79,-       
2.6,0.16,1.9,3.4,2.77,-       
2.65,0.15,1.9,3.4,2.75,-       
2.7,0.13,1.9,3.4,2.76,-       
2.75,0.17,1.91,3.4,2.76,gaze started: p_2_2
2.8,0.04,2.0,3.4,2.73,-       
2.85,0.02,2.05,3.4,2.78,gaze started: p_2_2
2.9,-0.06,2.02,3.4,2.8,-       
2.95,-0.07,2.03,3.4,2.8,-       
3.0,-0.06,2.03,3.4,2.8,-       
3.05,0.09,1.61,3.4,2.74,gaze started: p_3_2
3.1,0.08,1.6,3.4,2.76,-       
