time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.36,1.99,3.4,4.05,-       
0.05,0.32,1.88,3.4,4.05,-       
0.1,0.32,1.91,3.4,4.07,-       
0.15,0.31,1.9,3.4,4.07,-       
0.2,0.37,2.08,3.4,4.07,gaze fixated: p_2_3
0.25,0.31,1.94,3.4,4.13,-       
0.3,0.4,1.91,3.4,4.13,-       
0.35,0.35,1.95,3.4,4.18,-       
0.4,0.31,1.86,3.4,4.22,-       
0.45,0.3,1.86,3.4,4.22,-       
0.5,0.32,1.86,3.4,4.23,-       
0.55,0.32,1.85,3.4,4.24,-       
0.6,0.22,1.86,3.4,4.31,-       
0.65,-0.05,1.82,3.4,4.46,-       
0.7,-0.15,1.7,3.4,4.48,gaze started: p_2_2
0.75,-0.23,1.86,3.4,4.43,gaze started: p_3_2
0.8,-0.02,2.09,3.4,4.57,gaze started: p_2_2
0.85,-0.02,2.09,3.4,4.57,gaze started: p_2_2
0.9,-0.02,2.09,3.4,4.57,gaze started: p_2_2
0.95,-0.02,2.09,3.4,4.57,gaze started: p_2_2
1.0,-0.02,2.09,3.4,4.57,gaze started: p_2_2
1.05,-0.02,2.09,3.4,4.57,gaze started: p_2_2
1.1,-0.02,2.09,3.4,4.57,gaze started: p_2_2
1.15,-0.02,2.09,3.4,4.57,gaze started: p_2_2
1.2,-0.02,2.09,3.4,4.57,gaze started: p_2_2
1.25,-0.02,2.09,3.4,4.57,gaze started: p_2_2
1.3,0.03,2.22,3.4,4.52,-       
1.35,0.03,2.22,3.4,4.52,-       
1.4,0.28,1.89,3.4,4.4,-       
1.45,0.28,1.89,3.4,4.4,-       
1.5,0.26,1.9,3.4,4.52,-       
1.55,0.26,1.9,3.4,4.52,-       
1.6,0.17,1.75,3.4,4.49,gaze started: p_3_3
1.65,0.17,1.75,3.4,4.49,gaze started: p_3_3
1.7,0.25,1.79,3.4,4.27,gaze started: p_2_3
1.75,0.25,1.79,3.4,4.27,gaze started: p_2_3
1.8,-0.16,1.09,3.4,4.55,gaze started: p_3_3
1.85,-0.21,0.77,3.57,4.28,gaze started: p_4_2
1.9,-0.18,1.01,3.4,4.46,-       
1.95,-0.3,1.03,3.4,4.43,gaze started: p_4_2
