time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.47,2.07,3.4,2.62,-       
0.05,-0.46,2.08,3.4,2.65,-       
0.1,-0.43,2.08,3.4,2.65,gaze fixated: p_2_2
0.15,-0.44,2.08,3.4,2.69,-       
0.2,-0.44,2.07,3.4,2.71,-       
0.25,-0.44,2.07,3.4,2.76,-       
0.3,-0.5,2.09,3.4,2.84,-       
0.35,-0.56,2.0,3.4,2.81,-       
0.4,-0.56,2.0,3.4,2.81,-       
0.45,-0.56,2.0,3.4,2.81,-       
0.5,-0.56,2.0,3.4,2.81,-       
0.55,-0.56,2.0,3.4,2.81,-       
0.6,-0.56,2.0,3.4,2.81,-       
0.65,-0.56,2.0,3.4,2.81,-       
0.7,-0.56,2.0,3.4,2.81,-       
0.75,-0.56,2.0,3.4,2.81,-       
0.8,-0.56,2.0,3.4,2.81,-       
0.85,0.58,2.06,3.4,3.21,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_prediabetes_30s_50wd.mp4
0.9,0.58,2.06,3.4,3.21,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_prediabetes_30s_50wd.mp4
0.95,0.58,2.06,3.4,3.21,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_prediabetes_30s_50wd.mp4
1.0,0.58,2.06,3.4,3.21,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_prediabetes_30s_50wd.mp4
1.05,-0.23,1.47,3.4,3.06,gaze started: p_2_3
1.1,-0.22,1.47,3.4,3.07,gaze started: p_3_2
1.15,-0.18,1.48,3.4,3.13,-       
1.2,-0.18,1.47,3.4,3.14,-       
1.25,-0.18,1.47,3.4,3.18,-       
1.3,-0.18,1.47,3.4,3.17,-       
1.35,-0.19,1.48,3.4,3.17,gaze fixated: p_3_2
1.4,-0.19,1.49,3.4,3.17,-       
1.45,-0.19,1.49,3.4,3.19,-       
1.5,-0.17,1.49,3.4,3.21,-       
1.55,-0.17,1.48,3.4,3.2,-       
1.6,-0.44,1.39,3.4,3.32,-       
1.65,-0.45,1.38,3.4,3.29,-       
1.7,-0.45,1.38,3.4,3.29,-       
1.75,-0.43,1.4,3.4,3.32,-       
1.8,-0.43,1.4,3.4,3.34,-       
1.85,-0.42,1.4,3.4,3.36,-       
1.9,-0.41,1.39,3.4,3.38,-       
1.95,-0.09,1.43,3.4,3.3,-       
2.0,1.09,0.85,-0.63,,-       
2.05,1.09,0.85,-0.63,,gaze ended: p_3_2
2.1,1.08,0.85,-0.63,,-       
2.15,1.08,0.85,-0.62,,-       
2.2,1.08,0.85,-0.62,,-       
2.25,-0.13,1.9,3.4,3.56,-       
2.3,-0.11,1.94,3.4,3.63,gaze started: p_2_2
2.35,-0.16,1.93,3.4,3.63,-       
2.4,-0.17,1.95,3.4,3.63,-       
2.45,-0.2,1.94,3.4,3.57,-       
2.5,-0.21,1.94,3.4,3.36,-       
2.55,-0.17,1.95,3.4,3.18,gaze fixated: p_2_2
2.6,-0.23,1.94,3.4,2.99,-       
2.65,-0.21,1.93,3.4,2.84,-       
2.7,-0.19,1.94,3.4,2.71,-       
2.75,-0.18,1.95,3.4,2.6,-       
2.8,-0.15,1.96,3.4,2.51,-       
2.85,-0.18,1.96,3.4,2.46,-       
2.9,-0.19,1.96,3.4,2.42,-       
2.95,-0.18,1.96,3.4,2.4,-       
3.0,-0.19,1.96,3.4,2.36,-       
3.05,-0.18,1.96,3.4,2.34,-       
3.1,-0.18,1.96,3.4,2.33,-       
3.15,-0.19,1.96,3.4,2.32,-       
3.2,-0.18,1.96,3.4,2.3,-       
3.25,0.07,1.84,3.4,2.23,-       
3.3,0.13,1.71,3.4,2.25,-       
3.35,0.16,1.74,3.4,2.23,gaze started: p_3_2
3.4,0.16,1.75,3.4,2.24,gaze started: p_3_3
3.45,0.16,1.75,3.4,2.23,-       
3.5,0.16,1.75,3.4,2.24,-       
3.55,0.15,1.74,3.4,2.24,-       
3.6,0.12,1.74,3.4,2.24,-       
3.65,0.15,1.74,3.4,2.24,gaze started: p_3_2
3.7,0.15,1.74,3.4,2.24,gaze started: p_3_3
3.75,0.15,1.74,3.4,2.23,-       
3.8,0.15,1.74,3.4,2.23,-       
3.85,0.15,1.73,3.4,2.22,-       
3.9,0.15,1.73,3.4,2.2,-       
3.95,0.15,1.73,3.4,2.18,-       
4.0,0.14,1.73,3.46,2.18,gaze fixated: p_3_3
4.05,0.15,1.73,3.4,2.18,gaze ended: p_3_3
4.1,0.15,1.73,3.4,2.17,gaze started: p_3_3
4.15,0.15,1.73,3.4,2.16,-       
4.2,0.16,1.73,3.4,2.16,-       
4.25,0.16,1.73,3.4,2.15,-       
4.3,0.15,1.72,3.4,2.14,-       
4.35,0.16,1.73,3.4,2.14,gaze fixated: p_3_3
4.4,0.16,1.73,3.4,2.13,-       
4.45,0.16,1.73,3.4,2.14,-       
4.5,0.15,1.73,3.4,2.13,-       
4.55,0.15,1.73,3.4,2.14,-       
4.6,0.15,1.73,3.4,2.16,-       
4.65,0.15,1.73,3.4,2.17,-       
4.7,0.16,1.73,3.4,2.18,-       
4.75,0.16,1.73,3.4,2.18,-       
4.8,0.15,1.73,3.4,2.19,-       
4.85,0.15,1.73,3.4,2.2,-       
4.9,0.15,1.73,3.4,2.2,-       
4.95,0.15,1.73,3.4,2.2,-       
5.0,0.16,1.73,3.4,2.21,-       
5.05,0.16,1.73,3.4,2.22,-       
5.1,0.16,1.73,3.4,2.23,-       
5.15,0.16,1.73,3.4,2.26,-       
5.2,0.15,1.73,3.4,2.29,-       
5.25,0.15,1.73,3.4,2.3,-       
5.3,0.15,1.73,3.4,2.31,-       
5.35,0.15,1.72,3.4,2.32,-       
5.4,0.15,1.71,3.4,2.32,-       
5.45,0.14,1.71,3.4,2.32,-       
5.5,0.14,1.72,3.4,2.32,-       
5.55,0.14,1.73,3.4,2.28,-       
5.6,0.15,1.73,3.4,2.27,-       
5.65,0.15,1.73,3.4,2.25,-       
5.7,0.15,1.73,3.4,2.21,-       
5.75,0.16,1.72,3.4,2.18,-       
5.8,0.16,1.72,3.4,2.19,-       
5.85,0.15,1.72,3.4,2.19,-       
5.9,0.15,1.73,3.4,2.2,-       
5.95,0.15,1.73,3.4,2.22,-       
6.0,0.15,1.73,3.4,2.23,-       
6.05,0.16,1.73,3.4,2.24,-       
6.1,0.16,1.73,3.4,2.25,-       
6.15,0.16,1.73,3.4,2.26,-       
6.2,0.16,1.73,3.4,2.27,-       
6.25,0.16,1.73,3.4,2.29,-       
6.3,0.15,1.72,3.4,2.29,-       
6.35,0.15,1.72,3.4,2.3,-       
6.4,0.15,1.72,3.4,2.31,-       
6.45,0.15,1.72,3.4,2.34,-       
6.5,0.15,1.72,3.4,2.34,-       
6.55,0.16,1.72,3.4,2.36,-       
6.6,0.16,1.72,3.4,2.37,-       
6.65,0.16,1.72,3.4,2.37,-       
6.7,0.16,1.72,3.4,2.38,-       
6.75,0.15,1.72,3.4,2.38,-       
6.8,0.15,1.71,3.4,2.38,-       
6.85,0.15,1.71,3.4,2.38,-       
6.9,0.15,1.71,3.4,2.38,-       
6.95,0.16,1.71,3.4,2.38,-       
7.0,0.16,1.71,3.4,2.37,-       
7.05,0.16,1.71,3.4,2.37,-       
7.1,0.15,1.71,3.4,2.36,-       
7.15,0.15,1.72,3.4,2.36,-       
7.2,0.15,1.72,3.4,2.37,-       
7.25,0.16,1.72,3.4,2.36,-       
7.3,0.15,1.71,3.4,2.36,-       
