time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.72,2.54,3.4,3.16,-       
0.05,-0.71,2.54,3.4,3.17,gaze started: p_1_1
0.1,-0.71,2.55,3.4,3.19,-       
0.15,-0.73,2.55,3.4,3.18,-       
0.2,-0.73,2.55,3.4,3.19,-       
0.25,-0.74,2.56,3.4,3.17,-       
0.3,-0.75,2.57,3.4,3.19,-       
0.35,-0.8,2.54,3.4,3.16,-       
0.4,-0.72,2.45,3.4,3.16,-       
0.45,-0.73,2.43,3.4,3.1,-       
0.5,-0.73,2.43,3.4,3.1,-       
0.55,-0.73,2.43,3.4,3.1,-       
0.6,-0.73,2.43,3.4,3.1,-       
0.65,-0.73,2.43,3.4,3.1,-       
0.7,-0.73,2.43,3.4,3.1,-       
0.75,-0.73,2.43,3.4,3.1,-       
0.8,-0.73,2.43,3.4,3.1,-       
0.85,-0.73,2.43,3.4,3.1,-       
0.9,-0.73,2.43,3.4,3.1,-       
0.95,-0.73,2.43,3.4,3.1,-       
1.0,-0.65,2.28,3.4,3.04,gaze started: p_1_2
1.05,-0.65,2.28,3.4,3.03,-       
1.1,-0.7,2.28,3.46,3.03,-       
1.15,-0.69,2.29,3.46,3.04,-       
1.2,-0.68,2.28,3.4,3.05,-       
1.25,-0.68,2.28,3.4,3.05,gaze started: p_1_2
1.3,-0.68,2.29,3.46,3.03,-       
1.35,-0.65,2.23,3.4,3.14,-       
1.4,-0.47,2.26,3.4,3.1,gaze started: p_2_2
1.45,0.79,0.86,-0.54,,-       
1.5,0.79,0.86,-0.54,,-       
1.55,0.79,0.86,-0.54,,-       
1.6,0.79,0.86,-0.54,,-       
1.65,-0.23,1.69,3.4,3.29,-       
1.7,-0.24,1.72,3.4,3.43,gaze started: p_3_2
1.75,-0.2,1.81,3.4,3.51,-       
1.8,-0.22,1.79,3.4,3.58,gaze started: p_2_2
1.85,-0.17,1.85,3.4,3.63,gaze started: p_3_2
1.9,-0.17,1.89,3.4,3.57,gaze started: p_2_2
1.95,-0.2,1.76,3.4,3.52,-       
2.0,-0.34,1.74,3.4,3.6,-       
2.05,-0.29,1.78,3.4,3.43,-       
2.1,-0.32,1.75,3.4,3.44,-       
2.15,-0.41,1.71,3.4,3.42,-       
2.2,-0.44,1.75,3.4,3.51,-       
2.25,-0.42,1.91,3.4,3.61,gaze fixated: p_3_2
2.3,-0.45,1.96,3.4,3.73,gaze started: p_2_2
2.35,-0.5,2.02,3.4,3.85,-       
2.4,-0.42,2.04,3.4,3.92,-       
2.45,-0.32,1.88,3.4,3.77,-       
2.5,-0.11,1.75,3.4,3.62,-       
2.55,0.59,1.75,3.4,3.31,gaze started: p_3_3
2.6,0.55,1.71,3.4,3.17,-       
2.65,0.56,1.68,3.4,3.05,-       
2.7,0.51,1.72,3.4,3.02,-       
2.75,0.47,1.71,3.4,2.98,-       
2.8,0.41,1.75,3.4,2.95,-       
2.85,0.29,1.81,3.4,2.98,gaze fixated: p_3_3
2.9,0.17,1.54,3.4,2.75,gaze started: p_2_3
2.95,0.16,1.54,3.4,2.71,gaze started: p_3_3
3.0,0.11,1.55,3.4,2.72,-       
3.05,0.09,1.64,3.4,2.75,-       
3.1,0.06,1.63,3.4,2.68,-       
3.15,0.1,1.99,3.4,2.93,-       
3.2,0.22,1.91,3.4,2.87,gaze started: p_2_2
3.25,0.07,1.95,3.4,2.89,gaze started: p_2_3
3.3,0.09,1.88,3.4,2.92,gaze started: p_2_2
3.35,0.1,1.87,3.4,2.91,-       
3.4,0.09,1.86,3.4,2.86,-       
3.45,0.09,1.84,3.4,2.91,-       
3.5,0.12,1.73,3.4,2.88,-       
3.55,-0.0,1.78,3.4,2.82,-       
3.6,-0.02,1.78,3.4,2.9,-       
3.65,-0.01,1.81,3.46,2.87,-       
3.7,-0.03,1.79,3.4,2.85,-       
3.75,-0.11,1.77,3.4,2.81,gaze started: p_3_2
3.8,0.06,1.78,3.4,2.83,-       
3.85,0.08,1.79,3.4,2.85,-       
3.9,-0.02,1.79,3.4,2.85,-       
3.95,-0.06,1.77,3.4,2.88,-       
4.0,-0.05,1.77,3.4,2.88,-       
4.05,-0.09,1.79,3.4,2.87,-       
4.1,-0.11,1.75,3.4,2.92,-       
4.15,-0.11,1.75,3.4,2.97,-       
4.2,-0.11,1.76,3.4,3.01,-       
4.25,0.01,1.84,3.4,3.11,-       
4.3,-0.02,1.9,3.4,3.15,gaze started: p_2_2
4.35,-0.01,1.9,3.4,3.17,-       
4.4,-0.03,1.91,3.4,3.23,-       
4.45,0.02,1.86,3.4,3.38,-       
4.5,0.02,1.86,3.4,3.38,-       
4.55,0.1,1.87,3.4,3.47,gaze fixated: p_2_2
4.6,0.1,1.86,3.4,3.47,-       
4.65,0.12,1.85,3.4,3.49,-       
4.7,0.28,1.7,3.4,3.61,-       
4.75,0.2,1.73,3.4,3.63,gaze started: p_3_3
4.8,0.24,1.75,3.4,3.66,-       
4.85,0.21,1.75,3.4,3.68,-       
4.9,0.21,1.75,3.4,3.72,-       
4.95,0.26,1.73,3.4,3.82,-       
5.0,0.15,1.73,3.4,3.81,-       
5.05,0.24,1.72,3.4,3.87,-       
5.1,0.27,1.71,3.4,3.89,-       
5.15,0.25,1.69,3.4,3.95,-       
5.2,0.26,1.71,3.4,3.95,-       
5.25,0.22,1.72,3.4,3.96,-       
5.3,0.24,1.71,3.4,3.96,-       
5.35,0.21,1.71,3.4,3.93,-       
5.4,0.17,1.72,3.4,3.94,-       
5.45,0.19,1.71,3.4,3.91,-       
5.5,0.19,1.71,3.4,3.88,-       
5.55,0.13,1.7,3.4,3.71,-       
5.6,-0.01,1.72,3.4,3.53,gaze started: p_3_2
5.65,0.9,0.84,-0.69,,-       
5.7,0.9,0.84,-0.69,,-       
5.75,0.9,0.84,-0.69,,-       
5.8,0.9,0.84,-0.69,,-       
5.85,0.9,0.84,-0.69,,-       
5.9,0.9,0.84,-0.69,,-       
5.95,0.91,0.84,-0.69,,-       
