time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.69,2.24,3.4,4.77,-       
0.05,0.7,2.24,3.4,4.76,-       
0.1,0.68,2.24,3.4,4.75,-       
0.15,0.69,2.23,3.4,4.74,-       
0.2,0.69,2.23,3.4,4.73,-       
0.25,0.7,2.23,3.4,4.74,gaze fixated: p_2_3
0.3,0.71,2.24,3.4,4.73,-       
0.35,0.7,2.24,3.4,4.72,-       
0.4,0.7,2.25,3.4,4.72,-       
0.45,0.7,2.24,3.4,4.72,-       
0.5,0.71,2.24,3.4,4.73,-       
0.55,0.71,2.24,3.4,4.73,-       
0.6,0.71,2.24,3.4,4.73,-       
0.65,0.71,2.24,3.4,4.73,-       
0.7,0.71,2.24,3.4,4.73,-       
0.75,0.71,2.24,3.4,4.73,-       
0.8,0.71,2.24,3.4,4.73,-       
0.85,0.71,2.24,3.4,4.73,-       
0.9,0.71,2.24,3.4,4.73,-       
0.95,0.71,2.24,3.4,4.73,-       
1.0,0.75,2.26,3.4,4.79,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_stroke_30s_100.mp4
1.05,0.7,2.23,3.4,4.78,-       
1.1,0.74,2.25,3.4,4.78,-       
1.15,0.72,2.25,3.4,4.77,-       
1.2,0.69,2.25,3.4,4.78,-       
1.25,0.66,0.58,-0.24,,-       
1.3,0.66,0.58,-0.24,,gaze ended: p_2_3
1.35,0.66,0.58,-0.24,,-       
1.4,0.66,0.58,-0.24,,-       
1.45,0.66,0.58,-0.24,,-       
1.5,0.66,0.58,-0.24,,-       
1.55,0.06,1.53,3.4,4.58,-       
1.6,0.08,1.5,3.4,4.55,gaze started: p_3_2
1.65,0.09,1.51,3.4,4.59,-       
1.7,0.09,1.54,3.4,4.58,-       
1.75,0.1,1.52,3.4,4.6,-       
1.8,0.1,1.47,3.4,4.58,-       
1.85,0.09,1.49,3.4,4.6,gaze fixated: p_3_2
1.9,0.09,1.51,3.4,4.6,-       
1.95,0.1,1.47,3.4,4.6,-       
2.0,0.1,1.5,3.4,4.62,-       
2.05,0.11,1.49,3.4,4.67,-       
2.1,0.08,1.44,3.4,4.65,-       
2.15,0.47,1.15,3.4,4.66,-       
2.2,1.38,0.75,3.57,4.74,gaze started: p_4_3
2.25,1.36,0.74,3.57,4.7,-       
2.3,1.34,0.75,3.57,4.7,-       
2.35,1.34,0.72,3.57,4.67,-       
2.4,1.34,0.72,3.57,4.54,-       
2.45,1.33,0.75,3.57,4.26,-       
2.5,1.34,0.75,3.57,3.91,-       
2.55,1.33,0.76,3.57,3.7,-       
2.6,1.3,0.79,3.57,3.54,-       
2.65,1.3,0.81,3.57,3.44,-       
2.7,1.28,0.8,3.57,3.34,-       
2.75,1.29,0.81,3.57,3.28,-       
2.8,1.28,0.82,3.57,3.22,-       
2.85,1.29,0.84,3.57,3.13,-       
2.9,1.25,0.83,3.57,3.02,-       
2.95,1.3,0.82,3.57,3.03,-       
3.0,1.31,0.8,3.57,3.0,-       
3.05,1.31,0.8,3.57,3.0,-       
3.1,0.7,1.08,3.4,2.94,-       
3.15,0.52,1.2,3.4,2.86,gaze started: p_4_3
3.2,0.51,1.22,3.4,2.98,-       
3.25,0.54,1.24,3.4,2.99,-       
3.3,0.56,1.22,3.4,3.0,-       
