time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.21,1.21,3.4,2.46,gaze started: p_4_2
0.05,0.21,1.19,3.4,2.45,gaze started: p_4_3
0.1,0.13,1.13,3.4,2.48,-       
0.15,0.4,1.39,3.4,2.49,gaze started: p_4_2
0.2,0.4,1.39,3.4,2.49,gaze started: p_4_2
0.25,0.35,1.37,3.4,2.48,gaze started: p_3_3
0.3,0.37,1.38,3.4,2.42,-       
0.35,0.18,1.33,3.46,2.26,-       
0.4,0.24,1.38,3.4,2.33,-       
0.45,0.27,1.41,3.4,2.32,gaze started: p_3_3
0.5,0.26,1.42,3.4,2.3,-       
0.55,0.26,1.42,3.4,2.3,-       
0.6,0.29,1.45,3.4,2.3,-       
0.65,0.29,1.45,3.4,2.3,-       
0.7,0.29,1.45,3.4,2.3,-       
0.75,0.29,1.45,3.4,2.3,-       
0.8,0.29,1.45,3.4,2.3,-       
0.85,0.29,1.45,3.4,2.3,-       
0.9,0.29,1.45,3.4,2.3,-       
0.95,0.29,1.45,3.4,2.3,-       
1.0,0.29,1.45,3.4,2.3,-       
1.05,0.29,1.45,3.4,2.3,-       
1.1,0.29,1.45,3.4,2.3,-       
1.15,1.05,0.84,-0.65,,gaze fixated: p_3_3
1.2,1.05,0.84,-0.65,,gaze ended: p_3_3
1.25,1.05,0.84,-0.65,,-       
1.3,-0.13,1.51,3.4,2.28,-       
1.35,1.05,0.84,-0.65,,gaze started: p_3_2
1.4,-0.03,1.71,3.4,2.23,-       
1.45,0.38,2.03,3.4,2.27,gaze started: p_3_2
1.5,0.04,1.87,3.4,2.4,gaze started: p_2_3
1.55,0.04,1.87,3.4,2.4,gaze started: p_2_3
1.6,0.09,1.88,3.4,2.47,-       
1.65,0.09,1.88,3.4,2.47,-       
1.7,1.05,0.84,-0.65,,-       
1.75,1.05,0.84,-0.65,,-       
1.8,1.05,0.84,-0.66,,-       
1.85,1.06,0.84,-0.66,,-       
1.9,1.06,0.84,-0.65,,-       
1.95,1.05,0.84,-0.66,,-       
2.0,1.06,0.84,-0.66,,-       
2.05,1.06,0.84,-0.66,,-       
2.1,1.22,1.84,3.4,2.51,-       
2.15,1.09,1.89,3.4,2.43,gaze started: p_2_4
2.2,1.15,1.86,3.4,2.4,-       
2.25,1.08,1.94,3.4,2.33,-       
2.3,0.76,2.01,3.4,2.46,-       
2.35,0.84,1.71,3.4,2.07,gaze started: p_2_3
2.4,0.84,1.71,3.4,2.07,gaze started: p_2_3
2.45,1.05,0.84,-0.65,,gaze started: p_3_3
2.5,1.05,0.84,-0.65,,-       
2.55,1.05,0.84,-0.65,,-       
2.6,1.05,0.84,-0.66,,-       
2.65,1.05,0.84,-0.65,,-       
2.7,0.49,1.94,3.4,2.16,-       
2.75,0.06,1.79,3.4,2.06,gaze started: p_2_3
2.8,0.2,1.87,3.4,2.11,gaze started: p_3_2
2.85,0.26,1.94,3.4,2.12,gaze started: p_2_3
2.9,0.46,1.87,3.4,2.02,-       
2.95,0.29,1.89,3.4,2.01,-       
3.0,0.11,1.9,3.4,1.98,-       
3.05,0.09,1.92,3.4,1.94,gaze started: p_2_2
3.1,0.18,1.84,3.4,1.9,-       
3.15,-0.05,1.74,3.4,1.88,gaze started: p_2_3
3.2,1.06,0.84,-0.66,,gaze started: p_3_2
3.25,1.06,0.84,-0.66,,gaze started: p_3_2
3.3,1.05,0.84,-0.66,,-       
3.35,1.05,0.84,-0.66,,-       
3.4,1.06,0.84,-0.66,,-       
3.45,1.05,0.84,-0.66,,-       
3.5,1.05,0.84,-0.65,,-       
3.55,0.51,1.88,3.4,1.93,-       
3.6,0.51,1.84,3.4,1.99,gaze started: p_2_3
3.65,0.51,1.82,3.4,1.96,-       
3.7,0.51,1.82,3.4,1.96,-       
3.75,0.51,1.81,3.4,2.03,-       
3.8,0.4,1.83,3.4,2.09,-       
3.85,0.28,1.83,3.4,2.13,-       
3.9,0.35,1.82,3.4,2.14,gaze fixated: p_2_3
3.95,0.37,1.82,3.4,2.15,-       
4.0,0.35,1.82,3.4,2.18,-       
4.05,0.21,1.81,3.46,2.19,-       
4.1,-0.08,1.64,3.4,2.1,gaze ended: p_2_3
4.15,-0.08,1.62,3.4,2.09,gaze started: p_3_2
4.2,0.28,1.67,3.4,2.11,-       
4.25,0.28,1.67,3.4,2.11,-       
4.3,-0.03,1.76,3.4,2.11,gaze started: p_3_3
4.35,1.05,0.84,-0.66,,gaze started: p_3_2
4.4,1.05,0.84,-0.65,,-       
4.45,1.05,0.84,-0.65,,-       
4.5,1.06,0.84,-0.66,,-       
4.55,1.06,0.84,-0.66,,-       
4.6,1.05,0.84,-0.65,,-       
4.65,1.06,0.84,-0.66,,-       
4.7,1.06,0.84,-0.66,,-       
4.75,1.05,0.84,-0.65,,-       
4.8,1.05,0.84,-0.65,,-       
4.85,1.05,0.84,-0.66,,-       
4.9,1.06,0.84,-0.66,,-       
4.95,1.05,0.84,-0.65,,-       
5.0,1.05,1.48,3.4,1.92,-       
5.05,0.79,1.55,3.4,2.17,gaze started: p_3_4
5.1,0.52,1.56,3.4,2.22,gaze started: p_3_3
5.15,0.28,1.59,3.4,2.27,-       
5.2,0.29,1.58,3.4,2.21,-       
5.25,0.27,1.54,3.4,2.12,-       
5.3,0.27,1.54,3.4,2.12,-       
5.35,0.33,1.51,3.4,2.1,-       
5.4,0.39,1.59,3.4,2.04,gaze fixated: p_3_3
5.45,0.37,1.61,3.4,2.01,-       
5.5,0.38,1.6,3.4,2.02,-       
5.55,0.29,1.56,3.4,2.0,-       
5.6,0.27,1.55,3.4,1.95,-       
5.65,0.27,1.56,3.4,1.96,-       
5.7,0.19,1.56,3.4,1.96,-       
5.75,0.22,1.52,3.4,1.91,-       
5.8,0.02,1.31,3.4,1.81,-       
5.85,0.02,1.31,3.4,1.81,-       
5.9,1.05,0.84,-0.66,,-       
5.95,1.05,0.84,-0.66,,-       
6.0,1.05,0.84,-0.66,,-       
6.05,1.05,0.84,-0.65,,-       
6.1,1.05,0.84,-0.65,,-       
6.15,1.05,0.84,-0.65,,-       
6.2,1.05,0.84,-0.65,,-       
6.25,1.05,0.84,-0.66,,-       
6.3,1.05,0.84,-0.65,,-       
6.35,1.05,0.84,-0.65,,-       
6.4,1.05,0.84,-0.65,,-       
6.45,1.05,0.84,-0.66,,-       
6.5,1.05,0.84,-0.65,,-       
6.55,1.05,0.84,-0.65,,-       
6.6,1.05,0.84,-0.65,,-       
6.65,1.05,0.84,-0.65,,-       
6.7,1.04,0.84,-0.64,,-       
6.75,1.04,0.85,-0.64,,-       
6.8,1.04,0.84,-0.64,,-       
6.85,1.04,0.84,-0.64,,-       
6.9,1.04,0.84,-0.64,,-       
6.95,1.04,0.84,-0.64,,-       
7.0,1.05,0.84,-0.65,,-       
7.05,1.05,0.84,-0.65,,-       
7.1,0.69,1.7,3.4,2.12,-       
7.15,0.31,1.92,3.4,2.21,gaze started: p_3_3
7.2,-0.07,1.44,3.4,2.13,gaze started: p_2_3
7.25,-0.13,1.38,3.4,2.04,gaze started: p_3_2
7.3,-0.13,1.38,3.4,2.04,gaze started: p_3_2
7.35,-0.2,1.32,3.46,1.92,-       
7.4,0.21,1.65,3.4,1.83,-       
7.45,0.18,1.67,3.4,1.74,gaze started: p_3_3
7.5,0.17,1.67,3.4,1.74,-       
7.55,-0.17,1.62,3.4,1.75,-       
7.6,0.01,1.65,3.4,1.76,gaze started: p_3_2
7.65,-0.16,1.64,3.4,1.8,-       
7.7,-0.06,1.66,3.4,1.77,-       
7.75,-0.0,1.57,3.4,1.8,-       
7.8,0.39,1.65,3.4,1.83,-       
7.85,0.36,1.65,3.4,1.83,gaze started: p_3_3
7.9,0.16,1.67,3.4,1.83,-       
7.95,0.35,1.69,3.4,1.84,-       
8.0,0.34,1.68,3.4,1.87,-       
8.05,0.35,1.68,3.4,1.89,-       
8.1,0.22,1.68,3.4,1.94,gaze fixated: p_3_3
8.15,0.34,1.67,3.4,1.93,-       
8.2,0.18,1.66,3.4,1.95,-       
8.25,0.14,1.67,3.46,1.98,-       
8.3,-0.06,1.64,3.4,1.96,gaze ended: p_3_3
8.35,-0.06,1.64,3.4,1.96,gaze ended: p_3_3
8.4,0.11,1.67,3.4,1.96,gaze started: p_3_2
8.45,-0.07,1.64,3.4,1.99,-       
8.5,-0.08,1.64,3.4,2.03,-       
8.55,0.23,1.71,3.4,2.01,-       
8.6,0.19,1.71,3.4,2.04,gaze started: p_3_3
