time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.66,2.4,3.4,4.03,-       
0.05,-0.66,2.4,3.4,4.03,gaze fixated: p_1_2
0.1,-0.51,2.32,3.4,4.08,-       
0.15,-0.52,2.31,3.4,4.07,-       
0.2,-0.53,2.29,3.4,4.1,-       
0.25,-0.52,2.29,3.4,4.1,-       
0.3,-0.52,2.29,3.4,4.1,-       
0.35,-0.52,2.29,3.4,4.1,-       
0.4,-0.52,2.29,3.4,4.1,-       
0.45,-0.52,2.29,3.4,4.1,-       
0.5,-0.52,2.29,3.4,4.1,-       
0.55,-0.52,2.29,3.4,4.1,-       
0.6,-0.52,2.29,3.4,4.1,-       
0.65,-0.52,2.29,3.4,4.1,-       
0.7,-0.52,2.29,3.4,4.1,-       
0.75,-0.5,2.26,3.4,3.97,gaze started: p_2_2
0.8,-0.5,2.26,3.4,3.97,gaze started: p_2_2
0.85,-0.34,2.24,3.4,4.0,-       
0.9,-0.33,2.25,3.4,3.96,-       
0.95,-0.32,2.26,3.4,3.98,-       
1.0,-0.32,2.26,3.4,3.98,-       
1.05,-0.33,2.29,3.46,3.98,-       
1.1,-0.33,2.29,3.46,3.97,-       
1.15,-0.34,2.29,3.46,3.93,-       
1.2,-0.34,2.29,3.46,3.93,-       
1.25,0.06,1.66,3.4,3.82,gaze started: p_3_2
1.3,0.03,1.65,3.4,3.84,-       
1.35,0.05,1.65,3.4,3.85,-       
1.4,0.06,1.65,3.4,3.86,-       
1.45,0.07,1.65,3.4,3.89,-       
1.5,0.04,1.64,3.4,3.94,-       
1.55,0.03,1.64,3.4,3.98,gaze fixated: p_3_2
1.6,0.04,1.64,3.4,4.03,-       
1.65,0.04,1.64,3.4,4.05,-       
1.7,0.03,1.64,3.4,4.08,-       
1.75,0.03,1.64,3.4,4.09,-       
1.8,0.05,1.64,3.4,4.11,-       
1.85,0.04,1.63,3.4,4.12,-       
1.9,-0.0,1.62,3.4,4.14,-       
1.95,0.7,0.54,-0.2,,-       
2.0,0.7,0.54,-0.2,,gaze ended: p_3_2
2.05,0.07,1.77,3.4,4.09,-       
2.1,0.09,1.83,3.4,4.22,gaze started: p_3_2
2.15,0.15,1.82,3.46,4.04,gaze started: p_2_2
2.2,0.44,1.74,3.4,3.73,-       
2.25,0.65,1.67,3.4,3.48,gaze started: p_3_3
2.3,0.68,1.63,3.4,3.3,-       
2.35,0.66,1.63,3.4,3.18,-       
2.4,0.66,1.65,3.4,3.08,-       
2.45,0.64,1.64,3.4,2.93,-       
2.5,0.68,1.61,3.4,2.86,gaze fixated: p_3_3
2.55,0.65,1.63,3.4,2.82,-       
2.6,0.67,1.62,3.4,2.78,-       
2.65,0.67,1.62,3.4,2.75,-       
2.7,0.66,1.63,3.4,2.75,-       
2.75,0.67,1.63,3.4,2.74,-       
2.8,0.65,1.65,3.4,2.73,-       
2.85,0.67,1.64,3.4,2.73,-       
2.9,0.67,1.64,3.4,2.76,-       
2.95,0.66,1.63,3.4,2.75,-       
3.0,0.66,1.63,3.4,2.8,-       
3.05,0.66,1.64,3.4,2.79,-       
3.1,0.04,2.07,3.4,2.9,-       
3.15,0.02,2.09,3.4,2.86,gaze started: p_2_2
3.2,0.01,2.09,3.4,2.9,-       
3.25,0.01,2.09,3.4,2.9,-       
3.3,0.01,2.09,3.4,2.91,-       
3.35,0.02,2.08,3.4,2.92,-       
3.4,0.02,2.08,3.4,2.92,gaze fixated: p_2_2
3.45,0.02,2.08,3.4,2.92,gaze fixated: p_2_2
3.5,0.02,2.09,3.4,2.96,-       
3.55,0.03,2.08,3.4,2.99,-       
3.6,0.02,2.08,3.4,3.0,-       
3.65,0.03,2.08,3.4,3.03,-       
3.7,0.02,2.08,3.4,3.06,-       
3.75,0.01,2.08,3.4,3.11,-       
3.8,0.02,2.08,3.4,3.14,-       
3.85,0.03,2.08,3.4,3.26,-       
3.9,0.02,2.07,3.4,3.33,-       
3.95,0.02,2.07,3.4,3.36,-       
4.0,0.01,2.06,3.4,3.42,-       
4.05,0.01,2.07,3.4,3.44,-       
4.1,0.01,2.07,3.4,3.48,-       
4.15,0.02,2.07,3.4,3.55,-       
4.2,0.02,2.07,3.4,3.58,-       
4.25,0.02,2.06,3.4,3.58,-       
4.3,0.02,2.07,3.4,3.6,-       
4.35,0.02,2.07,3.4,3.63,-       
4.4,0.02,2.07,3.4,3.63,-       
4.45,0.02,2.07,3.4,3.67,-       
4.5,0.03,2.07,3.4,3.69,-       
4.55,0.02,2.07,3.4,3.73,-       
4.6,0.02,2.07,3.4,3.73,-       
4.65,0.01,2.07,3.4,3.77,-       
4.7,0.01,2.07,3.4,3.77,-       
4.75,0.01,2.07,3.4,3.78,-       
4.8,0.01,2.07,3.4,3.79,-       
4.85,0.01,2.06,3.4,3.81,-       
4.9,0.01,2.06,3.4,3.81,-       
4.95,0.01,2.07,3.4,3.85,-       
5.0,0.01,2.07,3.4,3.85,-       
5.05,0.02,2.07,3.4,3.87,-       
5.1,0.02,2.07,3.4,3.88,-       
5.15,0.03,2.07,3.4,3.86,-       
5.2,0.02,2.07,3.4,3.83,-       
5.25,0.03,2.07,3.4,3.71,-       
5.3,0.03,2.07,3.4,3.65,-       
5.35,0.03,2.08,3.4,3.63,-       
5.4,0.03,2.08,3.4,3.6,-       
5.45,0.03,2.09,3.4,3.57,-       
5.5,0.04,2.09,3.4,3.57,-       
5.55,0.03,2.09,3.4,3.58,-       
5.6,0.03,2.09,3.4,3.59,-       
5.65,0.02,2.08,3.4,3.63,-       
5.7,0.03,2.05,3.4,3.71,-       
5.75,0.7,0.55,-0.2,,-       
5.8,0.33,1.62,3.4,3.58,gaze ended: p_2_2
5.85,0.25,1.63,3.4,3.76,gaze started: p_3_3
5.9,0.23,1.63,3.4,3.75,-       
5.95,0.29,1.59,3.4,3.73,-       
6.0,0.3,1.59,3.4,3.78,-       
6.05,0.3,1.59,3.4,3.69,-       
6.1,0.28,1.6,3.4,3.64,gaze fixated: p_3_3
6.15,0.26,1.6,3.4,3.58,-       
6.2,0.28,1.6,3.4,3.51,-       
6.25,0.27,1.6,3.4,3.45,-       
6.3,0.27,1.61,3.4,3.4,-       
6.35,0.27,1.61,3.4,3.33,-       
6.4,0.28,1.61,3.4,3.31,-       
6.45,0.26,1.61,3.4,3.3,-       
6.5,0.27,1.62,3.4,3.31,-       
6.55,0.27,1.62,3.4,3.31,-       
6.6,0.27,1.62,3.4,3.3,-       
6.65,0.28,1.61,3.4,3.3,-       
6.7,0.28,1.61,3.4,3.29,-       
6.75,0.26,1.61,3.4,3.28,-       
6.8,0.27,1.62,3.4,3.28,-       
6.85,0.26,1.62,3.4,3.27,-       
6.9,0.25,1.62,3.4,3.28,-       
6.95,0.24,1.62,3.4,3.28,-       
7.0,0.25,1.63,3.4,3.27,-       
7.05,0.25,1.64,3.4,3.21,-       
7.1,0.22,1.65,3.4,3.18,-       
7.15,0.26,1.65,3.4,3.11,-       
7.2,0.26,1.65,3.4,3.11,-       
7.25,0.27,1.66,3.4,3.11,-       
7.3,0.27,1.66,3.4,3.14,-       
7.35,0.27,1.66,3.4,3.14,-       
7.4,0.26,1.66,3.4,3.14,-       
7.45,0.26,1.65,3.4,3.14,-       
7.5,0.26,1.65,3.4,3.16,-       
7.55,0.26,1.65,3.4,3.17,-       
7.6,0.26,1.65,3.4,3.2,-       
7.65,0.26,1.65,3.4,3.22,-       
