time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.66,0.65,-0.26,,-       
0.05,0.66,0.65,-0.26,,-       
0.1,-0.12,1.56,3.4,3.88,-       
0.15,-0.11,1.57,3.4,3.89,gaze started: p_3_2
0.2,-0.11,1.57,3.4,3.89,gaze started: p_3_2
0.25,-0.15,1.6,3.4,3.91,-       
0.3,-0.15,1.59,3.4,3.93,-       
0.35,-0.16,1.61,3.4,3.97,-       
0.4,-0.18,1.61,3.4,4.05,-       
0.45,-0.16,1.61,3.4,4.12,-       
0.5,-0.17,1.6,3.4,4.16,-       
0.55,-0.22,1.94,3.4,4.27,-       
0.6,-0.44,2.26,3.4,4.35,gaze started: p_2_2
0.65,-0.41,2.29,3.46,4.37,-       
0.7,-0.41,2.25,3.4,4.37,-       
0.75,-0.51,2.29,3.46,4.37,gaze started: p_2_2
0.8,-0.51,2.29,3.46,4.37,gaze started: p_2_2
0.85,-0.51,2.29,3.46,4.37,gaze started: p_2_2
0.9,-0.51,2.29,3.46,4.37,gaze started: p_2_2
0.95,-0.51,2.29,3.46,4.37,gaze started: p_2_2
1.0,-0.51,2.29,3.46,4.37,gaze started: p_2_2
1.05,-0.51,2.29,3.46,4.37,gaze started: p_2_2
1.1,-0.51,2.29,3.46,4.37,gaze started: p_2_2
1.15,-0.51,2.29,3.46,4.37,gaze started: p_2_2
1.2,-0.51,2.29,3.46,4.37,gaze started: p_2_2
1.25,-0.46,2.21,3.4,4.19,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_stroke_30s_50nd.mp4
1.3,-0.46,2.21,3.4,4.19,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_stroke_30s_50nd.mp4
1.35,-0.45,2.21,3.4,4.17,gaze started: p_2_2
1.4,-0.46,2.21,3.4,4.14,-       
1.45,-0.48,2.2,3.4,4.12,-       
1.5,-0.46,2.21,3.4,4.1,-       
1.55,-0.45,2.21,3.4,4.1,-       
1.6,-0.46,2.21,3.4,4.07,gaze fixated: p_2_2
1.65,-0.46,2.21,3.4,4.06,-       
1.7,-0.32,1.96,3.4,4.03,-       
1.75,-0.23,1.9,3.4,4.04,-       
1.8,-0.36,1.94,3.4,4.04,-       
