time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.32,1.84,3.4,2.71,-       
0.05,0.37,1.83,3.4,2.7,-       
0.1,0.37,1.83,3.4,2.7,-       
0.15,0.29,1.82,3.4,2.69,-       
0.2,0.28,1.81,3.4,2.7,-       
0.25,0.32,1.83,3.4,2.77,gaze fixated: p_2_3
0.3,0.09,1.72,3.4,2.58,-       
0.35,1.24,0.86,-0.59,,gaze started: p_3_2
0.4,1.24,0.86,-0.59,,-       
0.45,1.24,0.86,-0.59,,-       
0.5,1.24,0.86,-0.59,,-       
0.55,1.24,0.86,-0.59,,-       
0.6,1.24,0.86,-0.59,,-       
0.65,1.24,0.86,-0.59,,-       
0.7,1.24,0.86,-0.59,,-       
0.75,1.24,0.86,-0.59,,-       
0.8,1.24,0.86,-0.59,,-       
0.85,1.24,0.86,-0.59,,-       
0.9,1.24,0.86,-0.59,,-       
0.95,1.24,0.86,-0.59,,-       
1.0,-0.53,1.8,3.46,2.75,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_stroke_30s_50nd.mp4
1.05,-0.51,1.81,3.46,2.77,-       
1.1,-0.5,1.81,3.46,2.77,-       
1.15,-0.5,1.81,3.46,2.78,-       
1.2,-0.5,1.79,3.4,2.78,-       
1.25,-0.5,1.79,3.4,2.79,gaze started: p_3_2
1.3,-0.51,1.77,3.4,2.82,-       
1.35,-0.02,1.68,3.4,2.87,-       
1.4,0.53,1.42,3.4,2.84,-       
1.45,1.24,0.86,-0.59,,gaze started: p_3_3
1.5,1.24,0.86,-0.59,,-       
1.55,0.74,0.98,3.4,2.68,-       
1.6,0.66,1.23,3.4,2.98,gaze started: p_4_3
1.65,0.69,1.24,3.4,2.96,-       
1.7,0.71,1.24,3.4,3.02,-       
1.75,0.66,1.12,3.4,3.03,-       
1.8,0.01,1.03,3.4,2.98,-       
1.85,-0.56,1.01,3.4,3.03,gaze started: p_4_2
1.9,-0.57,1.06,3.4,3.06,-       
1.95,-0.54,0.97,3.4,2.97,-       
2.0,1.24,0.86,-0.59,,-       
2.05,1.24,0.86,-0.59,,-       
2.1,1.24,0.86,-0.59,,-       
2.15,1.24,0.86,-0.59,,-       
2.2,1.24,0.86,-0.59,,-       
2.25,1.24,0.86,-0.59,,-       
2.3,1.24,0.86,-0.59,,-       
2.35,1.24,0.86,-0.59,,-       
2.4,-0.13,1.77,3.4,3.08,-       
2.45,-0.09,1.82,3.4,3.14,gaze started: p_3_2
2.5,-0.1,1.81,3.46,3.18,gaze started: p_2_2
2.55,-0.05,1.76,3.4,3.09,-       
2.6,-0.09,1.76,3.4,2.95,gaze started: p_3_2
2.65,-0.07,1.79,3.4,2.77,-       
2.7,-0.07,1.76,3.4,2.67,-       
2.75,-0.06,1.79,3.4,2.58,-       
2.8,-0.07,1.79,3.4,2.45,-       
2.85,-0.07,1.8,3.46,2.36,gaze fixated: p_3_2
2.9,-0.1,1.8,3.46,2.24,gaze ended: p_3_2
2.95,-0.09,1.81,3.46,2.16,-       
3.0,-0.08,1.81,3.46,2.12,-       
3.05,-0.08,1.8,3.46,2.09,-       
3.1,-0.08,1.81,3.4,2.06,-       
3.15,-0.07,1.81,3.4,2.02,gaze started: p_2_2
3.2,-0.07,1.81,3.46,2.0,-       
3.25,-0.07,1.8,3.46,1.99,-       
3.3,-0.06,1.81,3.4,1.98,-       
3.35,-0.06,1.82,3.4,1.98,gaze started: p_2_2
3.4,-0.06,1.82,3.4,1.96,-       
3.45,-0.04,1.81,3.4,1.95,-       
3.5,-0.1,1.81,3.46,1.97,-       
3.55,-0.08,1.81,3.4,1.97,-       
3.6,-0.05,1.82,3.4,1.98,gaze started: p_2_2
3.65,-0.06,1.82,3.4,1.99,-       
3.7,-0.05,1.82,3.4,2.02,-       
3.75,-0.05,1.82,3.4,2.03,-       
3.8,-0.11,1.82,3.4,2.06,-       
3.85,-0.07,1.82,3.4,2.08,gaze fixated: p_2_2
3.9,-0.04,1.81,3.4,2.08,-       
3.95,-0.12,1.82,3.4,2.12,-       
4.0,-0.12,1.82,3.4,2.12,-       
4.05,-0.09,1.82,3.4,2.13,-       
4.1,1.25,0.86,-0.6,,-       
4.15,1.25,0.86,-0.59,,gaze ended: p_2_2
4.2,1.25,0.86,-0.6,,-       
4.25,1.25,0.86,-0.6,,-       
4.3,1.25,0.86,-0.6,,-       
4.35,1.25,0.86,-0.6,,-       
4.4,1.24,0.86,-0.59,,-       
4.45,0.02,1.9,3.4,2.26,-       
4.5,-0.05,1.87,3.4,2.25,gaze started: p_2_2
4.55,0.02,1.88,3.4,2.26,-       
4.6,0.02,1.89,3.4,2.28,-       
4.65,-0.01,1.88,3.4,2.31,-       
4.7,-0.06,1.88,3.4,2.32,-       
4.75,-0.02,1.88,3.4,2.3,gaze fixated: p_2_2
4.8,-0.01,1.89,3.4,2.24,-       
4.85,-0.06,1.9,3.4,2.21,-       
4.9,-0.03,1.89,3.4,2.2,-       
4.95,-0.02,1.89,3.4,2.18,-       
5.0,-0.01,1.89,3.4,2.16,-       
5.05,-0.03,1.89,3.4,2.16,-       
5.1,-0.02,1.89,3.4,2.16,-       
5.15,-0.02,1.89,3.4,2.16,-       
5.2,-0.07,1.88,3.4,2.18,-       
5.25,-0.04,1.88,3.4,2.2,-       
5.3,-0.01,1.89,3.4,2.21,-       
5.35,-0.01,1.89,3.4,2.22,-       
5.4,-0.02,1.89,3.4,2.23,-       
5.45,-0.01,1.89,3.4,2.25,-       
5.5,-0.01,1.88,3.4,2.25,-       
5.55,0.01,1.89,3.4,2.25,-       
5.6,0.0,1.89,3.4,2.23,-       
5.65,-0.01,1.89,3.4,2.2,-       
5.7,-0.01,1.89,3.4,2.18,-       
5.75,-0.01,1.88,3.4,2.14,-       
5.8,-0.02,1.88,3.4,2.14,-       
5.85,-0.04,1.88,3.4,2.14,-       
5.9,-0.02,1.89,3.4,2.13,-       
5.95,-0.01,1.89,3.4,2.15,-       
6.0,0.0,1.89,3.4,2.16,-       
6.05,-0.03,1.89,3.4,2.18,-       
6.1,-0.02,1.89,3.4,2.19,-       
6.15,0.01,1.89,3.4,2.2,-       
6.2,0.01,1.89,3.4,2.22,-       
6.25,0.01,1.9,3.4,2.24,-       
