time,point x ,point y ,point z ,pupil diameter,flag    
0.0,1.28,0.95,3.4,2.91,gaze started: p_4_4
0.05,1.28,0.95,3.4,2.91,gaze started: p_4_4
0.1,0.72,1.05,3.4,3.1,-       
0.15,0.65,1.07,3.4,3.1,gaze started: p_4_3
0.2,0.7,1.02,3.4,3.11,-       
0.25,0.7,1.02,3.4,3.11,-       
0.3,0.7,1.02,3.4,3.11,-       
0.35,0.7,1.02,3.4,3.11,-       
0.4,0.7,1.02,3.4,3.11,-       
0.45,0.7,1.02,3.4,3.11,-       
0.5,0.7,1.02,3.4,3.11,-       
0.55,0.7,1.02,3.4,3.11,-       
0.6,0.7,1.02,3.4,3.11,-       
0.65,0.7,1.02,3.4,3.11,-       
0.7,0.95,0.77,-0.48,,gaze fixated: p_4_3
0.75,0.72,1.77,3.4,2.54,gaze ended: p_4_3
0.8,0.72,1.77,3.4,2.54,gaze ended: p_4_3
0.85,0.77,1.85,3.4,2.58,gaze started: p_3_3
0.9,0.61,1.79,3.4,2.57,gaze started: p_2_3
0.95,0.4,1.51,3.4,2.4,gaze started: p_3_3
1.0,0.45,1.4,3.4,2.54,-       
1.05,0.45,1.48,3.4,2.57,-       
1.1,0.44,1.44,3.4,2.62,-       
1.15,0.38,1.5,3.4,2.66,-       
1.2,0.47,1.41,3.4,2.74,gaze fixated: p_3_3
1.25,0.95,0.77,-0.48,,-       
1.3,0.95,0.77,-0.48,,gaze ended: p_3_3
1.35,0.95,0.77,-0.48,,-       
1.4,0.95,0.77,-0.48,,-       
1.45,0.95,0.77,-0.48,,-       
1.5,0.95,0.77,-0.48,,-       
1.55,0.95,0.77,-0.48,,-       
1.6,0.95,0.77,-0.48,,-       
1.65,0.95,0.77,-0.48,,-       
1.7,0.0,1.45,3.4,2.98,-       
1.75,0.0,1.45,3.4,2.98,-       
1.8,0.04,1.57,3.4,3.02,gaze started: p_3_2
1.85,0.05,1.75,3.4,3.15,-       
1.9,0.11,1.85,3.4,3.23,-       
1.95,0.08,1.69,3.4,3.08,gaze started: p_2_2
2.0,0.08,1.69,3.4,3.08,gaze started: p_2_2
2.05,0.02,1.63,3.4,3.19,gaze started: p_3_2
2.1,0.55,1.7,3.4,3.29,-       
2.15,0.48,1.67,3.4,3.09,gaze started: p_3_3
2.2,0.43,1.66,3.4,2.92,-       
2.25,0.43,1.66,3.4,2.92,-       
2.3,0.53,1.73,3.4,2.79,-       
2.35,0.54,1.74,3.4,2.72,-       
2.4,0.42,1.76,3.4,2.56,-       
2.45,0.4,1.75,3.4,2.43,gaze fixated: p_3_3
2.5,0.35,1.7,3.4,2.14,-       
2.55,0.01,2.02,3.4,2.21,-       
2.6,0.05,2.11,3.4,2.06,gaze started: p_2_2
2.65,-0.08,2.0,3.4,2.09,-       
2.7,-0.09,2.01,3.4,2.04,-       
2.75,-0.01,1.96,3.4,1.97,-       
2.8,0.37,1.91,3.4,2.09,-       
2.85,0.43,1.84,3.4,2.07,gaze started: p_2_3
2.9,0.31,1.97,3.4,2.09,-       
2.95,0.31,1.97,3.4,2.09,-       
3.0,0.43,1.86,3.4,2.09,-       
3.05,0.4,1.88,3.4,2.1,-       
3.1,0.36,1.87,3.4,2.22,-       
3.15,0.95,0.77,-0.48,,gaze fixated: p_2_3
3.2,0.95,0.77,-0.48,,gaze ended: p_2_3
3.25,0.95,0.77,-0.48,,-       
3.3,0.95,0.77,-0.48,,-       
3.35,0.95,0.77,-0.48,,-       
3.4,0.95,0.77,-0.48,,-       
3.45,0.95,0.77,-0.48,,-       
3.5,0.95,0.76,-0.48,,-       
3.55,0.25,1.92,3.4,2.52,-       
3.6,0.27,1.78,3.4,2.54,gaze started: p_2_3
3.65,0.07,1.97,3.4,2.64,gaze started: p_3_3
3.7,0.04,1.93,3.4,2.58,gaze started: p_2_2
3.75,0.28,1.78,3.4,2.64,-       
3.8,0.27,1.88,3.4,2.67,gaze started: p_3_3
3.85,0.27,1.88,3.4,2.72,gaze started: p_2_3
3.9,0.27,1.85,3.4,2.73,-       
3.95,0.26,1.84,3.4,2.78,-       
4.0,0.26,1.84,3.4,2.78,-       
4.05,0.16,1.88,3.4,2.75,-       
4.1,0.16,1.83,3.4,2.76,-       
4.15,0.15,1.86,3.4,2.78,gaze fixated: p_2_3
4.2,0.34,1.95,3.4,2.76,-       
4.25,0.16,1.85,3.4,2.75,-       
4.3,0.16,1.86,3.4,2.71,-       
4.35,0.15,1.85,3.4,2.7,-       
4.4,0.35,1.89,3.4,2.72,-       
4.45,0.2,1.88,3.4,2.72,-       
4.5,0.2,1.88,3.4,2.72,-       
4.55,0.22,1.87,3.4,2.69,-       
4.6,0.23,1.9,3.4,2.65,-       
4.65,0.23,1.9,3.4,2.65,-       
4.7,0.35,1.85,3.4,2.61,-       
4.75,0.35,1.85,3.4,2.61,-       
4.8,0.31,1.87,3.4,2.62,-       
4.85,0.24,1.87,3.4,2.63,-       
4.9,0.18,1.85,3.4,2.63,-       
4.95,0.2,1.84,3.4,2.69,-       
5.0,0.36,1.92,3.4,2.69,-       
5.05,0.22,1.89,3.4,2.69,-       
5.1,0.2,1.7,3.4,2.76,-       
