time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.95,1.12,3.4,4.33,-       
0.05,0.95,1.12,3.4,4.33,-       
0.1,0.95,1.12,3.4,4.33,-       
0.15,0.95,1.12,3.4,4.33,-       
0.2,0.95,1.12,3.4,4.33,-       
0.25,0.95,1.12,3.4,4.33,-       
0.3,0.95,1.12,3.4,4.33,-       
0.35,0.95,1.12,3.4,4.33,-       
0.4,0.95,1.12,3.4,4.33,-       
0.45,0.95,1.12,3.4,4.33,-       
0.5,0.95,1.12,3.4,4.33,-       
0.55,0.95,1.08,3.4,4.33,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_stroke_30s_50wd.mp4
0.6,0.95,1.08,3.4,4.33,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_stroke_30s_50wd.mp4
0.65,0.95,1.08,3.4,4.33,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_stroke_30s_50wd.mp4
0.7,0.95,1.08,3.4,4.33,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_stroke_30s_50wd.mp4
0.75,0.63,0.72,-0.28,,-       
0.8,0.63,0.72,-0.28,,-       
0.85,0.63,0.72,-0.28,,gaze ended: p_4_3
0.9,0.63,0.72,-0.28,,-       
0.95,0.03,1.47,3.4,4.46,-       
1.0,-0.03,1.53,3.4,4.47,gaze started: p_3_2
1.05,-0.03,1.53,3.4,4.47,gaze started: p_3_2
1.1,-0.06,1.53,3.4,4.49,-       
1.15,-0.06,1.54,3.4,4.52,-       
1.2,-0.09,1.54,3.4,4.53,-       
1.25,-0.11,1.55,3.4,4.53,-       
1.3,-0.11,1.55,3.4,4.53,-       
1.35,-0.05,1.52,3.4,4.54,gaze fixated: p_3_2
1.4,-0.11,1.54,3.4,4.54,-       
1.45,-0.04,1.55,3.4,4.53,-       
1.5,-0.03,1.54,3.4,4.52,-       
1.55,0.04,1.53,3.4,4.47,-       
1.6,0.04,1.53,3.4,4.47,-       
1.65,0.03,1.54,3.4,4.48,-       
1.7,0.05,1.55,3.4,4.47,-       
1.75,0.63,0.71,-0.28,,-       
